ticker,FLT US Equity,FLT US Equity,FLT US Equity,FLT US Equity,FLT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-07-01,29.7,29.61,29.734,32.6424,,DOWN,0
2011-07-05,29.53,29.56,29.654,32.5402,,UP,1
2011-07-06,30.1,29.57,29.7,32.4564,,DOWN,0
2011-07-07,29.7,30.25,29.734,32.3578,,UP,1
2011-07-08,29.8,29.47,29.766,32.2576,,UP,1
2011-07-11,29.98,29.58,29.822,32.1214,,UP,1
2011-07-12,30.0,30.07,29.916,31.9712,,UP,1
2011-07-13,30.15,30.1,29.926,31.8516,,DOWN,0
2011-07-14,29.91,30.25,29.968,31.7674,,DOWN,0
2011-07-15,29.62,29.98,29.932,31.678,,DOWN,0
2011-07-18,29.51,29.52,29.838,31.5738,,UP,1
2011-07-19,29.72,29.73,29.782,31.5046,,DOWN,0
2011-07-20,29.55,29.81,29.662,31.4332,,DOWN,0
2011-07-21,29.51,29.59,29.582,31.3478,,DOWN,0
2011-07-22,29.39,29.42,29.536,31.2678,,DOWN,0
2011-07-25,29.16,29.21,29.466,31.1788,,UP,1
2011-07-26,29.33,29.06,29.388,31.0578,,DOWN,0
2011-07-27,29.3,29.25,29.338,30.9408,,UP,1
2011-07-28,29.48,29.26,29.332,30.849,,UP,1
2011-07-29,29.64,29.26,29.382,30.7418,,DOWN,0
2011-08-01,29.62,29.83,29.474,30.6142,,DOWN,0
2011-08-02,29.19,29.53,29.446,30.488,,DOWN,0
2011-08-03,29.11,29.15,29.408,30.3728,,DOWN,0
2011-08-04,28.4,28.84,29.192,30.254,,UP,1
2011-08-05,30.01,28.78,29.266,30.1798,,DOWN,0
2011-08-08,26.97,29.55,28.736,30.0454,,UP,1
2011-08-09,28.86,27.61,28.67,29.9552,,DOWN,0
2011-08-10,28.42,28.34,28.532,29.8488,,DOWN,0
2011-08-11,27.45,27.96,28.342,29.7378,,DOWN,0
2011-08-12,26.96,27.5,27.732,29.6188,,UP,1
2011-08-15,27.01,26.79,27.74,29.5232,,DOWN,0
2011-08-16,26.29,26.83,27.226,29.4274,,UP,1
2011-08-17,27.0,26.41,26.942,29.355,,DOWN,0
2011-08-18,25.58,26.38,26.568,29.2666,,DOWN,0
2011-08-19,25.26,25.37,26.228,29.171,,DOWN,0
2011-08-22,25.25,25.76,25.876,29.0928,,UP,1
2011-08-23,26.82,25.26,25.982,29.029,,UP,1
2011-08-24,27.88,26.79,26.158,28.9834,,UP,1
2011-08-25,27.91,28.0,26.624,28.9398,,UP,1
2011-08-26,28.0,27.72,27.172,28.8984,,UP,1
2011-08-29,28.47,28.17,27.816,28.8632,,DOWN,0
2011-08-30,28.07,28.37,28.066,28.8246,,UP,1
2011-08-31,28.41,28.11,28.172,28.7858,,DOWN,0
2011-09-01,28.26,28.44,28.242,28.749,,DOWN,0
2011-09-02,27.89,27.95,28.22,28.7036,,DOWN,0
2011-09-06,27.81,27.27,28.088,28.659,,UP,1
2011-09-07,28.03,27.99,28.08,28.621,,DOWN,0
2011-09-08,27.8,27.89,27.958,28.5796,,DOWN,0
2011-09-09,27.68,27.5,27.842,28.5426,,UP,1
2011-09-12,27.88,27.37,27.84,28.5074,,UP,1
2011-09-13,28.02,28.0,27.882,28.4738,,UP,1
2011-09-14,28.42,28.05,27.96,28.4516,,UP,1
2011-09-15,28.85,28.28,28.17,28.4266,,UP,1
2011-09-16,29.1,28.86,28.454,28.4146,,DOWN,0
2011-09-19,28.22,28.76,28.522,28.383,,DOWN,0
2011-09-20,27.85,28.78,28.488,28.3404,,DOWN,0
2011-09-21,26.75,27.68,28.154,28.2754,,DOWN,0
2011-09-22,26.24,26.22,27.632,28.1972,,UP,1
2011-09-23,26.61,26.15,27.134,28.1312,,DOWN,0
2011-09-26,26.22,26.8,26.734,28.0632,,UP,1
2011-09-27,27.06,26.5,26.576,28.0142,,DOWN,0
2011-09-28,26.81,27.0,26.588,27.956,30.7082,DOWN,0
2011-09-29,26.24,27.06,26.588,27.8898,30.7244,UP,1
2011-09-30,26.26,25.92,26.518,27.8248,30.7194,DOWN,0
2011-10-03,25.78,26.15,26.43,27.7526,30.7116,UP,1
2011-10-04,27.3,25.63,26.478,27.7154,30.7077,UP,1
2011-10-05,27.75,27.2,26.666,27.6838,30.7038,UP,1
2011-10-06,28.03,27.7,27.024,27.6584,30.6952,DOWN,0
2011-10-07,27.8,28.0,27.332,27.6248,30.6888,UP,1
2011-10-10,28.01,28.27,27.778,27.5922,30.6748,DOWN,0
2011-10-11,28.0,27.77,27.918,27.5598,30.6599,UP,1
2011-10-12,28.22,28.03,28.012,27.5404,30.6457,DOWN,0
2011-10-13,28.11,28.02,28.028,27.5204,30.6312,DOWN,0
2011-10-14,28.08,28.13,28.084,27.514,30.6176,DOWN,0
2011-10-17,27.26,27.35,27.934,27.459,30.5993,UP,1
2011-10-18,27.72,27.37,27.878,27.474,30.5856,UP,1
2011-10-19,27.9,27.64,27.814,27.4548,30.5752,DOWN,0
2011-10-20,27.73,27.84,27.738,27.441,30.5618,UP,1
2011-10-21,27.75,28.0,27.672,27.447,30.5504,UP,1
2011-10-24,28.05,27.77,27.83,27.4688,30.5407,DOWN,0
2011-10-25,27.94,27.86,27.874,27.4874,30.5304,UP,1
2011-10-26,28.0,28.0,27.894,27.5216,30.5147,UP,1
2011-10-27,28.22,28.5,27.992,27.546,30.5011,DOWN,0
2011-10-28,28.19,28.11,28.08,27.5982,30.4911,DOWN,0
2011-10-31,27.96,27.93,28.062,27.6522,30.4796,DOWN,0
2011-11-01,27.3,27.15,27.934,27.6932,30.465,UP,1
2011-11-02,27.83,27.45,27.9,27.7134,30.4532,UP,1
2011-11-03,28.27,28.0,27.91,27.7212,30.4443,DOWN,0
2011-11-04,27.97,28.07,27.866,27.7224,30.4316,UP,1
2011-11-07,28.05,27.7,27.884,27.7234,30.414,DOWN,0
2011-11-08,27.85,28.24,27.994,27.711,30.398,DOWN,0
2011-11-09,26.91,27.17,27.81,27.6878,30.3761,UP,1
2011-11-10,28.43,28.5,27.842,27.6882,30.3672,UP,1
2011-11-11,29.55,28.75,28.158,27.714,30.3651,DOWN,0
2011-11-14,28.74,28.83,28.296,27.731,30.3588,UP,1
2011-11-15,28.97,28.47,28.52,27.7542,30.3534,DOWN,0
2011-11-16,28.81,28.58,28.9,27.7698,30.3475,DOWN,0
2011-11-17,28.16,28.62,28.846,27.777,30.3383,UP,1
2011-11-18,28.23,28.3,28.582,27.788,30.3295,DOWN,0
