ticker,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-06-02,14.597,14.639,14.7988,15.5005,14.7875,UP,1
2016-06-03,14.599,14.667,14.7171,15.4957,14.7736,UP,1
2016-06-06,14.712,14.533,14.6856,15.4863,14.7621,UP,1
2016-06-07,15.489,14.816,14.8071,15.489,14.7588,UP,1
2016-06-08,15.701,15.587,15.0199,15.4962,14.7604,DOWN,0
2016-06-09,15.291,15.665,15.1585,15.4995,14.7639,DOWN,0
2016-06-10,14.586,15.159,15.1559,15.4849,14.7635,DOWN,0
2016-06-13,14.525,14.633,15.1184,15.4586,14.7611,DOWN,0
2016-06-14,14.331,14.592,14.8867,15.4159,14.7518,UP,1
2016-06-15,14.513,14.463,14.6491,15.3655,14.7415,UP,1
2016-06-16,14.529,14.495,14.4967,15.3022,14.7312,DOWN,0
2016-06-17,14.365,14.521,14.4524,15.2465,14.7234,UP,1
2016-06-20,14.647,14.633,14.4768,15.2061,14.7141,DOWN,0
2016-06-21,14.641,14.712,14.5388,15.1656,14.7055,DOWN,0
2016-06-22,13.111,13.298,14.2583,15.0974,14.6904,DOWN,0
2016-06-23,13.093,13.046,13.9712,15.0199,14.6731,DOWN,0
2016-06-24,12.877,12.67,13.6736,14.9416,14.6545,UP,1
2016-06-27,13.237,12.724,13.3916,14.867,14.6379,UP,1
2016-06-28,13.453,13.459,13.154,14.7976,14.6217,UP,1
2016-06-29,14.013,13.675,13.3344,14.748,14.6074,UP,1
2016-06-30,14.152,14.198,13.5461,14.6977,14.5936,UP,1
2016-07-01,14.433,13.743,13.8575,14.6554,14.5784,DOWN,0
2016-07-05,14.265,13.982,14.0632,14.6023,14.5624,UP,1
2016-07-06,14.296,14.0,14.2319,14.5525,14.547,UP,1
2016-07-07,14.396,14.207,14.3085,14.5021,14.5309,UP,1
2016-07-08,14.452,14.52,14.3685,14.4558,14.5162,UP,1
2016-07-11,14.985,14.664,14.4789,14.4253,14.5041,DOWN,0
2016-07-12,14.977,14.94,14.6212,14.4038,14.4912,DOWN,0
2016-07-13,14.835,15.033,14.7291,14.3781,14.4798,DOWN,0
2016-07-14,14.769,14.875,14.8036,14.3637,14.4708,DOWN,0
2016-07-15,14.693,14.835,14.8519,14.3608,14.4621,UP,1
2016-07-18,15.083,14.643,14.8715,14.3805,14.4547,DOWN,0
2016-07-19,15.017,15.0,14.8796,14.3942,14.4498,UP,1
2016-07-20,15.224,15.098,14.9573,14.4201,14.4434,DOWN,0
2016-07-21,14.7,15.067,14.9436,14.4359,14.4349,UP,1
2016-07-22,14.818,14.799,14.9685,14.4536,14.4285,UP,1
2016-07-25,15.334,14.818,15.0187,14.4839,14.4278,DOWN,0
2016-07-26,15.301,15.179,15.0753,14.5131,14.4287,DOWN,0
2016-07-27,15.233,15.289,15.0771,14.5401,14.4313,UP,1
2016-07-28,15.374,15.197,15.2119,14.5747,14.4363,UP,1
2016-07-29,15.653,15.38,15.3788,14.6062,14.4415,DOWN,0
2016-08-01,15.334,15.7,15.3788,14.6259,14.4459,DOWN,0
2016-08-02,15.147,15.291,15.348,14.6351,14.4479,DOWN,0
2016-08-03,15.053,15.158,15.312,14.6479,14.4475,UP,1
2016-08-04,15.374,15.046,15.312,14.6648,14.4483,DOWN,0
2016-08-05,15.335,15.333,15.2485,14.6788,14.454,DOWN,0
2016-08-08,15.077,15.2,15.1972,14.6801,14.4593,UP,1
2016-08-09,15.272,15.121,15.2223,14.6882,14.4651,DOWN,0
2016-08-10,15.043,15.216,15.2204,14.6914,14.4706,DOWN,0
2016-08-11,14.994,15.078,15.1444,14.6986,14.4738,UP,1
2016-08-12,15.041,15.027,15.0855,14.7074,14.4789,DOWN,0
2016-08-15,15.039,15.068,15.0779,14.7162,14.4831,DOWN,0
2016-08-16,14.907,15.033,15.0049,14.7201,14.4871,DOWN,0
2016-08-17,14.883,14.955,14.9728,14.708,14.4926,UP,1
2016-08-18,14.901,14.921,14.9541,14.692,14.4958,UP,1
2016-08-19,15.0,14.903,14.946,14.6862,14.5014,DOWN,0
2016-08-22,14.862,14.945,14.9105,14.6917,14.4985,UP,1
2016-08-23,14.989,14.955,14.9269,14.701,14.4962,DOWN,0
2016-08-24,14.841,15.137,14.9187,14.7112,14.4929,DOWN,0
