ticker,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-06-15,46.825,45.4,44.695,44.9087,35.6134,DOWN,0
2006-06-16,46.505,46.82,44.949,45.023,35.7047,UP,1
2006-06-19,47.18,47.35,45.425,45.1422,35.7958,DOWN,0
2006-06-20,46.61,47.18,46.391,45.2517,35.882,UP,1
2006-06-21,48.435,46.905,47.111,45.3975,35.9756,UP,1
2006-06-22,49.475,49.44,47.641,45.5607,36.0731,DOWN,0
2006-06-23,49.17,49.655,48.174,45.7015,36.1691,UP,1
2006-06-26,49.455,49.925,48.629,45.8206,36.2646,DOWN,0
2006-06-27,48.53,49.7,49.013,45.9316,36.3514,UP,1
2006-06-28,51.15,49.155,49.556,46.0751,36.449,UP,1
2006-06-29,53.775,51.5,50.416,46.2706,36.5563,DOWN,0
2006-06-30,52.72,54.495,51.126,46.4494,36.6599,UP,1
2006-07-03,53.23,53.15,51.881,46.6539,36.7641,DOWN,0
2006-07-05,52.125,53.0,52.6,46.836,36.8574,UP,1
2006-07-06,53.26,52.46,53.022,47.0303,36.9553,DOWN,0
2006-07-07,49.5,52.365,52.167,47.1486,37.0374,DOWN,0
2006-07-10,48.9,50.295,51.403,47.2442,37.1246,UP,1
2006-07-11,51.26,48.725,51.009,47.4058,37.2269,DOWN,0
2006-07-12,49.205,50.925,50.425,47.5157,37.3173,DOWN,0
2006-07-13,48.895,48.195,49.552,47.6144,37.4077,DOWN,0
2006-07-14,48.635,48.585,49.379,47.6228,37.4942,UP,1
2006-07-17,49.63,48.5,49.525,47.6543,37.5869,UP,1
2006-07-18,50.595,49.985,49.392,47.7181,37.6731,DOWN,0
2006-07-19,50.535,50.68,49.658,47.7698,37.7562,DOWN,0
2006-07-20,48.605,50.74,49.6,47.7652,37.8232,DOWN,0
