ticker,MET US Equity,MET US Equity,MET US Equity,MET US Equity,MET US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-09-18,21.61,22.0556,22.089,20.2277,,UP,1
2000-09-19,21.9964,21.7214,22.0995,20.2855,,DOWN,0
2000-09-20,21.61,22.1113,21.8767,20.3468,,DOWN,0
2000-09-21,21.4429,21.5543,21.7096,20.4114,,UP,1
2000-09-22,22.0556,21.2758,21.743,20.4994,,DOWN,0
2000-09-25,21.8885,22.6682,21.7987,20.5651,,UP,1
2000-09-26,22.5569,22.167,21.9108,20.6542,,UP,1
2000-09-27,23.5037,22.7796,22.2895,20.7611,,UP,1
2000-09-28,24.2277,23.6151,22.8465,20.8815,,DOWN,0
2000-09-29,23.3923,24.0606,23.1138,20.9828,,UP,1
2000-10-02,23.5037,22.7239,23.4369,21.0831,,DOWN,0
2000-10-03,22.7239,23.5037,23.4703,21.1722,,DOWN,0
2000-10-04,22.167,22.8353,23.2029,21.2412,,UP,1
2000-10-05,23.3366,21.9999,23.0247,21.337,,DOWN,0
2000-10-06,23.3366,23.7822,23.0136,21.4395,,DOWN,0
2000-10-09,23.1695,23.2809,22.9467,21.5409,,DOWN,0
2000-10-10,22.8353,23.0581,22.969,21.6233,,DOWN,0
2000-10-11,22.5012,22.7796,23.0358,21.6968,,DOWN,0
2000-10-12,21.5543,22.7239,22.6794,21.7559,,UP,1
2000-10-13,22.2784,21.7214,22.4677,21.8428,,UP,1
2000-10-16,22.6126,22.6126,22.3563,21.933,,UP,1
2000-10-17,22.9467,22.7239,22.3786,21.9931,,DOWN,0
2000-10-18,22.9467,22.7239,22.4677,22.0366,,DOWN,0
2000-10-19,22.167,22.8353,22.5903,22.0745,,DOWN,0
2000-10-20,21.4986,22.0556,22.4343,22.0945,,DOWN,0
2000-10-23,21.1645,21.3872,22.1447,22.0901,,UP,1
2000-10-24,21.8328,21.0531,21.9219,22.1168,,UP,1
2000-10-25,22.0556,21.7771,21.7437,22.1335,,DOWN,0
2000-10-26,21.61,22.2784,21.6323,22.1469,,UP,1
2000-10-27,22.1113,21.8328,21.7548,22.1625,,UP,1
2000-10-30,23.7265,22.2784,22.2672,22.2104,,UP,1
2000-10-31,24.6176,24.0606,22.8242,22.2839,,UP,1
2000-11-01,25.3973,24.4505,23.4925,22.3641,,DOWN,0
2000-11-02,24.6176,25.0632,24.0941,22.412,,DOWN,0
2000-11-03,23.5037,24.5062,24.3725,22.4498,,DOWN,0
2000-11-06,23.2252,23.0581,24.2723,22.4933,,UP,1
2000-11-07,24.172,23.2252,24.1832,22.5579,,UP,1
2000-11-08,24.8404,24.2834,24.0718,22.627,,UP,1
2000-11-09,26.4556,24.9518,24.4394,22.7138,,UP,1
2000-11-10,26.6227,26.2885,25.0632,22.813,,DOWN,0
2000-11-13,25.3973,26.3999,25.4976,22.8776,,DOWN,0
2000-11-14,25.1189,25.5087,25.687,22.9478,,UP,1
2000-11-15,26.6227,24.9518,26.0434,23.0436,,UP,1
