ticker,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-06-25,9.9633,9.9333,10.0867,10.7453,10.9573,DOWN,0
2007-06-26,9.8667,9.9433,10.0127,10.7329,10.9586,DOWN,0
2007-06-27,9.8233,9.8067,9.94,10.7198,10.9591,UP,1
2007-06-28,9.8967,9.8567,9.9027,10.7093,10.9615,UP,1
2007-06-29,9.9033,9.9,9.8907,10.6994,10.9634,DOWN,0
2007-07-02,9.8333,9.9033,9.8647,10.6818,10.9635,UP,1
2007-07-03,9.8867,9.85,9.8687,10.6592,10.9647,UP,1
2007-07-05,10.12,9.87,9.928,10.6407,10.9664,UP,1
2007-07-06,10.38,10.1067,10.0247,10.6241,10.9669,UP,1
2007-07-09,10.62,10.41,10.168,10.6143,10.9675,UP,1
2007-07-10,10.6867,10.5533,10.3387,10.609,10.9691,DOWN,0
2007-07-11,10.6467,10.7167,10.4907,10.6049,10.971,UP,1
2007-07-12,10.6533,10.63,10.5973,10.5956,10.9722,DOWN,0
2007-07-13,10.5,10.6667,10.6213,10.5833,10.9736,UP,1
2007-07-16,10.6767,10.4633,10.6327,10.5787,10.9747,UP,1
2007-07-17,10.79,10.6433,10.6533,10.576,10.9775,DOWN,0
2007-07-18,10.7567,10.7333,10.6753,10.5746,10.9804,UP,1
2007-07-19,11.2967,11.0333,10.804,10.5871,10.9865,DOWN,0
2007-07-20,11.2667,11.2367,10.9573,10.5986,10.994,DOWN,0
2007-07-23,11.1667,11.17,11.0553,10.6117,11.0006,DOWN,0
2007-07-24,10.78,11.1033,11.0533,10.6172,11.0033,UP,1
2007-07-25,10.9133,10.9133,11.0847,10.6235,11.005,DOWN,0
2007-07-26,10.3767,10.5833,10.9007,10.6229,11.0038,UP,1
2007-07-27,10.3933,10.3333,10.726,10.6209,11.0016,DOWN,0
2007-07-30,10.3,10.3733,10.5527,10.6169,10.9972,DOWN,0
2007-07-31,10.2567,10.54,10.448,10.613,10.9931,DOWN,0
2007-08-01,10.2067,10.1833,10.3067,10.6023,10.9863,UP,1
2007-08-02,10.38,10.3333,10.3073,10.5885,10.9799,DOWN,0
2007-08-03,10.21,10.3633,10.2707,10.5714,10.9734,UP,1
2007-08-06,10.27,10.26,10.2647,10.5503,10.9664,UP,1
2007-08-07,10.4667,10.23,10.3067,10.5407,10.9604,UP,1
2007-08-08,10.4933,10.6233,10.364,10.5359,10.9525,UP,1
2007-08-09,10.8533,10.55,10.4587,10.5271,10.9463,DOWN,0
2007-08-10,10.61,10.84,10.5387,10.5175,10.9379,UP,1
2007-08-13,10.98,10.85,10.6807,10.5157,10.9303,DOWN,0
2007-08-14,10.84,11.08,10.7553,10.5059,10.9228,DOWN,0
2007-08-15,10.3233,10.84,10.7213,10.4874,10.9123,DOWN,0
2007-08-16,9.8833,10.1733,10.5273,10.4651,10.9005,UP,1
2007-08-17,10.5833,10.1667,10.522,10.4593,10.893,DOWN,0
2007-08-20,10.5067,11.0167,10.4273,10.4514,10.886,DOWN,0
2007-08-21,10.3433,10.57,10.328,10.4419,10.8789,UP,1
2007-08-22,10.4733,10.3133,10.358,10.4361,10.872,DOWN,0
2007-08-23,10.2167,10.57,10.4247,10.4273,10.8633,UP,1
2007-08-24,10.47,10.22,10.402,10.4241,10.8542,UP,1
2007-08-27,10.67,10.4733,10.4347,10.4267,10.8469,DOWN,0
2007-08-28,10.6267,10.6067,10.4913,10.4326,10.8395,UP,1
2007-08-29,10.7867,10.6167,10.554,10.4436,10.8334,DOWN,0
2007-08-30,10.67,10.6767,10.6447,10.4533,10.8238,UP,1
2007-08-31,10.8867,10.7033,10.728,10.4693,10.8156,UP,1
2007-09-04,10.9933,10.9,10.7927,10.4899,10.806,UP,1
2007-09-05,11.07,10.8867,10.8813,10.5121,10.7988,DOWN,0
2007-09-06,10.96,11.01,10.916,10.5339,10.7928,DOWN,0
2007-09-07,10.8667,10.81,10.9553,10.5548,10.7862,UP,1
2007-09-10,11.0333,10.9433,10.9847,10.5775,10.7785,UP,1
2007-09-11,11.1833,11.1167,11.0227,10.6031,10.7706,UP,1
2007-09-12,11.4767,11.2833,11.104,10.636,10.7599,UP,1
2007-09-13,11.6533,11.4767,11.2427,10.6713,10.7505,DOWN,0
2007-09-14,11.6367,11.5667,11.3967,10.7017,10.742,DOWN,0
