ticker,HD US Equity,HD US Equity,HD US Equity,HD US Equity,HD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-05-05,53.313,51.813,53.6538,54.55,59.6838,UP,1
2000-05-08,53.563,53.125,53.7062,54.0375,59.695,DOWN,0
2000-05-09,52.5,53.563,53.756,53.175,59.6088,UP,1
2000-05-10,54.0,52.5,53.8179,53.175,59.5388,DOWN,0
2000-05-11,53.875,54.5,53.8702,53.45,59.5038,UP,1
2000-05-12,54.0,53.75,53.9262,53.5875,59.4813,UP,1
2000-05-15,56.5,53.5,53.996,54.175,59.5213,DOWN,0
2000-05-16,53.438,56.5,54.0553,54.3625,59.5125,DOWN,0
2000-05-17,52.25,52.75,54.1144,54.0125,59.51,DOWN,0
2000-05-18,51.5,51.875,54.1757,53.5375,59.49,UP,1
2000-05-19,51.563,51.188,54.2416,53.05,59.415,DOWN,0
2000-05-22,50.375,51.688,54.3025,51.825,59.3525,DOWN,0
2000-05-23,49.75,50.625,54.3648,51.0875,59.2875,DOWN,0
2000-05-24,46.75,48.0,54.4098,49.9875,59.1763,DOWN,0
2000-05-25,46.5,48.0,54.4498,48.9875,58.9663,UP,1
2000-05-26,46.875,48.5,54.4862,48.05,58.6738,UP,1
2000-05-30,47.25,47.5,54.5112,47.425,58.355,UP,1
2000-05-31,49.0,46.75,54.5429,47.275,58.0625,UP,1
2000-06-01,49.875,49.0,54.5821,47.9,57.79,UP,1
2000-06-02,53.625,52.75,54.6414,49.325,57.6013,DOWN,0
2000-06-05,52.375,53.5,54.6983,50.425,57.3663,DOWN,0
2000-06-06,50.375,52.063,54.7408,51.05,57.0863,UP,1
2000-06-07,50.563,51.25,54.7794,51.3625,56.81,DOWN,0
2000-06-08,49.875,51.438,54.8161,51.3625,56.5275,DOWN,0
2000-06-09,48.188,50.375,54.8381,50.275,56.1213,DOWN,0
2000-06-12,46.0,47.563,54.8581,49.0,55.7013,UP,1
2000-06-13,49.375,46.125,54.8916,48.8,55.3988,UP,1
2000-06-14,51.0,49.75,54.9404,48.8875,55.0588,DOWN,0
2000-06-15,50.875,50.938,54.9898,49.0875,54.7838,DOWN,0
2000-06-16,49.813,50.875,55.0347,49.4125,54.5,UP,1
2000-06-19,50.0,49.375,55.0813,50.2125,54.1813,DOWN,0
2000-06-20,48.875,49.125,55.1138,50.1125,53.8763,DOWN,0
2000-06-21,48.563,48.875,55.1452,49.625,53.5138,DOWN,0
2000-06-22,47.875,47.625,55.1691,49.025,53.1238,UP,1
2000-06-23,48.0,48.063,55.1885,48.6625,52.7638,DOWN,0
2000-06-26,47.125,47.625,55.1983,48.0875,52.4563,UP,1
2000-06-27,49.563,47.625,55.2182,48.225,52.2425,DOWN,0
2000-06-28,48.125,49.813,55.2322,48.1375,52.06,DOWN,0
2000-06-29,47.875,48.125,55.2515,48.1375,51.8425,UP,1
2000-06-30,49.938,48.063,55.2812,48.525,51.6663,DOWN,0
2000-07-03,49.688,49.688,55.3057,49.0375,51.4875,UP,1
2000-07-05,50.25,49.938,55.3336,49.175,51.3013,UP,1
2000-07-06,51.25,50.375,55.3709,49.8,51.1463,UP,1
2000-07-07,55.5,53.0,55.4272,51.325,51.0463,UP,1
