ticker,FTNT US Equity,FTNT US Equity,FTNT US Equity,FTNT US Equity,FTNT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-01-31,3.845,3.641,3.7354,3.3726,2.3759,UP,1
2011-02-01,3.946,3.852,3.8462,3.3864,2.3875,DOWN,0
2011-02-02,3.901,3.926,3.8334,3.4005,2.3987,DOWN,0
2011-02-03,3.888,3.9,3.855,3.415,2.4099,UP,1
2011-02-04,4.087,3.9,3.9334,3.4338,2.4222,DOWN,0
2011-02-07,3.976,4.088,3.9596,3.4496,2.4337,UP,1
2011-02-08,4.047,3.962,3.9798,3.4671,2.4458,DOWN,0
2011-02-09,4.017,4.099,4.003,3.4844,2.4577,UP,1
2011-02-10,4.066,3.971,4.0386,3.502,2.4696,DOWN,0
2011-02-11,4.063,4.033,4.0338,3.5189,2.4811,UP,1
2011-02-14,4.1,4.063,4.0586,3.536,2.4927,DOWN,0
2011-02-15,4.046,4.073,4.0584,3.5504,2.5036,UP,1
2011-02-16,4.126,4.053,4.0802,3.5671,2.5153,UP,1
2011-02-17,4.131,4.057,4.0932,3.5843,2.5271,UP,1
2011-02-18,4.17,4.148,4.1146,3.6023,2.5393,DOWN,0
2011-02-22,3.961,4.111,4.0868,3.6146,2.5509,UP,1
2011-02-23,3.988,3.95,4.0752,3.6277,2.5624,UP,1
2011-02-24,4.078,4.045,4.0656,3.6455,2.5744,UP,1
2011-02-25,4.15,4.078,4.0694,3.6663,2.5866,DOWN,0
2011-02-28,4.084,4.196,4.0522,3.6852,2.5986,DOWN,0
2011-03-01,3.967,4.1,4.0534,3.7009,2.6104,UP,1
2011-03-02,4.037,3.96,4.0632,3.7175,2.6222,UP,1
2011-03-03,4.223,4.072,4.0922,3.7379,2.635,UP,1
2011-03-04,4.325,4.24,4.1272,3.7604,2.6484,DOWN,0
2011-03-07,4.311,4.337,4.1726,3.7833,2.6618,UP,1
2011-03-08,4.328,4.39,4.2448,3.8072,2.6754,DOWN,0
2011-03-09,4.321,4.325,4.3016,3.8286,2.6889,DOWN,0
2011-03-10,4.215,4.299,4.3,3.8496,2.7022,UP,1
2011-03-11,4.3,4.199,4.295,3.8712,2.7156,UP,1
2011-03-14,4.362,4.281,4.3052,3.8941,2.7293,DOWN,0
2011-03-15,4.224,4.142,4.2844,3.9139,2.7422,DOWN,0
2011-03-16,4.103,4.224,4.2408,3.9297,2.7549,UP,1
2011-03-17,4.145,4.154,4.2268,3.9427,2.7676,UP,1
2011-03-18,4.23,4.191,4.2128,3.9543,2.7809,UP,1
2011-03-21,4.378,4.276,4.216,3.9691,2.7952,DOWN,0
2011-03-22,4.23,4.394,4.2172,3.9832,2.8088,DOWN,0
2011-03-23,4.102,4.206,4.217,3.9932,2.8218,UP,1
2011-03-24,4.171,4.128,4.2222,4.0045,2.8351,UP,1
2011-03-25,4.305,4.203,4.2372,4.0175,2.8489,DOWN,0
2011-03-28,4.231,4.3,4.2078,4.0285,2.8622,UP,1
2011-03-29,4.34,4.229,4.2298,4.0406,2.8758,DOWN,0
2011-03-30,4.3,4.337,4.2694,4.0532,2.8891,UP,1
2011-03-31,4.415,4.315,4.3182,4.0704,2.903,DOWN,0
2011-04-01,4.078,4.453,4.2728,4.082,2.9151,UP,1
2011-04-04,4.349,4.179,4.2964,4.0988,2.9283,UP,1
2011-04-05,4.449,4.332,4.3182,4.1188,2.942,DOWN,0
2011-04-06,4.2,4.458,4.2982,4.135,2.9545,DOWN,0
2011-04-07,3.981,4.175,4.2114,4.1353,2.9661,DOWN,0
2011-04-08,3.956,4.007,4.187,4.1388,2.9773,DOWN,0
2011-04-11,3.906,3.973,4.0984,4.143,2.9881,DOWN,0
2011-04-12,3.788,3.87,3.9662,4.1419,2.9983,UP,1
2011-04-13,4.029,3.852,3.932,4.1436,3.0099,DOWN,0
2011-04-14,4.016,3.99,3.939,4.1459,3.0217,UP,1
2011-04-15,4.06,3.994,3.9598,4.1493,3.0339,DOWN,0
2011-04-18,3.923,3.996,3.9632,4.146,3.0454,DOWN,0
2011-04-19,3.877,3.93,3.981,4.144,3.0567,UP,1
2011-04-20,4.03,3.907,3.9812,4.1437,3.0685,UP,1
2011-04-21,4.042,4.068,3.9864,4.1442,3.0802,UP,1
2011-04-25,4.086,4.014,3.9916,4.1446,3.0921,UP,1
2011-04-26,4.115,4.097,4.03,4.1456,3.1044,UP,1
2011-04-27,4.173,4.103,4.0892,4.1471,3.1168,UP,1
2011-04-28,4.777,4.491,4.2386,4.1617,3.1323,UP,1
2011-04-29,4.87,4.777,4.4042,4.1766,3.1483,DOWN,0
2011-05-02,4.625,4.871,4.512,4.1865,3.1633,DOWN,0
2011-05-03,4.523,4.637,4.5936,4.1935,3.1778,DOWN,0
2011-05-04,4.417,4.501,4.6424,4.2027,3.1919,UP,1
2011-05-05,4.619,4.35,4.6108,4.2153,3.207,UP,1
2011-05-06,4.651,4.66,4.567,4.2267,3.2216,UP,1
2011-05-09,4.744,4.654,4.5908,4.2386,3.2364,DOWN,0
2011-05-10,4.721,4.772,4.6304,4.2514,3.2509,DOWN,0
2011-05-11,4.607,4.732,4.6684,4.2642,3.265,UP,1
2011-05-12,4.701,4.558,4.6848,4.2774,3.2796,DOWN,0
2011-05-13,4.696,4.724,4.6938,4.2869,3.2942,DOWN,0
2011-05-16,4.68,4.664,4.681,4.294,3.3086,DOWN,0
2011-05-17,4.665,4.65,4.6698,4.3011,3.3229,UP,1
2011-05-18,4.731,4.685,4.6946,4.3091,3.3374,UP,1
2011-05-19,4.8635,4.772,4.7271,4.32,3.3525,DOWN,0
2011-05-20,4.853,4.86,4.7585,4.3327,3.3678,DOWN,0
2011-05-23,4.684,4.759,4.7593,4.3404,3.3821,DOWN,0
2011-05-24,4.648,4.698,4.7559,4.3461,3.3963,UP,1
2011-05-25,4.792,4.629,4.7681,4.3575,3.4113,DOWN,0
2011-05-26,4.731,4.769,4.7416,4.3701,3.4264,UP,1
2011-05-27,4.786,4.76,4.7282,4.3829,3.4416,UP,1
2011-05-31,4.849,4.849,4.7612,4.3953,3.4571,UP,1
2011-06-01,4.97,4.857,4.8256,4.4071,3.4731,DOWN,0
2011-06-02,4.702,5.032,4.8076,4.4165,3.4876,DOWN,0
2011-06-03,4.688,4.66,4.799,4.4283,3.5019,UP,1
2011-06-06,4.74,4.662,4.7898,4.4396,3.5167,UP,1
