ticker,MCHP US Equity,MCHP US Equity,MCHP US Equity,MCHP US Equity,MCHP US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2004-05-21,15.085,15.05,14.6561,14.757,14.0708,DOWN,0
2004-05-24,14.975,15.265,14.6686,14.906,14.0946,UP,1
2004-05-25,15.395,14.975,14.6864,15.069,14.137,UP,1
2004-05-26,15.585,15.625,14.7035,15.171,14.1891,UP,1
2004-05-27,15.895,15.68,14.7215,15.387,14.2479,DOWN,0
2004-05-28,15.825,15.745,14.7381,15.535,14.2954,UP,1
2004-06-01,15.835,15.66,14.7542,15.707,14.3483,DOWN,0
2004-06-02,15.06,15.76,14.7659,15.64,14.3916,DOWN,0
2004-06-03,14.675,14.97,14.7721,15.458,14.4322,UP,1
2004-06-04,14.915,14.98,14.7805,15.262,14.4689,UP,1
2004-06-07,15.43,15.0,14.7917,15.183,14.5087,UP,1
2004-06-08,15.495,15.29,14.8004,15.115,14.5537,DOWN,0
2004-06-09,15.025,15.2,14.8074,15.108,14.5871,UP,1
2004-06-10,15.33,15.1,14.8167,15.239,14.6293,DOWN,0
2004-06-14,14.84,15.075,14.8238,15.224,14.6619,UP,1
2004-06-15,15.195,15.05,14.8312,15.177,14.6953,DOWN,0
2004-06-16,15.12,15.155,14.8377,15.102,14.719,DOWN,0
2004-06-17,14.665,14.985,14.841,15.03,14.7263,UP,1
2004-06-18,14.805,14.645,14.8445,14.925,14.7412,DOWN,0
2004-06-21,14.75,14.75,14.8509,14.907,14.7566,UP,1
2004-06-22,15.31,14.745,14.859,14.93,14.7864,UP,1
2004-06-23,15.47,15.355,14.8688,15.0,14.8209,DOWN,0
2004-06-24,15.25,15.5,14.8747,15.117,14.8573,UP,1
2004-06-25,15.35,15.245,14.8816,15.226,14.8941,UP,1
2004-06-28,15.53,15.545,14.8934,15.382,14.9347,UP,1
2004-06-29,15.675,15.54,14.9055,15.455,14.9802,UP,1
2004-06-30,15.77,15.65,14.9171,15.515,15.0194,DOWN,0
2004-07-01,15.305,15.745,14.9266,15.526,15.0574,DOWN,0
2004-07-02,15.0,15.37,14.9314,15.456,15.0799,DOWN,0
2004-07-06,14.32,14.94,14.9351,15.214,15.083,UP,1
2004-07-07,14.495,14.385,14.9398,14.978,15.0466,DOWN,0
2004-07-08,14.01,14.175,14.9423,14.626,15.0142,UP,1
2004-07-09,14.145,14.15,14.9481,14.394,14.9927,DOWN,0
2004-07-12,13.145,13.825,14.9482,14.023,14.9609,UP,1
2004-07-13,13.23,13.285,14.9512,13.805,14.9365,DOWN,0
2004-07-14,12.855,12.84,14.9535,13.477,14.9132,UP,1
2004-07-15,13.15,13.07,14.9581,13.305,14.8975,DOWN,0
2004-07-16,12.84,13.255,14.9603,13.044,14.8648,UP,1
2004-07-19,13.385,12.945,14.9673,13.092,14.8295,UP,1
2004-07-20,13.87,13.465,14.9753,13.22,14.8025,DOWN,0
2004-07-21,13.125,14.125,14.9788,13.274,14.7583,UP,1
2004-07-22,14.115,13.105,14.9853,13.467,14.7388,DOWN,0
2004-07-23,13.65,14.0,14.9893,13.629,14.7081,DOWN,0
2004-07-26,13.395,13.645,14.9904,13.631,14.6786,UP,1
2004-07-27,13.755,13.5,14.9942,13.608,14.6616,DOWN,0
2004-07-28,13.685,13.645,14.9972,13.72,14.6486,UP,1
2004-07-29,14.415,13.845,15.0022,13.78,14.6523,UP,1
2004-07-30,14.485,14.35,15.0062,13.947,14.6504,UP,1
2004-08-02,14.595,14.315,15.01,14.187,14.6408,DOWN,0
2004-08-03,14.125,14.385,15.0131,14.261,14.627,DOWN,0
2004-08-04,14.12,14.15,15.0158,14.348,14.6077,DOWN,0
2004-08-05,14.01,14.085,15.0183,14.267,14.5884,DOWN,0
2004-08-06,13.39,13.9,15.0177,14.048,14.5483,UP,1
2004-08-09,13.615,13.35,15.0151,13.852,14.5089,DOWN,0
2004-08-10,13.495,13.575,15.0137,13.726,14.4609,DOWN,0
2004-08-11,13.1,13.015,15.0103,13.522,14.4064,DOWN,0
2004-08-12,12.91,12.88,15.0064,13.302,14.3479,UP,1
2004-08-13,13.185,12.915,15.0018,13.261,14.3104,UP,1
2004-08-16,13.46,13.18,14.9898,13.23,14.2861,UP,1
2004-08-17,13.685,13.555,14.9766,13.268,14.2615,UP,1
2004-08-18,13.915,13.535,14.9653,13.431,14.2312,DOWN,0
2004-08-19,13.755,13.93,14.9521,13.6,14.1964,UP,1
2004-08-20,13.975,13.755,14.9375,13.758,14.1754,DOWN,0
2004-08-23,13.975,13.975,14.9228,13.861,14.1483,DOWN,0
2004-08-24,13.725,14.04,14.9062,13.869,14.126,DOWN,0
2004-08-25,13.445,13.525,14.8865,13.775,14.091,DOWN,0
2004-08-26,13.33,13.465,14.8671,13.69,14.0552,UP,1
2004-08-27,13.38,13.46,14.8514,13.571,14.0295,DOWN,0
2004-08-30,13.11,13.33,14.8345,13.398,13.9956,UP,1
2004-08-31,13.195,13.15,14.8134,13.292,13.9645,UP,1
2004-09-01,13.42,13.075,14.7953,13.287,13.9267,UP,1
2004-09-02,13.68,13.39,14.782,13.357,13.8909,DOWN,0
2004-09-03,12.63,13.035,14.7636,13.207,13.8385,UP,1
2004-09-07,12.775,12.805,14.7476,13.14,13.787,UP,1
2004-09-08,12.995,12.69,14.7306,13.1,13.7363,UP,1
2004-09-09,13.55,13.3,14.7171,13.126,13.6938,UP,1
2004-09-10,13.795,13.505,14.705,13.149,13.6543,UP,1
2004-09-13,14.075,13.65,14.6914,13.438,13.6297,UP,1
2004-09-14,14.2,13.985,14.6766,13.723,13.6137,DOWN,0
2004-09-15,13.695,14.045,14.6594,13.863,13.6012,DOWN,0
2004-09-16,13.55,13.7,14.6409,13.863,13.5823,UP,1
2004-09-17,13.675,13.625,14.6216,13.839,13.5756,UP,1
2004-09-20,14.11,13.67,14.6021,13.846,13.5749,UP,1
2004-09-21,14.36,14.285,14.5847,13.878,13.5992,DOWN,0
2004-09-22,13.8,14.2,14.5675,13.899,13.6106,UP,1
2004-09-23,13.955,13.81,14.5562,13.98,13.6326,DOWN,0
2004-09-24,13.655,13.925,14.5439,13.976,13.6427,DOWN,0
2004-09-27,13.33,13.115,14.5335,13.82,13.6525,DOWN,0
2004-09-28,13.055,13.315,14.5195,13.559,13.6459,UP,1
