ticker,ROL US Equity,ROL US Equity,ROL US Equity,ROL US Equity,ROL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2011-12-29,6.6459,6.5274,5.9652,6.5979,6.3639,DOWN,0
2011-12-30,6.5837,6.6252,5.9703,6.5956,6.3751,UP,1
2012-01-03,6.6074,6.7141,5.9752,6.5944,6.387,DOWN,0
2012-01-04,6.5452,6.5511,5.9791,6.5748,6.3946,DOWN,0
2012-01-05,6.5363,6.5037,5.9829,6.5837,6.3996,DOWN,0
2012-01-06,6.5037,6.5215,5.9863,6.5553,6.4082,DOWN,0
2012-01-09,6.4681,6.5304,5.9895,6.5321,6.4099,UP,1
2012-01-10,6.5185,6.5511,5.9928,6.5144,6.4015,DOWN,0
2012-01-11,6.5126,6.4859,5.9963,6.5079,6.3989,UP,1
2012-01-12,6.5244,6.5126,5.9996,6.5055,6.4003,DOWN,0
2012-01-13,6.5156,6.4385,6.0024,6.5079,6.4076,UP,1
2012-01-17,6.5541,6.5807,6.0051,6.525,6.4116,UP,1
2012-01-18,6.6015,6.5363,6.0076,6.5416,6.4111,UP,1
2012-01-19,6.637,6.6044,6.0101,6.5665,6.414,UP,1
2012-01-20,6.6963,6.6193,6.0127,6.6009,6.4181,DOWN,0
2012-01-23,6.6489,6.6756,6.0148,6.6276,6.4189,UP,1
2012-01-24,6.7378,6.6044,6.0179,6.6643,6.429,UP,1
2012-01-25,6.7585,6.7644,6.0216,6.6957,6.4383,DOWN,0
2012-01-26,6.4415,6.7793,6.0241,6.6566,6.4392,UP,1
2012-01-27,6.4474,6.397,6.027,6.6068,6.4431,DOWN,0
2012-01-30,6.3585,6.3733,6.0295,6.5487,6.4431,DOWN,0
2012-01-31,6.3378,6.3852,6.0316,6.4687,6.4452,UP,1
2012-02-01,6.4504,6.3822,6.0341,6.4071,6.4499,DOWN,0
2012-02-02,6.3733,6.48,6.0369,6.3935,6.4526,UP,1
2012-02-03,6.563,6.5096,6.0408,6.4166,6.4636,DOWN,0
2012-02-06,6.4593,6.5126,6.0435,6.4367,6.4734,DOWN,0
2012-02-07,6.4,6.4533,6.0458,6.4492,6.4849,DOWN,0
2012-02-08,6.3289,6.4178,6.0478,6.4249,6.4961,DOWN,0
2012-02-09,6.3111,6.3437,6.0486,6.4124,6.5002,DOWN,0
2012-02-10,6.1778,6.237,6.0487,6.3354,6.502,UP,1
2012-02-13,6.3289,6.2578,6.0496,6.3093,6.497,DOWN,0
2012-02-14,6.2341,6.2904,6.0497,6.2761,6.4918,DOWN,0
2012-02-15,6.1363,6.2637,6.0498,6.2376,6.4835,UP,1
2012-02-16,6.1867,6.1541,6.0504,6.2127,6.4754,DOWN,0
2012-02-17,6.1333,6.2222,6.0512,6.2039,6.4665,DOWN,0
2012-02-21,6.0,6.157,6.0516,6.1381,6.4574,UP,1
2012-02-22,6.0919,6.0385,6.0523,6.1096,6.4538,UP,1
2012-02-23,6.2548,6.1067,6.0536,6.1333,6.4498,DOWN,0
2012-02-24,6.2133,6.2489,6.0541,6.1387,6.4441,DOWN,0
2012-02-27,6.163,6.1422,6.0551,6.1446,6.4396,DOWN,0
2012-02-28,6.083,6.157,6.055,6.1612,6.4339,DOWN,0
2012-02-29,6.003,6.1067,6.0548,6.1434,6.4246,DOWN,0
2012-03-01,5.9556,6.0267,6.055,6.0836,6.4164,DOWN,0
2012-03-02,5.7659,5.9407,6.0546,5.9941,6.4059,UP,1
2012-03-05,5.9022,5.763,6.0545,5.9419,6.393,UP,1
2012-03-06,5.9704,5.8104,6.0545,5.9194,6.3802,UP,1
2012-03-07,5.9911,5.9793,6.0549,5.917,6.3681,UP,1
2012-03-08,6.0919,6.0533,6.0565,5.9443,6.3577,UP,1
2012-03-09,6.2133,6.08,6.0589,6.0338,6.3491,UP,1
2012-03-12,6.2281,6.2222,6.0611,6.099,6.3438,UP,1
2012-03-13,6.317,6.2696,6.0636,6.1683,6.3372,DOWN,0
2012-03-14,6.1719,6.2933,6.0653,6.2044,6.329,UP,1
2012-03-15,6.237,6.1659,6.0667,6.2335,6.3216,DOWN,0
2012-03-16,6.1985,6.2489,6.0688,6.2305,6.3147,UP,1
2012-03-19,6.2281,6.1452,6.0711,6.2305,6.3085,DOWN,0
2012-03-20,6.1719,6.1719,6.0735,6.2015,6.3019,UP,1
2012-03-21,6.1837,6.2044,6.0762,6.2039,6.2962,DOWN,0
2012-03-22,6.1244,6.1067,6.0784,6.1813,6.2883,UP,1
2012-03-23,6.2044,6.1274,6.0811,6.1825,6.2821,UP,1
2012-03-26,6.3319,6.2726,6.0844,6.2033,6.2783,DOWN,0
2012-03-27,6.2815,6.317,6.0876,6.2252,6.2736,DOWN,0
2012-03-28,6.2667,6.2726,6.0908,6.2418,6.2679,UP,1
2012-03-29,6.2815,6.2489,6.0937,6.2732,6.2615,UP,1
2012-03-30,6.3052,6.3407,6.0971,6.2933,6.2548,DOWN,0
2012-04-02,6.2607,6.2963,6.1002,6.2791,6.2461,DOWN,0
2012-04-03,6.2133,6.237,6.1027,6.2655,6.2374,DOWN,0
2012-04-04,6.1156,6.1393,6.1043,6.2353,6.2249,UP,1
2012-04-05,6.1333,6.1037,6.1054,6.2056,6.2124,DOWN,0
2012-04-09,6.0,6.0237,6.1061,6.1446,6.2036,UP,1
2012-04-10,6.003,5.9911,6.107,6.093,6.1947,UP,1
2012-04-11,6.1215,6.0681,6.1084,6.0747,6.19,UP,1
2012-04-12,6.1511,6.1156,6.1097,6.0818,6.1863,DOWN,0
2012-04-13,6.0593,6.1156,6.1101,6.067,6.1784,UP,1
2012-04-16,6.1511,6.0859,6.1108,6.0972,6.174,DOWN,0
2012-04-17,6.1333,6.157,6.1112,6.1233,6.1654,UP,1
2012-04-18,6.1481,6.0859,6.1113,6.1286,6.1592,DOWN,0
2012-04-19,6.0711,6.1541,6.1108,6.1126,6.1526,UP,1
2012-04-20,6.1719,6.1422,6.1104,6.1351,6.1495,DOWN,0
2012-04-23,5.997,6.0948,6.1087,6.1043,6.1432,UP,1
2012-04-24,6.1807,6.0119,6.108,6.1138,6.1432,UP,1
2012-04-25,6.2933,6.2874,6.1084,6.1428,6.1425,UP,1
2012-04-26,6.3319,6.3081,6.109,6.195,6.1445,UP,1
2012-04-27,6.3852,6.3496,6.1099,6.2376,6.1495,DOWN,0
2012-04-30,6.2963,6.3644,6.1108,6.2975,6.1516,DOWN,0
2012-05-01,6.2844,6.3022,6.1114,6.3182,6.1547,UP,1
2012-05-02,6.3615,6.24,6.113,6.3319,6.1619,DOWN,0
2012-05-03,6.2963,6.3763,6.1137,6.3247,6.166,DOWN,0
2012-05-04,6.2459,6.2519,6.1141,6.2969,6.1658,UP,1
2012-05-07,6.2548,6.2104,6.114,6.2886,6.1666,UP,1
2012-05-08,6.3289,6.1719,6.1148,6.2975,6.17,DOWN,0
2012-05-09,6.3022,6.243,6.1159,6.2856,6.1743,UP,1
2012-05-10,6.3081,6.3437,6.1176,6.288,6.1804,DOWN,0
2012-05-11,6.2904,6.2489,6.1205,6.2969,6.1871,DOWN,0
2012-05-14,6.2163,6.2163,6.1235,6.2892,6.1961,UP,1
2012-05-15,6.2874,6.1956,6.1266,6.2809,6.2039,UP,1
2012-05-16,6.32,6.317,6.1303,6.2844,6.2108,DOWN,0
2012-05-17,6.2578,6.3289,6.134,6.2744,6.2162,DOWN,0
2012-05-18,6.1659,6.2519,6.137,6.2495,6.2177,UP,1
2012-05-21,6.243,6.163,6.141,6.2548,6.2183,DOWN,0
2012-05-22,6.243,6.24,6.1452,6.2459,6.2185,UP,1
2012-05-23,6.317,6.1896,6.152,6.2453,6.2185,UP,1
2012-05-24,6.3556,6.323,6.157,6.2649,6.2222,DOWN,0
2012-05-25,6.2756,6.3496,6.1633,6.2868,6.223,UP,1
2012-05-29,6.3526,6.3348,6.1684,6.3087,6.2261,DOWN,0
2012-05-30,6.2637,6.2904,6.173,6.3129,6.2268,UP,1
2012-05-31,6.2933,6.2548,6.1772,6.3081,6.2292,DOWN,0
2012-06-01,6.1333,6.1778,6.1811,6.2637,6.2282,UP,1
2012-06-04,6.2074,6.1719,6.1851,6.2501,6.2299,UP,1
2012-06-05,6.2489,6.1719,6.1909,6.2293,6.2308,UP,1
2012-06-06,6.3733,6.2578,6.1975,6.2513,6.2316,DOWN,0
2012-06-07,6.2578,6.4415,6.2033,6.2441,6.2311,UP,1
2012-06-08,6.3289,6.2193,6.2077,6.2833,6.2324,DOWN,0
2012-06-11,6.3081,6.3941,6.2109,6.3034,6.2329,UP,1
2012-06-12,6.3881,6.3407,6.2154,6.3313,6.2345,DOWN,0
2012-06-13,6.3467,6.3911,6.2189,6.3259,6.2363,UP,1
2012-06-14,6.4296,6.3674,6.2204,6.3603,6.2406,UP,1
2012-06-15,6.4504,6.4326,6.2217,6.3846,6.2473,UP,1
2012-06-18,6.5067,6.397,6.2233,6.4243,6.2548,UP,1
2012-06-19,6.5867,6.5185,6.226,6.464,6.2665,DOWN,0
2012-06-20,6.4978,6.5956,6.2292,6.4942,6.2764,DOWN,0
2012-06-21,6.2696,6.5067,6.2316,6.4622,6.2793,UP,1
2012-06-22,6.3111,6.3111,6.233,6.4344,6.2825,DOWN,0
2012-06-25,6.3052,6.24,6.2346,6.3941,6.2875,DOWN,0
2012-06-26,6.2993,6.3111,6.2372,6.3366,6.2904,UP,1
2012-06-27,6.4089,6.3259,6.2404,6.3188,6.2959,UP,1
2012-06-28,6.4681,6.3467,6.2432,6.3585,6.3023,UP,1
2012-06-29,6.6281,6.5926,6.2465,6.4219,6.3135,UP,1
2012-07-02,6.6489,6.6044,6.2498,6.4907,6.323,UP,1
2012-07-03,6.6933,6.6281,6.2533,6.5695,6.3369,DOWN,0
2012-07-05,6.6756,6.6548,6.2573,6.6228,6.3468,DOWN,0
2012-07-06,6.6548,6.6133,6.2617,6.6601,6.3541,UP,1
2012-07-09,6.7081,6.6341,6.2673,6.6761,6.3616,DOWN,0
2012-07-10,6.6252,6.7407,6.2732,6.6714,6.3664,UP,1
2012-07-11,6.6519,6.6193,6.279,6.6631,6.3735,UP,1
2012-07-12,6.6874,6.6163,6.284,6.6655,6.3816,UP,1
2012-07-13,6.8089,6.7052,6.2889,6.6963,6.3905,DOWN,0
2012-07-16,6.7881,6.7763,6.2952,6.7123,6.4004,UP,1
2012-07-17,6.8296,6.8356,6.3011,6.7532,6.412,UP,1
2012-07-18,6.9274,6.8207,6.308,6.8083,6.4255,DOWN,0
2012-07-19,6.883,6.9452,6.3165,6.8474,6.4366,DOWN,0
2012-07-20,6.8148,6.8415,6.3229,6.8486,6.4468,DOWN,0
2012-07-23,6.797,6.72,6.3285,6.8504,6.4566,DOWN,0
2012-07-24,6.7141,6.8267,6.3334,6.8273,6.4651,UP,1
2012-07-25,6.8889,6.7615,6.3397,6.8196,6.4785,UP,1
2012-07-26,6.9719,6.963,6.3453,6.8373,6.4922,UP,1
2012-07-27,7.04,7.0015,6.3511,6.8824,6.5066,DOWN,0
2012-07-30,7.0133,7.037,6.3561,6.9256,6.5217,DOWN,0
2012-07-31,6.9867,7.0015,6.3612,6.9801,6.5381,DOWN,0
2012-08-01,6.9274,7.0222,6.3654,6.9879,6.5518,UP,1
2012-08-02,6.963,6.8889,6.3704,6.9861,6.5662,UP,1
2012-08-03,7.0785,7.0667,6.3753,6.9938,6.5815,DOWN,0
2012-08-06,7.0667,7.1052,6.3805,7.0044,6.5957,UP,1
2012-08-07,7.0904,7.1022,6.3859,7.0252,6.612,DOWN,0
2012-08-08,7.0104,7.0459,6.3901,7.0418,6.6251,DOWN,0
2012-08-09,7.0015,6.9985,6.3937,7.0495,6.6399,UP,1
2012-08-10,7.0489,7.0311,6.3986,7.0436,6.655,DOWN,0
2012-08-13,7.0133,7.0193,6.4017,7.0329,6.6726,UP,1
2012-08-14,7.0193,7.0578,6.4021,7.0187,6.6888,DOWN,0
2012-08-15,7.0193,6.9807,6.404,7.0204,6.7042,UP,1
2012-08-16,7.0252,7.0193,6.4069,7.0252,6.7173,UP,1
2012-08-17,7.0993,7.04,6.4116,7.0353,6.7341,DOWN,0
2012-08-20,7.0489,7.0607,6.4151,7.0424,6.7485,DOWN,0
2012-08-21,6.9956,7.0519,6.4169,7.0376,6.7623,DOWN,0
2012-08-22,6.9363,7.0044,6.4191,7.021,6.7732,DOWN,0
2012-08-23,6.9363,6.9333,6.4214,7.0033,6.785,DOWN,0
2012-08-24,6.9333,6.8978,6.423,6.9701,6.7951,DOWN,0
2012-08-27,6.9067,6.9511,6.4264,6.9416,6.8042,UP,1
2012-08-28,6.9511,6.8948,6.4297,6.9327,6.8131,DOWN,0
2012-08-29,6.9274,6.9363,6.4323,6.931,6.8199,DOWN,0
2012-08-30,6.8681,6.8948,6.4354,6.9173,6.8273,UP,1
2012-08-31,6.8978,6.9244,6.4381,6.9102,6.8399,UP,1
2012-09-04,6.9748,6.9304,6.4418,6.9239,6.8532,UP,1
2012-09-05,7.0341,6.9807,6.4459,6.9404,6.8677,UP,1
2012-09-06,7.1911,7.0548,6.4507,6.9932,6.8856,UP,1
2012-09-07,7.197,7.1852,6.4566,7.059,6.9013,DOWN,0
2012-09-10,7.1585,7.197,6.4625,7.1111,6.9151,DOWN,0
2012-09-11,7.117,7.1556,6.469,7.1396,6.9249,DOWN,0
2012-09-12,7.0963,7.1052,6.4756,7.152,6.9339,UP,1
2012-09-13,7.12,7.0785,6.4807,7.1378,6.9424,UP,1
2012-09-14,7.1467,7.1467,6.486,7.1277,6.9518,DOWN,0
2012-09-17,7.0341,7.1081,6.4883,7.1028,6.9594,UP,1
2012-09-18,7.0726,7.04,6.4911,7.0939,6.9667,DOWN,0
2012-09-19,7.0726,7.0933,6.4937,7.0892,6.9756,DOWN,0
2012-09-20,7.0311,7.0222,6.4959,7.0714,6.9832,DOWN,0
2012-09-21,7.0104,7.0933,6.4981,7.0441,6.9897,UP,1
2012-09-24,7.04,6.9926,6.501,7.0453,6.9943,DOWN,0
2012-09-25,6.957,7.0696,6.5045,7.0222,6.9977,DOWN,0
2012-09-26,6.8948,6.96,6.5067,6.9867,6.999,UP,1
2012-09-27,6.9156,6.9333,6.5087,6.9636,6.9988,UP,1
2012-09-28,6.9304,6.8948,6.5115,6.9476,6.9997,DOWN,0
2012-10-01,6.7941,6.9304,6.5136,6.8984,6.9993,UP,1
2012-10-02,6.8919,6.8237,6.5157,6.8853,7.0012,UP,1
2012-10-03,6.9333,6.8978,6.5185,6.893,7.0056,DOWN,0
2012-10-04,6.9215,6.9452,6.5217,6.8942,7.0062,DOWN,0
2012-10-05,6.8978,6.9452,6.5235,6.8877,7.0047,DOWN,0
2012-10-08,6.883,6.883,6.5248,6.9055,7.0016,DOWN,0
2012-10-09,6.8237,6.8711,6.526,6.8919,6.9978,DOWN,0
2012-10-10,6.8059,6.8356,6.5269,6.8664,6.9942,DOWN,0
2012-10-11,6.7733,6.8444,6.5276,6.8367,6.9911,DOWN,0
2012-10-12,6.7644,6.7911,6.5289,6.8101,6.9871,UP,1
2012-10-15,6.8119,6.7556,6.5298,6.7959,6.9818,DOWN,0
