ticker,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-05,43.75,44.8125,44.2807,45.425,40.4563,UP,1
2000-04-06,44.4688,44.0,44.2715,45.1,40.4681,DOWN,0
2000-04-07,43.2188,44.4688,44.2585,44.5,40.4894,DOWN,0
2000-04-10,43.0313,42.7188,44.2484,43.875,40.5244,UP,1
2000-04-11,44.3438,43.2813,44.2463,43.7625,40.575,UP,1
2000-04-12,44.5,44.6563,44.2346,43.9125,40.6331,DOWN,0
2000-04-13,43.4688,44.4688,44.2143,43.7125,40.6763,DOWN,0
2000-04-14,42.8438,43.5,44.1874,43.6375,40.7188,DOWN,0
2000-04-17,41.4688,42.5,44.1541,43.325,40.7625,UP,1
2000-04-18,42.2813,41.375,44.1198,42.9125,40.8175,UP,1
2000-04-19,42.375,42.1563,44.0824,42.4875,40.8819,UP,1
2000-04-20,43.1563,41.5625,44.0529,42.425,40.995,DOWN,0
2000-04-24,42.625,42.6563,44.0229,42.3813,41.0794,DOWN,0
2000-04-25,42.4063,42.6875,43.9876,42.5688,41.1875,UP,1
2000-04-26,43.1563,43.0938,43.9605,42.7438,41.3125,UP,1
2000-04-27,44.2188,43.1563,43.9409,43.1125,41.4219,DOWN,0
2000-04-28,42.5625,43.7188,43.9113,42.9938,41.495,UP,1
2000-05-01,43.1563,42.75,43.888,43.1,41.5806,UP,1
2000-05-02,44.6563,43.5938,43.8735,43.55,41.7119,DOWN,0
2000-05-03,43.6563,44.7188,43.8585,43.65,41.8281,UP,1
2000-05-04,44.1875,43.7813,43.8438,43.6438,41.9794,UP,1
2000-05-05,45.375,44.3125,43.8366,44.2063,42.1725,UP,1
2000-05-08,45.9063,45.5313,43.8316,44.7563,42.38,DOWN,0
2000-05-09,45.0625,45.8438,43.826,44.8375,42.5356,UP,1
2000-05-10,45.4375,44.7188,43.8243,45.1938,42.6975,UP,1
2000-05-11,46.6875,45.4375,43.8271,45.6938,42.8788,UP,1
2000-05-12,47.1367,46.5,43.8344,46.0461,43.0646,DOWN,0
2000-05-15,47.0,46.9063,43.8412,46.2648,43.259,DOWN,0
2000-05-16,46.4688,47.0,43.8454,46.5461,43.4484,DOWN,0
2000-05-17,45.6563,45.375,43.8412,46.5898,43.5515,DOWN,0
2000-05-18,45.4375,45.7813,43.8345,46.3398,43.6496,UP,1
2000-05-19,46.6563,45.5,43.8292,46.2438,43.7502,UP,1
2000-05-22,47.0313,46.9063,43.8248,46.25,43.8871,DOWN,0
2000-05-23,46.625,46.8438,43.8164,46.2813,44.0215,UP,1
2000-05-24,47.125,46.6875,43.81,46.575,44.1352,DOWN,0
2000-05-25,46.5938,46.9375,43.8028,46.8063,44.2277,DOWN,0
2000-05-26,45.6875,46.9063,43.7911,46.6125,44.3002,DOWN,0
2000-05-30,45.6563,45.7188,43.7775,46.3375,44.3802,UP,1
2000-05-31,46.2188,45.9063,43.7689,46.2563,44.4752,DOWN,0
2000-06-01,45.5,46.2188,43.7579,45.9313,44.5252,DOWN,0
2000-06-02,45.2813,45.0,43.7483,45.6688,44.5909,DOWN,0
2000-06-05,45.2188,45.375,43.7381,45.575,44.649,UP,1
2000-06-06,46.4375,45.25,43.7326,45.7313,44.7215,DOWN,0
2000-06-07,46.1875,46.9375,43.7237,45.725,44.7996,UP,1
2000-06-08,46.2813,46.2188,43.7153,45.8813,44.8765,DOWN,0
2000-06-09,46.0,46.5,43.7076,46.025,44.9115,UP,1
2000-06-12,46.4375,46.4063,43.7081,46.2688,44.9184,DOWN,0
2000-06-13,45.875,46.0,43.7056,46.1563,44.9115,UP,1
2000-06-14,46.625,46.0313,43.7104,46.2438,44.9209,DOWN,0
2000-06-15,46.5625,46.5313,43.7125,46.3,44.954,DOWN,0
2000-06-16,46.375,46.3125,43.7139,46.375,45.0065,DOWN,0
2000-06-19,45.6875,46.6563,43.7123,46.225,45.0309,DOWN,0
2000-06-20,45.125,45.6875,43.7037,46.075,45.069,UP,1
2000-06-21,45.6328,45.0625,43.6989,45.8766,45.121,DOWN,0
2000-06-22,44.7813,45.9063,43.6867,45.5203,45.1298,UP,1
2000-06-23,44.875,44.7813,43.6672,45.2203,45.1373,DOWN,0
2000-06-26,44.3672,44.8438,43.6494,44.9563,45.1552,DOWN,0
2000-06-27,44.2188,44.4375,43.6362,44.775,45.1827,DOWN,0
2000-06-28,43.7871,44.125,43.6233,44.4059,45.2291,DOWN,0
2000-06-29,43.3203,43.4375,43.6091,44.1137,45.2499,DOWN,0
2000-06-30,42.4063,43.3125,43.5908,43.6199,45.2505,UP,1
2000-07-03,42.9609,42.5,43.5731,43.3387,45.2466,DOWN,0
2000-07-05,41.25,42.5313,43.5491,42.7449,45.2191,UP,1
2000-07-06,41.7813,41.4063,43.5336,42.3438,45.2066,UP,1
2000-07-07,41.9766,42.0,43.5194,42.075,45.183,UP,1
2000-07-10,42.0,42.0313,43.5065,41.9938,45.1386,UP,1
2000-07-11,43.5,42.0625,43.504,42.1016,45.1574,DOWN,0
2000-07-12,42.8359,43.5313,43.4952,42.4188,45.151,DOWN,0
2000-07-13,41.9766,42.9063,43.486,42.4578,45.0974,DOWN,0
2000-07-14,41.875,41.8438,43.4749,42.4375,45.0618,DOWN,0
2000-07-17,41.3359,42.0,43.4597,42.3047,45.0047,DOWN,0
2000-07-18,40.7188,41.0313,43.4428,41.7484,44.9116,UP,1
2000-07-19,40.9688,40.9375,43.4327,41.375,44.8129,DOWN,0
2000-07-20,40.0,41.0,43.4213,40.9797,44.7116,DOWN,0
2000-07-21,39.25,40.0,43.3984,40.4547,44.5879,DOWN,0
2000-07-24,38.6875,39.3438,43.3774,39.925,44.4279,DOWN,0
2000-07-25,38.6563,39.0,43.3572,39.5125,44.2582,DOWN,0
2000-07-26,38.6563,39.25,43.3333,39.05,44.0914,UP,1
2000-07-27,40.4688,39.0,43.3156,39.1438,43.9714,DOWN,0
2000-07-28,40.2891,40.625,43.2977,39.3516,43.864,DOWN,0
2000-07-31,39.4922,40.0,43.2752,39.5125,43.7451,DOWN,0
2000-08-01,39.4375,39.25,43.2516,39.6688,43.6007,UP,1
2000-08-02,39.9063,39.6875,43.2278,39.9188,43.4582,UP,1
2000-08-03,40.0,40.125,43.2031,39.825,43.3257,DOWN,0
2000-08-04,39.6641,39.3438,43.1715,39.7,43.1765,UP,1
2000-08-07,40.3516,39.8438,43.1415,39.8719,43.0517,DOWN,0
2000-08-08,40.1797,40.0,43.108,40.0203,42.9415,UP,1
2000-08-09,41.2969,40.75,43.0895,40.2984,42.8543,UP,1
2000-08-10,41.9375,41.3125,43.0792,40.6859,42.7687,UP,1
2000-08-11,42.0,41.9063,43.0645,41.1531,42.6987,UP,1
2000-08-14,42.1875,41.625,43.0508,41.5203,42.6368,DOWN,0
2000-08-15,41.75,42.25,43.0312,41.8344,42.5675,UP,1
2000-08-16,42.7285,41.8125,43.0163,42.1207,42.4933,UP,1
2000-08-17,43.5938,42.7188,43.0124,42.452,42.4414,DOWN,0
2000-08-18,43.0156,42.8438,43.0048,42.6551,42.3761,UP,1
2000-08-21,43.375,43.0938,43.001,42.8926,42.3236,DOWN,0
2000-08-22,43.3125,43.5,43.0038,43.2051,42.2611,UP,1
2000-08-23,44.4375,43.8125,43.0026,43.5469,42.2323,DOWN,0
2000-08-24,43.0938,43.3125,42.9949,43.4469,42.1617,UP,1
2000-08-25,43.4375,43.2813,42.9832,43.5313,42.0992,UP,1
2000-08-28,43.4688,43.0625,42.9743,43.55,42.0411,DOWN,0
2000-08-29,43.0,43.4375,42.9609,43.4875,41.9873,DOWN,0
2000-08-30,42.5528,42.9063,42.9452,43.1106,41.9359,DOWN,0
2000-08-31,42.2598,42.8125,42.9223,42.9438,41.8684,UP,1
2000-09-01,42.7344,42.3438,42.8946,42.8031,41.8275,UP,1
2000-09-05,42.9688,43.1563,42.8713,42.7031,41.7894,UP,1
2000-09-06,44.0625,43.2813,42.8586,42.9156,41.7833,UP,1
2000-09-07,44.1563,44.75,42.8516,43.2363,41.782,DOWN,0
2000-09-08,43.3438,43.6875,42.8442,43.4531,41.7732,UP,1
2000-09-11,44.6563,43.3438,42.8419,43.8375,41.7999,DOWN,0
2000-09-12,44.2813,44.4375,42.8408,44.1,41.8374,UP,1
2000-09-13,44.3125,44.375,42.841,44.15,41.8644,DOWN,0
2000-09-14,43.791,44.3125,42.8385,44.077,41.9152,UP,1
2000-09-15,45.0938,43.875,42.8388,44.427,41.9815,DOWN,0
