ticker,NDSN US Equity,NDSN US Equity,NDSN US Equity,NDSN US Equity,NDSN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-29,13.6719,13.0625,11.4012,12.9188,11.8241,DOWN,0
2000-06-30,12.6563,13.4063,11.4023,12.9406,11.8559,UP,1
2000-07-03,13.2969,12.625,11.4068,13.0906,11.8991,DOWN,0
2000-07-05,13.25,13.0,11.4113,13.1,11.9441,UP,1
2000-07-06,13.4844,13.25,11.4184,13.2719,11.9891,UP,1
2000-07-07,13.5313,13.5,11.4264,13.2438,12.0331,UP,1
2000-07-10,13.5625,13.4375,11.4348,13.425,12.0816,UP,1
2000-07-11,13.6875,13.5625,11.4441,13.5031,12.1319,UP,1
2000-07-12,14.0,13.6875,11.4555,13.6531,12.185,UP,1
2000-07-13,14.7188,13.9063,11.4716,13.9,12.2584,UP,1
2000-07-14,14.875,14.6875,11.4884,14.1688,12.3397,UP,1
2000-07-17,14.9688,14.8125,11.502,14.45,12.4222,DOWN,0
2000-07-18,14.4688,14.7969,11.5152,14.6063,12.4906,DOWN,0
2000-07-19,13.9844,14.5625,11.5267,14.6031,12.5566,UP,1
2000-07-20,14.6406,14.0,11.541,14.5875,12.6381,DOWN,0
2000-07-21,14.5,14.3203,11.5548,14.5125,12.7238,DOWN,0
2000-07-24,14.1719,14.3125,11.567,14.3531,12.7916,UP,1
2000-07-25,14.25,14.3125,11.5798,14.3094,12.8534,UP,1
2000-07-26,14.3125,14.1875,11.593,14.375,12.9244,DOWN,0
2000-07-27,13.8125,14.375,11.6041,14.2094,12.97,UP,1
2000-07-28,14.0,14.0313,11.6162,14.1094,13.025,UP,1
2000-07-31,14.125,13.8281,11.629,14.1,13.085,UP,1
2000-08-01,14.5469,14.2188,11.6454,14.1594,13.1609,UP,1
2000-08-02,14.7656,14.625,11.6629,14.25,13.2319,DOWN,0
2000-08-03,14.7031,14.75,11.6806,14.4281,13.2941,UP,1
2000-08-04,14.9688,14.8438,11.6995,14.6219,13.3628,UP,1
2000-08-07,15.0781,14.8281,11.719,14.8125,13.4366,UP,1
2000-08-08,15.625,15.0938,11.7413,15.0281,13.5291,DOWN,0
2000-08-09,15.4688,15.3828,11.7629,15.1688,13.5969,DOWN,0
2000-08-10,15.4531,15.4688,11.7849,15.3188,13.6634,UP,1
2000-08-11,15.8125,15.5,11.8082,15.4875,13.7334,UP,1
2000-08-14,16.0625,15.7969,11.8317,15.6844,13.8047,DOWN,0
2000-08-15,15.5,16.0,11.8538,15.6594,13.8603,DOWN,0
2000-08-16,15.4375,15.5625,11.8754,15.6531,13.9159,DOWN,0
2000-08-17,15.3438,15.4648,11.8968,15.6313,13.9703,DOWN,0
2000-08-18,15.2188,15.2813,11.918,15.5125,14.0247,UP,1
2000-08-21,15.375,15.2656,11.9401,15.375,14.0819,DOWN,0
2000-08-22,14.9063,15.3125,11.9598,15.2563,14.1288,UP,1
2000-08-23,15.0469,14.9844,11.9788,15.1781,14.1694,UP,1
2000-08-24,15.7813,15.0313,12.0016,15.2656,14.2206,UP,1
2000-08-25,15.9219,15.75,12.0271,15.4063,14.2647,UP,1
2000-08-28,16.1094,15.7188,12.0514,15.5531,14.3291,UP,1
2000-08-29,16.2813,16.1563,12.0775,15.8281,14.3963,DOWN,0
2000-08-30,16.2188,16.0938,12.1036,16.0625,14.4675,DOWN,0
2000-08-31,16.1875,16.2188,12.1282,16.1438,14.5419,DOWN,0
2000-09-01,16.0313,15.9375,12.1521,16.1656,14.6147,DOWN,0
2000-09-05,15.5313,16.0781,12.1683,16.05,14.6744,UP,1
2000-09-06,15.6875,15.9063,12.1852,15.9313,14.7372,UP,1
2000-09-07,15.875,15.8125,12.2039,15.8625,14.7906,UP,1
2000-09-08,15.9375,15.8906,12.2237,15.8125,14.8569,DOWN,0
2000-09-11,15.875,16.0,12.2431,15.7813,14.9009,UP,1
2000-09-12,16.0625,15.875,12.262,15.8875,14.9691,DOWN,0
2000-09-13,15.625,16.1875,12.2801,15.875,15.0156,DOWN,0
2000-09-14,15.2813,15.625,12.2952,15.7563,15.0563,DOWN,0
2000-09-15,14.875,14.25,12.3053,15.5438,15.0841,DOWN,0
2000-09-18,14.7813,14.2813,12.3164,15.325,15.1091,UP,1
2000-09-19,14.9063,14.8125,12.3297,15.0938,15.1359,DOWN,0
2000-09-20,14.7188,14.9063,12.342,14.9125,15.1566,DOWN,0
2000-09-21,13.8438,14.375,12.3498,14.625,15.1534,DOWN,0
2000-09-22,13.7813,13.5,12.3569,14.4063,15.1347,DOWN,0
2000-09-25,13.25,13.5625,12.3606,14.1,15.1022,DOWN,0
2000-09-26,13.1719,13.4375,12.3637,13.7531,15.0663,UP,1
2000-09-27,13.3125,13.0,12.3662,13.4719,15.0431,UP,1
2000-09-28,13.5625,13.375,12.3724,13.4156,15.0347,UP,1
2000-09-29,14.2188,13.375,12.3835,13.5031,15.0263,DOWN,0
2000-10-02,12.7188,13.875,12.3845,13.3969,14.9906,UP,1
2000-10-03,13.625,12.9375,12.3915,13.4875,14.9797,UP,1
2000-10-04,13.9375,14.0313,12.4009,13.6125,14.9734,DOWN,0
2000-10-05,13.5625,14.1875,12.4084,13.6125,14.9584,DOWN,0
2000-10-06,13.5,13.125,12.4166,13.4688,14.9522,DOWN,0
2000-10-09,13.3438,13.5625,12.423,13.5938,14.9391,DOWN,0
2000-10-10,13.3438,13.375,12.4303,13.5375,14.9234,DOWN,0
2000-10-11,13.0,13.25,12.4364,13.35,14.8925,DOWN,0
2000-10-12,12.8125,13.0,12.4395,13.2,14.8534,UP,1
2000-10-13,13.3438,12.75,12.4447,13.1688,14.8263,UP,1
2000-10-16,13.875,13.375,12.4538,13.275,14.8044,DOWN,0
2000-10-17,13.6875,13.5625,12.4605,13.3438,14.7766,DOWN,0
2000-10-18,13.375,13.25,12.4674,13.4188,14.7316,UP,1
2000-10-19,13.75,13.3125,12.4758,13.6063,14.6972,DOWN,0
2000-10-20,13.6563,13.75,12.4845,13.6688,14.6613,DOWN,0
2000-10-23,13.625,13.75,12.4929,13.6188,14.6175,UP,1
2000-10-24,13.6563,13.5625,12.5022,13.6125,14.5694,DOWN,0
2000-10-25,12.8125,13.7813,12.5061,13.5,14.5156,UP,1
2000-10-26,13.8125,12.7188,12.5146,13.5125,14.4831,UP,1
2000-10-27,14.375,13.875,12.526,13.6563,14.4638,UP,1
2000-10-30,14.8438,14.3125,12.54,13.9,14.4563,DOWN,0
2000-10-31,14.3438,14.6719,12.5534,14.0375,14.4356,UP,1
2000-11-01,14.5625,14.25,12.5662,14.3875,14.4288,DOWN,0
2000-11-02,14.5,14.625,12.5793,14.525,14.4178,DOWN,0
2000-11-03,14.25,14.0625,12.5928,14.5,14.3872,UP,1
2000-11-06,14.875,14.9531,12.6101,14.5063,14.3663,UP,1
2000-11-07,14.9141,14.9375,12.6302,14.6203,14.3423,DOWN,0
2000-11-08,14.375,14.5625,12.6495,14.5828,14.3042,DOWN,0
2000-11-09,13.9375,14.4063,12.6655,14.4703,14.2586,DOWN,0
2000-11-10,13.3438,14.0,12.679,14.2891,14.2017,UP,1
2000-11-13,13.5313,13.5,12.6929,14.0203,14.1517,DOWN,0
2000-11-14,13.4063,13.5625,12.7068,13.7188,14.1092,DOWN,0
2000-11-15,12.9063,13.5,12.7201,13.425,14.0536,DOWN,0
2000-11-16,12.6875,12.9375,12.7325,13.175,13.9898,UP,1
2000-11-17,13.375,13.4688,12.7477,13.1813,13.9386,DOWN,0
2000-11-20,12.75,13.0,12.7586,13.025,13.8761,UP,1
2000-11-21,13.4063,13.0,12.7756,13.025,13.823,UP,1
2000-11-22,13.6641,13.1563,12.7927,13.1766,13.7838,UP,1
2000-11-24,14.1563,13.6563,12.8122,13.4703,13.7613,DOWN,0
2000-11-27,13.75,14.2188,12.8297,13.5453,13.7388,DOWN,0
2000-11-28,13.625,13.7969,12.8492,13.7203,13.7156,UP,1
2000-11-29,13.8125,13.625,12.8704,13.8016,13.6938,UP,1
2000-11-30,14.0313,13.6094,12.8938,13.875,13.68,UP,1
2000-12-01,14.1563,14.0313,12.9168,13.875,13.6863,DOWN,0
2000-12-04,13.3125,14.0,12.9371,13.7875,13.6769,UP,1
2000-12-05,14.5938,13.25,12.9641,13.9813,13.7038,DOWN,0
2000-12-06,13.8125,14.5938,12.9873,13.9813,13.7166,UP,1
2000-12-07,13.8438,13.6875,13.0108,13.9438,13.7272,UP,1
2000-12-08,14.9375,14.5,13.0397,14.1,13.7547,DOWN,0
2000-12-11,14.6875,14.9219,13.0679,14.375,13.7641,DOWN,0
2000-12-12,13.2813,14.6719,13.0858,14.1125,13.7753,UP,1
2000-12-13,13.3438,14.5,13.1021,14.0188,13.7697,DOWN,0
2000-12-14,13.2969,13.2813,13.1203,13.9094,13.7569,DOWN,0
2000-12-15,12.8828,13.4375,13.1343,13.4984,13.7433,DOWN,0
2000-12-18,12.4063,13.0,13.147,13.0422,13.7214,UP,1
2000-12-19,13.1172,12.5,13.1628,13.0094,13.7169,DOWN,0
2000-12-20,12.5,13.25,13.1726,12.8406,13.7,UP,1
2000-12-21,12.9375,12.3281,13.1819,12.7688,13.6988,UP,1
2000-12-22,13.5,12.8281,13.1938,12.8922,13.7125,DOWN,0
2000-12-26,13.2813,13.3125,13.2059,13.0672,13.7113,UP,1
2000-12-27,13.375,13.0625,13.2221,13.1188,13.7013,UP,1
2000-12-28,14.7188,13.25,13.2426,13.5625,13.7219,DOWN,0
2000-12-29,12.75,13.75,13.2537,13.525,13.7094,UP,1
2001-01-02,13.25,13.5,13.2681,13.475,13.6994,UP,1
2001-01-03,14.9063,13.25,13.292,13.8,13.7244,DOWN,0
2001-01-04,14.4688,15.0156,13.3089,14.0188,13.7413,DOWN,0
