ticker,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-09-11,60.14,60.26,60.848,61.2994,,DOWN,0
2020-09-14,59.99,60.57,60.548,61.3692,,UP,1
2020-09-15,60.3,60.03,60.482,61.438,,DOWN,0
2020-09-16,59.79,60.86,60.024,61.4974,,UP,1
2020-09-17,61.04,58.75,60.252,61.5798,,DOWN,0
2020-09-18,60.88,61.16,60.4,61.6752,,DOWN,0
2020-09-21,59.41,60.0,60.284,61.7238,,UP,1
2020-09-22,60.99,58.94,60.422,61.8058,,DOWN,0
2020-09-23,60.41,60.77,60.546,61.8666,,UP,1
2020-09-24,62.08,60.85,60.754,61.9442,,DOWN,0
2020-09-25,61.55,61.61,60.888,62.0088,,UP,1
2020-09-28,62.51,62.27,61.508,62.088,,DOWN,0
2020-09-29,62.41,62.42,61.792,62.165,,UP,1
2020-09-30,62.42,62.71,62.194,62.2446,,DOWN,0
2020-10-01,62.37,62.87,62.252,62.3224,,UP,1
2020-10-02,63.16,61.62,62.574,62.4044,,UP,1
2020-10-05,64.54,63.74,62.98,62.5326,,DOWN,0
2020-10-06,63.83,64.43,63.264,62.6428,,UP,1
2020-10-07,65.05,64.63,63.79,62.7382,,DOWN,0
2020-10-08,64.71,64.79,64.258,62.7464,,UP,1
2020-10-09,65.35,65.02,64.696,62.7856,,UP,1
2020-10-12,65.69,65.85,64.926,62.8446,,DOWN,0
2020-10-13,65.13,65.16,65.186,62.883,,UP,1
2020-10-14,65.61,65.5,65.298,62.943,,DOWN,0
2020-10-15,65.2,64.67,65.396,62.9852,,DOWN,0
2020-10-16,65.03,65.3,65.332,63.0162,,DOWN,0
2020-10-19,64.36,64.9,65.066,63.0152,,UP,1
2020-10-20,64.39,64.68,64.918,62.9988,,DOWN,0
2020-10-21,63.72,64.25,64.54,62.9858,,DOWN,0
2020-10-22,63.24,63.99,64.148,62.9526,,UP,1
2020-10-23,63.45,63.47,63.832,62.9416,,DOWN,0
2020-10-26,63.21,63.84,63.602,62.9244,,DOWN,0
2020-10-27,61.97,62.91,63.118,62.8846,,DOWN,0
2020-10-28,58.99,61.01,62.172,62.7954,,UP,1
2020-10-29,60.79,58.89,61.682,62.7528,,UP,1
2020-10-30,61.28,60.35,61.248,62.719,,UP,1
2020-11-02,62.14,62.19,61.034,62.6892,,UP,1
2020-11-03,62.71,62.93,61.182,62.6674,,DOWN,0
2020-11-04,62.3,62.68,61.844,62.6276,,UP,1
