ticker,NEE US Equity,NEE US Equity,NEE US Equity,NEE US Equity,NEE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2004-12-20,9.3938,9.3425,8.3659,9.3375,8.867,UP,1
2004-12-21,9.4663,9.4563,8.3705,9.3765,8.885,UP,1
2004-12-22,9.4938,9.4313,8.3753,9.4085,8.9026,DOWN,0
2004-12-23,9.475,9.5063,8.3805,9.433,8.9217,DOWN,0
2004-12-27,9.3813,9.4763,8.386,9.442,8.9391,UP,1
2004-12-28,9.4313,9.375,8.3914,9.4495,8.9557,UP,1
2004-12-29,9.4838,9.4438,8.3972,9.453,8.9746,DOWN,0
2004-12-30,9.4388,9.485,8.4025,9.442,8.9936,DOWN,0
2004-12-31,9.3438,9.4625,8.4068,9.4158,9.0112,DOWN,0
2005-01-03,9.2375,9.375,8.4109,9.387,9.0264,DOWN,0
2005-01-04,9.125,9.2375,8.4144,9.3258,9.0372,DOWN,0
2005-01-05,9.0075,9.0963,8.4179,9.2305,9.0453,UP,1
2005-01-06,9.1538,9.01,8.4222,9.1735,9.0542,DOWN,0
2005-01-07,9.1363,9.1563,8.4268,9.132,9.0632,UP,1
2005-01-10,9.1675,9.1438,8.4314,9.118,9.0744,DOWN,0
2005-01-11,9.0625,9.17,8.4352,9.1055,9.0834,UP,1
2005-01-12,9.1063,9.0613,8.439,9.1253,9.0932,UP,1
2005-01-13,9.15,9.1125,8.4429,9.1245,9.1062,UP,1
2005-01-14,9.155,9.1375,8.4469,9.1283,9.1152,UP,1
2005-01-18,9.2613,9.1538,8.4514,9.147,9.123,DOWN,0
2005-01-19,9.2238,9.2925,8.4561,9.1793,9.1312,UP,1
2005-01-20,9.2625,9.325,8.4608,9.2105,9.139,UP,1
2005-01-21,9.3263,9.2625,8.466,9.2458,9.1468,UP,1
2005-01-24,9.3313,9.335,8.4715,9.281,9.1559,DOWN,0
