ticker,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2022-05-04,20.26,19.325,19.178,22.9876,29.4718,DOWN,0
2022-05-05,18.85,19.91,19.17,22.8852,29.4489,DOWN,0
2022-05-06,18.15,18.56,19.184,22.7426,29.4252,DOWN,0
2022-05-09,16.35,17.335,18.642,22.5426,29.3857,DOWN,0
2022-05-10,15.95,17.27,17.912,22.282,29.3313,DOWN,0
2022-05-11,13.86,15.87,16.632,22.0594,29.2747,UP,1
2022-05-12,15.69,13.57,16.0,21.8816,29.2327,UP,1
2022-05-13,18.01,16.25,15.972,21.7892,29.206,DOWN,0
2022-05-16,17.36,18.03,16.174,21.6838,29.1742,UP,1
2022-05-17,17.85,17.51,16.554,21.5774,29.1446,DOWN,0
2022-05-18,17.36,17.58,17.254,21.4398,29.1135,UP,1
2022-05-19,19.27,17.748,17.97,21.32,29.0967,DOWN,0
2022-05-20,18.39,19.74,18.046,21.2036,29.0749,UP,1
2022-05-23,18.4,18.31,18.254,21.1132,29.05,DOWN,0
2022-05-24,17.1,17.97,18.104,21.0242,29.018,UP,1
2022-05-25,17.45,17.045,18.122,20.9336,28.983,UP,1
2022-05-26,18.89,17.26,18.046,20.839,28.9551,UP,1
2022-05-27,19.83,19.23,18.334,20.7426,28.935,UP,1
2022-05-31,20.18,20.07,18.69,20.6328,28.9185,DOWN,0
2022-06-01,19.5,20.3,19.17,20.515,28.9018,UP,1
2022-06-02,19.96,19.31,19.672,20.3812,28.8888,DOWN,0
2022-06-03,18.67,19.24,19.628,20.2366,28.8694,UP,1
2022-06-06,19.15,19.04,19.492,20.0946,28.8566,DOWN,0
2022-06-07,18.96,18.92,19.248,19.9706,28.8431,UP,1
2022-06-08,19.59,19.01,19.266,19.8548,28.8328,DOWN,0
2022-06-09,18.88,19.344,19.05,19.6852,28.813,DOWN,0
2022-06-10,18.02,18.52,18.92,19.5156,28.7941,DOWN,0
2022-06-13,16.31,17.01,18.352,19.3338,28.7682,UP,1
2022-06-14,16.6,16.5,17.88,19.1748,28.7461,UP,1
2022-06-15,17.52,16.3,17.466,19.021,28.7305,DOWN,0
2022-06-16,15.55,16.85,16.8,18.8574,28.7085,UP,1
2022-06-17,16.63,15.99,16.522,18.7302,28.7027,UP,1
2022-06-21,17.9,17.16,16.84,18.6418,28.6989,UP,1
2022-06-22,18.03,17.66,17.126,18.569,28.6912,UP,1
2022-06-23,19.3,18.11,17.482,18.521,28.6883,DOWN,0
2022-06-24,19.21,19.59,18.214,18.4794,28.6897,DOWN,0
2022-06-27,18.39,19.01,18.566,18.4062,28.6824,DOWN,0
2022-06-28,17.94,18.25,18.574,18.3448,28.6724,DOWN,0
2022-06-29,17.3,17.69,18.428,18.2844,28.6586,DOWN,0
2022-06-30,17.16,17.24,18.0,18.1994,28.6497,DOWN,0
2022-07-01,17.0,17.055,17.558,18.122,28.6351,UP,1
2022-07-05,17.23,16.78,17.326,18.0756,28.6154,UP,1
2022-07-06,18.22,17.35,17.382,18.0578,28.5917,UP,1
2022-07-07,19.81,18.29,17.884,18.0674,28.5704,UP,1
2022-07-08,19.99,19.44,18.45,18.1144,28.5363,DOWN,0
2022-07-11,18.53,19.92,18.756,18.1236,28.5042,UP,1
2022-07-12,19.33,18.74,19.176,18.1324,28.4738,UP,1
2022-07-13,19.51,18.65,19.434,18.161,28.4442,UP,1
2022-07-14,20.11,19.44,19.494,18.182,28.4153,DOWN,0
2022-07-15,19.68,20.12,19.432,18.1836,28.391,UP,1
2022-07-18,19.96,20.07,19.718,18.1776,28.3594,UP,1
2022-07-19,20.38,20.49,19.928,18.2082,28.3344,UP,1
2022-07-20,21.27,20.36,20.28,18.2706,28.3177,UP,1
2022-07-21,21.48,21.14,20.554,18.3732,28.3044,DOWN,0
2022-07-22,19.68,21.45,20.554,18.4478,28.2827,DOWN,0
2022-07-25,18.74,19.78,20.31,18.5454,28.2549,DOWN,0
2022-07-26,18.09,18.48,19.852,18.5934,28.2235,UP,1
2022-07-27,18.43,18.44,19.284,18.6018,28.1995,DOWN,0
2022-07-28,18.24,18.74,18.636,18.6194,28.1763,UP,1
2022-07-29,18.25,18.0,18.35,18.6274,28.1523,UP,1
2022-08-01,18.53,18.21,18.308,18.6508,28.132,UP,1
2022-08-02,19.73,18.22,18.636,18.66,28.1106,UP,1
2022-08-03,20.56,19.82,19.062,18.7034,28.093,DOWN,0
2022-08-04,18.56,18.04,19.126,18.7066,28.0591,DOWN,0
2022-08-05,18.05,18.4,19.086,18.7256,28.0257,UP,1
2022-08-08,18.72,18.18,19.124,18.751,27.9981,DOWN,0
2022-08-09,17.46,18.52,18.67,18.7224,27.9631,UP,1
2022-08-10,18.22,18.07,18.202,18.6902,27.9336,DOWN,0
2022-08-11,18.09,18.39,18.108,18.6484,27.8898,UP,1
2022-08-12,18.66,18.25,18.23,18.6316,27.8512,UP,1
2022-08-15,18.76,18.36,18.238,18.6076,27.8099,UP,1
2022-08-16,18.93,18.62,18.532,18.6128,27.7272,DOWN,0
2022-08-17,18.46,18.66,18.58,18.599,27.6345,DOWN,0
2022-08-18,18.23,18.58,18.608,18.5844,27.543,DOWN,0
2022-08-19,16.75,17.98,18.226,18.5276,27.4511,DOWN,0
2022-08-22,16.1,16.775,17.694,18.472,27.3489,DOWN,0
2022-08-23,15.98,16.26,17.104,18.4312,27.2432,UP,1
2022-08-24,16.44,16.25,16.7,18.4338,27.1164,UP,1
2022-08-25,16.98,16.7,16.45,18.4414,26.9717,DOWN,0
2022-08-26,16.24,17.1,16.348,18.4158,26.829,DOWN,0
2022-08-29,16.17,16.09,16.362,18.4282,26.7061,DOWN,0
2022-08-30,15.15,15.8,16.196,18.3986,26.557,UP,1
2022-08-31,15.34,15.32,15.976,18.3474,26.414,UP,1
2022-09-01,15.38,15.21,15.656,18.2944,26.2665,DOWN,0
2022-09-02,15.16,15.47,15.44,18.2116,26.0647,DOWN,0
2022-09-06,14.61,15.04,15.128,18.1196,25.875,UP,1
2022-09-07,14.7,14.4638,15.038,18.0458,25.7133,UP,1
2022-09-08,14.99,14.46,14.968,17.9868,25.5122,UP,1
2022-09-09,15.08,15.0,14.908,17.9424,25.332,UP,1
2022-09-12,16.55,15.45,15.186,17.9302,25.1525,DOWN,0
2022-09-13,16.1,15.81,15.484,17.9122,24.9702,UP,1
2022-09-14,16.63,16.02,15.87,17.9002,24.7947,DOWN,0
2022-09-15,16.49,16.4,16.17,17.8656,24.6019,DOWN,0
2022-09-16,16.18,16.13,16.39,17.793,24.4179,DOWN,0
2022-09-19,15.94,16.06,16.268,17.712,24.2419,DOWN,0
2022-09-20,15.34,15.82,16.116,17.6482,24.0765,UP,1
2022-09-21,15.56,15.39,15.902,17.5728,23.918,DOWN,0
2022-09-22,14.31,15.45,15.466,17.4688,23.7652,DOWN,0
2022-09-23,14.03,14.17,15.036,17.3472,23.616,UP,1
2022-09-26,14.06,14.05,14.66,17.2348,23.4627,UP,1
2022-09-27,14.41,14.81,14.474,17.1238,23.3521,UP,1
2022-09-28,15.22,14.52,14.406,17.0206,23.2399,DOWN,0
2022-09-29,14.19,14.98,14.382,16.879,23.1151,DOWN,0
2022-09-30,13.97,14.05,14.37,16.7288,22.9806,UP,1
2022-10-03,14.09,14.0,14.376,16.617,22.847,UP,1
2022-10-04,15.4,14.51,14.574,16.5502,22.7238,DOWN,0
2022-10-05,14.99,14.961,14.528,16.4882,22.5987,DOWN,0
2022-10-06,14.41,15.018,14.572,16.4078,22.4808,DOWN,0
2022-10-07,13.17,14.061,14.412,16.3064,22.3565,DOWN,0
2022-10-10,12.48,13.23,14.09,16.191,22.2254,UP,1
2022-10-11,12.65,12.43,13.54,16.0734,22.1005,UP,1
2022-10-12,13.09,13.25,13.16,15.9406,21.9727,DOWN,0
2022-10-13,13.01,12.74,12.88,15.7896,21.8529,DOWN,0
2022-10-14,11.89,13.18,12.624,15.6562,21.7275,UP,1
2022-10-17,12.41,12.35,12.61,15.5434,21.5958,UP,1
2022-10-18,13.01,12.92,12.682,15.4292,21.4706,DOWN,0
2022-10-19,12.64,12.845,12.592,15.3328,21.3291,DOWN,0
2022-10-20,12.6,12.71,12.51,15.2204,21.1951,UP,1
2022-10-21,13.31,12.46,12.794,15.1248,21.0782,DOWN,0
2022-10-24,12.8,13.17,12.872,15.0076,20.9511,UP,1
2022-10-25,13.92,12.9,13.054,14.9108,20.8108,DOWN,0
2022-10-26,13.91,13.74,13.308,14.8104,20.6718,DOWN,0
2022-10-27,13.79,14.05,13.546,14.717,20.5134,UP,1
2022-10-28,14.23,13.79,13.73,14.637,20.3574,UP,1
2022-10-31,14.29,14.16,14.028,14.5878,20.2218,DOWN,0
2022-11-01,13.62,14.67,13.968,14.5382,20.0788,DOWN,0
2022-11-02,13.34,13.67,13.854,14.4854,19.9494,UP,1
2022-11-03,13.64,13.23,13.824,14.4294,19.8175,UP,1
2022-11-04,13.89,14.04,13.756,14.3676,19.6933,DOWN,0
2022-11-07,13.85,14.05,13.668,14.3198,19.5738,DOWN,0
2022-11-08,13.5,13.91,13.644,14.2664,19.4526,DOWN,0
2022-11-09,11.21,12.49,13.218,14.1876,19.3313,UP,1
2022-11-10,12.11,12.01,12.912,14.123,19.2248,UP,1
2022-11-11,12.91,12.13,12.716,14.0736,19.1459,DOWN,0
2022-11-14,12.21,12.88,12.388,14.0146,19.0712,UP,1
2022-11-15,12.36,12.715,12.16,13.9696,18.986,DOWN,0
2022-11-16,11.37,12.3,12.192,13.903,18.8931,UP,1
2022-11-17,11.46,11.24,12.062,13.8324,18.812,DOWN,0
2022-11-18,11.26,11.58,11.732,13.756,18.7335,DOWN,0
2022-11-21,10.31,11.11,11.352,13.6312,18.6473,DOWN,0
2022-11-22,10.13,10.39,10.906,13.5118,18.5631,UP,1
2022-11-23,10.25,10.24,10.682,13.3842,18.4772,DOWN,0
2022-11-25,10.02,10.27,10.394,13.2548,18.3832,DOWN,0
2022-11-28,9.85,9.985,10.112,13.1282,18.2929,DOWN,0
2022-11-29,9.76,10.05,10.002,13.0046,18.2125,UP,1
2022-11-30,10.14,9.86,10.004,12.9006,18.126,X,X
