ticker,D US Equity,D US Equity,D US Equity,D US Equity,D US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2010-07-13,41.1,41.23,38.675,40.784,40.3771,UP,1
2010-07-14,41.44,40.9,38.7113,41.036,40.3565,DOWN,0
2010-07-15,41.27,41.44,38.7446,41.14,40.3483,DOWN,0
2010-07-16,40.43,40.96,38.7731,41.046,40.3213,UP,1
2010-07-19,41.4,40.58,38.8076,41.128,40.3451,UP,1
2010-07-20,41.96,40.86,38.8484,41.3,40.3799,DOWN,0
2010-07-21,41.26,41.99,38.8873,41.264,40.3669,UP,1
2010-07-22,42.22,41.61,38.9299,41.454,40.3753,UP,1
2010-07-23,42.41,42.18,38.9726,41.85,40.3865,UP,1
2010-07-26,42.6,42.26,39.0152,42.09,40.4077,UP,1
2010-07-27,43.27,42.77,39.0604,42.352,40.4533,DOWN,0
2010-07-28,42.98,43.09,39.1018,42.696,40.4875,DOWN,0
2010-07-29,41.69,43.16,39.1359,42.59,40.5071,UP,1
2010-07-30,41.99,41.46,39.1733,42.506,40.5383,UP,1
2010-08-02,43.2,42.42,39.2157,42.626,40.6175,DOWN,0
2010-08-03,43.12,43.08,39.2596,42.596,40.6893,UP,1
2010-08-04,43.5,43.12,39.3045,42.7,40.7743,UP,1
2010-08-05,43.55,43.24,39.3467,43.072,40.8607,UP,1
2010-08-06,43.67,43.26,39.3902,43.408,40.9629,UP,1
2010-08-09,44.03,43.81,39.435,43.574,41.0607,UP,1
2010-08-10,44.18,43.57,39.4784,43.786,41.1651,DOWN,0
2010-08-11,43.71,43.75,39.5211,43.828,41.2675,UP,1
2010-08-12,43.8,43.32,39.5661,43.878,41.3491,UP,1
2010-08-13,43.91,43.65,39.6121,43.926,41.4243,UP,1
2010-08-16,44.03,43.7,39.6592,43.926,41.5248,UP,1
2010-08-17,44.71,44.32,39.7096,44.032,41.6324,DOWN,0
2010-08-18,44.11,44.65,39.7597,44.112,41.7114,DOWN,0
2010-08-19,43.67,43.97,39.805,44.086,41.7864,UP,1
2010-08-20,43.93,43.35,39.851,44.09,41.8488,UP,1
2010-08-23,44.35,44.05,39.8973,44.154,41.9238,UP,1
2010-08-24,44.41,43.99,39.9403,44.094,42.0024,DOWN,0
2010-08-25,43.15,43.24,39.9762,43.902,42.0398,DOWN,0
2010-08-26,42.76,43.15,40.0069,43.72,42.0616,UP,1
2010-08-27,43.42,42.98,40.0402,43.618,42.093,DOWN,0
2010-08-30,42.69,43.38,40.0703,43.286,42.1068,UP,1
2010-08-31,42.73,42.62,40.1027,42.95,42.125,UP,1
