ticker,AAL US Equity,AAL US Equity,AAL US Equity,AAL US Equity,AAL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-11-12,43.43,43.25,43.408,37.286,38.2838,UP,1
2014-11-13,44.12,43.54,43.604,37.399,38.3354,DOWN,0
2014-11-14,44.01,44.0,43.766,37.5222,38.3877,DOWN,0
2014-11-17,43.69,43.97,43.738,37.6314,38.4363,UP,1
2014-11-18,45.05,43.755,44.06,37.7732,38.4913,DOWN,0
2014-11-19,44.1,44.83,44.194,37.8836,38.5428,UP,1
2014-11-20,44.16,43.65,44.202,38.005,38.5903,DOWN,0
2014-11-21,43.31,44.38,44.062,38.1182,38.6285,DOWN,0
2014-11-24,43.21,43.72,43.966,38.241,38.6667,UP,1
2014-11-25,44.15,43.18,43.786,38.3644,38.7118,UP,1
2014-11-26,44.97,44.31,43.96,38.5146,38.7632,UP,1
2014-11-28,48.53,47.0,44.834,38.7242,38.8307,DOWN,0
2014-12-01,47.88,49.0,45.748,38.9492,38.898,DOWN,0
2014-12-02,47.86,48.12,46.678,39.1948,38.9658,UP,1
2014-12-03,48.24,47.74,47.496,39.453,39.034,UP,1
2014-12-04,49.65,49.6,48.432,39.7236,39.104,UP,1
2014-12-05,51.01,50.09,48.928,40.0396,39.1782,DOWN,0
2014-12-08,50.82,50.44,49.516,40.3374,39.249,DOWN,0
2014-12-09,48.31,49.1,49.606,40.603,39.3056,UP,1
2014-12-10,48.94,49.8,49.746,40.8722,39.3665,UP,1
2014-12-11,50.53,49.8,49.922,41.195,39.4364,DOWN,0
2014-12-12,49.97,51.675,49.714,41.5158,39.5016,UP,1
2014-12-15,50.84,50.21,49.718,41.808,39.5753,DOWN,0
2014-12-16,47.96,51.01,49.648,42.0686,39.6284,UP,1
2014-12-17,48.8,48.26,49.62,42.3628,39.6831,UP,1
2014-12-18,50.14,48.56,49.542,42.7056,39.7397,UP,1
2014-12-19,50.71,49.67,49.69,43.0802,39.7982,UP,1
2014-12-22,50.84,51.1,49.69,43.4814,39.8576,DOWN,0
2014-12-23,50.21,50.95,50.14,43.914,39.9182,UP,1
2014-12-24,51.43,50.66,50.666,44.3124,39.9876,UP,1
2014-12-26,51.955,51.46,51.029,44.7177,40.0637,UP,1
2014-12-29,52.85,51.65,51.457,45.1153,40.1462,UP,1
2014-12-30,53.42,53.0,51.973,45.5161,40.2248,UP,1
2014-12-31,53.63,53.9,52.657,45.8843,40.3062,UP,1
2015-01-02,53.91,54.28,53.153,46.2055,40.3904,DOWN,0
2015-01-05,53.875,54.37,53.537,46.5422,40.4769,DOWN,0
2015-01-06,53.04,54.27,53.575,46.8334,40.5616,DOWN,0
2015-01-07,53.01,53.38,53.493,47.0972,40.6426,UP,1
2015-01-08,53.66,53.48,53.499,47.3722,40.7214,DOWN,0
2015-01-09,52.02,53.67,53.121,47.6078,40.798,DOWN,0
2015-01-12,49.58,51.06,52.262,47.8006,40.8671,UP,1
2015-01-13,50.4,50.12,51.734,48.0026,40.9421,DOWN,0
2015-01-14,49.41,49.41,51.014,48.1638,41.0062,DOWN,0
2015-01-15,49.41,49.135,50.164,48.312,41.0635,UP,1
2015-01-16,49.81,49.38,49.722,48.4542,41.124,UP,1
2015-01-20,52.75,51.0,50.356,48.6642,41.2011,UP,1
2015-01-21,53.67,52.65,51.01,48.8748,41.2866,UP,1
2015-01-22,55.59,54.52,52.246,49.1226,41.3857,UP,1
2015-01-23,55.69,55.4,53.502,49.3598,41.4842,DOWN,0
2015-01-26,55.45,55.89,54.63,49.6,41.577,DOWN,0
2015-01-27,52.695,53.99,54.619,49.7853,41.664,DOWN,0
2015-01-28,50.62,52.79,54.009,49.9153,41.7487,UP,1
2015-01-29,52.24,51.045,53.339,50.0799,41.8431,DOWN,0
2015-01-30,49.08,52.02,52.017,50.1877,41.9199,DOWN,0
2015-02-02,48.72,48.58,50.671,50.2611,41.9859,DOWN,0
2015-02-03,47.5,47.3,49.632,50.3291,42.0464,UP,1
2015-02-04,49.46,48.62,49.4,50.4351,42.1154,DOWN,0
2015-02-05,48.81,49.46,48.714,50.5451,42.1786,DOWN,0
2015-02-06,48.145,48.84,48.527,50.6438,42.2339,DOWN,0
2015-02-09,46.53,46.41,48.089,50.6914,42.2802,UP,1
2015-02-10,48.05,47.4,48.199,50.753,42.3405,DOWN,0
2015-02-11,47.59,48.79,47.825,50.7342,42.4026,UP,1
2015-02-12,47.88,46.75,47.639,50.7342,42.4645,UP,1
2015-02-13,48.39,47.53,47.688,50.7448,42.5311,DOWN,0
2015-02-17,48.01,48.77,47.984,50.7402,42.5892,UP,1
2015-02-18,49.31,48.6,48.236,50.7334,42.6533,UP,1
2015-02-19,49.78,50.78,48.674,50.7088,42.7192,UP,1
2015-02-20,51.02,49.81,49.302,50.7128,42.7909,UP,1
2015-02-23,51.31,51.75,49.886,50.7728,42.8614,UP,1
2015-02-24,51.52,50.29,50.588,50.8244,42.9277,DOWN,0
2015-02-25,49.73,51.3,50.672,50.8084,42.9851,DOWN,0
2015-02-26,49.35,50.38,50.586,50.796,43.0349,DOWN,0
2015-02-27,47.9,49.0,49.962,50.7372,43.0778,UP,1
2015-03-02,48.31,48.2,49.362,50.7442,43.1252,UP,1
2015-03-03,48.77,47.9,48.812,50.7436,43.1781,UP,1
2015-03-04,48.95,48.85,48.656,50.7198,43.2302,DOWN,0
2015-03-05,48.395,49.19,48.465,50.6735,43.2793,DOWN,0
2015-03-06,47.995,48.33,48.484,50.6166,43.3281,DOWN,0
2015-03-09,47.92,48.05,48.406,50.5708,43.3761,DOWN,0
2015-03-10,46.735,47.5,47.999,50.4769,43.4162,UP,1
2015-03-11,47.39,46.9,47.687,50.3856,43.4576,UP,1
2015-03-12,48.68,47.57,47.744,50.3022,43.5042,UP,1
2015-03-13,49.22,48.75,47.989,50.2182,43.5513,UP,1
2015-03-16,50.22,49.77,48.449,50.15,43.6033,UP,1
