ticker,DDOG US Equity,DDOG US Equity,DDOG US Equity,DDOG US Equity,DDOG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-07-20,107.52,105.67,105.028,96.3852,96.1901,UP,1
2021-07-21,108.39,107.58,105.772,97.0158,96.2146,UP,1
2021-07-22,110.2,109.24,107.116,97.6474,96.2312,UP,1
2021-07-23,111.23,110.35,108.434,98.3352,96.2677,DOWN,0
2021-07-26,109.79,110.65,109.426,98.9832,96.2946,DOWN,0
2021-07-27,109.62,109.99,109.846,99.5254,96.3293,UP,1
2021-07-28,111.45,110.09,110.458,100.1338,96.3276,DOWN,0
2021-07-29,111.23,111.06,110.664,100.6962,96.3228,DOWN,0
2021-07-30,110.7,110.52,110.558,101.2368,96.292,UP,1
2021-08-02,111.63,110.85,110.926,101.707,96.2824,UP,1
2021-08-03,114.68,111.63,111.938,102.2216,96.2893,UP,1
2021-08-04,114.93,114.86,112.634,102.725,96.3022,UP,1
2021-08-05,132.47,131.64,116.882,103.5828,96.4062,DOWN,0
2021-08-06,131.92,129.8198,121.126,104.3926,96.5229,DOWN,0
2021-08-09,130.0,128.68,124.8,105.1464,96.662,DOWN,0
2021-08-10,125.3,130.21,126.924,105.8314,96.7938,UP,1
2021-08-11,128.21,125.105,129.58,106.558,96.9244,UP,1
2021-08-12,130.28,127.4,129.142,107.3316,97.0771,UP,1
2021-08-13,135.49,131.05,129.856,108.2676,97.2479,DOWN,0
2021-08-16,133.52,135.51,130.56,109.169,97.4303,DOWN,0
2021-08-17,133.0,132.625,132.1,110.0166,97.6133,DOWN,0
2021-08-18,132.68,133.0,132.994,110.8206,97.8229,DOWN,0
2021-08-19,132.42,131.3,133.422,111.6346,98.0433,DOWN,0
2021-08-20,131.15,131.71,132.554,112.3676,98.2484,UP,1
2021-08-23,132.5,131.07,132.35,113.108,98.4228,UP,1
2021-08-24,135.48,133.7,132.846,113.8726,98.5905,UP,1
2021-08-25,135.63,135.45,133.436,114.6534,98.7669,DOWN,0
2021-08-26,131.3,135.09,133.212,115.3118,98.9489,UP,1
2021-08-27,134.84,131.865,133.95,115.9736,99.1601,UP,1
2021-08-30,136.63,135.61,134.776,116.641,99.4091,UP,1
2021-08-31,137.8,136.99,135.24,117.35,99.6481,DOWN,0
2021-09-01,135.77,138.08,135.268,117.9746,99.8978,UP,1
2021-09-02,137.09,136.63,136.426,118.5858,100.1515,UP,1
2021-09-03,138.06,137.22,137.07,119.2182,100.4013,DOWN,0
2021-09-07,137.36,138.18,137.216,119.8442,100.6516,UP,1
2021-09-08,139.57,136.03,137.57,120.5068,100.905,UP,1
2021-09-09,140.9,140.0,138.596,121.1808,101.1641,DOWN,0
2021-09-10,137.15,141.74,138.608,121.8422,101.3946,DOWN,0
2021-09-13,135.23,137.28,138.042,122.4554,101.6249,UP,1
2021-09-14,138.12,135.72,138.194,123.0884,101.8479,UP,1
2021-09-15,139.11,137.49,138.102,123.697,102.0614,UP,1
2021-09-16,144.14,139.19,138.75,124.4336,102.2875,DOWN,0
2021-09-17,143.13,144.93,139.946,125.1542,102.5248,DOWN,0
2021-09-20,142.25,138.6,141.35,125.8368,102.7685,UP,1
2021-09-21,145.38,143.32,142.802,126.5892,103.0086,UP,1
2021-09-22,148.69,145.83,144.718,127.4312,103.2442,DOWN,0
2021-09-23,147.5,150.67,145.39,128.2878,103.4859,DOWN,0
2021-09-24,147.32,146.3,146.228,129.1646,103.7233,DOWN,0
2021-09-27,142.0,145.57,146.178,129.9118,103.955,DOWN,0
2021-09-28,137.4,138.86,144.582,130.5632,104.1344,UP,1
2021-09-29,138.14,138.82,142.472,131.1756,104.3302,UP,1
2021-09-30,141.35,138.98,141.242,131.8348,104.5256,UP,1
2021-10-01,144.69,142.02,140.716,132.5246,104.7429,DOWN,0
2021-10-04,137.1,143.59,139.736,133.042,104.9056,UP,1
2021-10-05,141.89,137.23,140.634,133.684,105.0716,UP,1
2021-10-06,143.31,140.87,141.668,134.3578,105.2495,DOWN,0
2021-10-07,142.1,143.56,141.818,134.9708,105.4277,DOWN,0
2021-10-08,140.32,143.18,140.944,135.5526,105.574,UP,1
2021-10-11,141.96,139.005,141.916,136.1778,105.7466,UP,1
2021-10-12,145.59,143.99,142.656,136.857,105.9431,UP,1
2021-10-13,155.89,146.86,145.172,137.6812,106.2215,DOWN,0
2021-10-14,153.36,157.5,147.424,138.4498,106.4937,UP,1
2021-10-15,154.48,153.72,150.256,138.89,106.7695,UP,1
2021-10-18,157.42,154.95,153.348,139.4,107.0644,UP,1
2021-10-19,157.94,158.0,155.818,139.9588,107.398,UP,1
2021-10-20,158.85,159.43,156.41,140.6298,107.7271,UP,1
2021-10-21,160.92,159.45,157.922,141.284,108.075,UP,1
2021-10-22,162.39,160.94,159.504,141.9262,108.4038,DOWN,0
2021-10-25,161.58,161.98,160.336,142.448,108.712,UP,1
2021-10-26,163.87,164.58,161.522,143.055,109.0101,DOWN,0
2021-10-27,157.09,163.0,161.17,143.5368,109.2676,UP,1
2021-10-28,161.0,156.175,161.186,144.1032,109.5484,UP,1
2021-10-29,167.05,161.92,162.118,144.7958,109.8744,DOWN,0
2021-11-01,165.2,167.46,162.842,145.4768,110.2012,DOWN,0
2021-11-02,164.88,166.03,163.044,146.1244,110.5302,DOWN,0
2021-11-03,162.79,164.5,164.184,146.6706,110.8227,UP,1
2021-11-04,166.95,163.0,165.374,147.297,111.1408,UP,1
2021-11-05,185.51,193.89,169.066,148.3812,111.5433,UP,1
2021-11-08,191.35,186.2862,174.296,149.5114,111.9552,UP,1
2021-11-09,196.56,195.6034,180.632,150.71,112.4204,DOWN,0
2021-11-10,188.8,194.0,185.834,151.73,112.8744,UP,1
2021-11-11,190.34,191.05,190.512,152.8214,113.3261,UP,1
2021-11-12,193.03,190.79,192.016,153.9402,113.7775,DOWN,0
2021-11-15,191.0,194.585,191.946,154.999,114.2236,UP,1
2021-11-16,193.26,188.1484,191.286,156.117,114.6598,DOWN,0
2021-11-17,190.26,193.75,191.578,157.1308,115.0585,UP,1
2021-11-18,190.6,191.39,191.63,158.1248,115.4519,UP,1
2021-11-19,192.6,197.6962,191.544,159.2338,115.8404,DOWN,0
2021-11-22,180.75,193.0,189.494,160.1442,116.1621,DOWN,0
2021-11-23,179.42,170.61,186.726,160.9702,116.4699,UP,1
2021-11-24,180.34,174.57,184.742,161.7948,116.7939,UP,1
2021-11-26,181.25,180.0,182.872,162.537,117.1121,UP,1
2021-11-29,182.99,183.8,180.95,163.3342,117.4628,DOWN,0
2021-11-30,178.29,183.28,180.458,164.055,117.8164,DOWN,0
2021-12-01,164.53,182.85,177.48,164.438,118.1237,UP,1
2021-12-02,169.44,159.6,175.3,164.853,118.4389,DOWN,0
2021-12-03,164.22,168.88,171.894,165.1874,118.7347,DOWN,0
2021-12-06,161.41,160.43,167.578,165.4692,119.0433,UP,1
2021-12-07,177.01,165.37,167.322,166.1694,119.435,UP,1
2021-12-08,183.16,177.59,171.048,167.0846,119.854,DOWN,0
2021-12-09,175.41,183.5,172.242,167.83,120.256,DOWN,0
2021-12-10,174.56,177.71,174.31,168.4942,120.6518,DOWN,0
2021-12-13,172.03,174.94,176.434,169.041,121.0239,DOWN,0
2021-12-14,160.78,157.32,173.188,169.5146,121.3602,UP,1
2021-12-15,171.02,161.22,170.76,170.0972,121.7653,DOWN,0
2021-12-16,164.05,172.4,168.488,170.512,122.1606,UP,1
2021-12-17,170.16,160.0,167.608,171.0732,122.6004,DOWN,0
2021-12-20,164.38,163.8,166.078,171.5544,123.0347,UP,1
2021-12-21,177.49,166.99,169.42,172.265,123.5121,UP,1
2021-12-22,179.68,176.98,171.152,172.9468,124.007,UP,1
2021-12-23,180.36,179.41,174.414,173.4362,124.4776,UP,1
2021-12-27,183.47,182.0,177.076,174.0384,124.98,DOWN,0
2021-12-28,177.42,185.7,179.684,174.4972,125.429,UP,1
2021-12-29,179.71,176.81,180.128,174.943,125.8957,DOWN,0
2021-12-30,178.93,179.99,179.978,175.3628,126.3577,DOWN,0
2021-12-31,178.11,179.19,179.528,175.748,126.8388,DOWN,0
2022-01-03,163.83,178.75,175.6,175.8062,127.2378,DOWN,0
2022-01-04,157.76,163.44,171.668,175.7136,127.6007,DOWN,0
2022-01-05,145.52,152.45,164.83,175.3924,127.9024,DOWN,0
2022-01-06,143.89,145.6885,157.822,174.9928,128.2156,DOWN,0
2022-01-07,143.79,144.0,150.958,174.7268,128.5432,UP,1
2022-01-10,146.33,139.78,147.458,174.4334,128.8734,UP,1
2022-01-11,148.6,144.8,145.626,174.0644,129.2312,DOWN,0
2022-01-12,146.33,150.38,145.788,173.687,129.576,DOWN,0
2022-01-13,135.13,145.75,144.036,173.092,129.835,UP,1
2022-01-14,138.28,135.34,142.934,172.6018,130.0904,DOWN,0
2022-01-18,131.87,132.96,140.042,171.9002,130.3335,DOWN,0
2022-01-19,130.91,133.205,136.504,170.8082,130.5436,DOWN,0
2022-01-20,130.01,132.88,133.24,169.5814,130.7607,DOWN,0
2022-01-21,125.55,128.26,131.324,168.1612,130.9468,UP,1
2022-01-24,136.07,121.745,130.882,167.1066,131.1832,DOWN,0
