ticker,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-15,20.8438,20.0625,16.2441,19.2313,18.1003,UP,1
2000-06-16,21.3438,20.8438,16.2783,19.825,18.1838,DOWN,0
2000-06-19,21.125,21.3438,16.3133,20.4188,18.2656,UP,1
2000-06-20,21.9063,21.125,16.3505,21.05,18.3644,DOWN,0
2000-06-21,20.9375,21.8125,16.383,21.2313,18.4431,DOWN,0
2000-06-22,20.5938,20.9688,16.4145,21.1813,18.5188,DOWN,0
2000-06-23,19.8125,20.6875,16.4426,20.875,18.5766,UP,1
2000-06-26,20.125,19.8125,16.4723,20.675,18.6294,UP,1
2000-06-27,20.1563,20.0,16.5044,20.325,18.7084,UP,1
2000-06-28,20.9688,20.1563,16.5402,20.3313,18.8009,UP,1
2000-06-29,22.0,20.8125,16.579,20.6125,18.9,DOWN,0
2000-06-30,21.875,21.75,16.6183,21.025,18.9678,UP,1
2000-07-03,22.0156,21.875,16.658,21.4031,19.0353,UP,1
2000-07-05,22.2031,22.0313,16.6995,21.8125,19.1188,UP,1
2000-07-06,23.5313,22.2188,16.7498,22.325,19.2238,UP,1
2000-07-07,23.7969,25.0,16.8027,22.6844,19.3388,UP,1
2000-07-10,23.9219,23.9688,16.8572,23.0938,19.4581,DOWN,0
2000-07-11,23.9219,23.875,16.9123,23.475,19.5769,DOWN,0
2000-07-12,22.7188,23.625,16.9616,23.5781,19.6703,DOWN,0
2000-07-13,22.4375,22.7188,17.0102,23.3594,19.7541,UP,1
2000-07-14,22.5,22.5,17.0583,23.1,19.85,UP,1
2000-07-17,22.5938,22.5,17.1073,22.8344,19.9469,UP,1
2000-07-18,22.75,22.4688,17.1585,22.6,20.0419,DOWN,0
2000-07-19,22.3125,22.4375,17.2079,22.5188,20.1281,DOWN,0
2000-07-20,22.0,22.2813,17.2559,22.4313,20.2084,UP,1
2000-07-21,23.3125,21.9375,17.3082,22.5938,20.3022,UP,1
2000-07-24,23.4844,23.3125,17.3625,22.7719,20.4056,DOWN,0
2000-07-25,22.5938,23.8125,17.4086,22.7406,20.4931,UP,1
2000-07-26,24.0625,22.7188,17.4559,23.0906,20.5988,DOWN,0
2000-07-27,23.5313,23.875,17.5024,23.3969,20.6956,DOWN,0
2000-07-28,22.6563,23.5,17.5459,23.2656,20.7881,DOWN,0
2000-07-31,21.4688,22.7813,17.5845,22.8625,20.8544,UP,1
2000-08-01,22.0,20.9688,17.6255,22.7438,20.9394,UP,1
2000-08-02,22.1563,21.9375,17.667,22.3625,21.0306,UP,1
2000-08-03,23.0,22.0938,17.7095,22.2563,21.1456,DOWN,0
2000-08-04,22.9688,23.0,17.7478,22.3188,21.2338,UP,1
2000-08-07,23.125,22.5625,17.7861,22.65,21.3169,DOWN,0
2000-08-08,23.0625,22.9375,17.8255,22.8625,21.4,DOWN,0
2000-08-09,22.5625,23.1875,17.8619,22.9438,21.4688,UP,1
2000-08-10,23.0469,22.5938,17.9031,22.9531,21.5516,UP,1
2000-08-11,23.25,23.25,17.9444,23.0094,21.6397,DOWN,0
2000-08-14,23.0,23.4063,17.9831,22.9844,21.7341,DOWN,0
2000-08-15,22.9063,23.125,18.0205,22.9531,21.8153,UP,1
2000-08-16,23.125,22.9375,18.058,23.0656,21.9078,DOWN,0
2000-08-17,22.6563,23.25,18.0913,22.9875,21.9984,DOWN,0
2000-08-18,22.4688,22.6563,18.1217,22.8313,22.0828,UP,1
2000-08-21,22.7813,22.375,18.1517,22.7875,22.1709,DOWN,0
2000-08-22,22.3125,22.7813,18.1806,22.6688,22.2541,DOWN,0
2000-08-23,22.3125,22.3125,18.2102,22.5063,22.3253,DOWN,0
2000-08-24,21.6563,22.375,18.2375,22.3063,22.3578,UP,1
2000-08-25,21.9375,21.6875,18.2697,22.2,22.3797,UP,1
2000-08-28,22.375,22.0625,18.3043,22.1188,22.4003,DOWN,0
2000-08-29,21.625,22.125,18.3352,21.9813,22.4103,UP,1
2000-08-30,22.25,21.625,18.368,21.9688,22.4172,UP,1
2000-08-31,22.4063,22.0,18.4019,22.1188,22.4466,UP,1
2000-09-01,22.625,22.5625,18.4346,22.2563,22.4872,DOWN,0
2000-09-05,22.1875,22.6875,18.4638,22.2188,22.5347,DOWN,0
2000-09-06,21.7969,22.3125,18.4905,22.2531,22.5681,UP,1
2000-09-07,22.4844,21.9375,18.5242,22.3,22.6147,UP,1
2000-09-08,22.9219,22.4375,18.5629,22.4031,22.6538,DOWN,0
2000-09-11,22.4219,22.8438,18.5971,22.3625,22.6622,UP,1
2000-09-12,22.4844,22.5,18.6332,22.4219,22.6744,DOWN,0
