ticker,DG US Equity,DG US Equity,DG US Equity,DG US Equity,DG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2010-05-19,29.7,29.24,29.43,27.2148,,DOWN,0
2010-05-20,29.03,29.31,29.348,27.2942,,UP,1
2010-05-21,29.55,28.74,29.404,27.383,,UP,1
2010-05-24,30.01,29.6,29.516,27.4806,,UP,1
2010-05-25,30.61,29.38,29.78,27.5922,,DOWN,0
2010-05-26,30.44,31.0,29.928,27.6986,,UP,1
2010-05-27,30.64,31.07,30.25,27.795,,DOWN,0
2010-05-28,30.23,30.46,30.386,27.8948,,UP,1
2010-06-01,30.54,30.23,30.492,27.9936,,UP,1
2010-06-02,31.36,30.84,30.642,28.1206,,DOWN,0
2010-06-03,30.7,31.06,30.694,28.231,,DOWN,0
2010-06-04,30.04,30.25,30.574,28.3268,,DOWN,0
2010-06-07,29.23,30.19,30.374,28.4228,,UP,1
2010-06-08,29.83,30.35,30.232,28.5196,,UP,1
2010-06-09,30.0,30.19,29.96,28.6126,,DOWN,0
2010-06-10,29.98,30.95,29.816,28.6964,,DOWN,0
2010-06-11,29.97,29.69,29.802,28.7908,,UP,1
2010-06-14,30.22,30.175,30.0,28.8848,,DOWN,0
2010-06-15,30.0,30.19,30.034,28.9688,,UP,1
2010-06-16,30.3,29.98,30.094,29.0346,,DOWN,0
2010-06-17,29.9,30.26,30.078,29.1016,,UP,1
2010-06-18,30.15,29.71,30.114,29.1744,,DOWN,0
2010-06-21,29.63,30.39,29.996,29.2376,,DOWN,0
2010-06-22,28.89,29.64,29.774,29.2906,,UP,1
2010-06-23,29.13,29.03,29.54,29.3326,,DOWN,0
2010-06-24,29.13,29.09,29.386,29.3648,,DOWN,0
2010-06-25,29.08,29.0,29.172,29.4064,,DOWN,0
2010-06-28,28.91,29.07,29.028,29.4126,,DOWN,0
2010-06-29,28.39,28.39,28.928,29.4002,,DOWN,0
2010-06-30,27.55,28.28,28.612,29.3862,,UP,1
2010-07-01,28.13,27.51,28.412,29.385,,DOWN,0
2010-07-02,28.01,28.28,28.198,29.3546,,DOWN,0
2010-07-06,28.0,28.16,28.016,29.327,,DOWN,0
2010-07-07,27.95,27.44,27.928,29.2944,,DOWN,0
2010-07-08,27.63,28.13,27.944,29.2672,,UP,1
2010-07-09,28.14,27.6,27.946,29.2498,,DOWN,0
2010-07-12,27.47,28.12,27.838,29.2166,,UP,1
2010-07-13,27.7,27.64,27.778,29.1992,,UP,1
2010-07-14,28.23,27.71,27.834,29.1834,,UP,1
2010-07-15,29.8,28.29,28.268,29.2066,,DOWN,0
2010-07-16,29.09,29.78,28.458,29.218,,UP,1
2010-07-19,29.27,29.2,28.818,29.2452,,UP,1
2010-07-20,29.52,29.0,29.182,29.2918,,DOWN,0
2010-07-21,28.92,29.67,29.32,29.3158,,UP,1
2010-07-22,28.98,29.06,29.156,29.3358,,UP,1
2010-07-23,29.37,29.03,29.212,29.336,,UP,1
2010-07-26,29.69,29.58,29.296,29.341,,DOWN,0
2010-07-27,29.36,29.69,29.264,29.3428,,UP,1
2010-07-28,29.5,29.39,29.38,29.3438,,DOWN,0
2010-07-29,28.72,29.65,29.328,29.3324,,UP,1
2010-07-30,29.18,28.59,29.29,29.322,,UP,1
2010-08-02,29.51,29.52,29.254,29.3316,,DOWN,0
2010-08-03,29.33,29.6,29.248,29.3272,,UP,1
2010-08-04,30.1,29.32,29.368,29.329,,DOWN,0
2010-08-05,29.59,29.84,29.542,29.3086,,DOWN,0
2010-08-06,29.44,29.33,29.594,29.2886,,UP,1
2010-08-09,29.66,29.46,29.624,29.269,,DOWN,0
2010-08-10,29.35,29.52,29.628,29.2514,,DOWN,0
2010-08-11,28.44,29.32,29.296,29.2094,,UP,1
2010-08-12,29.0,28.16,29.178,29.1622,,DOWN,0
2010-08-13,28.76,28.99,29.042,29.1234,,UP,1
2010-08-16,29.08,28.72,28.926,29.1042,,UP,1
2010-08-17,29.36,29.14,28.928,29.1068,,UP,1
2010-08-18,29.39,29.52,29.118,29.098,,DOWN,0
2010-08-19,29.0,29.36,29.118,29.078,,UP,1
2010-08-20,29.44,29.01,29.254,29.0672,,DOWN,0
2010-08-23,28.15,29.46,29.068,29.0308,,DOWN,0
2010-08-24,28.02,28.0,28.8,28.9868,,UP,1
2010-08-25,28.45,28.01,28.612,28.9558,,UP,1
2010-08-26,28.5,28.7,28.512,28.9198,,DOWN,0
2010-08-27,28.09,28.55,28.242,28.8836,,DOWN,0
2010-08-30,27.38,28.19,28.088,28.8282,26.3836,DOWN,0
2010-08-31,27.31,27.49,27.946,28.7818,26.4152,UP,1
2010-09-01,28.02,27.66,27.86,28.7644,26.4416,UP,1
2010-09-02,28.7,28.12,27.9,28.7558,26.4696,DOWN,0
