ticker,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-07-28,4.625,4.625,4.0255,4.7273,4.5291,UP,1
2000-07-31,4.6875,4.6406,4.0348,4.6719,4.5462,UP,1
2000-08-01,4.7422,4.6836,4.0448,4.6563,4.5657,UP,1
2000-08-02,4.9063,4.75,4.0558,4.6953,4.5891,UP,1
2000-08-03,5.0078,4.8594,4.0673,4.7938,4.6185,UP,1
2000-08-04,5.2109,5.0156,4.0792,4.9109,4.6452,UP,1
2000-08-07,5.3516,5.1719,4.0913,5.0438,4.6776,UP,1
2000-08-08,5.3594,5.2813,4.1035,5.1672,4.712,UP,1
2000-08-09,5.375,5.3359,4.1155,5.2609,4.7368,DOWN,0
2000-08-10,5.3594,5.3516,4.127,5.3313,4.759,DOWN,0
2000-08-11,5.3359,5.3594,4.1381,5.3563,4.7795,DOWN,0
2000-08-14,5.2422,5.3438,4.1481,5.3344,4.7923,DOWN,0
2000-08-15,5.0938,5.2188,4.1566,5.2813,4.8051,DOWN,0
2000-08-16,5.0547,5.0547,4.1649,5.2172,4.8124,DOWN,0
2000-08-17,4.7813,4.9531,4.1719,5.1016,4.8216,DOWN,0
2000-08-18,4.5781,4.75,4.1782,4.95,4.8249,UP,1
2000-08-21,4.6563,4.5938,4.1849,4.8328,4.8287,UP,1
2000-08-22,4.6875,4.6719,4.1903,4.7516,4.8377,DOWN,0
2000-08-23,4.4766,4.582,4.1946,4.6359,4.8374,UP,1
2000-08-24,4.5156,4.4844,4.199,4.5828,4.8398,DOWN,0
2000-08-25,4.4688,4.5234,4.2037,4.5609,4.8424,UP,1
2000-08-28,4.5078,4.4766,4.2085,4.5313,4.8454,DOWN,0
2000-08-29,4.3906,4.5391,4.2128,4.4719,4.8454,UP,1
2000-08-30,4.5859,4.3906,4.2181,4.4938,4.8484,DOWN,0
2000-08-31,4.5781,4.5938,4.2233,4.5063,4.8495,UP,1
2000-09-01,4.7109,4.7813,4.2288,4.5547,4.8541,DOWN,0
2000-09-05,4.7031,4.7539,4.2335,4.5938,4.8599,DOWN,0
2000-09-06,4.6172,4.8125,4.2388,4.6391,4.8616,UP,1
2000-09-07,4.7031,4.6563,4.245,4.6625,4.862,DOWN,0
2000-09-08,4.5313,4.6563,4.2508,4.6531,4.8571,UP,1
2000-09-11,4.5469,4.543,4.2563,4.6203,4.8534,UP,1
2000-09-12,4.6719,4.5781,4.263,4.6141,4.8513,UP,1
2000-09-13,4.8672,4.6875,4.2706,4.6641,4.8524,DOWN,0
2000-09-14,4.7422,4.8594,4.2778,4.6719,4.8515,UP,1
2000-09-15,4.8438,4.8594,4.2854,4.7344,4.8532,DOWN,0
2000-09-18,4.6895,4.7344,4.2915,4.7629,4.8425,UP,1
2000-09-19,4.7031,4.7031,4.2976,4.7691,4.8371,UP,1
2000-09-20,4.7344,4.6484,4.3045,4.7426,4.832,UP,1
2000-09-21,4.8281,4.7109,4.3117,4.7598,4.8278,UP,1
2000-09-22,4.8906,4.7969,4.32,4.7691,4.8256,UP,1
2000-09-25,4.9922,4.8438,4.33,4.8297,4.8254,DOWN,0
2000-09-26,4.9375,4.9688,4.3388,4.8766,4.8246,UP,1
2000-09-27,4.9844,4.9141,4.3479,4.9266,4.825,UP,1
2000-09-28,5.1328,5.0078,4.3581,4.9875,4.8282,DOWN,0
2000-09-29,5.0078,5.1719,4.3674,5.0109,4.8284,UP,1
2000-10-02,5.0469,5.0156,4.3768,5.0219,4.8295,DOWN,0
2000-10-03,4.9375,5.0781,4.3852,5.0219,4.8289,UP,1
2000-10-04,5.0938,4.9609,4.3944,5.0438,4.8344,UP,1
2000-10-05,5.125,5.0313,4.404,5.0422,4.8427,DOWN,0
2000-10-06,5.0234,5.1953,4.4132,5.0453,4.8529,UP,1
2000-10-09,5.0625,5.0156,4.4227,5.0484,4.8616,UP,1
2000-10-10,5.0703,5.0781,4.4325,5.075,4.8693,DOWN,0
2000-10-11,5.0078,4.9688,4.4418,5.0578,4.8746,DOWN,0
2000-10-12,4.7891,5.0078,4.4503,4.9906,4.8722,UP,1
2000-10-13,4.9063,4.7266,4.4598,4.9672,4.8702,UP,1
2000-10-16,5.0703,4.8281,4.47,4.9688,4.8674,DOWN,0
2000-10-17,4.9688,5.1328,4.4794,4.9484,4.8597,UP,1
2000-10-18,5.0391,4.9219,4.4897,4.9547,4.8533,UP,1
2000-10-19,5.125,5.0391,4.5002,5.0219,4.8483,DOWN,0
2000-10-20,5.0391,5.0078,4.5097,5.0484,4.8419,DOWN,0
2000-10-23,5.0,5.0469,4.5191,5.0344,4.8352,UP,1
2000-10-24,5.0469,5.1016,4.5281,5.05,4.8313,UP,1
2000-10-25,5.0859,5.0859,4.5377,5.0594,4.8311,UP,1
2000-10-26,5.125,5.1094,4.5475,5.0594,4.8325,DOWN,0
2000-10-27,4.9688,4.8359,4.5554,5.0453,4.8363,UP,1
2000-10-30,5.2031,4.9922,4.5649,5.0859,4.8488,UP,1
2000-10-31,5.5859,5.2266,4.5766,5.1938,4.8674,DOWN,0
2000-11-01,5.5703,5.5391,4.5885,5.2906,4.885,UP,1
2000-11-02,5.625,5.5859,4.6009,5.3906,4.908,UP,1
2000-11-03,5.8516,5.6328,4.6146,5.5672,4.9347,DOWN,0
2000-11-06,5.8438,5.8906,4.6285,5.6953,4.9622,UP,1
2000-11-07,5.8828,5.8047,4.6416,5.7547,4.9897,DOWN,0
2000-11-08,5.6016,5.875,4.6515,5.7609,5.0139,DOWN,0
2000-11-09,5.6016,5.5508,4.6615,5.7563,5.0343,DOWN,0
2000-11-10,5.5625,5.5156,4.6707,5.6984,5.0539,DOWN,0
2000-11-13,5.5469,5.5156,4.6784,5.6391,5.0707,UP,1
2000-11-14,5.8828,5.5703,4.6876,5.6391,5.0943,UP,1
2000-11-15,5.9453,5.875,4.6975,5.7078,5.1208,DOWN,0
2000-11-16,5.7813,5.9141,4.7067,5.7438,5.1424,UP,1
2000-11-17,5.9922,5.6563,4.7152,5.8297,5.1716,UP,1
2000-11-20,6.2344,5.9297,4.725,5.9672,5.2054,DOWN,0
2000-11-21,5.9297,5.9688,4.7327,5.9766,5.2305,UP,1
2000-11-22,6.0859,5.8438,4.7416,6.0047,5.2549,DOWN,0
2000-11-24,6.0,6.0938,4.7516,6.0484,5.28,DOWN,0
2000-11-27,5.6328,5.9609,4.7592,5.9766,5.2958,DOWN,0
2000-11-28,5.5664,5.5781,4.7658,5.843,5.3134,UP,1
2000-11-29,5.6855,5.6406,4.7726,5.7941,5.333,UP,1
2000-11-30,5.6953,5.625,4.7797,5.716,5.3522,DOWN,0
