ticker,MA US Equity,MA US Equity,MA US Equity,MA US Equity,MA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-11-22,10.326,10.175,9.7872,7.7198,,UP,1
2006-11-24,10.548,10.19,10.0064,7.8052,,DOWN,0
2006-11-27,9.899,10.6,10.0904,7.8732,,UP,1
2006-11-28,10.075,9.75,10.1816,7.9445,,DOWN,0
2006-11-29,9.92,10.238,10.1536,8.0132,,UP,1
2006-11-30,10.175,9.927,10.1234,8.0836,,DOWN,0
2006-12-01,10.117,10.222,10.0372,8.1479,,DOWN,0
2006-12-04,10.008,10.1,10.059,8.2162,,DOWN,0
2006-12-05,9.925,10.0,10.029,8.2859,,DOWN,0
2006-12-06,9.913,10.119,10.0276,8.3521,,UP,1
2006-12-07,9.968,9.93,9.9862,8.4158,,UP,1
2006-12-08,10.01,9.968,9.9648,8.4787,,DOWN,0
2006-12-11,9.91,10.01,9.9452,8.5362,,DOWN,0
2006-12-12,9.575,9.871,9.8752,8.5878,,UP,1
2006-12-13,9.577,9.698,9.808,8.64,,DOWN,0
2006-12-14,9.56,9.577,9.7264,8.6919,,UP,1
2006-12-15,9.619,9.632,9.6482,8.7391,,DOWN,0
2006-12-18,9.29,9.6,9.5242,8.7746,,UP,1
2006-12-19,9.74,9.245,9.5572,8.8238,,UP,1
2006-12-20,9.751,9.74,9.592,8.875,,DOWN,0
2006-12-21,9.571,9.581,9.5942,8.9274,,UP,1
2006-12-22,9.635,9.57,9.5974,8.9793,,DOWN,0
2006-12-26,9.514,9.65,9.6422,9.0294,,UP,1
2006-12-27,9.937,9.49,9.6816,9.0856,,DOWN,0
2006-12-28,9.896,9.979,9.7106,9.1445,,DOWN,0
2006-12-29,9.849,9.88,9.7662,9.2006,,DOWN,0
2007-01-03,9.641,9.955,9.7674,9.2487,,UP,1
2007-01-04,10.114,9.69,9.8874,9.3086,,DOWN,0
2007-01-05,10.106,10.099,9.9212,9.3702,,UP,1
2007-01-08,10.108,9.901,9.9636,9.4299,,UP,1
2007-01-09,10.574,10.11,10.1086,9.4999,,DOWN,0
2007-01-10,10.474,10.562,10.2752,9.565,,UP,1
2007-01-11,10.55,10.52,10.3624,9.6307,,DOWN,0
2007-01-12,10.525,10.575,10.4462,9.6961,,UP,1
2007-01-16,10.6,10.53,10.5446,9.7599,,UP,1
2007-01-17,10.904,10.7,10.6106,9.8079,,DOWN,0
2007-01-18,10.249,10.995,10.5656,9.8377,,UP,1
2007-01-19,10.503,10.25,10.5562,9.8687,,UP,1
2007-01-22,10.761,10.599,10.6034,9.8913,,UP,1
2007-01-23,10.841,10.871,10.6516,9.9231,,UP,1
2007-01-24,11.142,10.89,10.6992,9.9691,,DOWN,0
2007-01-25,10.787,11.225,10.8068,10.0084,,UP,1
2007-01-26,10.852,10.919,10.8766,10.0471,,UP,1
2007-01-29,10.974,10.9,10.9192,10.0735,,UP,1
2007-01-30,11.075,10.964,10.966,10.1046,,UP,1
2007-01-31,11.155,11.105,10.9686,10.1371,,UP,1
2007-02-01,11.192,11.214,11.0496,10.1719,,DOWN,0
2007-02-02,11.096,11.249,11.0984,10.2042,,DOWN,0
2007-02-05,11.025,11.05,11.1086,10.2323,,UP,1
2007-02-06,11.055,11.074,11.1046,10.2522,,UP,1
2007-02-07,11.19,11.05,11.1116,10.2695,,UP,1
2007-02-08,11.474,11.2,11.168,10.288,,DOWN,0
2007-02-09,10.36,11.803,11.0208,10.2972,,DOWN,0
2007-02-12,10.208,10.197,10.8574,10.2999,,UP,1
2007-02-13,10.469,10.4,10.7402,10.3109,,UP,1
2007-02-14,10.802,10.421,10.6626,10.3234,,UP,1
2007-02-15,10.804,10.8,10.5286,10.3372,,UP,1
2007-02-16,10.832,10.801,10.623,10.3536,,DOWN,0
2007-02-20,10.782,10.832,10.7378,10.3708,,DOWN,0
2007-02-21,10.729,10.765,10.7898,10.3871,,DOWN,0
2007-02-22,10.59,10.79,10.7474,10.3995,,DOWN,0
2007-02-23,10.457,10.59,10.678,10.4085,,DOWN,0
2007-02-26,10.406,10.482,10.5928,10.4184,,DOWN,0
2007-02-27,10.3,10.175,10.4964,10.4329,,UP,1
2007-02-28,10.718,10.3,10.4942,10.4557,,DOWN,0
2007-03-01,10.629,10.527,10.502,10.4771,,DOWN,0
2007-03-02,10.306,10.54,10.4718,10.4908,,DOWN,0
2007-03-05,10.094,10.115,10.4094,10.5069,,UP,1
2007-03-06,10.399,10.278,10.4292,10.5201,,DOWN,0
2007-03-07,9.972,10.399,10.28,10.5245,,UP,1
2007-03-08,10.276,10.12,10.2094,10.5386,,DOWN,0
2007-03-09,10.236,10.37,10.1954,10.5506,,UP,1
2007-03-12,10.325,10.201,10.2416,10.5669,7.5858,UP,1
2007-03-13,10.386,10.251,10.239,10.5758,7.6182,UP,1
2007-03-14,10.55,10.371,10.3546,10.5889,7.648,DOWN,0
2007-03-15,10.526,10.55,10.4046,10.6025,7.6781,UP,1
2007-03-16,10.527,10.534,10.4628,10.6202,7.7088,UP,1
2007-03-19,10.689,10.552,10.5356,10.6317,7.7397,UP,1
2007-03-20,10.749,10.7,10.6082,10.6445,7.7697,UP,1
