ticker,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-05-14,105.89,104.4,102.7,100.914,95.4852,DOWN,0
2018-05-15,104.18,105.38,103.656,100.6844,95.6539,UP,1
2018-05-16,105.04,104.46,104.428,100.494,95.8295,UP,1
2018-05-17,105.32,105.1,104.922,100.306,96.0042,UP,1
2018-05-18,105.98,105.27,105.282,100.0854,96.1806,UP,1
2018-05-21,106.23,107.0,105.35,99.8242,96.3568,DOWN,0
2018-05-22,106.23,106.55,105.76,99.5828,96.533,DOWN,0
2018-05-23,105.6,105.85,105.872,99.2998,96.7049,DOWN,0
2018-05-24,103.14,104.55,105.436,98.9838,96.8632,DOWN,0
2018-05-25,101.08,102.29,104.456,98.7068,97.0085,DOWN,0
2018-05-29,99.47,100.27,103.104,98.422,97.1537,UP,1
2018-05-30,103.01,101.86,102.46,98.2416,97.3156,DOWN,0
2018-05-31,98.94,100.93,101.128,97.9674,97.4562,DOWN,0
2018-06-01,98.05,97.93,100.11,97.6794,97.5947,UP,1
2018-06-04,99.1,98.48,99.714,97.6994,97.7381,UP,1
2018-06-05,99.24,99.11,99.668,97.735,97.8851,UP,1
2018-06-06,99.98,99.25,99.062,97.829,98.0352,DOWN,0
2018-06-07,99.32,100.25,99.138,97.9752,98.1783,UP,1
2018-06-08,100.43,99.28,99.614,98.0984,98.3217,DOWN,0
2018-06-11,99.77,100.56,99.748,98.2008,98.4629,DOWN,0
2018-06-12,98.91,99.8,99.682,98.3498,98.5969,DOWN,0
2018-06-13,97.58,98.92,99.202,98.4896,98.7224,UP,1
2018-06-14,98.75,98.38,99.088,98.6058,98.8496,UP,1
2018-06-15,99.57,98.77,98.916,98.753,98.978,DOWN,0
2018-06-18,98.48,99.15,98.658,98.927,99.1008,DOWN,0
2018-06-19,98.01,97.89,98.478,99.0776,99.2143,UP,1
2018-06-20,98.25,98.22,98.612,99.1702,99.3285,DOWN,0
2018-06-21,95.55,97.71,97.972,99.2084,99.43,DOWN,0
2018-06-22,93.49,96.06,96.756,99.2358,99.5122,DOWN,0
2018-06-25,93.05,93.47,95.67,99.2602,99.5685,DOWN,0
2018-06-26,92.12,93.36,94.492,99.2506,99.6024,DOWN,0
2018-06-27,91.51,92.36,93.144,99.209,99.625,UP,1
2018-06-28,92.43,91.34,92.52,99.1712,99.6484,UP,1
2018-06-29,92.65,92.84,92.352,99.164,99.6693,UP,1
2018-07-02,93.11,92.06,92.364,99.1742,99.6887,UP,1
2018-07-03,93.61,93.58,92.662,99.183,99.7199,UP,1
2018-07-05,94.48,94.46,93.256,99.2454,99.7657,UP,1
2018-07-06,96.92,95.2,94.154,99.3464,99.8185,UP,1
2018-07-09,97.04,97.98,95.032,99.3384,99.8666,UP,1
2018-07-10,98.84,97.11,96.178,99.3406,99.9238,DOWN,0
2018-07-11,94.96,96.26,96.448,99.3088,99.9612,UP,1
2018-07-12,95.61,94.92,96.674,99.1796,100.0064,UP,1
2018-07-13,96.63,94.96,96.616,99.1048,100.0628,DOWN,0
2018-07-16,96.25,96.76,96.458,99.0242,100.1203,DOWN,0
2018-07-17,95.41,96.27,95.772,98.929,100.1525,DOWN,0
2018-07-18,94.4,95.27,95.66,98.8244,100.1802,DOWN,0
2018-07-19,89.95,93.22,94.528,98.6354,100.178,DOWN,0
2018-07-20,88.91,88.71,92.984,98.39,100.1741,UP,1
2018-07-23,89.4,89.17,91.614,98.121,100.1716,UP,1
2018-07-24,91.54,90.51,90.84,97.8682,100.1784,UP,1
2018-07-25,93.12,91.08,90.584,97.6128,100.1915,UP,1
2018-07-26,93.94,93.95,91.382,97.408,100.2073,DOWN,0
2018-07-27,90.56,91.34,91.712,97.1184,100.2043,UP,1
2018-07-30,91.45,90.67,92.122,96.841,100.1996,UP,1
2018-07-31,92.23,91.65,92.26,96.566,100.2037,UP,1
2018-08-01,93.91,92.29,92.418,96.3196,100.2199,UP,1
2018-08-02,95.12,93.58,92.654,96.0974,100.2403,UP,1
2018-08-03,96.53,94.89,93.848,95.916,100.2621,UP,1
2018-08-06,97.06,96.26,94.97,95.7944,100.2672,DOWN,0
2018-08-07,94.06,97.3,95.336,95.654,100.2551,DOWN,0
2018-08-08,93.73,93.52,95.3,95.5392,100.2433,UP,1
2018-08-09,95.47,94.2,95.37,95.3884,100.2481,UP,1
