ticker,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2006-09-22,9.0281,9.1081,8.8027,9.1473,9.3833,DOWN,0
2006-09-25,8.963,9.0785,8.8114,9.1407,9.3676,UP,1
2006-09-26,9.2326,8.9896,8.822,9.1479,9.3573,DOWN,0
2006-09-27,9.0252,9.2444,8.8308,9.0809,9.3349,UP,1
2006-09-28,9.1022,9.0844,8.8397,9.0702,9.3071,DOWN,0
2006-09-29,8.8978,9.0726,8.846,9.0441,9.292,DOWN,0
2006-10-02,8.6667,8.9126,8.8513,8.9849,9.2759,UP,1
2006-10-03,8.8326,8.5422,8.8565,8.9049,9.2546,UP,1
2006-10-04,9.4163,8.7852,8.8641,8.9831,9.2478,UP,1
2006-10-05,9.7037,9.4252,8.8741,9.1034,9.2594,DOWN,0
2006-10-06,9.6,9.6741,8.884,9.2439,9.27,UP,1
2006-10-09,9.7748,9.5437,8.8939,9.4655,9.2739,UP,1
2006-10-10,9.9822,9.84,8.9042,9.6954,9.2805,DOWN,0
2006-10-11,9.7096,9.9081,8.9115,9.7541,9.2852,UP,1
2006-10-12,9.7896,9.7452,8.9205,9.7713,9.2916,DOWN,0
2006-10-13,9.7333,9.7659,8.9289,9.7979,9.2909,UP,1
2006-10-16,9.9763,9.8074,8.9383,9.8382,9.2981,DOWN,0
2006-10-17,9.4874,9.8756,8.9458,9.7393,9.3003,DOWN,0
2006-10-18,8.9837,9.4815,8.9505,9.5941,9.2955,UP,1
2006-10-19,9.2385,8.9156,8.9562,9.4839,9.3026,DOWN,0
2006-10-20,9.1526,9.2652,8.9611,9.3677,9.3029,DOWN,0
2006-10-23,8.963,9.0015,8.9646,9.165,9.3054,UP,1
2006-10-24,8.9867,8.7526,8.9681,9.0649,9.3039,DOWN,0
2006-10-25,8.5274,8.9689,8.9697,8.9736,9.2821,DOWN,0
2006-10-26,8.2933,8.0741,8.9706,8.7846,9.2495,UP,1
2006-10-27,8.4296,8.1837,8.9724,8.64,9.2193,DOWN,0
2006-10-30,8.3052,8.3881,8.9733,8.5084,9.1921,DOWN,0
2006-10-31,8.1956,8.3111,8.9747,8.3502,9.1694,UP,1
2006-11-01,8.3615,8.5896,8.9769,8.317,9.1509,DOWN,0
