ticker,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2006-08-30,51.75,51.28,53.4027,51.23,48.0634,UP,1
2006-08-31,51.95,51.75,53.3668,51.388,48.221,DOWN,0
2006-09-01,51.8,51.95,53.327,51.572,48.3684,DOWN,0
2006-09-05,50.7,51.9,53.2787,51.446,48.4778,DOWN,0
2006-09-06,50.42,50.51,53.2259,51.324,48.5874,DOWN,0
2006-09-07,50.21,50.5,53.1721,51.016,48.7072,UP,1
2006-09-08,50.9,50.6,53.1226,50.806,48.8366,UP,1
2006-09-11,51.6,50.23,53.0773,50.766,48.9684,UP,1
2006-09-12,52.53,51.64,53.0373,51.132,49.1234,DOWN,0
2006-09-13,52.05,52.27,52.9967,51.458,49.2642,DOWN,0
2006-09-14,51.81,52.05,52.9638,51.778,49.3982,UP,1
2006-09-15,52.21,52.04,52.9245,52.04,49.5458,DOWN,0
2006-09-18,52.09,52.15,52.8856,52.138,49.6798,DOWN,0
2006-09-19,51.87,51.8,52.8376,52.006,49.7808,DOWN,0
2006-09-20,51.53,51.74,52.7854,51.902,49.8496,DOWN,0
2006-09-21,50.29,51.38,52.7252,51.598,49.8942,DOWN,0
2006-09-22,48.97,50.3,52.6538,50.95,49.9134,DOWN,0
2006-09-25,48.82,49.42,52.5849,50.296,49.9388,DOWN,0
2006-09-26,48.62,49.46,52.5132,49.646,49.9582,UP,1
2006-09-27,49.08,48.62,52.4402,49.156,49.9718,UP,1
2006-09-28,49.46,49.2,52.3715,48.99,49.9424,DOWN,0
2006-09-29,49.2,49.3,52.3004,49.036,49.9222,UP,1
2006-10-02,49.43,49.11,52.2325,49.158,49.9108,UP,1
2006-10-03,49.58,49.43,52.1638,49.35,49.8864,DOWN,0
2006-10-04,49.56,49.34,52.0959,49.446,49.8478,UP,1
2006-10-05,50.67,49.22,52.04,49.688,49.8506,UP,1
2006-10-06,51.5,50.6,51.9822,50.148,49.8914,DOWN,0
2006-10-09,50.72,51.49,51.9168,50.406,49.9488,DOWN,0
2006-10-10,49.65,50.95,51.8463,50.42,49.9852,UP,1
2006-10-11,50.1,49.62,51.7786,50.528,50.0308,DOWN,0
2006-10-12,49.62,50.0,51.7087,50.318,50.0518,DOWN,0
2006-10-13,48.75,49.25,51.6352,49.768,50.0714,DOWN,0
2006-10-16,47.54,47.15,51.5584,49.132,50.051,DOWN,0
2006-10-17,46.73,47.27,51.4813,48.548,50.0158,UP,1
2006-10-18,48.0,47.01,51.4127,48.128,49.9874,UP,1
2006-10-19,50.65,49.2,51.3565,48.334,50.0208,UP,1
2006-10-20,50.7,50.85,51.3016,48.724,50.0868,DOWN,0
2006-10-23,50.64,50.77,51.2403,49.344,50.1482,DOWN,0
2006-10-24,49.84,50.5,51.1825,49.966,50.1918,DOWN,0
2006-10-25,48.63,49.85,51.1126,50.092,50.2018,UP,1
2006-10-26,49.37,49.3,51.0502,49.836,50.2264,UP,1
2006-10-27,49.41,49.25,50.9846,49.578,50.2338,DOWN,0
2006-10-30,49.03,49.64,50.925,49.256,50.2244,DOWN,0
2006-10-31,48.78,49.1,50.8639,49.044,50.2088,DOWN,0
2006-11-01,48.3,49.34,50.8001,48.978,50.182,UP,1
2006-11-02,48.62,48.1,50.7359,48.828,50.1616,DOWN,0
2006-11-03,47.83,48.75,50.6776,48.512,50.095,UP,1
2006-11-06,48.41,47.84,50.6297,48.388,50.0456,UP,1
2006-11-07,49.57,48.76,50.586,48.546,50.0104,DOWN,0
2006-11-08,48.0,48.44,50.5361,48.486,49.9498,DOWN,0
2006-11-09,45.27,48.0,50.473,47.816,49.8202,UP,1
2006-11-10,46.11,45.45,50.4109,47.472,49.7034,UP,1
2006-11-13,46.75,46.24,50.3558,47.14,49.6024,UP,1
2006-11-14,47.44,47.02,50.2959,46.714,49.5372,UP,1
2006-11-15,47.96,47.39,50.2382,46.706,49.488,DOWN,0
