ticker,HII US Equity,HII US Equity,HII US Equity,HII US Equity,HII US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-04-17,195.96,197.01,194.206,204.8298,226.9292,DOWN,0
2020-04-20,192.26,195.52,193.74,203.3114,226.7269,DOWN,0
2020-04-21,184.45,188.91,191.226,201.6176,226.4965,UP,1
2020-04-22,186.23,188.66,190.276,199.9638,226.2835,UP,1
2020-04-23,186.77,187.18,189.134,198.3378,226.0611,DOWN,0
2020-04-24,184.5,188.12,186.842,196.6262,225.8317,UP,1
2020-04-27,188.26,185.66,186.042,195.3842,225.6094,UP,1
2020-04-28,191.27,187.56,187.406,194.2854,225.3924,UP,1
2020-04-29,195.55,194.99,189.27,193.4464,225.196,DOWN,0
2020-04-30,191.41,192.97,190.198,192.5606,224.9722,DOWN,0
2020-05-01,185.67,188.58,190.432,191.5256,224.7439,DOWN,0
2020-05-04,179.98,183.84,188.776,190.4048,224.4944,UP,1
2020-05-05,182.67,181.96,187.056,189.3614,224.2577,DOWN,0
2020-05-06,178.65,184.09,183.676,188.4778,224.0067,DOWN,0
2020-05-07,173.31,181.25,180.056,187.5488,223.7218,UP,1
2020-05-08,180.58,175.0,179.038,186.8554,223.4563,DOWN,0
2020-05-11,178.11,179.11,178.664,186.307,223.18,DOWN,0
2020-05-12,173.52,178.84,176.834,185.5846,222.8778,DOWN,0
2020-05-13,170.26,172.02,175.156,184.8378,222.5598,UP,1
2020-05-14,172.22,167.84,174.938,183.8914,222.2552,DOWN,0
2020-05-15,170.54,166.65,172.93,183.1084,221.9664,UP,1
2020-05-18,180.41,176.68,173.39,182.6308,221.7934,DOWN,0
2020-05-19,173.5,180.91,173.386,182.2038,221.63,UP,1
2020-05-20,175.11,175.89,174.356,181.518,221.4967,UP,1
2020-05-21,181.5,177.44,176.212,181.1896,221.3737,UP,1
2020-05-22,182.77,183.87,178.658,181.3118,221.2507,UP,1
2020-05-26,193.42,188.5,181.26,181.6078,221.1572,UP,1
2020-05-27,205.92,196.92,187.744,182.5928,221.14,DOWN,0
2020-05-28,200.68,208.7,192.858,183.3844,221.1238,DOWN,0
2020-05-29,199.89,198.11,196.536,183.935,221.1046,DOWN,0
2020-06-01,195.53,199.72,199.088,184.4562,221.0782,DOWN,0
2020-06-02,194.25,197.67,199.254,185.1548,221.0297,UP,1
2020-06-03,199.67,196.44,198.004,186.0688,220.9939,DOWN,0
2020-06-04,198.52,199.37,197.572,186.7316,220.9453,UP,1
2020-06-05,202.57,205.78,198.108,187.2342,220.9206,UP,1
2020-06-08,206.02,204.63,200.206,187.4488,220.9036,DOWN,0
2020-06-09,197.76,203.0,200.908,187.6922,220.8497,DOWN,0
2020-06-10,197.01,196.79,200.376,187.8416,220.8134,DOWN,0
2020-06-11,180.8,190.53,196.832,187.8134,220.6943,UP,1
2020-06-12,182.29,186.54,192.776,187.9964,220.5927,DOWN,0
2020-06-15,182.08,177.29,187.988,188.0252,220.484,UP,1
2020-06-16,185.58,189.46,185.552,188.116,220.3756,DOWN,0
