ticker,CL US Equity,CL US Equity,CL US Equity,CL US Equity,CL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-10-18,25.585,25.5,27.3754,25.294,25.1508,DOWN,0
2000-10-19,25.13,25.1,27.3546,25.44,25.1322,UP,1
2000-10-20,25.31,25.15,27.3351,25.46,25.1021,DOWN,0
2000-10-23,24.7,25.3,27.3037,25.235,25.0624,UP,1
2000-10-24,26.525,25.1,27.2773,25.45,25.0535,UP,1
2000-10-25,27.775,27.375,27.2563,25.888,25.069,DOWN,0
2000-10-26,27.755,27.755,27.2342,26.413,25.0854,UP,1
2000-10-27,28.81,27.745,27.2162,27.113,25.1341,UP,1
2000-10-30,29.495,28.9,27.2054,28.072,25.2002,DOWN,0
2000-10-31,29.38,29.0,27.1948,28.643,25.2609,DOWN,0
2000-11-01,28.45,29.45,27.1833,28.778,25.3206,UP,1
2000-11-02,29.175,28.375,27.1743,29.062,25.3734,UP,1
2000-11-03,29.25,29.18,27.1673,29.15,25.4303,DOWN,0
2000-11-06,28.83,29.0,27.1597,29.017,25.4769,UP,1
2000-11-07,29.425,29.225,27.1578,29.026,25.5392,DOWN,0
2000-11-08,29.345,29.75,27.154,29.205,25.6079,UP,1
2000-11-09,29.425,29.4,27.1504,29.255,25.6827,UP,1
2000-11-10,29.755,29.43,27.1504,29.356,25.7684,DOWN,0
2000-11-13,29.58,29.95,27.1502,29.506,25.8419,DOWN,0
2000-11-14,29.42,29.5,27.1482,29.505,25.909,UP,1
2000-11-15,29.81,29.75,27.144,29.598,25.959,DOWN,0
2000-11-16,29.43,29.5,27.1411,29.599,26.0145,UP,1
2000-11-17,29.525,29.525,27.1481,29.553,26.0643,UP,1
2000-11-20,29.94,30.0,27.1569,29.625,26.1131,DOWN,0
2000-11-21,29.7,29.9,27.1587,29.681,26.1509,DOWN,0
2000-11-22,29.6,29.755,27.1612,29.639,26.181,DOWN,0
2000-11-24,28.9,29.1,27.162,29.533,26.2846,DOWN,0
2000-11-27,28.48,28.8,27.1647,29.324,26.3886,UP,1
2000-11-28,29.215,28.95,27.1757,29.179,26.5279,UP,1
2000-11-29,29.79,29.125,27.1855,29.197,26.6787,DOWN,0
2000-11-30,29.375,29.875,27.1939,29.152,26.8356,UP,1
2000-12-01,29.845,29.875,27.2083,29.341,26.9937,UP,1
2000-12-04,29.96,29.525,27.2254,29.637,27.1423,DOWN,0
2000-12-05,29.04,29.85,27.2397,29.602,27.2776,DOWN,0
2000-12-06,28.24,29.125,27.2525,29.292,27.3905,UP,1
2000-12-07,29.625,27.775,27.2779,29.342,27.538,DOWN,0
2000-12-08,29.175,29.5,27.3032,29.208,27.6503,DOWN,0
2000-12-11,28.275,28.9,27.3171,28.871,27.7438,UP,1
2000-12-12,29.49,29.25,27.334,28.961,27.8638,DOWN,0
2000-12-13,29.075,29.4,27.3469,29.128,27.9803,DOWN,0
2000-12-14,28.88,28.625,27.3598,28.979,28.0886,DOWN,0
2000-12-15,28.58,27.85,27.3655,28.86,28.1641,UP,1
2000-12-18,29.615,28.75,27.3815,29.128,28.2565,DOWN,0
2000-12-19,29.51,29.625,27.4122,29.132,28.3456,UP,1
2000-12-20,29.655,29.375,27.4506,29.248,28.4363,UP,1
2000-12-21,30.415,29.655,27.4927,29.555,28.543,DOWN,0
2000-12-22,29.88,29.94,27.5352,29.815,28.6526,UP,1
2000-12-26,31.175,30.0,27.5827,30.127,28.7719,UP,1
2000-12-27,32.28,31.75,27.6361,30.681,28.901,DOWN,0
2000-12-28,32.25,32.225,27.6678,31.2,29.037,UP,1
2000-12-29,32.275,32.625,27.7011,31.572,29.1708,DOWN,0
2001-01-02,31.25,31.675,27.7325,31.846,29.2932,DOWN,0
2001-01-03,30.055,32.375,27.7571,31.622,29.3881,DOWN,0
2001-01-04,27.96,30.25,27.7711,30.758,29.4533,UP,1
2001-01-05,28.8,28.45,27.7887,30.068,29.4988,UP,1
2001-01-08,29.43,28.805,27.8031,29.499,29.5319,UP,1
2001-01-09,29.975,29.625,27.817,29.244,29.5763,DOWN,0
2001-01-10,29.58,29.8,27.8294,29.149,29.5917,DOWN,0
2001-01-11,29.08,29.65,27.8326,29.373,29.5834,DOWN,0
2001-01-12,28.95,29.08,27.8363,29.403,29.5748,DOWN,0
2001-01-16,28.95,28.95,27.8406,29.307,29.5848,DOWN,0
2001-01-17,28.275,28.95,27.841,28.967,29.5668,UP,1
2001-01-18,28.44,28.265,27.832,28.739,29.5506,DOWN,0
2001-01-19,28.325,28.44,27.8219,28.588,29.5405,UP,1
2001-01-22,28.39,28.33,27.8177,28.476,29.5198,UP,1
2001-01-23,28.865,28.515,27.8146,28.459,29.5102,UP,1
2001-01-24,29.05,28.66,27.8115,28.614,29.5027,UP,1
2001-01-25,29.175,28.65,27.8068,28.761,29.4911,DOWN,0
2001-01-26,28.505,29.275,27.7927,28.797,29.4696,DOWN,0
2001-01-29,28.19,28.51,27.7787,28.757,29.445,UP,1
2001-01-30,29.36,28.25,27.778,28.856,29.436,UP,1
2001-01-31,30.04,29.235,27.7888,29.054,29.4482,UP,1
2001-02-01,30.54,30.04,27.7974,29.327,29.4685,DOWN,0
2001-02-02,30.4,30.575,27.8113,29.706,29.4777,DOWN,0
2001-02-05,29.925,30.4,27.8217,30.053,29.4822,UP,1
2001-02-06,30.025,30.025,27.829,30.186,29.4907,DOWN,0
2001-02-07,29.675,29.0,27.8309,30.113,29.5062,UP,1
2001-02-08,29.955,29.8,27.8327,29.996,29.5357,DOWN,0
