ticker,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-05-16,17.0,17.5,23.1881,17.2625,19.0925,DOWN,0
2000-05-17,16.875,16.813,23.1072,17.175,19.0588,DOWN,0
2000-05-18,16.688,16.813,23.0259,17.0125,19.0225,DOWN,0
2000-05-19,16.5,16.125,22.949,16.8625,18.9713,DOWN,0
2000-05-22,16.375,16.625,22.8709,16.6875,18.9263,UP,1
2000-05-23,16.5,16.375,22.7937,16.5875,18.8788,UP,1
2000-05-24,16.75,16.625,22.7287,16.5625,18.8488,DOWN,0
2000-05-25,16.375,16.625,22.6644,16.5,18.7938,DOWN,0
2000-05-26,16.063,16.313,22.5978,16.4125,18.72,UP,1
2000-05-30,16.563,16.25,22.5331,16.45,18.6688,DOWN,0
2000-05-31,16.438,16.375,22.4662,16.4375,18.6125,UP,1
2000-06-01,16.5,16.313,22.3972,16.3875,18.5588,UP,1
2000-06-02,16.875,16.625,22.3294,16.4875,18.515,UP,1
2000-06-05,18.5,17.125,22.2719,16.975,18.5013,DOWN,0
2000-06-06,18.375,18.5,22.2134,17.3375,18.4788,UP,1
2000-06-07,19.313,18.438,22.16,17.9125,18.47,UP,1
2000-06-08,19.563,20.25,22.1097,18.525,18.4313,UP,1
2000-06-09,20.563,20.063,22.0659,19.2625,18.4088,DOWN,0
2000-06-12,20.313,21.25,22.0147,19.625,18.4038,UP,1
2000-06-13,20.875,20.313,21.9581,20.125,18.4013,UP,1
2000-06-14,21.313,20.75,21.9025,20.525,18.405,UP,1
2000-06-15,21.75,21.563,21.855,20.9625,18.43,UP,1
2000-06-16,22.313,21.813,21.8065,21.3125,18.4675,DOWN,0
2000-06-19,21.375,22.375,21.7544,21.525,18.4875,DOWN,0
2000-06-20,20.75,21.125,21.6975,21.5,18.4988,UP,1
2000-06-21,21.5,20.75,21.6437,21.5375,18.5,DOWN,0
2000-06-22,20.375,20.5,21.5831,21.2625,18.4925,DOWN,0
2000-06-23,20.125,20.375,21.5165,20.825,18.47,UP,1
2000-06-26,20.438,20.188,21.4481,20.6375,18.47,DOWN,0
2000-06-27,20.375,20.438,21.3819,20.5625,18.4813,UP,1
2000-06-28,20.438,20.438,21.3225,20.35,18.5138,UP,1
2000-06-29,20.5,20.375,21.2606,20.375,18.5388,UP,1
2000-06-30,20.938,20.375,21.2037,20.5375,18.5775,DOWN,0
2000-07-03,20.875,20.938,21.1478,20.625,18.6175,UP,1
2000-07-05,22.125,20.938,21.0972,20.975,18.6913,UP,1
2000-07-06,22.625,22.438,21.0503,21.4125,18.765,DOWN,0
2000-07-07,22.0,22.813,21.0028,21.7125,18.865,UP,1
2000-07-10,23.188,22.0,20.9644,22.1625,18.99,UP,1
2000-07-11,23.438,23.375,20.9319,22.675,19.12,DOWN,0
2000-07-12,23.188,23.688,20.9025,22.8875,19.2188,UP,1
2000-07-13,24.563,23.063,20.8865,23.275,19.3513,UP,1
2000-07-14,25.563,24.688,20.8706,23.9875,19.495,DOWN,0
2000-07-17,25.469,25.563,20.8529,24.4438,19.6356,DOWN,0
2000-07-18,25.125,25.375,20.8358,24.7813,19.7756,DOWN,0
2000-07-19,24.938,25.0,20.8204,25.1313,19.9119,UP,1
2000-07-20,25.375,25.0,20.8142,25.2938,20.0594,UP,1
2000-07-21,25.5,25.438,20.8058,25.2813,20.2231,UP,1
2000-07-24,26.875,25.063,20.8039,25.5625,20.4106,DOWN,0
2000-07-25,25.625,27.0,20.7986,25.6625,20.5781,DOWN,0
2000-07-26,24.5,25.375,20.7889,25.575,20.7231,UP,1
2000-07-27,24.688,25.25,20.7826,25.4375,20.8769,DOWN,0
2000-07-28,24.438,24.688,20.7801,25.225,21.0281,DOWN,0
2000-07-31,24.375,24.5,20.7873,24.725,21.1819,UP,1
2000-08-01,24.625,24.438,20.7951,24.525,21.3444,DOWN,0
2000-08-02,24.063,24.625,20.7992,24.4375,21.4981,DOWN,0
2000-08-03,24.0,24.25,20.8061,24.3,21.6481,DOWN,0
2000-08-04,23.938,24.0,20.817,24.2,21.7919,UP,1
2000-08-07,24.125,23.938,20.8323,24.15,21.9469,UP,1
2000-08-08,24.625,24.125,20.8579,24.15,22.1181,DOWN,0
2000-08-09,23.875,24.125,20.8717,24.1125,22.2644,DOWN,0
2000-08-10,23.875,24.063,20.8889,24.0875,22.4131,UP,1
2000-08-11,24.563,23.875,20.9092,24.2125,22.5744,UP,1
2000-08-14,25.125,24.563,20.9336,24.4125,22.7394,DOWN,0
2000-08-15,24.813,25.0,20.9573,24.45,22.8656,UP,1
