ticker,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-05-23,38.625,39.75,42.3438,39.5125,36.4775,UP,1
2000-05-24,39.813,39.125,42.2869,39.5625,36.6762,DOWN,0
2000-05-25,38.188,39.938,42.2197,39.0375,36.7687,DOWN,0
2000-05-26,38.0,37.875,42.1936,38.85,36.7962,UP,1
2000-05-30,38.813,38.813,42.176,38.6875,36.87,UP,1
2000-05-31,39.625,38.5,42.1699,38.8875,36.9837,UP,1
2000-06-01,40.5,40.125,42.1692,39.025,37.065,UP,1
2000-06-02,41.875,41.75,42.176,39.7625,37.2075,DOWN,0
2000-06-05,40.938,41.188,42.1788,40.35,37.315,UP,1
2000-06-06,41.375,40.875,42.1797,40.8625,37.4825,UP,1
2000-06-07,41.813,41.125,42.1856,41.3,37.71,DOWN,0
2000-06-08,41.188,39.75,42.1822,41.4375,37.9062,DOWN,0
2000-06-09,40.438,41.5,42.1625,41.15,38.0737,UP,1
2000-06-12,40.5,41.0,42.1388,41.0625,38.2337,UP,1
2000-06-13,43.5,41.75,42.1306,41.4875,38.4437,UP,1
2000-06-14,44.688,43.5,42.136,42.0625,38.6462,UP,1
2000-06-15,46.813,44.688,42.1438,43.1875,38.8737,DOWN,0
2000-06-16,44.813,46.313,42.1413,44.0625,39.06,DOWN,0
2000-06-19,44.563,44.563,42.1322,44.875,39.26,DOWN,0
2000-06-20,43.688,44.125,42.1144,44.9125,39.4212,UP,1
2000-06-21,43.813,43.75,42.0941,44.7375,39.5775,DOWN,0
2000-06-22,43.188,42.688,42.0788,44.0125,39.695,DOWN,0
2000-06-23,42.75,42.813,42.0688,43.6,39.7487,UP,1
2000-06-26,44.563,42.75,42.0678,43.6,39.8312,UP,1
2000-06-27,45.688,44.625,42.0794,44.0,40.0275,DOWN,0
2000-06-28,45.602,45.313,42.0924,44.3578,40.127,DOWN,0
2000-06-29,43.375,44.0,42.0955,44.3953,40.2308,UP,1
2000-06-30,44.813,43.75,42.1093,44.8078,40.3995,UP,1
2000-07-03,45.875,44.75,42.1293,45.0703,40.5745,DOWN,0
2000-07-05,45.313,45.0,42.1412,44.9953,40.7208,DOWN,0
2000-07-06,44.688,45.375,42.1546,44.8125,40.8695,UP,1
2000-07-07,44.875,45.0,42.169,45.1125,41.0708,DOWN,0
