ticker,DOW US Equity,DOW US Equity,DOW US Equity,DOW US Equity,DOW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-05-05,33.37,33.63,34.904,32.6252,45.1498,DOWN,0
2020-05-06,31.96,32.71,33.802,32.3854,45.0552,UP,1
2020-05-07,32.85,32.53,33.034,32.1814,44.9563,UP,1
2020-05-08,34.33,33.78,33.114,32.077,44.864,DOWN,0
2020-05-11,33.9,34.2,33.282,31.9468,44.7797,DOWN,0
2020-05-12,33.79,34.25,33.366,31.7942,44.7031,DOWN,0
2020-05-13,32.35,33.5,33.444,31.63,44.6246,UP,1
2020-05-14,33.51,31.19,33.576,31.462,44.5501,UP,1
2020-05-15,33.56,33.21,33.422,31.3312,44.4757,UP,1
2020-05-18,36.74,35.88,33.99,31.2866,44.4252,DOWN,0
2020-05-19,35.64,36.63,34.36,31.3888,44.3754,UP,1
2020-05-20,36.18,36.34,35.126,31.4844,44.3324,DOWN,0
2020-05-21,35.82,36.0,35.588,31.641,44.2894,UP,1
2020-05-22,36.12,35.68,36.1,31.89,44.2455,UP,1
2020-05-26,38.79,38.36,36.51,32.152,44.2055,UP,1
2020-05-27,39.82,39.95,37.346,32.5084,44.1714,DOWN,0
2020-05-28,38.71,39.57,37.852,32.7506,44.1365,DOWN,0
2020-05-29,38.6,38.14,38.408,32.9938,44.0953,UP,1
2020-06-01,38.61,38.61,38.906,33.2036,44.0679,UP,1
2020-06-02,40.6,39.2,39.268,33.4668,44.054,UP,1
2020-06-03,41.63,41.49,39.63,33.7678,44.0396,UP,1
2020-06-04,42.71,41.5,40.43,34.0526,44.0252,UP,1
2020-06-05,43.97,44.71,41.504,34.3244,44.0292,UP,1
2020-06-08,45.9,44.08,42.962,34.6488,44.0423,DOWN,0
2020-06-09,44.41,44.47,43.724,34.9658,44.0541,DOWN,0
2020-06-10,43.58,44.39,44.114,35.2644,44.0685,DOWN,0
2020-06-11,39.26,41.225,43.424,35.4648,44.0607,UP,1
2020-06-12,41.23,41.82,42.876,35.7486,44.061,UP,1
2020-06-15,41.98,39.48,42.092,36.0276,44.0583,UP,1
2020-06-16,42.25,44.16,41.66,36.3132,44.0577,DOWN,0
2020-06-17,41.17,42.7,41.178,36.5258,44.0504,UP,1
2020-06-18,41.58,40.65,41.642,36.7108,44.0493,UP,1
2020-06-19,41.65,42.63,41.726,36.848,44.0448,UP,1
2020-06-22,41.74,41.46,41.678,36.9516,44.0367,DOWN,0
2020-06-23,41.35,42.48,41.498,37.074,44.0273,DOWN,0
2020-06-24,38.45,40.6,40.954,37.1356,43.9973,UP,1
2020-06-25,39.98,38.0,40.634,37.2906,43.9656,DOWN,0
2020-06-26,39.8,39.56,40.264,37.454,43.9302,UP,1
2020-06-29,40.98,40.36,40.112,37.6052,43.9002,DOWN,0
2020-06-30,40.76,40.59,39.994,37.7898,43.863,DOWN,0
2020-07-01,40.75,40.75,40.454,37.9872,43.8217,UP,1
2020-07-02,41.59,41.66,40.776,38.1822,43.7897,UP,1
2020-07-06,42.45,42.63,41.306,38.38,43.7644,DOWN,0
2020-07-07,41.69,41.74,41.448,38.5514,43.7346,DOWN,0
2020-07-08,40.35,41.49,41.366,38.6696,43.6953,DOWN,0
2020-07-09,39.44,40.39,41.104,38.741,43.653,UP,1
2020-07-10,40.76,39.44,40.938,38.8068,43.6238,UP,1
2020-07-13,41.24,41.1,40.696,38.8978,43.5916,UP,1
2020-07-14,42.44,41.32,40.846,39.068,43.5676,UP,1
2020-07-15,43.33,43.65,41.442,39.2734,43.5489,UP,1
2020-07-16,43.83,43.19,42.32,39.4826,43.5298,DOWN,0
2020-07-17,43.67,44.07,42.902,39.7168,43.5183,DOWN,0
2020-07-20,42.3,43.34,43.114,39.9058,43.5052,UP,1
2020-07-21,43.04,42.5,43.234,40.08,43.4938,UP,1
2020-07-22,44.34,42.94,43.436,40.2888,43.4888,DOWN,0
2020-07-23,42.82,43.0,43.234,40.4694,43.4771,DOWN,0
2020-07-24,42.61,42.82,43.022,40.6746,43.4709,UP,1
2020-07-27,44.0,42.81,43.362,40.8844,43.4708,DOWN,0
2020-07-28,42.62,43.74,43.278,41.0656,43.4593,UP,1
2020-07-29,43.52,42.8,43.114,41.2012,43.4413,DOWN,0
2020-07-30,41.73,42.66,42.896,41.323,43.4158,DOWN,0
2020-07-31,41.06,41.49,42.586,41.4206,43.3851,DOWN,0
2020-08-03,40.09,41.22,41.804,41.506,43.35,UP,1
2020-08-04,41.32,40.04,41.544,41.61,43.3175,UP,1
2020-08-05,41.99,41.9,41.238,41.674,43.2877,UP,1
2020-08-06,42.05,41.69,41.302,41.7186,43.2623,UP,1
2020-08-07,42.63,41.58,41.616,41.797,43.2414,UP,1
2020-08-10,44.8,42.81,42.558,41.921,43.2292,DOWN,0
2020-08-11,44.5,45.54,43.194,42.0388,43.2044,DOWN,0
2020-08-12,44.28,45.22,43.652,42.1124,43.1734,UP,1
2020-08-13,44.43,43.86,44.128,42.1684,43.1395,UP,1
2020-08-14,44.87,43.95,44.576,42.2116,43.1064,DOWN,0
2020-08-17,44.46,45.1,44.508,42.2214,43.0735,UP,1
2020-08-18,44.71,44.41,44.55,42.1976,43.0446,DOWN,0
2020-08-19,44.64,44.69,44.622,42.2022,43.0063,DOWN,0
2020-08-20,43.69,44.02,44.474,42.2044,42.9539,DOWN,0
2020-08-21,43.59,43.5,44.218,42.291,42.9008,UP,1
2020-08-24,46.12,44.3,44.55,42.3888,42.86,DOWN,0
2020-08-25,45.59,46.41,44.726,42.461,42.809,UP,1
2020-08-26,46.34,45.68,45.066,42.5428,42.7607,DOWN,0
2020-08-27,46.16,46.68,45.56,42.6426,42.7125,DOWN,0
2020-08-28,46.05,45.41,46.052,42.732,42.6669,DOWN,0
2020-08-31,45.12,45.99,45.852,42.8014,42.6242,UP,1
2020-09-01,47.27,44.79,46.188,42.912,42.5908,UP,1
2020-09-02,49.22,47.68,46.764,43.0694,42.5626,DOWN,0
2020-09-03,48.39,49.28,47.21,43.2682,42.533,UP,1
2020-09-04,48.6,49.29,47.72,43.4406,42.509,DOWN,0
2020-09-08,47.93,47.69,48.282,43.6032,42.4853,UP,1
2020-09-09,49.23,48.57,48.674,43.7682,42.4621,DOWN,0
2020-09-10,48.7,49.3,48.57,43.927,42.4346,UP,1
2020-09-11,49.85,49.21,48.862,44.109,42.4078,UP,1
2020-09-14,50.09,50.07,49.16,44.279,42.3814,UP,1
2020-09-15,51.07,50.61,49.788,44.4514,42.3654,DOWN,0
2020-09-16,49.7,50.19,49.882,44.6116,42.347,UP,1
2020-09-17,50.97,49.37,50.336,44.824,42.3361,DOWN,0
2020-09-18,50.37,50.53,50.44,45.0426,42.3288,DOWN,0
2020-09-21,47.91,49.04,50.004,45.1856,42.307,DOWN,0
2020-09-22,47.8,47.98,49.35,45.3168,42.286,DOWN,0
2020-09-23,46.74,47.68,48.758,45.4028,42.2536,DOWN,0
2020-09-24,46.41,46.67,47.846,45.4644,42.2193,DOWN,0
2020-09-25,46.04,45.77,46.98,45.5086,42.1838,UP,1
2020-09-28,47.48,46.5,46.894,45.5848,42.1557,DOWN,0
2020-09-29,46.57,47.23,46.648,45.6702,42.1163,UP,1
2020-09-30,47.05,47.19,46.71,45.7504,42.0852,DOWN,0
2020-10-01,46.11,47.21,46.65,45.7858,42.0449,UP,1
2020-10-02,47.31,45.37,46.904,45.8756,42.0081,UP,1
2020-10-05,48.58,47.9,47.124,45.995,41.9798,DOWN,0
2020-10-06,47.88,49.12,47.386,46.0726,41.9466,UP,1
2020-10-07,48.3,48.45,47.636,46.1862,41.915,UP,1
2020-10-08,49.38,48.62,48.29,46.3034,41.8873,DOWN,0
2020-10-09,49.36,49.8,48.7,46.456,41.8596,DOWN,0
2020-10-12,48.58,49.4,48.7,46.6064,41.8264,DOWN,0
2020-10-13,47.88,48.48,48.7,46.7622,41.7916,UP,1
2020-10-14,48.83,47.84,48.806,46.9124,41.7641,UP,1
2020-10-15,49.01,47.88,48.732,47.0528,41.7355,UP,1
2020-10-16,49.3,49.37,48.72,47.1978,41.7132,DOWN,0
2020-10-19,48.84,49.33,48.772,47.322,41.6953,UP,1
2020-10-20,49.34,49.35,49.064,47.4128,41.681,DOWN,0
2020-10-21,48.55,49.38,49.008,47.4938,41.6628,UP,1
2020-10-22,48.82,49.81,48.97,47.5846,41.6432,DOWN,0
2020-10-23,48.53,49.52,48.816,47.6666,41.6249,DOWN,0
2020-10-26,47.15,47.94,48.478,47.7122,41.6032,DOWN,0
2020-10-27,46.57,46.92,47.924,47.7544,41.5743,DOWN,0
2020-10-28,45.18,44.94,47.25,47.7638,41.539,UP,1
2020-10-29,46.25,44.63,46.736,47.796,41.5089,DOWN,0
2020-10-30,45.49,45.86,46.128,47.832,41.4739,UP,1
2020-11-02,47.82,46.25,46.262,47.9166,41.4463,UP,1
2020-11-03,48.73,48.25,46.694,47.9688,41.427,DOWN,0
2020-11-04,46.45,47.95,46.948,47.986,41.4049,UP,1
2020-11-05,48.97,46.9,47.492,48.0386,41.3985,DOWN,0
2020-11-06,48.23,49.23,48.04,48.08,41.3972,UP,1
2020-11-09,52.12,51.59,48.9,48.2014,41.4219,UP,1
2020-11-10,53.46,52.33,49.846,48.3682,41.4534,DOWN,0
2020-11-11,52.21,53.5,50.998,48.467,41.4661,DOWN,0
2020-11-12,51.04,51.74,51.412,48.5034,41.4789,UP,1
2020-11-13,51.97,50.27,52.16,48.575,41.5084,UP,1
2020-11-16,53.93,53.55,52.522,48.6816,41.5444,UP,1
2020-11-17,54.48,53.16,52.726,48.8126,41.5765,UP,1
