ticker,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-03-08,73.32,73.37,72.978,70.4645,63.4699,DOWN,0
2013-03-11,73.06,73.14,73.108,70.5173,63.5831,DOWN,0
2013-03-12,72.38,72.66,72.978,70.5531,63.6913,DOWN,0
2013-03-13,72.2,72.26,72.82,70.5917,63.7957,DOWN,0
2013-03-14,71.87,72.43,72.566,70.6095,63.8934,DOWN,0
2013-03-15,71.22,71.71,72.146,70.5821,63.9882,DOWN,0
2013-03-18,70.75,70.7,71.684,70.5679,64.0799,DOWN,0
2013-03-19,70.65,70.88,71.338,70.5681,64.1735,UP,1
2013-03-20,71.13,70.76,71.124,70.5949,64.2694,DOWN,0
2013-03-21,71.09,70.93,70.968,70.6243,64.3682,UP,1
2013-03-22,71.9,71.45,71.104,70.6667,64.4715,DOWN,0
2013-03-25,71.82,72.19,71.318,70.6907,64.5737,DOWN,0
2013-03-26,71.82,72.21,71.552,70.7109,64.6705,UP,1
2013-03-27,72.29,71.47,71.784,70.7461,64.7697,DOWN,0
2013-03-28,72.0,72.25,71.966,70.7843,64.8665,UP,1
2013-04-01,72.1,72.15,72.006,70.8107,64.9659,UP,1
2013-04-02,72.58,72.35,72.158,70.8325,65.0641,DOWN,0
2013-04-03,72.09,72.75,72.212,70.8483,65.1589,UP,1
2013-04-04,72.49,72.16,72.252,70.8661,65.2535,UP,1
2013-04-05,72.94,71.99,72.44,70.8981,65.3496,UP,1
2013-04-08,73.72,72.99,72.764,70.9355,65.4448,UP,1
2013-04-09,73.88,73.97,73.024,70.9861,65.5384,UP,1
2013-04-10,75.01,74.18,73.608,71.0579,65.64,UP,1
2013-04-11,75.128,74.98,74.1356,71.1397,65.7456,UP,1
2013-04-12,75.49,75.19,74.6456,71.2477,65.8493,DOWN,0
2013-04-15,74.42,75.2,74.7856,71.343,65.9432,UP,1
2013-04-16,75.74,74.67,75.1576,71.4506,66.0362,DOWN,0
2013-04-17,74.96,75.1,75.1476,71.5572,66.1237,UP,1
2013-04-18,75.82,75.19,75.286,71.6662,66.2184,UP,1
2013-04-19,76.07,75.79,75.402,71.7888,66.3135,UP,1
2013-04-22,76.55,76.17,75.828,71.9348,66.4073,UP,1
2013-04-23,76.95,76.7,76.07,72.084,66.5011,DOWN,0
2013-04-24,76.38,76.95,76.354,72.226,66.5935,UP,1
2013-04-25,78.09,76.83,76.808,72.4224,66.6941,UP,1
2013-04-26,78.15,78.01,77.224,72.6364,66.7927,DOWN,0
2013-04-29,77.87,78.15,77.488,72.8316,66.8937,UP,1
2013-04-30,78.99,79.1,77.896,73.0376,67.0048,DOWN,0
2013-05-01,78.73,82.31,78.366,73.2542,67.114,UP,1
2013-05-02,78.92,78.77,78.532,73.478,67.224,UP,1
2013-05-03,79.26,79.43,78.754,73.7082,67.3351,DOWN,0
2013-05-06,78.64,79.2,78.908,73.881,67.4413,UP,1
2013-05-07,79.31,78.64,78.972,74.0646,67.5547,UP,1
2013-05-08,80.01,79.39,79.228,74.2566,67.6723,DOWN,0
2013-05-09,79.67,80.47,79.378,74.4356,67.7892,UP,1
2013-05-10,79.94,79.9,79.514,74.612,67.9074,UP,1
2013-05-13,79.99,79.99,79.784,74.7792,68.0266,UP,1
2013-05-14,80.85,80.09,80.092,74.948,68.1491,DOWN,0
2013-05-15,80.73,80.64,80.236,75.102,68.2633,DOWN,0
2013-05-16,80.05,80.52,80.312,75.2432,68.3694,UP,1
2013-05-17,80.78,80.82,80.48,75.396,68.4763,DOWN,0
2013-05-20,80.63,80.44,80.608,75.5422,68.5841,UP,1
2013-05-21,80.69,80.5,80.576,75.6948,68.6956,DOWN,0
2013-05-22,78.52,80.58,80.134,75.8176,68.7959,UP,1
2013-05-23,78.6,77.68,79.844,75.9456,68.893,DOWN,0
2013-05-24,78.13,78.39,79.314,76.0708,68.9836,DOWN,0
2013-05-28,77.39,78.8,78.666,76.1942,69.0702,DOWN,0
2013-05-29,75.39,77.37,77.606,76.287,69.1469,UP,1
2013-05-30,75.74,75.56,77.05,76.3888,69.2242,DOWN,0
2013-05-31,75.27,75.67,76.384,76.4716,69.2985,DOWN,0
2013-06-03,75.26,75.16,75.81,76.555,69.3728,UP,1
2013-06-04,75.46,74.9,75.424,76.6262,69.447,DOWN,0
2013-06-05,74.85,75.1,75.316,76.6868,69.514,UP,1
2013-06-06,76.13,74.92,75.394,76.773,69.592,UP,1
2013-06-07,76.18,75.0,75.576,76.8508,69.6704,DOWN,0
2013-06-10,74.96,76.21,75.516,76.91,69.7424,DOWN,0
2013-06-11,74.47,74.27,75.318,76.9574,69.816,DOWN,0
2013-06-12,73.98,74.68,75.144,76.9854,69.8878,UP,1
2013-06-13,75.63,73.75,75.044,77.0562,69.9694,UP,1
2013-06-14,76.24,75.34,75.056,77.1312,70.0522,DOWN,0
2013-06-17,75.61,76.72,75.186,77.1846,70.1308,UP,1
2013-06-18,75.87,75.79,75.466,77.2276,70.2104,DOWN,0
2013-06-19,73.86,75.98,75.442,77.2272,70.2794,DOWN,0
2013-06-20,71.92,73.05,74.7,77.1654,70.3386,DOWN,0
2013-06-21,71.75,72.11,73.802,77.0978,70.3984,DOWN,0
2013-06-24,71.5,71.03,72.98,77.018,70.4561,UP,1
2013-06-25,71.51,71.68,72.108,76.9598,70.5126,UP,1
2013-06-26,71.82,71.77,71.7,76.8814,70.5683,UP,1
2013-06-27,74.44,72.35,72.204,76.871,70.6403,DOWN,0
2013-06-28,74.12,74.29,72.678,76.837,70.7118,UP,1
2013-07-01,74.16,74.6,73.21,76.7988,70.7824,DOWN,0
2013-07-02,74.16,74.44,73.74,76.751,70.856,DOWN,0
2013-07-03,73.98,73.95,74.172,76.6916,70.9256,DOWN,0
2013-07-05,73.76,74.58,74.036,76.6392,70.9967,UP,1
2013-07-08,74.28,74.03,74.068,76.563,71.0685,UP,1
2013-07-09,74.4,74.35,74.116,76.488,71.1384,UP,1
2013-07-10,75.94,74.14,74.472,76.4494,71.213,UP,1
2013-07-11,77.99,76.91,75.274,76.4294,71.2982,UP,1
2013-07-12,78.92,78.0,76.306,76.4332,71.3853,DOWN,0
2013-07-15,78.85,79.3,77.22,76.4318,71.4719,DOWN,0
2013-07-16,78.66,78.67,78.072,76.4198,71.5591,DOWN,0
2013-07-17,78.41,78.4,78.566,76.4152,71.6436,UP,1
2013-07-18,78.7,78.54,78.708,76.403,71.7265,UP,1
2013-07-19,79.42,78.74,78.808,76.3912,71.8091,DOWN,0
2013-07-22,78.8,79.9,78.798,76.3738,71.8872,DOWN,0
2013-07-23,78.69,79.34,78.804,76.3488,71.9684,DOWN,0
2013-07-24,78.12,78.61,78.746,76.3114,72.0406,DOWN,0
2013-07-25,76.85,78.24,78.376,76.2314,72.1052,DOWN,0
2013-07-26,76.51,76.72,77.794,76.147,72.1656,DOWN,0
2013-07-29,76.19,76.51,77.272,76.0698,72.224,DOWN,0
2013-07-30,75.56,76.33,76.646,75.9654,72.276,DOWN,0
2013-07-31,74.09,75.75,75.84,75.8346,72.3195,UP,1
2013-08-01,74.31,74.31,75.332,75.707,72.3693,DOWN,0
2013-08-02,73.38,75.0,74.706,75.6042,72.4101,UP,1
2013-08-05,75.37,73.25,74.542,75.5396,72.4558,DOWN,0
2013-08-06,74.6,75.4,74.35,75.469,72.4971,DOWN,0
2013-08-07,73.58,74.64,74.248,75.3928,72.5316,DOWN,0
2013-08-08,73.27,73.52,74.04,75.3504,72.5644,UP,1
2013-08-09,73.44,73.42,74.052,75.3044,72.6011,UP,1
2013-08-12,73.45,73.69,73.668,75.268,72.6399,DOWN,0
2013-08-13,73.26,73.25,73.4,75.228,72.6803,DOWN,0
2013-08-14,72.755,73.08,73.235,75.1739,72.7163,DOWN,0
2013-08-15,72.26,72.05,73.033,75.1221,72.7487,DOWN,0
2013-08-16,71.64,72.26,72.673,75.0323,72.7766,UP,1
2013-08-19,71.72,71.6,72.327,74.9431,72.8034,UP,1
2013-08-20,73.0,71.93,72.275,74.9039,72.8353,DOWN,0
2013-08-21,72.34,73.12,72.192,74.8613,72.864,UP,1
2013-08-22,72.43,72.22,72.226,74.8303,72.8954,UP,1
2013-08-23,73.47,72.5,72.592,74.7871,72.9307,UP,1
2013-08-26,73.53,73.53,72.954,74.7329,72.9635,UP,1
2013-08-27,74.3,73.21,73.214,74.7067,72.9976,UP,1
2013-08-28,74.61,74.28,73.668,74.6815,73.0345,UP,1
2013-08-29,75.11,74.29,74.204,74.7065,73.0747,DOWN,0
2013-08-30,75.0,75.29,74.51,74.7681,73.116,UP,1
2013-09-03,75.21,75.48,74.846,74.8373,73.162,UP,1
2013-09-04,75.61,75.02,75.108,74.9195,73.2159,DOWN,0
2013-09-05,75.33,75.87,75.252,74.9959,73.2627,UP,1
2013-09-06,75.82,75.96,75.394,75.0759,73.3067,UP,1
2013-09-09,77.02,76.13,75.798,75.1275,73.3564,UP,1
2013-09-10,78.26,77.18,76.408,75.2103,73.4115,UP,1
2013-09-11,78.57,78.08,77.0,75.2985,73.4656,DOWN,0
2013-09-12,77.24,78.75,77.382,75.3601,73.5155,DOWN,0
2013-09-13,76.5,77.5,77.518,75.4105,73.5608,UP,1
2013-09-16,77.27,77.39,77.568,75.4807,73.6082,UP,1
2013-09-17,77.28,77.27,77.372,75.5407,73.6542,UP,1
2013-09-18,77.4,77.35,77.138,75.6007,73.6971,UP,1
2013-09-19,77.44,77.58,77.178,75.6307,73.7422,DOWN,0
2013-09-20,77.22,77.44,77.322,75.6153,73.7857,DOWN,0
2013-09-23,77.22,77.19,77.312,75.5813,73.8323,UP,1
2013-09-24,77.42,76.455,77.34,75.5527,73.8778,UP,1
2013-09-25,77.99,77.42,77.458,75.5393,73.9224,UP,1
