ticker,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2012-03-30,29.05,29.495,22.4144,29.395,26.9832,UP,1
2012-04-02,29.265,29.11,22.4669,29.372,27.0532,DOWN,0
2012-04-03,29.2,29.225,22.5189,29.312,27.1201,DOWN,0
2012-04-04,29.185,29.045,22.5697,29.215,27.1836,UP,1
2012-04-05,29.905,29.72,22.6214,29.321,27.2579,DOWN,0
2012-04-09,29.6,29.47,22.6716,29.431,27.3336,DOWN,0
2012-04-10,28.595,29.41,22.7157,29.297,27.3946,UP,1
2012-04-11,29.075,28.765,22.7641,29.272,27.4691,UP,1
2012-04-12,29.525,29.235,22.814,29.34,27.5514,UP,1
2012-04-13,29.53,29.535,22.8612,29.265,27.6297,UP,1
2012-04-16,29.61,29.555,22.9101,29.267,27.71,UP,1
2012-04-17,29.85,29.695,22.9592,29.518,27.7894,UP,1
2012-04-18,30.17,29.78,23.0085,29.737,27.8796,DOWN,0
2012-04-19,29.96,30.09,23.0568,29.824,27.9591,UP,1
2012-04-20,30.015,30.105,23.1055,29.921,28.043,DOWN,0
2012-04-23,29.85,29.895,23.1532,29.969,28.1214,DOWN,0
2012-04-24,29.66,29.89,23.2014,29.931,28.1951,UP,1
2012-04-25,30.245,29.795,23.2539,29.946,28.2806,UP,1
2012-04-26,30.585,30.15,23.3083,30.071,28.3733,UP,1
2012-04-27,31.11,30.75,23.3657,30.29,28.4832,DOWN,0
2012-04-30,30.75,31.1,23.4222,30.47,28.5824,UP,1
2012-05-01,31.23,30.79,23.4813,30.784,28.6887,UP,1
2012-05-02,31.925,31.185,23.5444,31.12,28.8067,DOWN,0
2012-05-03,31.855,31.88,23.6065,31.374,28.9144,DOWN,0
2012-05-04,31.22,31.65,23.6661,31.396,29.0119,DOWN,0
2012-05-07,31.12,31.16,23.7244,31.47,29.1064,DOWN,0
2012-05-08,30.49,30.875,23.7792,31.322,29.1853,UP,1
2012-05-09,30.585,30.24,23.8362,31.054,29.2611,UP,1
2012-05-10,30.895,30.89,23.8937,30.862,29.3457,DOWN,0
2012-05-11,30.795,30.81,23.9535,30.777,29.4191,DOWN,0
2012-05-14,30.27,30.655,24.0097,30.607,29.4855,UP,1
2012-05-15,30.59,30.205,24.0679,30.627,29.548,UP,1
2012-05-16,31.105,30.745,24.1281,30.731,29.6228,DOWN,0
2012-05-17,30.32,31.245,24.1871,30.616,29.6799,UP,1
2012-05-18,30.33,30.28,24.2435,30.523,29.7329,DOWN,0
2012-05-21,30.175,29.925,24.3013,30.504,29.7766,UP,1
2012-05-22,30.63,30.185,24.3625,30.512,29.8231,UP,1
2012-05-23,31.01,30.59,24.4304,30.493,29.8738,UP,1
2012-05-24,31.21,30.9998,24.4977,30.671,29.9323,UP,1
2012-05-25,31.235,31.275,24.5682,30.852,29.9935,UP,1
2012-05-29,31.48,31.43,24.6368,31.113,30.0652,DOWN,0
2012-05-30,31.275,31.3,24.7036,31.242,30.1336,UP,1
2012-05-31,31.615,31.21,24.7716,31.363,30.1976,DOWN,0
2012-06-01,30.795,31.28,24.8343,31.28,30.2397,UP,1
2012-06-04,30.98,30.735,24.8995,31.229,30.287,UP,1
2012-06-05,31.155,30.9,24.9667,31.164,30.339,UP,1
2012-06-06,31.88,31.26,25.0386,31.285,30.389,DOWN,0
2012-06-07,31.46,32.235,25.1073,31.254,30.4282,UP,1
2012-06-08,32.25,31.445,25.1765,31.545,30.4798,DOWN,0
2012-06-11,31.88,32.605,25.2435,31.725,30.5299,UP,1
2012-06-12,32.52,32.025,25.3164,31.998,30.5993,DOWN,0
2012-06-13,32.12,32.5,25.3849,32.046,30.6564,UP,1
2012-06-14,32.76,32.285,25.4543,32.306,30.7276,UP,1
2012-06-15,33.3025,32.78,25.5253,32.5165,30.81,UP,1
2012-06-18,34.1,33.415,25.6001,32.9605,30.8938,DOWN,0
2012-06-19,33.955,34.345,25.6764,33.2475,30.9809,DOWN,0
2012-06-20,33.765,34.085,25.7532,33.5765,31.0844,DOWN,0
2012-06-21,33.075,33.76,25.8262,33.6395,31.1644,UP,1
2012-06-22,33.24,33.195,25.8979,33.627,31.2386,DOWN,0
2012-06-25,32.71,33.03,25.9677,33.349,31.3023,UP,1
2012-06-26,33.12,32.73,26.0407,33.182,31.3725,DOWN,0
2012-06-27,31.85,33.26,26.1052,32.799,31.4125,DOWN,0
2012-06-28,30.835,31.51,26.1632,32.351,31.4258,UP,1
2012-06-29,31.235,31.33,26.2232,31.95,31.4512,UP,1
2012-07-02,31.61,31.255,26.2825,31.73,31.4831,DOWN,0
2012-07-03,31.39,31.615,26.3386,31.384,31.5139,UP,1
2012-07-05,33.595,32.0,26.405,31.733,31.5926,DOWN,0
2012-07-06,33.56,33.635,26.4714,32.278,31.6589,DOWN,0
2012-07-09,33.445,33.55,26.539,32.72,31.7161,DOWN,0
2012-07-10,33.44,33.54,26.6082,33.086,31.7627,DOWN,0
2012-07-11,33.36,33.455,26.6756,33.48,31.8149,UP,1
2012-07-12,33.82,33.23,26.7435,33.525,31.8667,UP,1
2012-07-13,34.105,33.765,26.8133,33.634,31.9103,UP,1
2012-07-16,34.255,34.01,26.8854,33.796,31.9583,UP,1
2012-07-17,34.615,34.37,26.9604,34.031,32.0263,DOWN,0
2012-07-18,34.615,34.495,27.0352,34.282,32.0961,DOWN,0
2012-07-19,34.27,34.625,27.111,34.372,32.1717,DOWN,0
2012-07-20,33.705,34.145,27.1831,34.292,32.2341,DOWN,0
2012-07-23,33.45,33.26,27.2525,34.131,32.2853,DOWN,0
2012-07-24,33.21,33.52,27.3176,33.85,32.3335,UP,1
2012-07-25,33.335,33.33,27.3818,33.594,32.3949,DOWN,0
2012-07-26,33.26,33.0,27.4428,33.392,32.4483,UP,1
2012-07-27,33.63,33.495,27.5048,33.377,32.4988,DOWN,0
2012-07-30,33.56,33.6,27.5682,33.399,32.5636,DOWN,0
2012-07-31,33.22,33.55,27.6301,33.401,32.6214,DOWN,0
2012-08-01,33.055,33.455,27.6892,33.345,32.679,UP,1
2012-08-02,33.135,33.03,27.7504,33.32,32.7291,UP,1
2012-08-03,34.06,33.54,27.8146,33.406,32.7901,DOWN,0
2012-08-06,33.91,34.04,27.8775,33.476,32.8441,UP,1
2012-08-07,34.05,34.135,27.9414,33.642,32.9004,UP,1
2012-08-08,34.145,33.945,28.0031,33.86,32.9537,DOWN,0
2012-08-09,33.895,34.09,28.0628,34.012,33.0061,DOWN,0
2012-08-10,33.58,33.875,28.1212,33.916,33.0454,UP,1
2012-08-13,33.84,33.855,28.1829,33.902,33.1062,DOWN,0
2012-08-14,33.77,34.065,28.2413,33.846,33.162,UP,1
2012-08-15,34.25,33.91,28.303,33.867,33.2239,DOWN,0
2012-08-16,34.23,33.71,28.3645,33.934,33.2709,UP,1
2012-08-17,34.735,34.36,28.4294,34.165,33.3364,UP,1
2012-08-20,34.85,35.22,28.4954,34.367,33.3884,DOWN,0
2012-08-21,34.805,34.955,28.5579,34.574,33.4469,UP,1
2012-08-22,34.875,34.7,28.6205,34.699,33.494,DOWN,0
2012-08-23,34.59,34.765,28.6815,34.771,33.5434,UP,1
2012-08-24,34.945,34.525,28.7433,34.813,33.5871,DOWN,0
2012-08-27,34.83,34.945,28.8092,34.809,33.6177,DOWN,0
2012-08-28,34.785,34.775,28.873,34.805,33.6314,UP,1
2012-08-29,34.99,34.825,28.9357,34.828,33.6521,DOWN,0
2012-08-30,34.705,34.83,28.998,34.851,33.6709,DOWN,0
2012-08-31,34.595,34.96,29.0587,34.781,33.7013,UP,1
2012-09-04,34.735,34.57,29.1225,34.762,33.7312,DOWN,0
2012-09-05,34.135,34.665,29.1845,34.632,33.7597,UP,1
2012-09-06,34.625,34.39,29.25,34.559,33.7898,DOWN,0
2012-09-07,34.065,34.71,29.3117,34.431,33.8341,DOWN,0
2012-09-10,33.44,33.945,29.3709,34.2,33.8862,DOWN,0
2012-09-11,33.135,33.32,29.4299,33.88,33.9242,UP,1
2012-09-12,33.345,33.27,29.4898,33.722,33.9589,UP,1
2012-09-13,33.9225,33.475,29.55,33.5815,34.0095,UP,1
2012-09-14,34.02,34.0,29.6084,33.5725,34.018,DOWN,0
