ticker,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-10-07,41.7498,42.2264,42.4388,42.8461,,UP,1
2016-10-10,41.7665,42.0006,42.198,42.8752,,DOWN,0
2016-10-11,41.1561,41.7414,41.9321,42.899,,DOWN,0
2016-10-12,40.9638,41.3066,41.6059,42.9239,,DOWN,0
2016-10-13,40.8216,40.6628,41.2915,42.9162,,UP,1
2016-10-14,41.3568,41.0307,41.2129,42.9067,,DOWN,0
2016-10-17,41.0223,41.4404,41.0641,42.8813,,UP,1
2016-10-18,41.0474,41.5156,41.0424,42.8652,,UP,1
2016-10-19,41.2982,41.1979,41.1093,42.8473,,DOWN,0
2016-10-20,40.7213,41.0892,41.0892,42.8181,,DOWN,0
2016-10-21,40.6962,40.3199,40.9571,42.7532,,DOWN,0
2016-10-24,40.5959,40.8634,40.8718,42.6836,,DOWN,0
2016-10-25,40.0691,40.5541,40.6761,42.5876,,DOWN,0
2016-10-26,39.9436,39.9687,40.4052,42.4909,,DOWN,0
2016-10-27,39.7095,39.8768,40.2029,42.3919,,UP,1
2016-10-28,41.9839,42.0006,40.4604,42.3426,,UP,1
2016-10-31,42.6863,41.9839,40.8785,42.3281,,DOWN,0
2016-11-01,42.218,42.5943,41.3083,42.3152,,DOWN,0
2016-11-02,42.0759,42.1846,41.7347,42.2888,,UP,1
2016-11-03,42.6277,42.0508,42.3184,42.2822,,UP,1
2016-11-04,42.7364,42.6612,42.4689,42.2737,,UP,1
2016-11-07,43.305,43.1211,42.5926,42.2724,,UP,1
2016-11-08,44.0241,43.3803,42.9538,42.2764,,UP,1
2016-11-09,44.7014,43.4723,43.479,42.2906,,UP,1
2016-11-10,45.3202,45.1112,44.0175,42.3162,,DOWN,0
2016-11-11,44.6513,45.2282,44.4004,42.3291,,UP,1
2016-11-14,45.0025,44.8687,44.7399,42.3364,,UP,1
2016-11-15,45.2533,45.1028,44.9857,42.3597,,UP,1
2016-11-16,45.5209,44.9774,45.1496,42.3848,,UP,1
2016-11-17,45.571,45.4707,45.1998,42.421,,UP,1
2016-11-18,45.6797,45.5543,45.4055,42.4893,,UP,1
2016-11-21,45.847,45.362,45.5744,42.5498,,UP,1
2016-11-22,46.2985,45.7717,45.7834,42.6389,,UP,1
2016-11-23,46.6581,46.4992,46.0109,42.7356,,UP,1
2016-11-25,46.8002,46.8922,46.2567,42.8273,,DOWN,0
2016-11-28,46.4825,46.8922,46.4172,42.9164,,DOWN,0
2016-11-29,46.2233,46.2901,46.4925,42.9916,,DOWN,0
2016-11-30,45.9808,46.5326,46.429,43.0709,,DOWN,0
2016-12-01,45.3118,46.1062,46.1597,43.1246,,UP,1
2016-12-02,45.5543,45.3955,45.9105,43.1721,,DOWN,0
2016-12-05,45.0777,45.7968,45.6296,43.2228,,UP,1
2016-12-06,45.153,45.1279,45.4155,43.2692,,UP,1
2016-12-07,45.3536,45.153,45.2901,43.3132,,DOWN,0
2016-12-08,44.8854,45.4623,45.2048,43.346,,UP,1
2016-12-09,45.153,44.7432,45.1245,43.4012,,DOWN,0
