ticker,ABC US Equity,ABC US Equity,ABC US Equity,ABC US Equity,ABC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2013-12-24,70.14,70.01,59.1505,69.846,67.931,UP,1
2013-12-26,70.3,70.25,59.2577,69.984,68.0808,DOWN,0
2013-12-27,70.21,70.45,59.3623,70.1,68.21,UP,1
2013-12-30,70.38,70.25,59.4697,70.212,68.3252,DOWN,0
2013-12-31,70.31,70.52,59.5798,70.268,68.4392,DOWN,0
2014-01-02,69.89,70.11,59.6789,70.218,68.5596,UP,1
2014-01-03,69.94,69.89,59.7774,70.146,68.6832,DOWN,0
2014-01-06,69.69,70.34,59.8769,70.042,68.8004,UP,1
2014-01-07,70.45,69.82,59.9801,70.056,68.9166,UP,1
2014-01-08,71.14,70.33,60.0828,70.222,69.0346,UP,1
2014-01-09,71.38,71.45,60.1861,70.52,69.1582,DOWN,0
2014-01-10,71.34,71.49,60.2893,70.8,69.269,DOWN,0
2014-01-13,70.61,71.42,60.3851,70.984,69.3768,DOWN,0
2014-01-14,70.54,70.66,60.4796,71.002,69.481,UP,1
2014-01-15,70.55,70.74,60.5703,70.884,69.5644,DOWN,0
2014-01-16,70.5,70.6,60.6643,70.708,69.6326,UP,1
2014-01-17,70.53,70.68,60.7579,70.546,69.7058,DOWN,0
2014-01-21,70.52,70.88,60.8501,70.528,69.773,DOWN,0
2014-01-22,70.28,70.8,60.9383,70.476,69.844,DOWN,0
2014-01-23,69.64,70.0,61.0219,70.294,69.8768,DOWN,0
2014-01-24,67.25,69.27,61.0917,69.644,69.8596,DOWN,0
2014-01-27,66.81,67.04,61.1567,68.9,69.83,UP,1
2014-01-28,67.72,66.74,61.2244,68.34,69.8146,DOWN,0
2014-01-29,67.26,66.67,61.2905,67.736,69.7754,UP,1
2014-01-30,67.77,67.65,61.3546,67.362,69.7408,DOWN,0
2014-01-31,67.22,66.6,61.4154,67.356,69.7022,DOWN,0
2014-02-03,65.17,67.13,61.464,67.028,69.6282,DOWN,0
2014-02-04,65.01,65.38,61.5095,66.486,69.5416,DOWN,0
2014-02-05,64.72,64.82,61.5521,65.978,69.4402,UP,1
2014-02-06,65.51,64.86,61.5981,65.526,69.35,UP,1
2014-02-07,66.54,65.88,61.6517,65.39,69.2724,DOWN,0
2014-02-10,66.37,66.46,61.7165,65.63,69.1876,UP,1
2014-02-11,67.56,66.23,61.788,66.14,69.1288,UP,1
2014-02-12,67.74,67.81,61.8564,66.744,69.073,UP,1
2014-02-13,67.89,67.37,61.9253,67.22,69.013,UP,1
2014-02-14,68.0,67.73,61.9961,67.512,68.9616,UP,1
2014-02-18,68.5,68.06,62.0643,67.938,68.9424,DOWN,0
2014-02-19,68.11,68.12,62.132,68.048,68.9218,UP,1
2014-02-20,68.39,68.4,62.202,68.178,68.8838,UP,1
2014-02-21,68.4,68.42,62.2691,68.28,68.8392,UP,1
2014-02-24,68.58,68.31,62.3365,68.396,68.8154,UP,1
2014-02-25,68.72,68.39,62.406,68.44,68.8138,DOWN,0
2014-02-26,68.26,68.87,62.4731,68.47,68.8036,DOWN,0
2014-02-27,68.01,68.01,62.5408,68.394,68.7948,DOWN,0
2014-02-28,67.85,68.17,62.6052,68.284,68.7828,DOWN,0
2014-03-03,67.5,67.11,62.6677,68.068,68.7658,UP,1
2014-03-04,68.76,68.03,62.7395,68.076,68.7488,UP,1
2014-03-05,68.89,69.0,62.809,68.202,68.734,DOWN,0
2014-03-06,68.75,69.0,62.8786,68.35,68.7126,UP,1
2014-03-07,68.94,69.25,62.9501,68.568,68.6908,UP,1
2014-03-10,69.1,68.91,63.0233,68.888,68.67,DOWN,0
2014-03-11,68.34,69.11,63.0921,68.804,68.6308,DOWN,0
2014-03-12,67.68,67.76,63.1583,68.562,68.5802,UP,1
2014-03-13,67.79,68.01,63.2254,68.37,68.5284,DOWN,0
2014-03-14,67.57,67.66,63.2937,68.096,68.4736,UP,1
2014-03-17,68.08,67.73,63.3605,67.892,68.4374,DOWN,0
2014-03-18,67.85,68.08,63.4294,67.794,68.3956,DOWN,0
2014-03-19,66.87,68.05,63.5003,67.632,68.3392,DOWN,0
2014-03-20,66.48,66.74,63.5664,67.37,68.2598,DOWN,0
2014-03-21,64.82,66.55,63.626,66.82,68.1334,DOWN,0
2014-03-24,64.32,65.29,63.6849,66.068,67.9922,UP,1
2014-03-25,64.56,64.61,63.743,65.41,67.8566,UP,1
2014-03-26,64.85,64.92,63.7987,65.006,67.7414,DOWN,0
2014-03-27,64.11,64.81,63.8452,64.532,67.6128,UP,1
2014-03-28,64.82,64.25,63.8955,64.532,67.4982,UP,1
2014-03-31,65.59,65.3,63.9507,64.786,67.4,UP,1
2014-04-01,65.91,65.6,64.0056,65.056,67.3076,DOWN,0
2014-04-02,65.58,65.75,64.0552,65.202,67.2088,UP,1
2014-04-03,65.8,65.81,64.1049,65.54,67.1192,DOWN,0
2014-04-04,65.05,65.99,64.1523,65.586,67.0274,DOWN,0
2014-04-07,64.18,64.94,64.2025,65.304,66.966,DOWN,0
2014-04-08,64.17,64.14,64.2517,64.956,66.9132,UP,1
2014-04-09,65.64,64.77,64.3118,64.968,66.8716,DOWN,0
2014-04-10,65.0,65.91,64.3691,64.808,66.8264,DOWN,0
2014-04-11,64.17,64.53,64.4147,64.632,66.7544,UP,1
2014-04-14,64.51,64.44,64.4607,64.698,66.7002,DOWN,0
2014-04-15,64.22,64.56,64.5027,64.708,66.6812,UP,1
2014-04-16,64.95,64.87,64.5524,64.57,66.68,DOWN,0
2014-04-17,64.68,64.75,64.6016,64.506,66.6792,UP,1
2014-04-21,64.8,64.21,64.6502,64.632,66.665,DOWN,0
2014-04-22,64.68,64.8,64.6958,64.666,66.6278,UP,1
2014-04-23,64.84,64.8,64.7386,64.79,66.5972,UP,1
2014-04-24,64.89,66.0,64.7835,64.778,66.5438,DOWN,0
2014-04-25,62.83,64.53,64.8149,64.408,66.4456,UP,1
2014-04-28,63.45,63.25,64.8416,64.138,66.3568,UP,1
2014-04-29,63.99,63.7,64.8696,64.0,66.2766,UP,1
2014-04-30,65.18,63.75,64.9043,64.068,66.2102,DOWN,0
2014-05-01,64.87,64.76,64.9373,64.064,66.1454,DOWN,0
2014-05-02,64.27,64.89,64.9663,64.352,66.063,UP,1
2014-05-05,65.1,64.0,65.0002,64.682,65.997,DOWN,0
2014-05-06,64.77,64.71,65.03,64.838,65.9208,DOWN,0
2014-05-07,64.54,64.87,65.0578,64.71,65.8372,DOWN,0
2014-05-08,64.4,64.39,65.0916,64.616,65.76,UP,1
2014-05-09,65.58,64.52,65.1357,64.878,65.7114,UP,1
2014-05-12,66.67,65.98,65.181,65.192,65.6878,UP,1
2014-05-13,66.85,66.55,65.2229,65.608,65.6748,UP,1
2014-05-14,67.3,66.86,65.2674,66.16,65.6456,UP,1
2014-05-15,67.5,66.89,65.3138,66.78,65.6178,UP,1
2014-05-16,68.31,67.36,65.364,67.326,65.609,UP,1
2014-05-19,69.42,68.53,65.4171,67.876,65.6186,UP,1
2014-05-20,69.79,69.41,65.4736,68.464,65.6324,UP,1
2014-05-21,70.71,69.79,65.532,69.146,65.6798,UP,1
2014-05-22,71.35,70.78,65.5955,69.916,65.7532,UP,1
2014-05-23,71.64,71.55,65.66,70.582,65.8302,UP,1
2014-05-27,72.4,71.76,65.7239,71.178,65.9268,UP,1
2014-05-28,72.68,72.36,65.7899,71.756,66.0188,UP,1
2014-05-29,73.28,72.69,65.8629,72.27,66.1274,DOWN,0
2014-05-30,73.18,73.34,65.9381,72.636,66.2536,UP,1
2014-06-02,73.21,73.31,66.014,72.95,66.3882,DOWN,0
2014-06-03,73.09,72.95,66.0931,73.088,66.5536,UP,1
2014-06-04,73.66,73.11,66.1788,73.284,66.7404,DOWN,0
2014-06-05,72.79,73.51,66.2585,73.186,66.905,DOWN,0
2014-06-06,72.5,72.96,66.3337,73.05,67.058,DOWN,0
2014-06-09,72.34,72.4,66.4101,72.876,67.2226,DOWN,0
2014-06-10,72.01,72.17,66.483,72.66,67.3664,DOWN,0
2014-06-11,71.92,71.88,66.5553,72.312,67.493,DOWN,0
2014-06-12,71.46,71.79,66.6254,72.046,67.604,UP,1
2014-06-13,71.78,71.45,66.7,71.902,67.728,DOWN,0
2014-06-16,71.52,71.61,66.7728,71.738,67.8424,UP,1
2014-06-17,71.74,71.37,66.8457,71.684,67.9762,UP,1
2014-06-18,72.1,71.65,66.9216,71.72,68.1346,DOWN,0
2014-06-19,71.93,72.18,66.9943,71.814,68.2898,UP,1
2014-06-20,72.26,72.17,67.065,71.91,68.4222,UP,1
2014-06-23,72.48,72.47,67.1366,72.102,68.5718,UP,1
2014-06-24,72.55,72.18,67.2082,72.264,68.7394,UP,1
2014-06-25,72.74,72.58,67.2786,72.392,68.904,DOWN,0
2014-06-26,72.72,72.74,67.3453,72.55,69.074,UP,1
2014-06-27,72.87,72.59,67.4072,72.672,69.2324,DOWN,0
2014-06-30,72.66,72.99,67.4682,72.708,69.392,UP,1
2014-07-01,72.98,72.67,67.5317,72.794,69.5556,UP,1
2014-07-02,73.05,72.83,67.5922,72.856,69.723,UP,1
2014-07-03,73.23,73.33,67.6504,72.958,69.8908,DOWN,0
2014-07-07,73.01,73.2,67.708,72.986,70.0532,DOWN,0
2014-07-08,72.87,73.0,67.7612,73.028,70.254,UP,1
2014-07-09,72.98,73.1,67.8179,73.028,70.4446,DOWN,0
2014-07-10,72.92,72.54,67.8746,73.002,70.6232,UP,1
2014-07-11,72.98,72.94,67.935,72.952,70.7792,UP,1
2014-07-14,73.1,73.32,67.9954,72.97,70.9438,DOWN,0
2014-07-15,72.7,72.8,68.0531,72.936,71.1124,UP,1
2014-07-16,72.97,72.99,68.1116,72.934,71.2698,DOWN,0
2014-07-17,72.7,72.78,68.1696,72.89,71.4284,UP,1
2014-07-18,73.06,72.85,68.2225,72.906,71.5988,DOWN,0
2014-07-21,72.74,72.92,68.2752,72.834,71.7656,UP,1
2014-07-22,73.72,73.06,68.3367,73.038,71.9284,UP,1
2014-07-23,74.06,73.74,68.3946,73.256,72.0762,UP,1
2014-07-24,76.37,77.05,68.4666,73.99,72.2666,UP,1
2014-07-25,76.79,76.41,68.5446,74.736,72.4564,UP,1
2014-07-28,77.4,76.75,68.6253,75.668,72.6544,UP,1
2014-07-29,77.62,77.39,68.7012,76.448,72.8406,UP,1
2014-07-30,77.95,77.99,68.7777,77.226,73.0112,DOWN,0
2014-07-31,76.91,77.67,68.8467,77.334,73.1536,UP,1
2014-08-01,77.3,76.96,68.9192,77.436,73.2854,UP,1
2014-08-04,77.79,77.28,68.9894,77.514,73.4142,DOWN,0
2014-08-05,77.05,77.27,69.0515,77.4,73.5224,DOWN,0
2014-08-06,76.03,76.67,69.1086,77.016,73.595,DOWN,0
2014-08-07,74.96,76.37,69.1641,76.626,73.6406,UP,1
2014-08-08,75.43,75.0,69.2224,76.252,73.6836,UP,1
2014-08-11,75.89,75.77,69.2827,75.872,73.7378,DOWN,0
2014-08-12,75.82,75.94,69.3386,75.626,73.79,UP,1
2014-08-13,76.14,76.17,69.3931,75.648,73.851,UP,1
2014-08-14,76.62,76.06,69.4502,75.98,73.9102,DOWN,0
2014-08-15,76.33,76.79,69.5029,76.16,73.981,UP,1
2014-08-18,76.6,76.53,69.5598,76.302,74.063,UP,1
2014-08-19,76.93,76.68,69.6178,76.524,74.1548,DOWN,0
2014-08-20,76.86,76.93,69.6702,76.668,74.2518,UP,1
2014-08-21,76.93,77.06,69.7194,76.73,74.352,DOWN,0
2014-08-22,76.6,77.05,69.768,76.784,74.4548,UP,1
2014-08-25,76.92,77.03,69.8168,76.848,74.5576,DOWN,0
2014-08-26,76.72,76.85,69.8668,76.806,74.6616,DOWN,0
2014-08-27,76.37,76.97,69.9086,76.708,74.7542,UP,1
2014-08-28,76.72,76.31,69.9517,76.666,74.8466,UP,1
2014-08-29,77.39,77.0,69.9972,76.824,74.9558,DOWN,0
2014-09-02,77.15,77.51,70.0405,76.87,75.0536,UP,1
2014-09-03,77.36,77.51,70.0812,76.998,75.1512,DOWN,0
2014-09-04,77.35,77.32,70.1204,77.194,75.2472,UP,1
2014-09-05,78.14,77.18,70.1654,77.478,75.3552,UP,1
2014-09-08,78.33,77.92,70.2127,77.666,75.4674,DOWN,0
2014-09-09,78.0,78.22,70.256,77.836,75.57,DOWN,0
2014-09-10,77.96,78.15,70.2968,77.956,75.676,DOWN,0
2014-09-11,77.35,77.52,70.3335,77.956,75.7634,DOWN,0
