ticker,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-14,22.9375,23.3125,26.3243,22.375,20.74,UP,1
2000-04-17,23.1875,22.75,26.2824,22.7875,20.705,DOWN,0
2000-04-18,23.0,23.3125,26.2406,23.0,20.6725,DOWN,0
2000-04-19,22.75,23.0,26.1974,23.0875,20.635,UP,1
2000-04-20,23.3125,22.6875,26.1584,23.0375,20.6238,UP,1
2000-04-24,24.8125,24.375,26.1253,23.4125,20.6525,UP,1
2000-04-25,25.375,25.0,26.0974,23.85,20.6975,UP,1
2000-04-26,27.125,25.5,26.0806,24.675,20.77,DOWN,0
2000-04-27,25.8125,26.875,26.0578,25.2875,20.83,DOWN,0
2000-04-28,25.4375,25.8125,26.0328,25.7125,20.8913,UP,1
2000-05-01,25.8125,25.5,26.0115,25.9125,20.9688,DOWN,0
2000-05-02,25.375,25.8125,25.9878,25.9125,21.0475,DOWN,0
2000-05-03,25.375,25.3125,25.9653,25.5625,21.1225,UP,1
2000-05-04,25.9375,25.3125,25.9431,25.5875,21.215,DOWN,0
2000-05-05,25.8125,25.625,25.9199,25.6625,21.3238,UP,1
2000-05-08,26.75,25.625,25.9012,25.85,21.4538,UP,1
2000-05-09,26.8125,26.75,25.8787,26.1375,21.5725,UP,1
2000-05-10,27.5625,26.875,25.8615,26.575,21.7188,DOWN,0
2000-05-11,27.5,27.5625,25.8456,26.8875,21.8613,DOWN,0
2000-05-12,26.75,27.25,25.8281,27.075,21.9875,DOWN,0
2000-05-15,26.5,26.75,25.809,27.025,22.11,UP,1
2000-05-16,26.5625,26.75,25.7887,26.975,22.3075,DOWN,0
2000-05-17,25.6875,26.375,25.764,26.6,22.475,UP,1
2000-05-18,26.3125,25.875,25.7434,26.3625,22.655,UP,1
2000-05-19,26.9375,26.0625,25.7253,26.4,22.8375,UP,1
2000-05-22,27.3125,26.8125,25.709,26.5625,23.025,UP,1
2000-05-23,27.4375,27.125,25.6959,26.7375,23.2088,UP,1
2000-05-24,28.0625,27.5,25.6881,27.2125,23.4188,DOWN,0
2000-05-25,28.0,28.0,25.6784,27.55,23.6113,UP,1
2000-05-26,28.3125,28.1875,25.6721,27.825,23.79,UP,1
2000-05-30,28.5625,28.5,25.6684,28.075,23.9713,UP,1
