ticker,CRWD US Equity,CRWD US Equity,CRWD US Equity,CRWD US Equity,CRWD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-06-09,93.9,96.0,95.468,73.2612,61.5259,UP,1
2020-06-10,97.22,95.0,95.292,74.0512,61.5698,DOWN,0
2020-06-11,95.04,94.85,95.104,74.8384,61.6006,DOWN,0
2020-06-12,93.12,97.9865,94.942,75.6092,61.6458,UP,1
2020-06-15,99.02,92.65,95.66,76.4558,61.706,UP,1
2020-06-16,101.04,100.0,97.088,77.3202,61.7921,DOWN,0
2020-06-17,98.69,101.64,97.382,78.1126,61.8791,UP,1
2020-06-18,101.61,98.18,98.696,78.9528,61.9684,DOWN,0
2020-06-19,101.08,103.0,100.288,79.768,62.0472,UP,1
2020-06-22,105.02,101.34,101.488,80.7054,62.1381,DOWN,0
2020-06-23,104.27,105.8,102.134,81.6154,62.2795,DOWN,0
2020-06-24,103.7,103.83,103.136,82.4716,62.4625,UP,1
2020-06-25,105.71,103.8,103.956,83.3494,62.6328,DOWN,0
2020-06-26,98.79,104.0,103.498,84.0562,62.7812,DOWN,0
2020-06-29,98.1,99.77,102.114,84.7234,62.9234,UP,1
2020-06-30,100.29,98.44,101.318,85.3606,63.1006,UP,1
2020-07-01,102.95,100.0,101.168,86.0982,63.276,UP,1
2020-07-02,107.27,103.65,101.48,86.8822,63.4572,DOWN,0
2020-07-06,106.39,109.339,103.0,87.6318,63.6349,UP,1
2020-07-07,106.42,107.0,104.664,88.3202,63.8223,UP,1
2020-07-08,114.55,107.37,107.516,89.1392,64.0602,UP,1
2020-07-09,117.46,115.51,110.418,90.0858,64.313,DOWN,0
2020-07-10,116.65,117.57,112.294,91.0332,64.5836,DOWN,0
2020-07-13,106.21,118.02,112.258,91.8042,64.8046,DOWN,0
2020-07-14,105.61,107.14,112.096,92.5322,65.0411,DOWN,0
2020-07-15,103.15,105.58,109.816,93.1266,65.2896,DOWN,0
2020-07-16,101.06,102.1,106.536,93.716,65.5033,UP,1
2020-07-17,101.43,101.4047,103.492,94.2958,65.721,UP,1
2020-07-20,106.72,101.89,103.594,94.9204,65.9715,DOWN,0
