ticker,PANW US Equity,PANW US Equity,PANW US Equity,PANW US Equity,PANW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2019-10-31,75.797,75.743,75.4373,70.2073,73.5648,UP,1
2019-11-01,77.857,76.0,76.032,70.4007,73.6152,UP,1
2019-11-04,78.007,78.333,76.4367,70.6171,73.6664,DOWN,0
2019-11-05,77.84,77.927,77.032,70.8162,73.7173,DOWN,0
2019-11-06,77.563,78.027,77.4127,71.0203,73.7622,UP,1
2019-11-07,77.953,77.667,77.844,71.258,73.8012,UP,1
2019-11-08,78.977,77.953,78.068,71.5032,73.8466,DOWN,0
2019-11-11,78.67,78.917,78.2007,71.7191,73.8939,UP,1
2019-11-12,80.383,79.0,78.7093,71.9993,73.9512,UP,1
2019-11-13,81.077,80.22,79.412,72.2842,74.0018,UP,1
2019-11-14,81.837,80.213,80.1887,72.5073,74.053,UP,1
2019-11-15,82.333,81.667,80.86,72.7145,74.0975,UP,1
2019-11-18,82.863,82.333,81.6987,72.9639,74.1449,DOWN,0
2019-11-19,82.727,82.667,82.1673,73.2395,74.1936,DOWN,0
2019-11-20,82.623,82.517,82.4767,73.4625,74.2392,DOWN,0
2019-11-21,82.247,82.333,82.5587,73.7125,74.2847,UP,1
2019-11-22,82.29,82.663,82.55,73.9693,74.3217,UP,1
2019-11-25,83.427,82.617,82.6627,74.1992,74.3658,DOWN,0
2019-11-26,73.457,76.0,80.8087,74.2504,74.359,UP,1
2019-11-27,74.09,73.86,79.102,74.3309,74.3592,UP,1
2019-11-29,75.74,74.5,77.8007,74.4531,74.3626,DOWN,0
2019-12-02,74.903,75.96,76.3233,74.5629,74.3592,UP,1
2019-12-03,75.67,74.443,74.772,74.6782,74.3543,DOWN,0
2019-12-04,75.207,75.68,75.122,74.7992,74.3526,UP,1
2019-12-05,76.29,75.683,75.562,74.9159,74.3571,DOWN,0
2019-12-06,75.463,76.333,75.5067,75.0333,74.3509,DOWN,0
2019-12-09,75.287,75.347,75.5833,75.1897,74.3376,DOWN,0
2019-12-10,75.097,75.5,75.4687,75.3327,74.3205,UP,1
2019-12-11,75.657,74.93,75.5587,75.4792,74.274,DOWN,0
2019-12-12,75.63,75.893,75.4267,75.6224,74.2417,UP,1
2019-12-13,75.663,75.52,75.4667,75.7459,74.2109,UP,1
2019-12-16,76.563,75.5,75.722,75.8734,74.1894,UP,1
2019-12-17,76.89,76.833,76.0807,75.9925,74.1833,DOWN,0
2019-12-18,76.473,77.0,76.244,76.1423,74.175,DOWN,0
2019-12-19,76.367,76.5,76.3913,76.2736,74.1659,UP,1
2019-12-20,76.67,76.623,76.5927,76.4117,74.1582,UP,1
2019-12-23,77.11,76.687,76.702,76.5511,74.1423,UP,1
2019-12-24,77.263,77.0,76.7767,76.6727,74.1283,UP,1
2019-12-26,77.847,77.377,77.0513,76.8124,74.1129,DOWN,0
2019-12-27,77.757,78.277,77.3293,76.9479,74.0971,DOWN,0
2019-12-30,77.143,77.53,77.424,77.0623,74.0833,DOWN,0
2019-12-31,77.083,77.047,77.4187,77.1866,74.067,UP,1
2020-01-02,78.47,77.747,77.66,77.3409,74.0552,UP,1
2020-01-03,78.943,77.647,77.8793,77.497,74.0402,UP,1
2020-01-06,80.087,78.783,78.3453,77.6507,74.0243,UP,1
2020-01-07,80.547,80.087,79.026,77.7845,74.0231,DOWN,0
2020-01-08,79.523,79.333,79.514,77.8773,74.0177,UP,1
2020-01-09,80.023,79.727,79.8247,77.9581,74.0108,DOWN,0
2020-01-10,79.29,80.1,79.894,78.0467,74.0082,UP,1
2020-01-13,80.307,79.617,79.938,78.1396,74.0124,DOWN,0
2020-01-14,80.0,80.273,79.8287,78.2237,74.0076,UP,1
2020-01-15,80.233,80.19,79.9707,78.2712,74.0064,UP,1
2020-01-16,81.087,80.547,80.1833,78.3328,74.0115,DOWN,0
2020-01-17,80.69,81.143,80.4633,78.3898,74.0113,UP,1
2020-01-21,81.077,80.52,80.6173,78.4601,74.0215,UP,1
2020-01-22,81.243,81.627,80.866,78.5259,74.0297,UP,1
2020-01-23,81.633,80.967,81.146,78.579,74.0397,DOWN,0
2020-01-24,80.967,81.667,81.122,78.6249,74.0433,DOWN,0
2020-01-27,79.283,79.383,80.8407,78.6029,74.0355,UP,1
2020-01-28,79.707,79.59,80.5667,78.5755,74.0241,DOWN,0
2020-01-29,79.183,80.073,80.1547,78.5225,74.0123,UP,1
2020-01-30,79.333,78.76,79.6947,78.4625,73.9952,DOWN,0
2020-01-31,78.26,79.343,79.1533,78.3704,73.9791,UP,1
2020-02-03,78.657,78.287,79.028,78.289,73.9733,UP,1
2020-02-04,80.063,78.917,79.0993,78.2378,73.9812,UP,1
2020-02-05,80.553,80.837,79.3733,78.2039,73.9852,UP,1
2020-02-06,82.023,80.857,79.9113,78.1986,73.9935,DOWN,0
2020-02-07,81.94,82.0,80.6473,78.1689,73.998,UP,1
2020-02-10,82.507,81.79,81.4173,78.3499,74.0014,DOWN,0
2020-02-11,82.277,83.0,81.86,78.5136,74.0031,DOWN,0
2020-02-12,81.573,82.463,82.064,78.6303,73.9956,UP,1
2020-02-13,81.87,81.4,82.0333,78.7696,73.9902,UP,1
2020-02-14,82.417,82.333,82.1287,78.9045,73.9917,UP,1
2020-02-18,83.073,82.517,82.242,79.0619,73.9958,DOWN,0
2020-02-19,82.903,83.073,82.3673,79.1941,73.9924,UP,1
2020-02-20,83.047,82.603,82.662,79.3458,73.9945,DOWN,0
2020-02-21,81.0,82.813,82.488,79.4601,74.0025,DOWN,0
2020-02-24,79.11,78.943,81.8267,79.5403,74.0006,DOWN,0
2020-02-25,65.653,67.333,78.3427,79.3403,73.9325,DOWN,0
2020-02-26,63.193,65.693,74.4007,79.0915,73.8568,DOWN,0
2020-02-27,62.52,61.5,70.2953,78.8287,73.7953,DOWN,0
2020-02-28,61.54,60.587,66.4033,78.5282,73.7249,UP,1
2020-03-02,63.097,61.637,63.2007,78.2523,73.6741,DOWN,0
2020-03-03,60.68,63.117,62.206,77.9365,73.6028,UP,1
2020-03-04,61.963,61.987,61.96,77.6484,73.5366,DOWN,0
2020-03-05,60.35,60.67,61.526,77.322,73.4655,DOWN,0
2020-03-06,58.723,58.96,60.9627,76.9543,73.3796,DOWN,0
2020-03-09,52.927,54.887,58.9287,76.4675,73.2642,UP,1
2020-03-10,55.823,54.803,57.9573,76.0271,73.1837,DOWN,0
2020-03-11,52.51,54.693,56.0667,75.5221,73.0858,DOWN,0
2020-03-12,46.85,48.683,53.3667,74.9163,72.9626,UP,1
2020-03-13,50.523,49.087,51.7267,74.3851,72.8563,DOWN,0
2020-03-16,45.723,45.033,50.286,73.7301,72.7444,UP,1
2020-03-17,47.187,46.137,48.5587,73.095,72.6468,DOWN,0
2020-03-18,44.193,44.513,46.8953,72.3771,72.5399,UP,1
2020-03-19,46.37,43.877,46.7993,71.6936,72.4356,UP,1
2020-03-20,47.843,47.423,46.2633,71.06,72.3428,UP,1
2020-03-23,48.72,47.28,46.8627,70.4339,72.2572,UP,1
2020-03-24,53.573,51.457,48.14,69.9196,72.1991,UP,1
2020-03-25,55.337,54.587,50.3687,69.4202,72.1443,UP,1
2020-03-26,56.0,56.187,52.2947,68.9402,72.0896,DOWN,0
2020-03-27,54.18,54.077,53.562,68.4191,72.0221,UP,1
2020-03-30,55.49,54.333,54.916,67.9072,71.9571,DOWN,0
2020-03-31,54.653,54.667,55.132,67.3865,71.8916,DOWN,0
2020-04-01,54.62,52.667,54.9887,66.8573,71.823,UP,1
2020-04-02,55.18,54.257,54.8247,66.3361,71.7566,DOWN,0
2020-04-03,54.22,54.43,54.8327,65.7878,71.6792,UP,1
2020-04-06,57.113,56.453,55.1573,65.3107,71.6204,UP,1
2020-04-07,57.603,58.99,55.7473,64.8771,71.5676,UP,1
2020-04-08,58.72,58.333,56.5673,64.4574,71.5303,UP,1
2020-04-09,59.293,59.623,57.39,64.0596,71.4959,UP,1
2020-04-13,60.987,60.203,58.7433,63.6927,71.4682,UP,1
2020-04-14,62.643,62.493,59.8493,63.3803,71.4399,DOWN,0
2020-04-15,62.117,61.563,60.752,63.0495,71.4109,UP,1
2020-04-16,63.43,62.62,61.694,62.7169,71.3853,UP,1
2020-04-17,64.477,65.0,62.7307,62.3953,71.3665,UP,1
2020-04-20,64.763,64.157,63.486,62.0501,71.342,DOWN,0
2020-04-21,62.17,63.987,63.3913,61.6547,71.3038,UP,1
2020-04-22,63.953,63.333,63.7587,61.2837,71.2739,UP,1
2020-04-23,64.03,63.863,63.8787,60.9187,71.2351,UP,1
2020-04-24,64.483,64.283,63.88,60.5769,71.1998,UP,1
2020-04-27,65.627,65.43,64.0527,60.2521,71.1651,DOWN,0
2020-04-28,64.517,66.667,64.522,59.8941,71.1261,UP,1
2020-04-29,65.9,65.737,64.9113,59.5506,71.0895,DOWN,0
2020-04-30,65.503,65.387,65.206,59.2026,71.0506,DOWN,0
2020-05-01,64.893,64.333,65.288,58.8395,71.0023,DOWN,0
2020-05-04,63.947,64.567,64.952,58.4985,70.9516,UP,1
2020-05-05,66.07,64.597,65.2627,58.2377,70.9115,UP,1
2020-05-06,67.077,67.623,65.498,58.2661,70.8775,UP,1
2020-05-07,71.043,68.28,66.606,58.4231,70.8595,UP,1
2020-05-08,71.32,71.45,67.8913,58.5991,70.8411,UP,1
2020-05-11,72.753,71.0,69.6527,58.8234,70.8325,DOWN,0
2020-05-12,71.39,73.0,70.7167,58.9893,70.8111,UP,1
2020-05-13,71.913,73.333,71.684,59.2139,70.7946,UP,1
2020-05-14,73.19,70.633,72.1133,59.4385,70.7809,UP,1
2020-05-15,74.277,72.667,72.7047,59.717,70.7747,UP,1
2020-05-18,75.38,75.257,73.23,60.0501,70.7759,UP,1
2020-05-19,75.717,75.593,74.0953,60.5059,70.7853,UP,1
2020-05-20,78.16,76.833,75.3447,60.9527,70.8185,DOWN,0
2020-05-21,76.5,78.0,76.0067,61.4325,70.8442,UP,1
2020-05-22,79.31,80.0,77.0133,62.0817,70.8874,DOWN,0
2020-05-26,77.057,79.983,77.3487,62.6123,70.9143,UP,1
2020-05-27,77.263,77.027,77.658,63.2431,70.9419,DOWN,0
2020-05-28,76.463,76.827,77.3187,63.8287,70.9638,UP,1
2020-05-29,78.423,76.687,77.7033,64.5133,70.9851,UP,1
2020-06-01,79.437,78.333,77.7287,65.1746,71.0213,UP,1
2020-06-02,79.953,79.437,78.308,65.8168,71.0634,DOWN,0
2020-06-03,77.803,79.31,78.416,66.3985,71.1203,DOWN,0
2020-06-04,75.563,76.667,78.236,66.8383,71.1681,UP,1
2020-06-05,77.13,75.583,77.9773,67.2741,71.2209,UP,1
2020-06-08,79.263,76.697,77.9427,67.7394,71.2776,DOWN,0
2020-06-09,77.853,79.333,77.5227,68.2129,71.326,DOWN,0
2020-06-10,77.56,78.333,77.474,68.6543,71.3778,DOWN,0
2020-06-11,73.973,75.857,77.156,69.0407,71.4083,DOWN,0
2020-06-12,73.95,75.74,76.52,69.4273,71.4412,UP,1
2020-06-15,75.433,73.263,75.754,69.8323,71.4881,UP,1
2020-06-16,76.233,76.667,75.43,70.2726,71.5356,UP,1
2020-06-17,76.413,76.493,75.2007,70.6586,71.5783,UP,1
2020-06-18,76.777,76.333,75.7613,71.0421,71.6303,UP,1
2020-06-19,76.91,77.667,76.3533,71.4059,71.6807,UP,1
2020-06-22,77.627,76.953,76.792,71.7725,71.7155,DOWN,0
2020-06-23,76.437,77.357,76.8327,72.0815,71.7378,DOWN,0
2020-06-24,74.467,76.333,76.4433,72.318,71.7581,UP,1
2020-06-25,75.633,74.333,76.2147,72.5883,71.7916,DOWN,0
2020-06-26,75.13,75.48,75.8587,72.8223,71.8099,UP,1
2020-06-29,75.697,74.95,75.4727,73.0467,71.8396,UP,1
2020-06-30,76.557,75.697,75.4967,73.2826,71.8752,DOWN,0
2020-07-01,76.453,76.47,75.894,73.5683,71.8978,UP,1
2020-07-02,76.843,77.0,76.136,73.8261,71.9275,UP,1
2020-07-06,78.637,77.557,76.8373,74.1182,71.9704,DOWN,0
2020-07-07,77.69,78.553,77.236,74.3823,72.0107,UP,1
2020-07-08,80.94,78.0,78.1127,74.6886,72.0683,UP,1
2020-07-09,82.86,81.323,79.394,75.0555,72.1331,UP,1
2020-07-10,82.987,82.903,80.6227,75.3972,72.2022,DOWN,0
2020-07-13,80.353,83.417,80.966,75.6942,72.2517,UP,1
2020-07-14,81.777,80.013,81.7833,76.0319,72.3126,DOWN,0
2020-07-15,80.167,82.17,81.6287,76.3563,72.3761,DOWN,0
2020-07-16,79.127,79.347,80.882,76.6174,72.432,UP,1
2020-07-17,79.937,79.447,80.272,76.8746,72.49,UP,1
2020-07-20,83.867,80.487,80.9747,77.1311,72.567,DOWN,0
2020-07-21,83.107,84.11,81.2407,77.3668,72.6351,UP,1
2020-07-22,83.453,83.747,81.898,77.5808,72.7014,DOWN,0
2020-07-23,82.833,83.387,82.6393,77.8097,72.7609,DOWN,0
2020-07-24,81.257,81.53,82.9033,77.9965,72.8223,UP,1
2020-07-27,82.553,81.717,82.6407,78.1838,72.8861,DOWN,0
2020-07-28,81.603,82.5,82.34,78.3303,72.9452,UP,1
2020-07-29,82.85,82.433,82.2193,78.4797,73.0088,UP,1
2020-07-30,83.93,82.33,82.4387,78.644,73.0725,UP,1
2020-07-31,85.307,84.333,83.2487,78.7869,73.1448,DOWN,0
2020-08-03,84.81,85.307,83.7,78.9531,73.2139,UP,1
2020-08-04,84.97,84.347,84.3733,79.0663,73.2816,UP,1
2020-08-05,88.033,86.35,85.41,79.2859,73.3675,UP,1
2020-08-06,88.627,88.223,86.3493,79.5131,73.4568,DOWN,0
2020-08-07,87.083,88.353,86.7047,79.7255,73.5365,DOWN,0
2020-08-10,86.077,87.083,86.958,79.8786,73.6049,DOWN,0
2020-08-11,85.077,85.487,86.9793,79.9914,73.661,UP,1
2020-08-12,86.607,85.4,86.694,80.1245,73.7196,UP,1
2020-08-13,87.187,86.5,86.406,80.3121,73.7757,DOWN,0
2020-08-14,86.37,87.33,86.2633,80.5283,73.8332,UP,1
2020-08-17,87.487,86.733,86.5453,80.7354,73.8923,UP,1
2020-08-18,88.587,89.0,87.2473,80.9219,73.9563,UP,1
2020-08-19,89.827,88.947,87.8913,81.1613,74.0161,UP,1
2020-08-20,90.84,89.443,88.622,81.4269,74.0803,DOWN,0
2020-08-21,89.777,91.207,89.3033,81.743,74.14,DOWN,0
2020-08-24,89.023,91.337,89.6107,82.0445,74.1973,DOWN,0
2020-08-25,86.997,86.66,89.2927,82.2757,74.2425,UP,1
2020-08-26,87.813,87.0,88.89,82.5073,74.2867,DOWN,0
2020-08-27,85.123,87.667,87.7467,82.6815,74.3189,DOWN,0
2020-08-28,84.89,85.643,86.7693,82.8438,74.3415,UP,1
2020-08-31,85.803,84.55,86.1253,83.0217,74.3651,UP,1
2020-09-01,86.167,86.3,85.9593,83.1925,74.3868,DOWN,0
2020-09-02,85.82,86.483,85.5607,83.3801,74.4042,DOWN,0
2020-09-03,80.737,84.517,84.6833,83.5055,74.3936,DOWN,0
2020-09-04,78.55,80.213,83.4153,83.5639,74.3727,DOWN,0
2020-09-08,77.977,76.667,81.85,83.6208,74.3494,UP,1
2020-09-09,79.467,79.747,80.51,83.6962,74.3355,DOWN,0
2020-09-10,78.987,79.583,79.1433,83.7448,74.319,UP,1
2020-09-11,80.98,80.667,79.192,83.8353,74.3068,UP,1
2020-09-14,81.91,82.0,79.864,83.9367,74.3491,UP,1
2020-09-15,82.693,82.667,80.8073,84.0178,74.3921,DOWN,0
2020-09-16,82.29,82.933,81.372,84.1098,74.4248,DOWN,0
2020-09-17,80.477,80.77,81.67,84.1005,74.4527,UP,1
2020-09-18,80.533,81.38,81.5807,84.054,74.477,UP,1
2020-09-21,80.87,79.307,81.3727,84.0117,74.5053,UP,1
2020-09-22,82.167,81.35,81.2673,84.0479,74.5347,DOWN,0
2020-09-23,79.71,82.167,80.7513,84.0066,74.5559,DOWN,0
2020-09-24,79.33,79.353,80.522,83.9899,74.5762,UP,1
2020-09-25,80.713,79.347,80.558,84.0216,74.6042,UP,1
2020-09-28,81.98,81.473,80.78,84.0625,74.6359,UP,1
2020-09-29,82.163,81.997,80.7793,84.0284,74.6685,DOWN,0
2020-09-30,81.583,81.587,81.154,83.9979,74.6981,UP,1
2020-10-01,83.51,82.89,81.99,83.9991,74.7329,DOWN,0
2020-10-02,81.72,82.107,82.1913,83.9768,74.757,UP,1
2020-10-05,82.89,81.89,82.3733,84.0095,74.7891,DOWN,0
2020-10-06,82.413,82.567,82.4233,84.0067,74.8193,UP,1
2020-10-07,83.653,83.097,82.8373,84.0477,74.8542,DOWN,0
2020-10-08,83.17,84.08,82.7693,84.0541,74.8845,UP,1
2020-10-09,84.173,84.08,83.26,84.0589,74.9191,UP,1
2020-10-12,84.367,85.0,83.5553,84.0401,74.9517,UP,1
2020-10-13,84.85,84.333,84.0427,84.0409,74.9872,UP,1
2020-10-14,85.367,85.5,84.3853,84.0489,75.0283,DOWN,0
2020-10-15,83.94,84.32,84.5393,83.967,75.0626,DOWN,0
2020-10-16,82.12,84.453,84.1287,83.8369,75.0808,DOWN,0
2020-10-19,80.78,82.537,83.4113,83.7108,75.09,DOWN,0
2020-10-20,79.76,80.957,82.3933,83.5845,75.0884,DOWN,0
2020-10-21,78.617,79.663,81.0433,83.4553,75.0787,UP,1
2020-10-22,79.2,78.983,80.0953,83.3071,75.0771,DOWN,0
2020-10-23,78.847,79.48,79.4407,83.1403,75.0712,DOWN,0
2020-10-26,77.207,78.53,78.726,82.9571,75.0608,DOWN,0
2020-10-27,77.18,77.75,78.21,82.7509,75.0452,DOWN,0
2020-10-28,75.31,76.4,77.5487,82.4854,75.0217,UP,1
2020-10-29,76.257,75.31,76.96,82.214,75.0018,DOWN,0
2020-10-30,73.73,75.977,75.9367,81.8718,74.965,UP,1
2020-11-02,73.95,74.263,75.2853,81.5553,74.9313,UP,1
2020-11-03,75.973,74.757,75.044,81.2943,74.9058,UP,1
2020-11-04,78.393,76.667,75.6607,81.1222,74.8916,UP,1
2020-11-05,81.407,80.697,76.6907,80.9941,74.8904,UP,1
2020-11-06,83.343,81.333,78.6133,80.9585,74.9023,UP,1
2020-11-09,84.043,84.397,80.632,80.9415,74.9261,DOWN,0
2020-11-10,80.907,82.807,81.6187,80.8436,74.9321,UP,1
2020-11-11,84.267,82.777,82.7933,80.8056,74.9575,DOWN,0
