ticker,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-03-14,3.4125,3.375,3.4893,3.7808,,DOWN,0
2001-03-15,3.4,3.4063,3.4668,3.7835,,UP,1
2001-03-16,3.4088,3.3875,3.4433,3.7865,,UP,1
2001-03-19,3.4925,3.4063,3.4378,3.7938,,UP,1
2001-03-20,3.5013,3.4925,3.443,3.8029,,DOWN,0
2001-03-21,3.4375,3.4063,3.448,3.8156,,DOWN,0
2001-03-22,3.3525,3.4388,3.4385,3.8245,,UP,1
2001-03-23,3.425,3.3538,3.4418,3.8302,,DOWN,0
2001-03-26,3.375,3.425,3.4183,3.8296,,DOWN,0
2001-03-27,3.375,3.3775,3.393,3.8305,,UP,1
2001-03-28,3.4538,3.4963,3.3963,3.8285,,UP,1
2001-03-29,3.5313,3.455,3.432,3.8266,,UP,1
2001-03-30,3.6138,3.5313,3.4698,3.8239,,DOWN,0
2001-04-02,3.5,3.6,3.4948,3.818,,DOWN,0
2001-04-03,3.4438,3.5,3.5085,3.8093,,UP,1
2001-04-04,3.5613,3.4938,3.53,3.8031,,UP,1
2001-04-05,3.5938,3.5125,3.5425,3.7981,,DOWN,0
2001-04-06,3.5063,3.5925,3.521,3.7926,,UP,1
2001-04-09,3.5313,3.525,3.5273,3.7869,,DOWN,0
2001-04-10,3.5,3.5275,3.5385,3.7795,,DOWN,0
2001-04-11,3.1313,3.4813,3.4525,3.7637,,UP,1
2001-04-12,3.1813,3.1313,3.37,3.743,,UP,1
2001-04-16,3.1875,3.1938,3.3063,3.7177,,DOWN,0
2001-04-17,2.975,3.125,3.195,3.6872,,UP,1
2001-04-18,3.1563,2.975,3.1263,3.6623,,DOWN,0
2001-04-19,2.97,3.2125,3.094,3.6364,,DOWN,0
2001-04-20,2.9488,2.97,3.0475,3.6098,,UP,1
2001-04-23,3.0,2.9787,3.01,3.5853,,UP,1
2001-04-24,3.3275,3.2563,3.0805,3.5675,,UP,1
2001-04-25,3.69,3.3275,3.1873,3.5593,,DOWN,0
2001-04-26,3.625,3.6875,3.3183,3.5498,,UP,1
2001-04-27,3.7875,3.625,3.486,3.5406,,UP,1
2001-04-30,4.055,3.7875,3.697,3.5361,,UP,1
2001-05-01,4.2875,4.0938,3.889,3.5367,,UP,1
2001-05-02,4.3438,4.2563,4.0198,3.539,,DOWN,0
2001-05-03,3.975,4.3375,4.0898,3.532,,UP,1
2001-05-04,3.9875,3.9375,4.1298,3.5268,,DOWN,0
2001-05-07,3.935,3.9688,4.1058,3.523,,DOWN,0
2001-05-08,3.925,3.925,4.0333,3.5191,,UP,1
2001-05-09,3.975,3.9375,3.9595,3.5175,,UP,1
2001-05-10,4.0088,3.9625,3.9663,3.5223,,UP,1
2001-05-11,4.0138,4.025,3.9715,3.5313,,UP,1
2001-05-14,4.2438,4.0025,4.0333,3.5464,,UP,1
2001-05-15,4.3775,4.245,4.1238,3.5639,,UP,1
2001-05-16,4.5625,4.35,4.2413,3.5891,,DOWN,0
2001-05-17,4.5125,4.5938,4.342,3.6126,,DOWN,0
2001-05-18,4.375,4.5,4.4143,3.6299,,UP,1
2001-05-21,4.575,4.4063,4.4805,3.6508,,UP,1
2001-05-22,4.6038,4.5813,4.5258,3.6725,,DOWN,0
2001-05-23,4.5313,4.6038,4.5195,3.6936,,UP,1
2001-05-24,4.5563,4.5375,4.5283,3.7165,,UP,1
2001-05-25,4.5938,4.5563,4.572,3.7404,,DOWN,0
2001-05-29,4.5025,4.5938,4.5575,3.7623,,DOWN,0
2001-05-30,4.5025,4.5,4.5373,3.7825,,DOWN,0
2001-05-31,4.3813,4.5025,4.5073,3.8001,,UP,1
2001-06-01,4.4375,4.3813,4.4835,3.8201,,DOWN,0
2001-06-04,4.4125,4.4375,4.4473,3.8413,,UP,1
2001-06-05,4.4875,4.4375,4.4443,3.8625,,DOWN,0
2001-06-06,4.3775,4.4887,4.4193,3.8826,,UP,1
2001-06-07,4.395,4.3463,4.422,3.903,,UP,1
2001-06-08,4.4863,4.4575,4.4318,3.9236,,DOWN,0
2001-06-11,4.47,4.4875,4.4433,3.9424,,UP,1
2001-06-12,4.4975,4.5,4.4453,3.9601,,UP,1
2001-06-13,4.6313,4.55,4.496,3.9827,,DOWN,0
2001-06-14,4.4613,4.6375,4.5093,4.003,,DOWN,0
2001-06-15,4.37,4.4563,4.486,4.0192,,UP,1
2001-06-18,4.3763,4.4125,4.4673,4.0349,,UP,1
2001-06-19,4.4063,4.4,4.449,4.0529,,DOWN,0
2001-06-20,4.4063,4.4188,4.404,4.0704,,UP,1
2001-06-21,4.6563,4.3975,4.443,4.0935,,DOWN,0
2001-06-22,4.575,4.655,4.484,4.1224,,DOWN,0
2001-06-25,4.5512,4.5625,4.519,4.1498,,UP,1
2001-06-26,4.7463,4.5325,4.587,4.1809,,UP,1
2001-06-27,4.8113,4.7775,4.668,4.2177,,DOWN,0
2001-06-28,4.8,4.875,4.6968,4.2505,,DOWN,0
2001-06-29,4.7563,4.8313,4.733,4.2863,,DOWN,0
2001-07-02,4.7063,4.775,4.764,4.3214,,UP,1
2001-07-03,4.8188,4.6875,4.7785,4.3578,,DOWN,0
2001-07-05,4.46,4.725,4.7083,4.3805,,DOWN,0
2001-07-06,4.3775,4.4388,4.6238,4.3942,,UP,1
2001-07-09,4.585,4.3813,4.5895,4.4134,,UP,1
2001-07-10,4.7375,4.585,4.5958,4.4324,,UP,1
2001-07-11,5.0625,4.7375,4.6445,4.4526,,UP,1
2001-07-12,5.1875,5.165,4.79,4.4706,,DOWN,0
2001-07-13,5.0,5.1563,4.9145,4.4837,,UP,1
