ticker,LH US Equity,LH US Equity,LH US Equity,LH US Equity,LH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-06,16.594,16.609,9.7962,17.35,14.2497,DOWN,0
2000-06-07,16.5,16.5,9.8443,17.0563,14.3828,DOWN,0
2000-06-08,16.328,16.375,9.8923,16.7656,14.5094,DOWN,0
2000-06-09,16.281,16.266,9.9386,16.4844,14.6413,DOWN,0
2000-06-12,15.656,16.156,9.9817,16.2719,14.7638,DOWN,0
2000-06-13,15.641,15.625,10.0248,16.0813,14.8641,UP,1
2000-06-14,16.0,15.656,10.0696,15.9813,14.9747,UP,1
2000-06-15,16.25,16.0,10.1149,15.9656,15.0903,UP,1
2000-06-16,16.969,16.313,10.1646,16.1031,15.2203,UP,1
2000-06-19,17.625,16.938,10.2176,16.4969,15.3541,UP,1
2000-06-20,18.5,17.625,10.2734,17.0688,15.5022,UP,1
2000-06-21,18.688,18.469,10.3324,17.6063,15.6541,DOWN,0
2000-06-22,18.5,18.656,10.3898,18.0563,15.7991,UP,1
2000-06-23,18.594,18.484,10.4484,18.3813,15.9491,UP,1
2000-06-26,18.781,18.828,10.5079,18.6125,16.1059,DOWN,0
2000-06-27,18.625,18.938,10.5674,18.6375,16.2691,UP,1
2000-06-28,18.938,18.625,10.6285,18.6875,16.4447,UP,1
2000-06-29,19.641,18.875,10.6945,18.9156,16.6156,DOWN,0
2000-06-30,19.277,19.703,10.7581,19.0523,16.7574,UP,1
2000-07-03,19.5,19.219,10.822,19.1961,16.9037,UP,1
2000-07-05,20.297,19.75,10.8922,19.5305,17.069,UP,1
2000-07-06,20.422,20.328,10.9615,19.8273,17.2024,DOWN,0
2000-07-07,20.156,20.422,11.0311,19.9305,17.3149,UP,1
2000-07-10,20.25,20.219,11.1011,20.125,17.4293,UP,1
2000-07-11,21.5,20.234,11.1773,20.525,17.5624,UP,1
2000-07-12,22.969,21.75,11.2609,21.0594,17.7093,DOWN,0
2000-07-13,22.203,22.719,11.3422,21.4156,17.8471,UP,1
2000-07-14,22.531,22.141,11.4244,21.8906,17.9821,UP,1
2000-07-17,23.469,22.547,11.5074,22.5344,18.1368,UP,1
2000-07-18,24.875,23.531,11.599,23.2094,18.3196,DOWN,0
2000-07-19,24.625,24.969,11.6893,23.5406,18.4927,UP,1
2000-07-20,25.188,25.125,11.7816,24.1375,18.6684,DOWN,0
2000-07-21,24.297,25.125,11.8695,24.4906,18.8243,UP,1
2000-07-24,24.516,24.25,11.9585,24.7,18.9649,DOWN,0
2000-07-25,23.453,24.516,12.0422,24.4156,19.0871,UP,1
2000-07-26,23.938,23.5,12.1283,24.2781,19.1977,UP,1
2000-07-27,24.453,23.875,12.2185,24.1313,19.3184,UP,1
2000-07-28,25.359,24.5,12.314,24.3438,19.4615,DOWN,0
2000-07-31,24.563,25.063,12.4056,24.3531,19.5968,UP,1
2000-08-01,25.75,24.625,12.5023,24.8125,19.7674,DOWN,0
2000-08-02,25.625,25.688,12.5984,25.15,19.9493,DOWN,0
2000-08-03,25.516,25.563,12.6947,25.3625,20.1271,UP,1
2000-08-04,26.75,25.594,12.7965,25.6406,20.3387,UP,1
2000-08-07,26.813,26.813,12.8969,26.0906,20.5527,DOWN,0
2000-08-08,26.281,26.844,12.994,26.1969,20.7368,UP,1
2000-08-09,26.875,26.25,13.0932,26.4469,20.9143,DOWN,0
2000-08-10,26.813,26.891,13.1929,26.7063,21.0912,DOWN,0
2000-08-11,26.547,26.813,13.2904,26.6656,21.2665,UP,1
2000-08-14,27.156,26.875,13.3903,26.7344,21.4559,DOWN,0
2000-08-15,26.703,27.25,13.4863,26.8188,21.6555,DOWN,0
2000-08-16,26.578,26.75,13.5817,26.7594,21.8552,UP,1
2000-08-17,26.922,26.453,13.6796,26.7813,22.0637,UP,1
2000-08-18,27.406,27.0,13.7799,26.9531,22.2852,UP,1
2000-08-21,28.219,28.25,13.8843,27.1656,22.524,DOWN,0
2000-08-22,28.078,28.172,13.9872,27.4406,22.7724,UP,1
2000-08-23,28.266,28.031,14.0902,27.7781,23.0249,UP,1
2000-08-24,28.656,28.406,14.1937,28.125,23.278,DOWN,0
2000-08-25,28.5,28.688,14.2971,28.3438,23.523,UP,1
2000-08-28,28.703,28.5,14.4015,28.4406,23.7577,UP,1
2000-08-29,28.734,28.75,14.5077,28.5719,23.9799,UP,1
2000-08-30,28.828,28.672,14.612,28.6844,24.1865,UP,1
2000-08-31,29.578,28.781,14.7177,28.8688,24.4043,UP,1
2000-09-01,30.75,29.703,14.8285,29.3188,24.6493,UP,1
2000-09-05,30.953,30.5,14.9403,29.7688,24.8965,UP,1
2000-09-06,31.0,30.938,15.0515,30.2219,25.1409,UP,1
2000-09-07,31.172,31.016,15.1629,30.6906,25.3918,UP,1
2000-09-08,31.453,31.0,15.274,31.0656,25.6421,UP,1
2000-09-11,31.688,31.594,15.3864,31.2531,25.883,UP,1
2000-09-12,31.844,31.75,15.4995,31.4313,26.1344,UP,1
2000-09-13,32.609,31.844,15.6165,31.7531,26.3966,DOWN,0
2000-09-14,32.25,32.609,15.7308,31.9688,26.6356,UP,1
2000-09-15,32.297,32.219,15.847,32.1375,26.8731,DOWN,0
2000-09-18,29.125,32.625,15.9465,31.625,27.0525,UP,1
2000-09-19,29.734,29.25,16.0491,31.2031,27.2422,DOWN,0
2000-09-20,29.094,29.797,16.1493,30.5,27.3941,DOWN,0
2000-09-21,27.813,28.75,16.243,29.6125,27.4909,DOWN,0
2000-09-22,27.75,27.406,16.3365,28.7031,27.6019,UP,1
2000-09-25,28.094,28.125,16.4316,28.4969,27.7131,DOWN,0
2000-09-26,27.578,28.078,16.5234,28.0656,27.7953,UP,1
2000-09-27,30.5,27.688,16.6306,28.3469,27.9078,DOWN,0
2000-09-28,30.0,30.0,16.7361,28.7844,28.0153,DOWN,0
2000-09-29,29.938,29.75,16.842,29.2219,28.1103,UP,1
2000-10-02,31.5,30.0,16.9581,29.9031,28.2544,DOWN,0
2000-10-03,31.375,31.625,17.0744,30.6625,28.3916,DOWN,0
2000-10-04,30.75,31.25,17.1844,30.7125,28.5375,DOWN,0
2000-10-05,30.5,30.75,17.2923,30.8125,28.6688,DOWN,0
2000-10-06,30.375,30.5,17.4004,30.9,28.7872,DOWN,0
2000-10-09,28.234,30.188,17.4979,30.2469,28.8447,UP,1
2000-10-10,28.469,27.938,17.598,29.6656,28.9228,UP,1
2000-10-11,29.063,28.188,17.6996,29.3281,28.9891,DOWN,0
2000-10-12,29.0,28.875,17.7977,29.0281,29.0566,UP,1
2000-10-13,30.313,28.938,17.9024,29.0156,29.1525,UP,1
2000-10-16,30.484,29.688,18.0087,29.4656,29.2272,UP,1
2000-10-17,30.906,30.5,18.1179,29.9531,29.3091,DOWN,0
2000-10-18,29.938,30.813,18.2239,30.1281,29.3822,UP,1
2000-10-19,31.25,30.25,18.3364,30.5781,29.4697,DOWN,0
