ticker,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-07,2.591,2.594,3.4707,2.6494,2.7872,UP,1
2000-06-08,2.594,2.628,3.4686,2.6663,2.769,UP,1
2000-06-09,2.609,2.597,3.4651,2.6094,2.7549,DOWN,0
2000-06-12,2.422,2.609,3.4611,2.5488,2.7368,UP,1
2000-06-13,2.45,2.409,3.4573,2.5331,2.7188,DOWN,0
2000-06-14,2.322,2.466,3.454,2.4794,2.7017,DOWN,0
2000-06-15,2.316,2.35,3.45,2.4238,2.6841,DOWN,0
2000-06-16,2.3,2.363,3.4467,2.3619,2.6679,DOWN,0
2000-06-19,2.266,2.275,3.443,2.3306,2.649,UP,1
2000-06-20,2.306,2.294,3.4389,2.3019,2.6275,DOWN,0
2000-06-21,2.303,2.272,3.4347,2.2981,2.6102,DOWN,0
2000-06-22,2.1,2.309,3.4298,2.255,2.5888,DOWN,0
2000-06-23,1.694,1.831,3.4224,2.1338,2.5663,UP,1
2000-06-26,1.697,1.766,3.4142,2.02,2.5523,UP,1
2000-06-27,1.825,1.688,3.4075,1.9238,2.5419,UP,1
2000-06-28,1.894,1.844,3.4005,1.8419,2.5327,DOWN,0
2000-06-29,1.856,1.856,3.3934,1.7931,2.5149,DOWN,0
2000-06-30,1.816,1.85,3.3862,1.8175,2.4978,UP,1
2000-07-03,1.85,1.834,3.3794,1.8481,2.4824,DOWN,0
2000-07-05,1.825,1.85,3.3729,1.8481,2.4691,DOWN,0
2000-07-06,1.803,1.844,3.3663,1.83,2.4527,UP,1
2000-07-07,1.806,1.806,3.3589,1.82,2.4353,DOWN,0
2000-07-10,1.753,1.819,3.3521,1.8075,2.4175,DOWN,0
2000-07-11,1.656,1.759,3.3441,1.7688,2.3955,UP,1
2000-07-12,1.753,1.772,3.3372,1.7544,2.3706,DOWN,0
2000-07-13,1.75,1.781,3.3295,1.7438,2.3495,UP,1
2000-07-14,2.125,1.819,3.3199,1.8075,2.3378,DOWN,0
2000-07-17,2.056,2.144,3.3102,1.8681,2.3239,UP,1
2000-07-18,2.088,2.006,3.3014,1.9544,2.3071,DOWN,0
2000-07-19,2.044,2.075,3.2923,2.0125,2.292,DOWN,0
2000-07-20,2.016,2.047,3.2828,2.0656,2.2761,UP,1
2000-07-21,2.056,2.022,3.2725,2.0519,2.2639,DOWN,0
2000-07-24,1.938,2.053,3.2603,2.0281,2.2478,DOWN,0
2000-07-25,1.881,1.838,3.2474,1.9869,2.2316,DOWN,0
2000-07-26,1.803,1.753,3.2343,1.9388,2.2116,DOWN,0
2000-07-27,1.569,1.572,3.2209,1.8494,2.1839,DOWN,0
2000-07-28,1.5,1.572,3.2085,1.7381,2.1529,UP,1
2000-07-31,1.506,1.503,3.1961,1.6519,2.1277,UP,1
2000-08-01,1.513,1.531,3.1849,1.5781,2.1053,UP,1
2000-08-02,1.541,1.513,3.1741,1.5256,2.0843,UP,1
2000-08-03,1.575,1.472,3.1628,1.5269,2.0691,UP,1
2000-08-04,1.625,1.597,3.1508,1.5519,2.053,UP,1
2000-08-07,1.691,1.6,3.1391,1.5888,2.0413,DOWN,0
2000-08-08,1.647,1.663,3.1276,1.6156,2.0278,DOWN,0
2000-08-09,1.544,1.619,3.1147,1.6163,2.0069,DOWN,0
2000-08-10,1.522,1.575,3.102,1.6056,1.989,UP,1
2000-08-11,1.684,1.525,3.0914,1.6175,1.9725,UP,1
2000-08-14,1.744,1.675,3.0824,1.6281,1.9495,UP,1
2000-08-15,1.878,1.731,3.0741,1.6744,1.9326,UP,1
2000-08-16,1.931,1.878,3.0665,1.7519,1.9206,DOWN,0
2000-08-17,1.913,1.9,3.0594,1.83,1.9071,UP,1
2000-08-18,1.95,1.963,3.0527,1.8831,1.8942,DOWN,0
2000-08-21,1.875,1.955,3.0463,1.9094,1.8795,DOWN,0
2000-08-22,1.825,1.906,3.0392,1.8988,1.8676,UP,1
2000-08-23,1.941,1.819,3.0294,1.9006,1.8574,UP,1
2000-08-24,1.969,1.978,3.0216,1.9119,1.8503,UP,1
2000-08-25,1.997,1.956,3.0136,1.9213,1.8439,DOWN,0
2000-08-28,1.956,1.941,3.0051,1.9375,1.8371,UP,1
2000-08-29,1.981,1.975,2.9963,1.9688,1.8314,UP,1
2000-08-30,2.147,2.119,2.9886,2.01,1.8282,DOWN,0
2000-08-31,2.075,2.156,2.9793,2.0313,1.8236,DOWN,0
2000-09-01,2.075,2.106,2.9705,2.0469,1.8231,UP,1
2000-09-05,2.284,2.047,2.9625,2.1125,1.8349,UP,1
2000-09-06,2.294,2.363,2.9544,2.175,1.8469,DOWN,0
2000-09-07,2.175,2.341,2.9452,2.1806,1.8539,DOWN,0
2000-09-08,2.147,2.203,2.9355,2.195,1.8589,DOWN,0
2000-09-11,2.119,2.131,2.9243,2.2038,1.8642,UP,1
2000-09-12,2.134,2.169,2.9117,2.1738,1.8706,DOWN,0
2000-09-13,2.122,2.066,2.8997,2.1394,1.876,UP,1
2000-09-14,2.244,2.209,2.8896,2.1531,1.8844,DOWN,0
2000-09-15,2.181,2.269,2.8793,2.16,1.8919,DOWN,0
2000-09-18,2.141,2.175,2.8677,2.1644,1.8986,DOWN,0
2000-09-19,2.038,2.103,2.8563,2.145,1.9043,DOWN,0
2000-09-20,1.875,2.022,2.8437,2.0956,1.9087,UP,1
2000-09-21,2.003,1.872,2.8322,2.0475,1.9137,UP,1
2000-09-22,2.072,1.919,2.8204,2.0256,1.9201,DOWN,0
2000-09-25,2.019,2.061,2.8046,2.0013,1.918,DOWN,0
2000-09-26,1.988,2.031,2.7879,1.9913,1.9166,DOWN,0
2000-09-27,1.894,1.934,2.7717,1.995,1.9128,UP,1
2000-09-28,2.0,1.866,2.7578,1.9944,1.9119,DOWN,0
2000-09-29,1.922,1.95,2.7433,1.9644,1.91,DOWN,0
2000-10-02,1.794,1.909,2.7285,1.9194,1.9048,DOWN,0
2000-10-03,1.753,1.838,2.7138,1.8725,1.9011,UP,1
2000-10-04,1.8,1.672,2.6985,1.8538,1.8994,DOWN,0
2000-10-05,1.678,1.759,2.682,1.7894,1.8969,DOWN,0
2000-10-06,1.578,1.625,2.6654,1.7206,1.8971,DOWN,0
2000-10-09,1.503,1.513,2.6504,1.6625,1.8972,UP,1
2000-10-10,1.522,1.488,2.6378,1.6163,1.8975,DOWN,0
2000-10-11,1.391,1.397,2.6241,1.5344,1.8951,DOWN,0
2000-10-12,1.256,1.419,2.6096,1.45,1.8894,UP,1
2000-10-13,1.422,1.213,2.5969,1.4188,1.8863,DOWN,0
2000-10-16,1.216,1.406,2.5839,1.3613,1.8781,DOWN,0
2000-10-17,1.097,1.244,2.5671,1.2763,1.8663,UP,1
2000-10-18,1.256,0.994,2.5529,1.2494,1.8584,UP,1
2000-10-19,1.388,1.328,2.5424,1.2756,1.8553,UP,1
2000-10-20,1.541,1.384,2.5337,1.2994,1.8557,DOWN,0
2000-10-23,1.5,1.484,2.5238,1.3563,1.852,DOWN,0
2000-10-24,1.478,1.494,2.5139,1.4325,1.8467,UP,1
2000-10-25,1.594,1.7,2.5052,1.5,1.841,UP,1
2000-10-26,1.844,1.609,2.4985,1.5913,1.8393,DOWN,0
2000-10-27,1.781,1.697,2.4909,1.6394,1.8366,DOWN,0
2000-10-30,1.644,1.653,2.4831,1.6681,1.8305,UP,1
2000-10-31,1.831,1.634,2.4762,1.7388,1.8296,UP,1
2000-11-01,1.869,1.791,2.4688,1.7938,1.8305,UP,1
2000-11-02,1.988,1.903,2.4626,1.8225,1.8314,DOWN,0
2000-11-03,1.878,1.95,2.4565,1.8419,1.8296,DOWN,0
2000-11-06,1.828,1.928,2.4481,1.8788,1.8263,UP,1
2000-11-07,1.847,1.825,2.44,1.8819,1.8241,DOWN,0
2000-11-08,1.694,1.8,2.4323,1.8469,1.8183,DOWN,0
2000-11-09,1.563,1.634,2.4233,1.7619,1.8066,DOWN,0
2000-11-10,1.503,1.538,2.4154,1.6869,1.7952,DOWN,0
