ticker,VNO US Equity,VNO US Equity,VNO US Equity,VNO US Equity,VNO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-07-26,27.6284,27.1661,23.5701,26.9812,25.4824,UP,1
2000-07-27,27.8045,27.6504,23.5964,27.2409,25.5322,DOWN,0
2000-07-28,27.7164,27.8706,23.6254,27.4303,25.5819,DOWN,0
2000-07-31,27.5403,27.6944,23.6528,27.5667,25.6299,UP,1
2000-08-01,28.7071,27.4743,23.6875,27.8794,25.703,DOWN,0
2000-08-02,28.6851,28.619,23.7229,28.0907,25.7774,DOWN,0
2000-08-03,28.4429,28.2668,23.7574,28.2184,25.8531,DOWN,0
2000-08-04,28.0687,28.487,23.7908,28.2888,25.924,DOWN,0
2000-08-07,28.0687,28.3549,23.8246,28.3945,25.994,UP,1
2000-08-08,28.2668,27.9146,23.8583,28.3064,26.0627,DOWN,0
2000-08-09,28.2668,28.1788,23.8922,28.2228,26.1349,DOWN,0
2000-08-10,28.2668,28.1788,23.9265,28.1876,26.208,UP,1
2000-08-11,28.4429,28.3989,23.9628,28.2624,26.2837,DOWN,0
2000-08-14,28.3549,28.3549,23.9967,28.3197,26.3568,DOWN,0
2000-08-15,28.2668,28.3549,24.0265,28.3197,26.4264,DOWN,0
2000-08-16,28.1788,28.1788,24.0546,28.302,26.4916,DOWN,0
2000-08-17,28.0467,28.1347,24.0791,28.258,26.5532,DOWN,0
2000-08-18,27.7825,28.0907,24.1029,28.1259,26.6096,DOWN,0
2000-08-21,27.7825,27.8265,24.1271,28.0114,26.6597,DOWN,0
2000-08-22,27.6944,27.7825,24.1491,27.897,26.7091,DOWN,0
2000-08-23,27.3862,27.6944,24.1707,27.7385,26.7513,DOWN,0
2000-08-24,26.8138,27.3862,24.1896,27.4919,26.7742,DOWN,0
2000-08-25,26.7698,26.9019,24.2083,27.2894,26.7971,UP,1
2000-08-28,26.8138,26.9019,24.2277,27.0956,26.8218,DOWN,0
2000-08-29,26.4176,26.7698,24.2453,26.8403,26.8438,DOWN,0
2000-08-30,26.1974,26.4176,24.2622,26.6025,26.8605,DOWN,0
2000-08-31,26.0653,26.3295,24.279,26.4528,26.8737,DOWN,0
2000-09-01,25.6691,26.1534,24.2931,26.2327,26.8755,UP,1
2000-09-05,26.1314,25.8452,24.3097,26.0962,26.89,DOWN,0
2000-09-06,26.0653,26.0653,24.3266,26.0257,26.9032,UP,1
2000-09-07,26.5056,26.0653,24.3451,26.0874,26.927,UP,1
2000-09-08,27.4082,26.6818,24.3701,26.3559,26.968,UP,1
2000-09-11,27.4523,27.6064,24.3947,26.7126,27.008,DOWN,0
2000-09-12,27.3642,27.4743,24.4196,26.9591,27.0657,DOWN,0
2000-09-13,27.2541,27.3862,24.4452,27.1969,27.1106,DOWN,0
2000-09-14,27.034,27.2982,24.4692,27.3026,27.1405,UP,1
2000-09-15,27.2101,27.1221,24.4938,27.2629,27.1626,DOWN,0
2000-09-18,26.5497,27.2101,24.5156,27.0824,27.1722,UP,1
2000-09-19,26.6377,26.6377,24.5374,26.9371,27.1837,DOWN,0
2000-09-20,26.6377,26.6377,24.557,26.8138,27.1969,DOWN,0
2000-09-21,26.4616,26.7258,24.5755,26.6994,27.2066,UP,1
2000-09-22,26.8138,26.5497,24.5966,26.6201,27.2246,DOWN,0
2000-09-25,26.3295,26.7698,24.6165,26.5761,27.2321,DOWN,0
2000-09-26,26.1534,26.2415,24.6356,26.4792,27.2348,UP,1
2000-09-27,26.7478,26.1974,24.6602,26.5012,27.2467,DOWN,0
2000-09-28,26.5937,26.7698,24.6844,26.5277,27.2555,DOWN,0
2000-09-29,26.1534,26.5937,24.7075,26.3956,27.2484,DOWN,0
2000-10-02,25.0086,26.1094,24.7255,26.1314,27.2132,DOWN,0
2000-10-03,24.8766,25.1848,24.7348,25.876,27.1736,DOWN,0
2000-10-04,24.3922,24.8766,24.7443,25.4049,27.1185,DOWN,0
2000-10-05,23.8199,24.7445,24.7473,24.8501,27.0424,UP,1
2000-10-06,24.6124,24.3042,24.7561,24.5419,26.9785,UP,1
2000-10-09,24.7885,24.5684,24.7652,24.4979,26.92,DOWN,0
2000-10-10,24.4363,24.9206,24.7729,24.4098,26.8579,DOWN,0
2000-10-11,24.2601,24.5243,24.7788,24.3834,26.7689,DOWN,0
2000-10-12,24.2161,24.3042,24.7826,24.4627,26.6796,DOWN,0
2000-10-13,24.2161,24.3922,24.7865,24.3834,26.595,UP,1
2000-10-16,24.3922,24.3922,24.794,24.3042,26.5215,UP,1
2000-10-17,24.6564,24.3482,24.7997,24.3482,26.4532,UP,1
2000-10-18,24.7004,24.5243,24.8057,24.4363,26.3819,DOWN,0
2000-10-19,24.5243,24.7004,24.8077,24.4979,26.3071,DOWN,0
2000-10-20,24.2601,24.4363,24.8068,24.5067,26.2269,UP,1
2000-10-23,24.3482,24.4363,24.8055,24.4979,26.145,DOWN,0
2000-10-24,24.04,24.2601,24.8015,24.3746,26.0587,DOWN,0
2000-10-25,23.5116,23.996,24.7962,24.1369,25.9636,UP,1
2000-10-26,23.7318,23.3796,24.7933,23.9784,25.8747,UP,1
2000-10-27,24.084,23.6437,24.7925,23.9431,25.7955,UP,1
2000-10-30,24.2161,24.2161,24.7942,23.9167,25.7241,UP,1
2000-10-31,24.5243,24.2161,24.796,24.0136,25.659,UP,1
2000-11-01,24.8766,24.4803,24.8002,24.2866,25.6026,DOWN,0
2000-11-02,24.6564,24.5684,24.8044,24.4715,25.548,DOWN,0
2000-11-03,24.5243,24.3922,24.8088,24.5595,25.5022,UP,1
2000-11-06,24.5684,24.4363,24.8173,24.63,25.4582,DOWN,0
2000-11-07,24.5684,24.6564,24.8275,24.6388,25.4133,UP,1
2000-11-08,24.7004,24.5243,24.838,24.6036,25.3789,DOWN,0
2000-11-09,24.6564,24.7445,24.8488,24.6036,25.3481,DOWN,0
2000-11-10,24.6564,24.7445,24.8596,24.63,25.3199,UP,1
2000-11-13,24.7445,24.6564,24.873,24.6652,25.3014,DOWN,0
2000-11-14,24.7445,24.7004,24.8849,24.7004,25.2737,UP,1
2000-11-15,24.8766,24.7445,24.8975,24.7357,25.2499,DOWN,0
2000-11-16,24.8766,24.9206,24.9118,24.7797,25.2173,DOWN,0
2000-11-17,24.8766,24.8325,24.9283,24.8237,25.1667,UP,1
2000-11-20,25.2288,24.7885,24.9452,24.9206,25.1222,DOWN,0
2000-11-21,25.1848,25.1407,24.9622,25.0086,25.0787,DOWN,0
2000-11-22,25.1848,25.2288,24.9791,25.0703,25.0373,DOWN,0
2000-11-24,25.1848,25.3169,24.9968,25.1319,25.0003,UP,1
2000-11-27,25.2728,25.3169,25.0148,25.2112,24.9615,UP,1
2000-11-28,25.4489,25.3169,25.0344,25.2552,24.9395,UP,1
2000-11-29,25.6251,25.493,25.0533,25.3433,24.9193,UP,1
2000-11-30,26.0213,25.6691,25.0756,25.5106,24.9069,DOWN,0
2000-12-01,25.9773,25.9333,25.0967,25.6691,24.8973,UP,1
2000-12-04,26.1094,25.8892,25.1194,25.8364,24.8832,UP,1
2000-12-05,26.5497,26.1974,25.144,26.0565,24.8876,UP,1
2000-12-06,26.7258,26.4616,25.1702,26.2767,24.899,UP,1
2000-12-07,26.7698,26.6377,25.1971,26.4264,24.8995,DOWN,0
2000-12-08,26.6377,26.7698,25.2242,26.5585,24.9003,UP,1
2000-12-11,26.7258,26.7698,25.251,26.6818,24.9118,DOWN,0
2000-12-12,26.5937,26.4616,25.2762,26.6906,24.9435,UP,1
2000-12-13,26.8138,26.5937,25.3018,26.7082,24.9822,DOWN,0
2000-12-14,26.6818,26.6818,25.3264,26.6906,25.028,UP,1
2000-12-15,26.9019,26.4176,25.3528,26.7434,25.0897,UP,1
2000-12-18,27.2541,26.7698,25.3801,26.8491,25.1425,UP,1
2000-12-19,27.2982,27.078,25.4074,26.99,25.1927,DOWN,0
2000-12-20,27.2101,27.2982,25.435,27.0692,25.2482,DOWN,0
2000-12-21,26.8579,27.1221,25.4618,27.1044,25.3001,DOWN,0
2000-12-22,26.7698,26.7698,25.4882,27.078,25.3512,DOWN,0
2000-12-26,26.7698,26.6818,25.5169,26.9812,25.4023,UP,1
2000-12-27,26.8579,26.7698,25.5442,26.8931,25.4516,UP,1
2000-12-28,27.4303,26.7698,25.573,26.9371,25.5071,DOWN,0
2000-12-29,26.99,27.3422,25.5959,26.9635,25.5528,DOWN,0
