ticker,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-07-03,21.0,20.25,24.3146,20.8031,24.0128,UP,1
2000-07-05,21.0625,20.75,24.2871,20.7781,23.9291,DOWN,0
2000-07-06,21.0625,21.0625,24.2624,20.775,23.8253,UP,1
2000-07-07,21.4375,21.375,24.2374,20.9125,23.7278,UP,1
2000-07-10,21.625,21.5,24.2152,21.2375,23.6391,UP,1
2000-07-11,21.9375,21.5625,24.1942,21.425,23.5528,DOWN,0
2000-07-12,21.8125,21.5625,24.1724,21.575,23.4603,DOWN,0
2000-07-13,21.8125,21.75,24.1521,21.725,23.3716,UP,1
2000-07-14,21.875,21.875,24.1317,21.8125,23.2878,DOWN,0
2000-07-17,21.4375,21.5,24.1061,21.775,23.1966,DOWN,0
2000-07-18,21.25,21.25,24.0814,21.6375,23.1103,DOWN,0
2000-07-19,20.875,21.3125,24.0546,21.45,23.0091,DOWN,0
2000-07-20,20.8125,20.8125,24.0286,21.25,22.9103,DOWN,0
2000-07-21,20.625,20.75,23.9983,21.0,22.8141,UP,1
2000-07-24,21.0625,20.875,23.9714,20.925,22.7253,DOWN,0
2000-07-25,20.75,21.4375,23.9392,20.825,22.6278,UP,1
2000-07-26,20.8125,20.625,23.9067,20.8125,22.5353,DOWN,0
2000-07-27,20.5,20.5625,23.8792,20.75,22.4266,DOWN,0
2000-07-28,20.125,20.25,23.8527,20.65,22.3228,DOWN,0
2000-07-31,20.0625,20.5625,23.8236,20.45,22.2216,UP,1
2000-08-01,20.3125,20.25,23.7983,20.3625,22.1253,UP,1
2000-08-02,20.5,20.5,23.7774,20.3,22.0341,DOWN,0
2000-08-03,20.3125,20.5,23.7539,20.2625,21.9403,UP,1
2000-08-04,20.5,20.25,23.7302,20.3375,21.8416,UP,1
2000-08-07,20.5625,20.6875,23.7074,20.4375,21.7503,UP,1
2000-08-08,20.9375,20.6875,23.6836,20.5625,21.6828,DOWN,0
