ticker,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-02,9.5162,9.6938,8.8062,9.5197,9.6315,DOWN,0
2001-04-03,9.133,9.5416,8.8098,9.4583,9.6318,DOWN,0
2001-04-04,9.0721,9.133,8.8138,9.3812,9.6295,UP,1
2001-04-05,9.2624,9.0721,8.8186,9.3416,9.6289,DOWN,0
2001-04-06,8.9325,9.1355,8.8232,9.1832,9.6223,UP,1
2001-04-09,9.3386,8.9706,8.8293,9.1477,9.6226,DOWN,0
2001-04-10,9.3284,9.3386,8.8354,9.1868,9.6201,DOWN,0
2001-04-11,9.2269,9.3005,8.8404,9.2178,9.6151,UP,1
2001-04-12,9.2523,9.2497,8.8466,9.2157,9.6113,DOWN,0
2001-04-16,9.0188,9.2117,8.8498,9.233,9.6034,DOWN,0
2001-04-17,8.963,9.0188,8.8543,9.1579,9.5938,UP,1
2001-04-18,9.1355,9.0264,8.857,9.1193,9.5875,DOWN,0
2001-04-19,9.1254,9.1355,8.859,9.099,9.5764,DOWN,0
2001-04-20,9.0467,9.0848,8.8613,9.0579,9.5647,DOWN,0
2001-04-23,8.8386,9.034,8.8636,9.0219,9.5498,UP,1
2001-04-24,8.9909,8.8386,8.8657,9.0274,9.5355,UP,1
2001-04-25,9.0087,8.9325,8.869,9.0021,9.5221,UP,1
2001-04-26,9.034,9.0721,8.8726,8.9838,9.5089,UP,1
2001-04-27,9.0467,9.0213,8.8752,8.9838,9.4957,UP,1
2001-04-30,9.1736,9.0467,8.8781,9.0508,9.4858,UP,1
2001-05-01,9.5669,9.199,8.883,9.166,9.4843,UP,1
2001-05-02,9.9273,9.6684,8.8904,9.3497,9.4905,DOWN,0
2001-05-03,9.77,9.8968,8.8957,9.4969,9.4912,UP,1
2001-05-04,9.8588,9.77,8.9014,9.6593,9.4943,UP,1
2001-05-07,9.8765,9.8968,8.9072,9.7999,9.497,UP,1
2001-05-08,9.8841,9.8791,8.9146,9.8633,9.5002,UP,1
2001-05-09,10.1227,9.8867,8.9217,9.9024,9.509,UP,1
2001-05-10,10.2039,10.1404,8.9301,9.9892,9.5151,DOWN,0
2001-05-11,10.1633,10.2267,8.9387,10.0501,9.5176,DOWN,0
2001-05-14,10.0415,10.1633,8.946,10.0831,9.513,UP,1
2001-05-15,10.2039,10.1506,8.9544,10.147,9.5095,DOWN,0
2001-05-16,10.143,10.2673,8.9607,10.1511,9.5007,UP,1
2001-05-17,10.3029,10.1506,8.969,10.1709,9.4961,UP,1
2001-05-18,10.4678,10.3282,8.9782,10.2318,9.4979,DOWN,0
2001-05-21,10.3612,10.4678,8.9874,10.2958,9.5015,DOWN,0
2001-05-22,10.3435,10.379,8.9963,10.3237,9.5068,DOWN,0
2001-05-23,10.1734,10.3282,9.0042,10.3298,9.5126,UP,1
2001-05-24,10.1836,10.1734,9.0119,10.3059,9.524,UP,1
2001-05-25,10.2318,10.1861,9.0199,10.2587,9.5416,DOWN,0
2001-05-29,10.1481,10.2521,9.0275,10.2161,9.5574,UP,1
2001-05-30,10.2826,10.1481,9.0354,10.2039,9.5757,UP,1
2001-05-31,10.4323,10.4044,9.0446,10.2557,9.6001,UP,1
2001-06-01,10.45,10.4323,9.0544,10.3089,9.6259,UP,1
2001-06-04,10.4932,10.4399,9.0652,10.3612,9.6556,DOWN,0
2001-06-05,10.4424,10.4932,9.0754,10.4201,9.6795,UP,1
2001-06-06,10.445,10.4424,9.0852,10.4526,9.7009,UP,1
2001-06-07,10.5845,10.445,9.0961,10.483,9.7238,UP,1
2001-06-08,10.6328,10.5871,9.1072,10.5196,9.7473,DOWN,0
2001-06-11,10.4932,10.6581,9.1179,10.5196,9.768,UP,1
2001-06-12,10.5287,10.4171,9.1286,10.5368,9.7841,DOWN,0
2001-06-13,10.445,10.5566,9.1386,10.5368,9.8026,UP,1
2001-06-14,10.5845,10.4551,9.1487,10.5368,9.8317,DOWN,0
2001-06-15,10.5312,10.5693,9.1582,10.5165,9.8608,DOWN,0
2001-06-18,10.4297,10.5439,9.1675,10.5038,9.8842,DOWN,0
2001-06-19,10.4297,10.4297,9.1763,10.484,9.9141,DOWN,0
2001-06-20,10.4297,10.4171,9.1852,10.481,9.936,UP,1
