ticker,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2020-07-07,122.67,122.29,127.589,119.806,111.214,DOWN,0
2020-07-08,119.12,122.28,127.4356,120.46,111.4308,DOWN,0
2020-07-09,117.1,118.85,127.2722,120.688,111.5574,UP,1
2020-07-10,118.79,117.0,127.1179,120.282,111.6002,UP,1
2020-07-13,119.16,120.0,126.9593,119.368,111.724,UP,1
2020-07-14,120.83,119.25,126.8053,119.0,111.927,UP,1
2020-07-15,123.53,122.61,126.6778,119.882,112.163,UP,1
2020-07-16,124.23,122.82,126.5427,121.308,112.4868,UP,1
2020-07-17,124.95,125.02,126.4222,122.54,112.9796,UP,1
2020-07-20,125.11,124.37,126.3203,123.73,113.4382,UP,1
2020-07-21,126.96,125.5,126.2286,124.956,113.9552,UP,1
2020-07-22,127.15,127.79,126.129,125.68,114.556,DOWN,0
2020-07-23,127.13,127.1,126.0265,126.26,115.124,UP,1
2020-07-24,127.28,127.07,125.9261,126.726,115.8086,UP,1
2020-07-27,128.13,126.46,125.8255,127.33,116.434,DOWN,0
2020-07-28,120.5,127.58,125.6855,126.038,116.9226,UP,1
2020-07-29,121.08,121.07,125.5537,124.824,117.3194,DOWN,0
2020-07-30,119.68,119.69,125.4187,123.334,117.7318,DOWN,0
2020-07-31,117.42,119.53,125.2709,121.362,118.0508,UP,1
2020-08-03,117.53,118.0,125.1225,119.242,118.3888,UP,1
2020-08-04,124.33,118.09,125.0055,120.008,118.8786,UP,1
2020-08-05,126.54,125.22,124.908,121.1,119.3148,DOWN,0
2020-08-06,126.4,125.08,124.8068,122.444,119.6126,UP,1
2020-08-07,130.08,126.39,124.7285,124.976,120.0068,UP,1
2020-08-10,132.06,131.1,124.6663,127.882,120.4816,UP,1
2020-08-11,133.24,133.53,124.6055,129.664,120.9996,DOWN,0
2020-08-12,131.89,133.57,124.5296,130.734,121.4256,DOWN,0
2020-08-13,129.64,130.5,124.4492,131.382,121.6518,UP,1
2020-08-14,129.74,129.02,124.3766,131.314,121.8338,UP,1
2020-08-17,130.03,129.75,124.3035,130.908,121.9518,DOWN,0
2020-08-18,128.64,130.32,124.2324,129.988,122.0434,DOWN,0
2020-08-19,127.03,128.54,124.1493,129.016,122.2234,DOWN,0
2020-08-20,126.11,126.01,124.0698,128.31,122.4242,DOWN,0
2020-08-21,125.83,125.63,123.9938,127.528,122.759,DOWN,0
2020-08-24,124.67,126.52,123.9266,126.456,123.0106,DOWN,0
2020-08-25,124.51,125.25,123.8621,125.63,123.2362,DOWN,0
2020-08-26,122.89,123.3,123.7943,124.802,123.231,UP,1
2020-08-27,124.06,123.85,123.732,124.392,123.3324,DOWN,0
2020-08-28,122.89,124.42,123.6639,123.804,123.3696,DOWN,0
2020-08-31,120.0,122.87,123.5711,122.87,123.3686,UP,1
2020-09-01,122.22,119.54,123.4742,122.412,123.4188,UP,1
2020-09-02,125.4,122.01,123.3986,122.914,123.534,DOWN,0
2020-09-03,123.93,125.78,123.3163,122.888,123.6514,UP,1
2020-09-04,125.0,124.99,123.2355,123.31,123.8132,DOWN,0
2020-09-08,122.37,124.66,123.1436,123.784,124.0046,DOWN,0
2020-09-09,121.66,122.03,123.0488,123.672,124.1174,UP,1
2020-09-10,123.33,122.26,122.9731,123.258,124.267,UP,1
2020-09-11,125.98,123.46,122.9015,123.668,124.4674,UP,1
2020-09-14,130.34,126.5,122.8431,124.736,124.6578,UP,1
2020-09-15,131.42,130.91,122.7814,126.546,124.8116,UP,1
2020-09-16,133.29,132.25,122.7385,128.872,125.024,UP,1
2020-09-17,133.75,131.81,122.6994,130.956,125.3166,DOWN,0
2020-09-18,131.39,132.87,122.6465,132.038,125.6024,DOWN,0
2020-09-21,126.67,128.18,122.5728,131.304,125.76,UP,1
2020-09-22,128.43,126.81,122.4952,130.706,125.9454,DOWN,0
2020-09-23,126.42,129.59,122.4098,129.332,126.0572,UP,1
2020-09-24,128.54,126.07,122.3402,128.29,126.1574,UP,1
2020-09-25,130.48,126.8,122.2923,128.108,126.2824,UP,1
2020-09-28,133.72,131.74,122.2489,129.518,126.4578,DOWN,0
2020-09-29,132.7,132.85,122.2,130.372,126.6096,UP,1
2020-09-30,135.54,133.36,122.1627,132.196,126.7812,DOWN,0
2020-10-01,134.38,136.0,122.1228,133.364,126.9258,UP,1
2020-10-02,136.8,132.25,122.0917,134.628,127.1192,UP,1
2020-10-05,141.55,138.0,122.0823,136.194,127.4046,DOWN,0
2020-10-06,141.31,142.11,122.0803,137.916,127.6682,UP,1
2020-10-07,146.48,143.81,122.1038,140.104,128.1878,UP,1
2020-10-08,153.09,149.99,122.1675,143.846,128.828,DOWN,0
2020-10-09,150.78,153.13,122.2081,146.642,129.45,DOWN,0
2020-10-12,150.09,151.27,122.2403,148.35,130.1034,DOWN,0
2020-10-13,145.9,145.25,122.2504,149.268,130.6708,UP,1
2020-10-14,147.73,146.89,122.2764,149.518,131.1388,DOWN,0
2020-10-15,145.83,146.08,122.2856,148.066,131.5246,UP,1
2020-10-16,146.42,147.18,122.3041,147.194,131.925,DOWN,0
2020-10-19,145.62,146.73,122.3217,146.3,132.2358,DOWN,0
2020-10-20,145.45,146.92,122.3397,146.21,132.5036,DOWN,0
2020-10-21,144.7,144.56,122.3619,145.604,132.7328,UP,1
2020-10-22,144.83,144.13,122.3792,145.404,132.9916,UP,1
2020-10-23,145.41,146.31,122.3948,145.202,133.307,DOWN,0
2020-10-26,141.09,143.28,122.3844,144.296,133.534,UP,1
2020-10-27,142.1,141.44,122.3838,143.626,133.7754,DOWN,0
2020-10-28,137.48,139.08,122.3742,142.182,133.9522,UP,1
