ticker,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-06-25,39.28,39.55,40.376,37.1128,42.4296,DOWN,0
2014-06-26,39.1,39.38,40.012,37.1544,42.3892,DOWN,0
2014-06-27,38.88,38.86,39.5,37.1606,42.3459,DOWN,0
2014-06-30,38.25,38.96,39.054,37.1488,42.2961,UP,1
2014-07-01,39.02,38.48,38.906,37.1394,42.2488,DOWN,0
2014-07-02,38.57,39.01,38.764,37.0934,42.2026,UP,1
2014-07-03,38.65,38.74,38.674,37.0706,42.1565,DOWN,0
2014-07-07,37.51,38.32,38.4,37.0342,42.1077,DOWN,0
2014-07-08,35.46,37.21,37.842,36.9944,42.0463,UP,1
2014-07-09,35.74,37.24,37.186,36.9638,41.995,UP,1
2014-07-10,36.33,35.01,36.738,36.9136,41.9557,UP,1
2014-07-11,37.4,36.37,36.488,36.892,41.9251,DOWN,0
2014-07-14,36.93,37.77,36.372,36.8532,41.8921,DOWN,0
2014-07-15,35.21,36.99,36.322,36.8674,41.8476,DOWN,0
2014-07-16,35.17,35.37,36.208,36.8688,41.8038,DOWN,0
2014-07-17,33.75,34.8,35.692,36.8616,41.7534,UP,1
2014-07-18,34.5,33.91,35.112,36.8674,41.7014,DOWN,0
2014-07-21,34.27,34.37,34.58,36.879,41.6453,DOWN,0
2014-07-22,34.26,34.44,34.39,36.8572,41.5889,UP,1
2014-07-23,35.0,34.82,34.356,36.8176,41.5371,DOWN,0
2014-07-24,34.69,35.28,34.544,36.8076,41.4897,UP,1
2014-07-25,34.89,34.6,34.622,36.7862,41.4585,DOWN,0
2014-07-28,34.4,35.0,34.648,36.771,41.4325,UP,1
2014-07-29,35.16,34.68,34.828,36.7892,41.4048,UP,1
2014-07-30,35.89,35.52,35.006,36.8198,41.3856,DOWN,0
2014-07-31,35.2,35.32,35.108,36.856,41.3629,UP,1
2014-08-01,36.9,35.11,35.51,36.9376,41.3487,DOWN,0
2014-08-04,36.74,37.21,35.978,37.004,41.3274,UP,1
2014-08-05,38.1,36.51,36.566,37.1028,41.3085,UP,1
2014-08-06,38.75,37.94,37.138,37.1746,41.302,DOWN,0
2014-08-07,38.75,38.8,37.848,37.261,41.2956,UP,1
2014-08-08,39.16,38.94,38.3,37.3536,41.2895,UP,1
2014-08-11,39.85,39.6,38.922,37.4832,41.2804,UP,1
2014-08-12,40.66,39.44,39.434,37.609,41.2735,UP,1
2014-08-13,41.6,40.86,40.004,37.7306,41.2779,UP,1
2014-08-14,42.57,41.75,40.768,37.8538,41.2897,DOWN,0
2014-08-15,42.23,42.67,41.382,37.9466,41.298,UP,1
2014-08-18,43.05,42.64,42.022,38.0584,41.3137,UP,1
2014-08-19,43.26,43.28,42.542,38.1512,41.3367,DOWN,0
2014-08-20,42.99,43.0,42.82,38.2094,41.3569,DOWN,0
2014-08-21,42.5,43.01,42.806,38.257,41.3743,UP,1
2014-08-22,42.86,42.5,42.932,38.3122,41.3964,UP,1
2014-08-25,43.49,43.24,43.02,38.3802,41.4245,UP,1
2014-08-26,44.09,43.6,43.186,38.453,41.4599,UP,1
2014-08-27,44.14,44.15,43.416,38.55,41.486,DOWN,0
2014-08-28,43.57,43.81,43.63,38.6274,41.5045,UP,1
2014-08-29,44.01,43.64,43.86,38.6892,41.5247,DOWN,0
2014-09-02,42.62,44.23,43.686,38.7128,41.5326,UP,1
2014-09-03,42.83,42.71,43.434,38.7598,41.5395,DOWN,0
2014-09-04,41.84,42.98,42.974,38.8014,41.5402,DOWN,0
2014-09-05,41.1,41.76,42.48,38.8378,41.5396,UP,1
2014-09-08,41.49,41.09,41.976,38.8856,41.5428,DOWN,0
2014-09-09,40.12,41.48,41.476,38.9104,41.5415,UP,1
2014-09-10,41.98,40.51,41.306,38.985,41.5489,DOWN,0
2014-09-11,40.9,41.75,41.118,39.0226,41.5507,UP,1
2014-09-12,41.39,40.68,41.176,39.079,41.5489,DOWN,0
2014-09-15,40.82,41.32,41.042,39.1224,41.5455,UP,1
2014-09-16,41.51,41.02,41.32,39.2024,41.5486,DOWN,0
2014-09-17,41.38,41.77,41.2,39.3208,41.55,DOWN,0
2014-09-18,41.15,41.75,41.25,39.429,41.5448,DOWN,0
2014-09-19,40.6,41.27,41.092,39.5144,41.5346,DOWN,0
2014-09-22,40.03,40.5,40.934,39.567,41.5162,UP,1
2014-09-23,40.11,39.79,40.654,39.6306,41.4954,UP,1
2014-09-24,41.73,40.23,40.724,39.761,41.4823,DOWN,0
2014-09-25,40.93,41.69,40.68,39.8762,41.4811,UP,1
2014-09-26,41.37,41.0,40.834,40.0286,41.4808,DOWN,0
2014-09-29,38.39,40.93,40.506,40.1064,41.4739,DOWN,0
2014-09-30,37.18,37.02,39.92,40.1646,41.4622,DOWN,0
2014-10-01,36.92,37.22,38.958,40.2178,41.4457,DOWN,0
2014-10-02,35.81,36.92,37.934,40.234,41.4247,DOWN,0
2014-10-03,35.77,36.16,36.814,40.2556,41.4107,DOWN,0
2014-10-06,34.64,36.02,36.064,40.2506,41.388,DOWN,0
2014-10-07,33.77,34.39,35.382,40.238,41.3636,UP,1
2014-10-08,34.31,33.85,34.86,40.221,41.3363,DOWN,0
2014-10-09,33.23,34.4,34.344,40.1678,41.3017,DOWN,0
2014-10-10,32.0,33.11,33.59,40.1038,41.2637,DOWN,0
2014-10-13,31.51,32.0,32.964,39.996,41.2196,UP,1
2014-10-14,31.96,31.8,32.602,39.9004,41.18,UP,1
2014-10-15,33.33,31.49,32.406,39.805,41.1455,UP,1
2014-10-16,34.73,32.77,32.706,39.7246,41.1197,DOWN,0
2014-10-17,34.65,35.15,33.236,39.6426,41.092,UP,1
2014-10-20,35.25,34.65,33.984,39.5644,41.0721,UP,1
2014-10-21,35.31,35.6,34.654,39.4736,41.0558,DOWN,0
2014-10-22,34.83,35.3,34.954,39.357,41.0299,UP,1
2014-10-23,35.6,35.16,35.128,39.237,41.0027,UP,1
2014-10-24,35.95,35.52,35.388,39.1046,40.9757,DOWN,0
2014-10-27,35.39,35.77,35.416,38.9678,40.9378,UP,1
2014-10-28,36.37,35.61,35.628,38.8342,40.9116,DOWN,0
2014-10-29,35.27,36.18,35.716,38.6744,40.869,DOWN,0
2014-10-30,35.25,35.16,35.646,38.5196,40.8258,UP,1
2014-10-31,36.67,37.82,35.79,38.403,40.777,UP,1
2014-11-03,37.25,36.65,36.162,38.2908,40.7235,DOWN,0
2014-11-04,36.57,37.06,36.202,38.1524,40.6666,DOWN,0
2014-11-05,35.72,36.94,36.292,37.985,40.6054,DOWN,0
2014-11-06,34.85,35.91,36.212,37.7992,40.5417,UP,1
2014-11-07,36.05,34.67,36.088,37.6488,40.4947,UP,1
2014-11-10,36.9,36.1,36.018,37.5066,40.4545,UP,1
2014-11-11,36.91,37.13,36.086,37.3924,40.4131,UP,1
2014-11-12,37.8,36.86,36.502,37.2918,40.3756,DOWN,0
2014-11-13,36.89,37.75,36.91,37.1928,40.329,DOWN,0
2014-11-14,35.36,36.89,36.772,37.078,40.2815,UP,1
2014-11-17,35.85,35.36,36.562,36.9652,40.2443,UP,1
2014-11-18,37.8,35.85,36.74,36.9188,40.2138,DOWN,0
2014-11-19,36.24,38.14,36.428,36.804,40.1815,UP,1
2014-11-20,36.6,36.14,36.37,36.718,40.1562,UP,1
2014-11-21,36.85,37.13,36.668,36.6272,40.1208,UP,1
2014-11-24,37.35,36.86,36.968,36.5578,40.0834,DOWN,0
2014-11-25,36.65,37.46,36.738,36.4606,40.0387,UP,1
2014-11-26,36.79,36.48,36.848,36.3688,39.9702,DOWN,0
