ticker,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2019-12-26,94.01,93.83,94.176,92.7428,93.9864,DOWN,0
2019-12-27,93.22,94.34,93.972,92.8182,93.9761,DOWN,0
2019-12-30,92.88,93.65,93.64,92.8882,93.9606,UP,1
2019-12-31,93.74,92.98,93.532,92.9692,93.9431,UP,1
2020-01-02,94.84,94.04,93.738,93.0484,93.9333,DOWN,0
2020-01-03,93.26,93.4,93.588,93.0894,93.93,UP,1
2020-01-06,93.49,92.12,93.642,93.1278,93.9263,DOWN,0
2020-01-07,93.39,93.21,93.744,93.1704,93.9434,UP,1
2020-01-08,93.99,93.8,93.794,93.2152,93.9636,UP,1
2020-01-09,94.7,94.68,93.766,93.2468,93.9798,DOWN,0
2020-01-10,94.41,94.65,93.996,93.275,93.9942,UP,1
2020-01-13,95.07,94.56,94.312,93.3302,94.0111,DOWN,0
2020-01-14,94.93,94.75,94.62,93.406,94.0264,DOWN,0
2020-01-15,94.32,94.08,94.686,93.433,94.0186,UP,1
2020-01-16,95.39,95.0,94.824,93.4508,94.0201,UP,1
2020-01-17,97.1,95.47,95.362,93.5518,94.0233,DOWN,0
2020-01-21,95.49,96.31,95.446,93.6506,94.0153,UP,1
2020-01-22,95.95,95.77,95.65,93.7328,94.0027,DOWN,0
2020-01-23,95.53,95.31,95.892,93.7856,93.9859,DOWN,0
2020-01-24,93.52,95.66,95.518,93.811,93.9672,DOWN,0
2020-01-27,90.35,91.17,94.168,93.7518,93.927,UP,1
2020-01-28,92.0,91.18,93.47,93.736,93.8892,DOWN,0
2020-01-29,91.91,92.52,92.662,93.718,93.8414,UP,1
2020-01-30,93.11,90.99,92.178,93.7072,93.8003,DOWN,0
2020-01-31,91.06,92.04,91.686,93.6656,93.7354,UP,1
2020-02-03,91.5,91.65,91.916,93.6264,93.6721,UP,1
2020-02-04,93.53,93.21,92.222,93.6346,93.6206,UP,1
2020-02-05,95.64,95.33,92.968,93.6762,93.5815,DOWN,0
2020-02-06,95.33,96.58,93.412,93.684,93.5399,DOWN,0
