ticker,KLAC US Equity,KLAC US Equity,KLAC US Equity,KLAC US Equity,KLAC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-10-09,36.0625,35.3125,60.9529,37.5875,50.5372,DOWN,0
2000-10-10,34.25,35.0625,60.8534,36.9,50.1572,UP,1
2000-10-11,35.625,32.9375,60.7602,35.8875,49.8709,DOWN,0
2000-10-12,34.6875,37.625,60.6554,35.1875,49.5497,DOWN,0
2000-10-13,34.5625,34.5,60.5565,35.0375,49.3472,DOWN,0
2000-10-16,31.4375,34.125,60.4352,34.1125,49.0759,DOWN,0
2000-10-17,28.0625,31.8125,60.3043,32.875,48.6884,UP,1
2000-10-18,28.4375,27.0,60.1868,31.4375,48.3422,UP,1
2000-10-19,35.0,31.4375,60.1151,31.5,48.1172,DOWN,0
2000-10-20,34.4375,33.4375,60.0387,31.475,47.9584,UP,1
2000-10-23,36.3125,34.25,59.957,32.45,47.7909,DOWN,0
2000-10-24,33.3125,35.5,59.8321,33.5,47.4372,DOWN,0
2000-10-25,32.0625,32.0625,59.7035,34.225,47.0234,UP,1
2000-10-26,32.8125,32.3125,59.5696,33.7875,46.6147,DOWN,0
2000-10-27,31.125,34.0,59.4259,33.125,46.1409,DOWN,0
2000-10-30,31.0,31.0,59.2359,32.0625,45.6597,UP,1
2000-10-31,33.8125,32.125,59.0784,32.1625,45.2809,DOWN,0
2000-11-01,32.8125,31.0,58.9209,32.3125,44.8247,UP,1
2000-11-02,33.5,33.125,58.7721,32.45,44.2884,DOWN,0
2000-11-03,32.1875,32.8125,58.6118,32.6625,43.7559,DOWN,0
2000-11-06,32.0,32.6875,58.4727,32.8625,43.2097,DOWN,0
2000-11-07,30.5,31.875,58.3155,32.2,42.5959,DOWN,0
2000-11-08,28.0,30.75,58.1637,31.2375,41.9034,UP,1
2000-11-09,28.5,27.3125,58.0215,30.2375,41.1697,DOWN,0
2000-11-10,26.25,27.5,57.8712,29.05,40.3822,UP,1
2000-11-13,27.9375,25.8125,57.7177,28.2375,39.6047,UP,1
2000-11-14,30.5,29.0,57.5671,28.2375,38.9172,UP,1
2000-11-15,31.75,30.625,57.403,28.9875,38.3688,DOWN,0
2000-11-16,29.0,30.6875,57.2171,29.0875,37.7263,UP,1
2000-11-17,29.8125,28.875,57.0365,29.8,37.2075,DOWN,0
2000-11-20,28.625,29.25,56.8387,29.9375,36.6963,DOWN,0
2000-11-21,28.4375,29.0,56.6321,29.525,36.2612,UP,1
2000-11-22,29.25,28.25,56.4393,29.025,35.8162,UP,1
2000-11-24,32.8125,29.875,56.2512,29.7875,35.4525,DOWN,0
2000-11-27,31.25,33.5625,56.0649,30.075,35.08,DOWN,0
2000-11-28,27.5313,31.0625,55.8645,29.8563,34.6469,UP,1
2000-11-29,29.9375,27.7656,55.6657,30.1563,34.1781,DOWN,0
2000-11-30,27.5,28.2969,55.4445,29.8063,33.6619,UP,1
2000-12-01,27.75,27.25,55.2132,28.7938,33.2306,UP,1
2000-12-04,29.1875,27.9375,55.0191,28.3813,32.9469,UP,1
2000-12-05,32.875,30.0625,54.8254,29.45,32.7594,DOWN,0
2000-12-06,31.5,32.8125,54.6213,29.7625,32.5931,DOWN,0
2000-12-07,30.4375,30.625,54.4095,30.35,32.3844,UP,1
2000-12-08,35.9375,31.75,54.246,31.9875,32.1969,UP,1
2000-12-11,36.8125,35.375,54.081,33.5125,32.1094,DOWN,0
2000-12-12,32.625,35.6875,53.8545,33.4625,32.0019,DOWN,0
2000-12-13,30.4375,30.75,53.6301,33.25,31.8569,DOWN,0
2000-12-14,29.9375,30.5625,53.4191,33.15,31.6419,UP,1
2000-12-15,30.375,30.25,53.1548,32.0375,31.4856,UP,1
2000-12-18,30.9375,31.125,52.8898,30.8625,31.3981,DOWN,0
2000-12-19,30.8125,31.0469,52.6238,30.5,31.2931,DOWN,0
2000-12-20,29.375,29.6875,52.3757,30.2875,31.1956,DOWN,0
2000-12-21,29.0,29.0625,52.0957,30.1,31.0631,UP,1
2000-12-22,31.8125,29.6719,51.7991,30.3875,31.0056,DOWN,0
2000-12-26,30.75,31.5,51.5332,30.35,30.9294,UP,1
2000-12-27,33.625,30.6875,51.3195,30.9125,30.9731,UP,1
2000-12-28,35.0625,32.625,51.1191,32.05,31.1131,DOWN,0
2000-12-29,33.6875,34.625,50.912,32.9875,31.2181,UP,1
2001-01-02,34.125,33.5,50.6826,33.45,31.2006,UP,1
2001-01-03,42.6875,34.0625,50.5107,35.8375,31.3656,DOWN,0
2001-01-04,39.8125,40.375,50.3063,37.075,31.4356,DOWN,0
2001-01-05,37.1875,40.25,50.0745,37.5,31.5131,UP,1
2001-01-08,40.375,37.0,49.8426,38.8375,31.6794,UP,1
2001-01-09,41.5,40.9375,49.6035,40.3125,31.8531,DOWN,0
2001-01-10,39.5,39.375,49.3538,39.675,32.0206,UP,1
2001-01-11,42.8125,38.8125,49.1429,40.275,32.2569,DOWN,0
2001-01-12,39.9375,42.5,48.9535,40.825,32.3794,DOWN,0
2001-01-16,37.1875,39.625,48.7432,40.1875,32.4669,UP,1
2001-01-17,40.375,41.8125,48.5238,39.9625,32.6044,UP,1
2001-01-18,46.0625,42.25,48.3688,41.275,32.8819,DOWN,0
2001-01-19,44.9375,45.1875,48.1954,41.7,33.1406,DOWN,0
2001-01-22,42.625,44.3125,48.0016,42.2375,33.3831,UP,1
2001-01-23,44.0625,42.375,47.7763,43.6125,33.7044,UP,1
2001-01-24,44.6875,43.8125,47.5126,44.475,34.0281,DOWN,0
2001-01-25,43.75,44.5625,47.3123,44.0125,34.3781,DOWN,0
2001-01-26,43.0625,42.5,47.0957,43.6375,34.6806,UP,1
2001-01-29,43.75,42.75,46.9245,43.8625,34.9456,UP,1
2001-01-30,45.9375,44.0,46.8304,44.2375,35.2294,DOWN,0
2001-01-31,45.875,45.5,46.7716,44.475,35.5669,DOWN,0
2001-02-01,45.75,45.125,46.6604,44.875,35.8856,DOWN,0
2001-02-02,42.0625,45.625,46.5107,44.675,36.1544,DOWN,0
2001-02-05,40.5625,41.875,46.3907,44.0375,36.3969,DOWN,0
2001-02-06,39.8125,40.3438,46.2641,42.8125,36.6081,DOWN,0
2001-02-07,38.375,39.5,46.1366,41.3125,36.7194,DOWN,0
2001-02-08,36.5,38.375,45.9885,39.4625,36.8244,DOWN,0
2001-02-09,35.875,36.875,45.8495,38.225,36.9913,UP,1
2001-02-12,38.875,36.1875,45.6891,37.8875,37.17,DOWN,0
2001-02-13,37.125,39.375,45.5004,37.35,37.3625,UP,1
2001-02-14,43.125,38.5625,45.3582,38.3,37.67,UP,1
2001-02-15,44.3125,43.75,45.2363,39.8625,37.9725,DOWN,0
2001-02-16,41.6875,42.5625,45.1326,41.025,38.1488,DOWN,0
2001-02-20,40.3125,42.5,45.0191,41.3125,38.325,DOWN,0
2001-02-21,39.9375,39.4375,44.9007,41.875,38.515,UP,1
2001-02-22,41.0,40.5,44.806,41.45,38.6163,UP,1
2001-02-23,43.375,41.1719,44.7479,41.2625,38.7475,DOWN,0
2001-02-26,42.3125,43.4375,44.7145,41.3875,38.9412,DOWN,0
2001-02-27,40.0,41.5,44.6641,41.325,39.1325,DOWN,0
2001-02-28,35.75,40.125,44.5838,40.4875,39.2488,UP,1
2001-03-01,39.4375,33.1875,44.506,40.175,39.43,UP,1
2001-03-02,39.875,38.375,44.4204,39.475,39.6088,UP,1
2001-03-05,41.75,41.1875,44.341,39.3625,39.8275,UP,1
2001-03-06,45.0,43.5625,44.2829,40.3625,40.14,UP,1
2001-03-07,45.625,44.875,44.2491,42.3375,40.4725,DOWN,0
2001-03-08,45.375,45.0625,44.2157,43.525,40.7438,DOWN,0
2001-03-09,41.6875,44.0625,44.1916,43.8875,40.9625,DOWN,0
2001-03-12,41.25,40.4375,44.1579,43.7875,41.115,UP,1
2001-03-13,43.8125,42.25,44.1563,43.55,41.29,UP,1
2001-03-14,44.9375,42.4375,44.1538,43.4125,41.515,DOWN,0
2001-03-15,41.1875,46.375,44.096,42.575,41.6563,DOWN,0
2001-03-16,38.5625,39.4375,44.041,41.95,41.5737,UP,1
2001-03-19,41.75,39.0625,43.9754,42.05,41.6125,DOWN,0
2001-03-20,38.375,41.125,43.8598,40.9625,41.6362,UP,1
2001-03-21,39.9375,38.8125,43.766,39.9625,41.6275,UP,1
2001-03-22,45.625,41.0,43.7213,40.85,41.71,DOWN,0
2001-03-23,44.9375,47.1875,43.6591,42.125,41.8188,DOWN,0
2001-03-26,44.9375,44.6875,43.5926,42.7625,41.8613,UP,1
