ticker,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-03-10,62.8,62.93,63.124,56.6716,44.9061,DOWN,0
2014-03-11,62.02,62.98,62.858,56.8576,45.0464,UP,1
2014-03-12,63.18,61.77,62.878,57.0656,45.1918,DOWN,0
2014-03-13,62.68,63.4,62.686,57.2652,45.333,DOWN,0
2014-03-14,62.68,62.77,62.672,57.4612,45.4742,UP,1
2014-03-17,63.41,63.03,62.794,57.6764,45.6022,UP,1
2014-03-18,63.82,63.25,63.154,57.8958,45.7326,UP,1
2014-03-19,64.41,64.01,63.4,58.1342,45.8682,UP,1
2014-03-20,65.31,64.32,63.926,58.3806,46.0057,DOWN,0
2014-03-21,63.9,65.64,64.17,58.583,46.1402,DOWN,0
2014-03-24,63.16,64.03,64.12,58.7816,46.2723,UP,1
2014-03-25,64.0,63.69,64.156,58.9956,46.4058,DOWN,0
2014-03-26,62.81,64.39,63.836,59.199,46.5357,DOWN,0
2014-03-27,62.78,62.77,63.33,59.3492,46.6682,UP,1
2014-03-28,64.11,62.99,63.372,59.492,46.8088,UP,1
2014-03-31,64.41,64.5,63.622,59.6716,46.9453,UP,1
2014-04-01,65.05,64.55,63.832,59.8498,47.0826,DOWN,0
2014-04-02,64.64,64.74,64.198,60.0204,47.2154,DOWN,0
2014-04-03,63.93,64.74,64.428,60.156,47.3413,DOWN,0
2014-04-04,61.8,64.56,63.966,60.271,47.4599,DOWN,0
2014-04-07,60.36,61.0,63.156,60.3884,47.5764,DOWN,0
2014-04-08,60.17,60.62,62.18,60.5028,47.6904,UP,1
2014-04-09,62.47,61.04,61.746,60.6578,47.8193,DOWN,0
2014-04-10,59.86,62.55,60.932,60.7736,47.9331,DOWN,0
2014-04-11,58.53,59.27,60.278,60.8432,48.0395,UP,1
2014-04-14,58.82,58.45,59.97,60.9268,48.147,UP,1
2014-04-15,58.94,59.06,59.724,61.0404,48.2548,UP,1
2014-04-16,59.31,59.46,59.092,61.1464,48.3633,UP,1
2014-04-17,60.89,59.34,59.298,61.2846,48.4753,UP,1
2014-04-21,61.89,60.97,59.97,61.4184,48.5918,UP,1
2014-04-22,63.44,61.61,60.894,61.5558,48.715,UP,1
2014-04-23,64.6,63.98,62.026,61.7216,48.8516,UP,1
2014-04-24,65.38,65.43,63.24,61.8678,48.9906,DOWN,0
2014-04-25,62.34,64.85,63.53,61.9358,49.1107,DOWN,0
2014-04-28,60.78,62.91,63.308,61.9698,49.2216,UP,1
2014-04-29,60.92,60.98,62.804,62.0266,49.3315,UP,1
2014-04-30,63.5,61.1,62.584,62.1292,49.4589,DOWN,0
2014-05-01,63.49,62.92,62.206,62.245,49.582,UP,1
2014-05-02,64.27,64.72,62.592,62.3504,49.7088,DOWN,0
2014-05-05,64.25,63.87,63.286,62.4644,49.842,UP,1
2014-05-06,67.34,67.93,64.57,62.6198,49.9895,DOWN,0
2014-05-07,66.81,67.75,65.232,62.776,50.1346,UP,1
2014-05-08,67.95,66.81,66.124,62.897,50.2863,DOWN,0
2014-05-09,67.41,67.92,66.752,63.0176,50.4389,UP,1
2014-05-12,69.13,67.93,67.728,63.1662,50.6,DOWN,0
2014-05-13,68.76,69.27,68.012,63.3066,50.7599,DOWN,0
2014-05-14,68.51,68.54,68.352,63.4098,50.9195,DOWN,0
2014-05-15,67.93,68.67,68.348,63.5068,51.0749,UP,1
2014-05-16,68.48,68.09,68.562,63.6036,51.2339,DOWN,0
2014-05-19,68.32,69.1,68.4,63.715,51.3885,DOWN,0
2014-05-20,67.52,68.36,68.152,63.8094,51.5387,UP,1
2014-05-21,68.41,67.52,68.132,63.9372,51.6956,UP,1
2014-05-22,68.68,68.43,68.282,64.0472,51.8547,UP,1
2014-05-23,70.55,69.12,68.696,64.2046,52.021,UP,1
2014-05-27,70.93,71.03,69.218,64.3696,52.1891,DOWN,0
2014-05-28,70.1,70.55,69.734,64.5034,52.3554,UP,1
2014-05-29,70.79,70.48,70.21,64.6428,52.5209,DOWN,0
2014-05-30,70.67,71.85,70.608,64.768,52.6841,UP,1
2014-06-02,71.64,71.21,70.826,64.8946,52.8562,DOWN,0
2014-06-03,71.45,71.33,70.93,65.0456,53.0334,UP,1
2014-06-04,71.61,71.26,71.232,65.2146,53.2102,UP,1
2014-06-05,71.87,71.51,71.448,65.372,53.3883,DOWN,0
2014-06-06,71.63,72.28,71.64,65.5484,53.5625,UP,1
2014-06-09,71.79,71.88,71.67,65.7286,53.7385,UP,1
2014-06-10,71.86,71.75,71.752,65.8836,53.9147,DOWN,0
2014-06-11,71.75,71.67,71.78,66.0304,54.0898,UP,1
2014-06-12,71.76,71.34,71.758,66.1646,54.2612,DOWN,0
2014-06-13,71.42,72.18,71.716,66.3002,54.4355,DOWN,0
2014-06-16,70.88,71.47,71.534,66.4392,54.5985,UP,1
2014-06-17,71.48,70.59,71.458,66.6328,54.7612,DOWN,0
2014-06-18,71.22,71.58,71.352,66.85,54.9247,DOWN,0
2014-06-19,70.93,71.13,71.186,67.0652,55.0876,UP,1
2014-06-20,71.57,71.16,71.216,67.2472,55.2506,DOWN,0
2014-06-23,71.24,71.61,71.288,67.4748,55.4128,DOWN,0
2014-06-24,70.67,71.78,71.126,67.7176,55.5734,UP,1
2014-06-25,71.63,70.58,71.208,67.9738,55.7377,DOWN,0
2014-06-26,70.96,71.72,71.214,68.2142,55.8942,DOWN,0
2014-06-27,70.94,70.74,71.088,68.4468,56.0526,UP,1
2014-06-30,72.07,70.92,71.254,68.6704,56.2178,UP,1
2014-07-01,74.03,72.48,71.926,68.9132,56.393,UP,1
2014-07-02,74.32,73.58,72.464,69.1308,56.5682,UP,1
2014-07-03,75.18,74.67,73.308,69.3424,56.7435,DOWN,0
2014-07-07,74.53,75.43,74.026,69.5254,56.9128,DOWN,0
2014-07-08,73.39,74.33,74.29,69.7464,57.076,UP,1
2014-07-09,74.23,73.66,74.33,70.0154,57.2391,DOWN,0
2014-07-10,73.15,72.07,74.096,70.26,57.3955,UP,1
2014-07-11,73.2,73.27,73.7,70.454,57.5494,UP,1
2014-07-14,74.04,74.57,73.602,70.665,57.7086,DOWN,0
2014-07-15,73.42,74.01,73.608,70.848,57.8643,UP,1
2014-07-16,73.65,73.11,73.492,71.036,58.0191,DOWN,0
2014-07-17,71.9,73.26,73.242,71.1272,58.1632,UP,1
2014-07-18,75.0,72.74,73.602,71.291,58.3211,UP,1
2014-07-21,75.42,74.52,73.878,71.4404,58.4811,DOWN,0
2014-07-22,75.39,75.58,74.272,71.6,58.6416,DOWN,0
2014-07-23,73.63,75.7,74.268,71.69,58.7922,DOWN,0
2014-07-24,72.51,73.7,74.39,71.765,58.9398,DOWN,0
2014-07-25,69.92,72.28,73.374,71.7932,59.0764,UP,1
2014-07-28,70.51,70.02,72.392,71.8448,59.2179,DOWN,0
2014-07-29,69.88,70.4,71.29,71.8728,59.3498,UP,1
2014-07-30,70.51,70.95,70.666,71.9166,59.4859,DOWN,0
2014-07-31,69.38,70.01,70.04,71.9538,59.6116,UP,1
2014-08-01,70.44,69.92,70.144,71.9944,59.7451,UP,1
2014-08-04,71.34,70.32,70.31,72.0476,59.8793,DOWN,0
2014-08-05,70.12,70.82,70.358,72.039,60.0044,UP,1
2014-08-06,70.292,69.8,70.3144,72.0262,60.1256,DOWN,0
2014-08-07,69.63,70.89,70.3644,72.0168,60.2385,UP,1
2014-08-08,70.43,69.73,70.3624,72.0096,60.3563,UP,1
2014-08-11,70.82,70.51,70.2584,72.0126,60.4834,UP,1
2014-08-12,71.15,70.89,70.4644,72.0028,60.6117,UP,1
2014-08-13,71.97,71.63,70.8,72.0132,60.7434,UP,1
2014-08-14,73.84,72.68,71.642,72.0578,60.8851,UP,1
2014-08-15,74.79,74.54,72.514,72.1162,61.03,UP,1
2014-08-18,75.37,75.31,73.424,72.191,61.1826,UP,1
2014-08-19,75.62,75.58,74.318,72.2676,61.3336,UP,1
2014-08-20,76.38,75.67,75.2,72.358,61.4919,DOWN,0
2014-08-21,76.27,76.13,75.686,72.4484,61.648,DOWN,0
2014-08-22,76.21,76.51,75.97,72.5374,61.8039,DOWN,0
2014-08-25,75.77,77.0,76.05,72.6244,61.9559,UP,1
2014-08-26,75.955,75.86,76.117,72.7259,62.1174,UP,1
2014-08-27,76.16,76.0,76.073,72.8195,62.2764,UP,1
2014-08-28,76.36,75.54,76.091,72.9223,62.4372,UP,1
