ticker,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2002-03-15,34.4976,33.6633,33.6361,32.2589,,DOWN,0
2002-03-18,33.7991,34.3909,33.7021,32.352,,UP,1
2002-03-19,34.1289,33.7603,33.8515,32.4613,,UP,1
2002-03-20,34.3812,34.1289,34.0533,32.5756,,UP,1
2002-03-21,34.6043,34.3909,34.2822,32.6759,,DOWN,0
2002-03-22,33.1394,33.9058,34.0106,32.743,,DOWN,0
2002-03-25,31.9656,33.2267,33.6439,32.7894,,UP,1
2002-03-26,32.8775,31.9753,33.3936,32.8662,,DOWN,0
2002-03-27,32.7999,32.8872,33.0773,32.905,,UP,1
2002-03-28,33.0327,32.7999,32.763,32.9593,,UP,1
2002-04-01,33.1297,32.9357,32.7611,33.0143,,DOWN,0
2002-04-02,32.8096,33.0812,32.9299,33.0534,,DOWN,0
2002-04-03,32.7222,32.7902,32.8988,33.1023,,UP,1
2002-04-04,32.732,32.2566,32.8852,33.1545,,DOWN,0
2002-04-05,32.3051,32.4991,32.7397,33.185,,UP,1
2002-04-08,32.7902,32.1596,32.6718,33.217,,UP,1
2002-04-09,32.8484,32.7708,32.6796,33.2512,,DOWN,0
2002-04-10,32.5961,32.9842,32.6543,33.2793,,DOWN,0
2002-04-11,32.0044,32.5961,32.5088,33.2869,,UP,1
2002-04-12,32.5961,32.0335,32.567,33.301,,DOWN,0
2002-04-15,32.1596,32.5961,32.4409,33.3131,,DOWN,0
2002-04-16,31.5484,32.1596,32.1809,33.3154,,DOWN,0
2002-04-17,31.0342,31.4805,31.8685,33.3092,,DOWN,0
2002-04-18,30.6753,30.9469,31.6027,33.2843,,UP,1
2002-04-19,30.9081,30.7529,31.2651,33.2506,,UP,1
2002-04-22,31.3059,30.8499,31.0944,33.2155,,DOWN,0
2002-04-23,30.9469,31.3156,30.9741,33.1741,,DOWN,0
2002-04-24,29.9768,30.9275,30.7626,33.1043,,UP,1
2002-04-25,32.5961,32.2566,31.1468,33.0847,,UP,1
2002-04-26,32.8872,32.7417,31.5426,33.074,,DOWN,0
2002-04-29,32.2178,32.9842,31.725,33.0451,,UP,1
2002-04-30,33.673,32.3051,32.2702,33.0434,,UP,1
2002-05-01,34.1483,33.8573,33.1045,33.0472,,UP,1
2002-05-02,34.5558,34.1386,33.4964,33.05,,DOWN,0
2002-05-03,34.2162,34.4394,33.7622,33.0503,,DOWN,0
2002-05-06,33.5275,34.1483,34.0242,33.0401,,DOWN,0
2002-05-07,33.3916,33.5663,33.9679,33.0274,,UP,1
2002-05-08,33.7603,33.3722,33.8903,33.0104,,UP,1
2002-05-09,33.8379,33.6633,33.7467,32.9906,,DOWN,0
2002-05-10,33.7312,33.6633,33.6497,32.9714,,UP,1
2002-05-13,33.9737,33.6148,33.7389,32.9562,,UP,1
2002-05-14,34.0998,33.8573,33.8806,32.9328,,UP,1
2002-05-15,35.0408,33.9543,34.1367,32.9568,30.2642,DOWN,0
2002-05-16,34.5849,35.2155,34.2861,32.9846,30.2927,UP,1
2002-05-17,35.2543,34.6334,34.5907,33.0445,30.3327,DOWN,0
2002-05-20,35.2349,35.2155,34.8429,33.0946,30.3711,DOWN,0
2002-05-21,34.8759,35.264,34.9982,33.1227,30.4074,DOWN,0
2002-05-22,34.4297,34.905,34.8759,33.1437,30.4409,DOWN,0
2002-05-23,34.3715,34.4879,34.8332,33.1637,30.4696,UP,1
2002-05-24,34.5849,34.4879,34.6994,33.1862,30.5036,DOWN,0
2002-05-28,34.3618,34.4879,34.5247,33.1834,30.5396,DOWN,0
2002-05-29,34.1871,34.3424,34.387,33.1912,30.5759,DOWN,0
2002-05-30,34.1192,34.1483,34.3249,33.191,30.6012,DOWN,0
2002-05-31,33.9349,34.0513,34.2376,33.1821,30.6317,DOWN,0
2002-06-03,32.5476,33.5663,33.8301,33.141,30.6569,DOWN,0
2002-06-04,32.0141,32.4991,33.3606,33.1184,30.6812,UP,1
2002-06-05,33.2364,32.2081,33.1704,33.1439,30.7149,DOWN,0
2002-06-06,33.1006,33.2752,32.9667,33.1483,30.7461,UP,1
2002-06-07,33.2461,33.2267,32.829,33.1573,30.7761,DOWN,0
2002-06-10,33.1588,33.3722,32.9512,33.1598,30.8056,DOWN,0
