ticker,AZNCF US Equity,AZNCF US Equity,AZNCF US Equity,AZNCF US Equity,AZNCF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2002-10-25,23.2159,23.2159,28.7938,39.2706,43.809,UP,1
2002-10-28,36.8,36.8,29.8538,39.0488,43.8224,DOWN,0
2002-10-30,36.0,36.0,30.9638,38.8148,43.8318,DOWN,0
2002-11-05,22.2243,22.2243,28.1087,38.2488,43.7754,UP,1
2002-11-12,39.65,39.65,31.578,38.0318,43.8024,DOWN,0
2002-11-15,39.5,39.5,34.8349,37.7918,43.8274,DOWN,0
2002-11-19,39.5,39.5,35.3749,37.5647,43.8449,DOWN,0
2002-12-20,35.0,35.0,35.1749,37.2931,43.8249,UP,1
2002-12-26,35.875,35.875,37.905,37.0156,43.7868,DOWN,0
2003-01-07,34.1,34.1,36.795,36.7236,43.7573,DOWN,0
2003-01-08,33.0861,33.0861,35.5122,36.3903,43.7102,UP,1
2003-01-09,33.5702,33.5702,34.3263,36.0418,43.6674,UP,1
2003-01-10,33.75,33.75,34.0763,35.7343,43.6193,DOWN,0
2003-01-24,30.6,30.6,33.0213,35.3743,43.5586,UP,1
2003-01-29,30.875,30.875,32.3763,35.0193,43.5029,UP,1
2003-01-30,33.8567,33.8567,32.5304,34.7344,43.4735,UP,1
2003-01-31,34.1,34.1,32.6363,34.4944,43.4258,DOWN,0
2003-02-04,33.4257,33.4257,32.5715,34.2479,43.3742,UP,1
2003-02-11,34.15,34.15,33.2815,34.0359,43.32,DOWN,0
2003-02-13,33.6,33.6,33.8265,33.8029,43.2755,UP,1
2003-02-18,34.98,34.98,34.0511,33.5645,43.2454,DOWN,0
2003-03-07,32.0,32.0,33.6311,33.2795,43.2029,DOWN,0
2003-03-10,31.4,31.4,33.226,33.0635,43.1486,UP,1
2003-03-25,34.28,34.28,33.252,32.9061,43.1169,DOWN,0
2003-03-26,34.28,34.28,33.388,32.7717,43.082,DOWN,0
2003-03-31,34.1523,34.1523,33.2225,32.6648,43.0466,UP,1
2003-04-07,36.12,36.12,34.0465,32.5922,43.0197,DOWN,0
2003-04-14,34.69,34.69,34.7045,32.495,42.985,UP,1
2003-04-15,35.5,35.5,34.9485,32.5825,42.945,DOWN,0
2003-04-17,34.23,34.23,34.9385,32.6431,42.8836,UP,1
2003-04-23,37.2,37.2,35.548,32.7271,42.8371,UP,1
2003-04-30,39.1,39.1,36.144,32.834,42.7989,UP,1
2003-05-05,42.0,42.0,37.606,32.954,42.7726,DOWN,0
2003-05-12,40.5,40.5,38.606,33.3418,42.7377,UP,1
2003-05-14,41.5,41.5,40.06,33.4518,42.7158,DOWN,0
2003-05-19,41.5,41.5,40.92,33.6668,42.7039,DOWN,0
2003-05-22,40.55,40.55,41.21,33.8828,42.6892,UP,1
2003-05-23,40.6,40.6,40.93,34.0828,42.6747,DOWN,0
2003-05-27,40.3,40.3,40.89,34.2888,42.6524,UP,1
2003-06-02,41.0,41.0,40.79,34.5088,42.6349,UP,1
2003-06-05,41.5372,41.5372,40.7974,34.737,42.6201,UP,1
2003-06-09,43.3,43.3,41.3474,34.99,42.6147,UP,1
2003-06-10,44.1,44.1,42.0474,35.277,42.6027,DOWN,0
2003-06-13,43.908,43.908,42.769,35.5372,42.5942,UP,1
2003-06-18,44.7,44.7,43.509,35.7962,42.5889,DOWN,0
2003-06-19,43.8,43.8,43.9616,36.0172,42.5692,DOWN,0
2003-06-20,42.89,42.89,43.8796,36.245,42.5286,DOWN,0
2003-07-01,39.9,39.9,43.0396,36.434,42.4781,UP,1
2003-07-02,40.9,40.9,42.438,36.522,42.4282,UP,1
2003-07-07,41.8,41.8,41.858,36.9119,42.3822,DOWN,0
2003-07-09,40.25,40.25,41.148,37.2526,42.326,DOWN,0
2003-07-21,38.2,38.2,40.21,37.2806,42.2657,UP,1
2003-07-31,40.25,40.25,40.28,37.3656,42.2326,UP,1
2003-08-12,41.25,41.25,40.35,37.7461,42.2001,DOWN,0
2003-08-13,41.25,41.25,40.24,37.7781,42.1676,DOWN,0
2003-08-26,38.2,38.2,39.83,37.7521,42.1174,UP,1
2003-09-02,38.8,38.8,39.95,37.7381,42.0695,UP,1
2003-09-09,42.375,42.375,40.375,37.8856,42.0407,UP,1
2003-09-10,42.7,42.7,40.665,38.0221,42.0155,DOWN,0
2003-09-15,42.0,42.0,40.815,38.1801,41.993,UP,1
2003-09-17,42.75,42.75,41.725,38.3734,41.9742,UP,1
2003-09-19,43.47,43.47,42.659,38.5714,41.9491,DOWN,0
2003-09-23,43.25,43.25,42.834,38.7614,41.9091,DOWN,0
2003-09-25,42.5,42.5,42.794,38.9994,41.8791,DOWN,0
2003-09-30,42.0,42.0,42.794,39.2219,41.8566,UP,1
2003-10-03,44.9,44.9,43.224,39.4428,41.8323,UP,1
2003-10-17,46.5,46.5,43.83,39.6908,41.8286,UP,1
2003-10-21,46.9,46.9,44.56,39.9602,41.8306,UP,1
2003-10-23,48.0,48.0,45.66,40.2372,41.8381,UP,1
2003-10-27,48.35,48.35,46.93,40.5322,41.8436,DOWN,0
2003-10-28,48.0,48.0,47.55,40.7926,41.8523,DOWN,0
2003-10-30,47.75,47.75,47.8,41.1076,41.8592,DOWN,0
2003-11-04,46.1483,46.1483,47.6497,41.4026,41.8581,DOWN,0
2003-11-05,45.566,45.566,47.1629,41.6283,41.8697,DOWN,0
2003-11-11,45.25,45.25,46.5429,41.8477,41.8772,UP,1
2003-11-12,45.8848,45.8848,46.1198,42.0824,41.8841,UP,1
2003-11-13,46.55,46.55,45.8798,42.291,41.8856,UP,1
2003-11-14,47.75,47.75,46.2002,42.5522,41.9137,DOWN,0
2003-11-25,45.35,45.35,46.157,42.7492,41.9123,DOWN,0
2003-11-26,45.25,45.25,46.157,42.9696,41.913,UP,1
2003-12-02,46.0,46.0,46.18,43.1456,41.9173,DOWN,0
2003-12-11,45.0,45.0,45.87,43.2636,41.9223,DOWN,0
2003-12-15,44.95,44.95,45.31,43.3226,41.9217,UP,1
2003-12-19,46.25,46.25,45.49,43.4376,41.9298,UP,1
2003-12-22,46.7,46.7,45.78,43.5416,41.9333,UP,1
2003-12-26,46.9,46.9,45.96,43.6496,41.9378,UP,1
2003-12-29,47.5,47.5,46.46,43.7886,41.9415,UP,1
2003-12-30,48.25,48.25,47.12,43.9416,41.949,DOWN,0
2003-12-31,47.5,47.5,47.37,44.0856,41.9528,DOWN,0
2004-01-07,47.25,47.25,47.48,44.2106,41.9565,DOWN,0
2004-01-20,46.55,46.55,47.41,44.3108,41.9499,UP,1
2004-01-21,48.0,48.0,47.51,44.4048,41.9505,UP,1
2004-01-23,48.05,48.05,47.47,44.4838,41.9518,DOWN,0
2004-01-26,47.5,47.5,47.47,44.5557,41.9502,UP,1
2004-01-27,47.95,47.95,47.61,44.6207,41.9406,UP,1
2004-01-28,48.9,48.9,48.08,44.7227,41.9463,DOWN,0
2004-01-29,47.3,47.3,47.94,44.8109,41.9428,UP,1
2004-02-03,48.68,48.68,48.066,44.9865,41.949,DOWN,0
2004-02-04,47.85,47.85,48.136,45.1255,41.9564,UP,1
2004-02-09,49.0,49.0,48.346,45.2695,41.9695,DOWN,0
2004-02-12,48.25,48.25,48.216,45.4295,41.9757,UP,1
2004-02-17,48.75,48.75,48.506,45.6405,41.987,DOWN,0
2004-02-18,47.5,47.5,48.27,45.7855,41.9973,UP,1
2004-02-19,48.4,48.4,48.38,45.9285,42.0043,UP,1
2004-03-05,49.25,49.25,48.43,46.0885,42.0231,UP,1
2004-03-09,49.85,49.85,48.75,46.3215,42.0323,DOWN,0
2004-03-12,48.35,48.35,48.67,46.5125,42.1528,DOWN,0
2004-04-07,48.25,48.25,48.82,46.63,42.1491,DOWN,0
2004-04-08,47.5,47.5,48.64,46.726,42.1453,DOWN,0
2004-04-13,47.25,47.25,48.24,46.831,42.1341,DOWN,0
2004-04-20,47.0,47.0,47.67,46.916,42.1216,DOWN,0
2004-04-22,47.0,47.0,47.4,46.9866,42.1151,UP,1
2004-04-27,47.1,47.1,47.17,47.0636,42.1172,DOWN,0
2004-04-28,45.1,45.1,46.69,47.1156,42.1065,UP,1
2004-05-06,48.75,48.75,46.99,47.2506,42.1015,DOWN,0
2004-05-10,46.9,46.9,46.97,47.2906,42.1005,DOWN,0
2004-05-14,46.7,46.7,46.91,47.2946,42.0873,UP,1
2004-05-18,46.85,46.85,46.86,47.2936,42.0733,DOWN,0
2004-05-19,46.7,46.7,47.18,47.2676,42.0633,DOWN,0
2004-05-20,45.5,45.5,46.53,47.2106,42.0483,UP,1
2004-05-27,47.25,47.25,46.6,47.1956,42.0421,DOWN,0
2004-06-09,47.25,47.25,46.71,47.1856,42.0333,DOWN,0
2004-06-30,44.6,44.6,46.26,47.1546,42.0207,DOWN,0
2004-07-06,44.5,44.5,45.82,47.1333,42.0142,DOWN,0
2004-07-21,43.5,43.5,45.42,47.0983,42.0012,UP,1
2004-07-22,44.0,44.0,44.77,47.0606,42.0062,UP,1
2004-07-30,44.85,44.85,44.29,47.0266,41.9967,DOWN,0
2004-08-04,44.75,44.75,44.32,46.9666,41.993,DOWN,0
2004-08-10,43.75,43.75,44.17,46.9346,41.9817,DOWN,0
2004-08-18,43.1,43.1,44.09,46.8916,41.9672,UP,1
2004-08-20,44.224,44.224,44.1348,46.8561,41.9596,UP,1
2004-08-30,45.2,45.2,44.2048,46.8601,41.9656,DOWN,0
2004-09-09,44.8,44.8,44.2148,46.8571,41.959,DOWN,0
2004-09-10,44.25,44.25,44.3148,46.8171,41.9452,DOWN,0
2004-09-13,42.0283,42.0283,44.1005,46.7236,41.9186,DOWN,0
2004-09-17,41.75,41.75,43.6057,46.6206,41.9074,UP,1
2004-09-22,42.35,42.35,43.0357,46.5176,41.8957,DOWN,0
2004-09-23,42.1922,42.1922,42.5141,46.3965,41.8779,DOWN,0
2004-09-30,40.8,40.8,41.8241,46.2625,41.8526,DOWN,0
2004-10-07,38.4,38.4,41.0984,46.0855,41.8196,UP,1
2004-10-08,38.9247,38.9247,40.5334,45.933,41.7894,UP,1
2004-10-11,39.0,39.0,39.8634,45.753,41.7551,UP,1
2004-10-20,39.3,39.3,39.2849,45.578,41.7304,UP,1
2004-10-21,40.05,40.05,39.1349,45.429,41.7131,DOWN,0
2004-10-26,39.75,39.75,39.4049,45.265,41.6913,UP,1
2004-11-03,42.3284,42.3284,40.0857,45.1336,41.6835,DOWN,0
2004-11-04,42.3,42.3,40.7457,45.0336,41.6715,UP,1
2004-11-15,42.8,42.8,41.4457,44.916,41.6599,DOWN,0
2004-11-19,38.75,38.75,41.1857,44.734,41.6267,UP,1
2004-11-23,40.15,40.15,41.2657,44.557,41.6068,DOWN,0
2004-12-01,40.1,40.1,40.82,44.394,41.5867,UP,1
2004-12-09,40.85,40.85,40.53,44.236,41.5515,DOWN,0
2004-12-13,39.94,39.94,39.958,44.0848,41.5127,DOWN,0
2004-12-14,39.4,39.4,40.088,43.9048,41.457,DOWN,0
2004-12-17,36.6,36.6,39.378,43.6518,41.3875,UP,1
2004-12-20,37.0,37.0,38.758,43.3948,41.315,DOWN,0
2004-12-21,36.5,36.5,37.888,43.1578,41.2433,DOWN,0
2004-12-23,35.25,35.25,36.95,42.8978,41.1766,UP,1
2004-12-28,36.25,36.25,36.32,42.6728,41.1091,DOWN,0
2005-01-06,36.0,36.0,36.2,42.4478,41.0456,DOWN,0
2005-01-07,36.0,36.0,36.0,42.2278,40.9769,UP,1
2005-01-11,36.75,36.75,36.05,42.0228,40.9056,DOWN,0
2005-01-13,36.25,36.25,36.25,41.8058,40.8412,DOWN,0
2005-01-14,35.35,35.35,36.07,41.6108,40.775,DOWN,0
2005-01-19,35.0,35.0,35.87,41.3358,40.7069,UP,1
2005-01-21,35.1,35.1,35.69,41.0998,40.6419,DOWN,0
2005-01-24,35.01,35.01,35.342,40.866,40.5864,DOWN,0
2005-01-25,34.9,34.9,35.072,40.627,40.5322,UP,1
2005-01-28,37.59,37.59,35.52,40.4448,40.4964,DOWN,0
2005-01-31,37.3,37.3,35.98,40.2808,40.4566,UP,1
2005-02-01,37.55,37.55,36.47,40.0868,40.4099,UP,1
2005-02-02,38.8,38.8,37.228,39.9178,40.3726,DOWN,0
2005-02-04,38.75,38.75,37.998,39.8008,40.3554,UP,1
2005-02-16,38.9,38.9,38.26,39.6888,40.3391,UP,1
2005-02-23,40.5,40.5,38.9,39.6288,40.3366,UP,1
2005-02-24,40.65,40.65,39.52,39.5618,40.3424,DOWN,0
2005-02-25,39.85,39.85,39.73,39.4618,40.3429,UP,1
2005-03-03,41.1366,41.1366,40.2073,39.3895,40.3508,UP,1
2005-03-07,41.2,41.2,40.6673,39.3385,40.4012,DOWN,0
2005-03-09,40.9,40.9,40.7473,39.2945,40.4497,UP,1
2005-03-10,41.6686,41.6686,40.951,39.2434,40.493,DOWN,0
2005-03-15,41.6,41.6,41.301,39.1714,40.5323,DOWN,0
2005-03-16,41.35,41.35,41.3437,39.1024,40.559,DOWN,0
2005-03-28,39.7,39.7,41.0437,39.0114,40.652,UP,1
2005-04-06,40.7496,40.7496,41.0136,38.9858,40.6757,UP,1
2005-04-08,40.8519,40.8519,40.8503,38.9678,40.7262,UP,1
2005-04-14,41.9,41.9,40.9103,38.9588,40.787,UP,1
