ticker,FMC US Equity,FMC US Equity,FMC US Equity,FMC US Equity,FMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2018-01-17,81.3383,83.0368,72.7858,83.5603,81.1945,DOWN,0
2018-01-18,78.1406,77.95,72.8715,82.2864,81.1782,DOWN,0
2018-01-19,77.872,78.8252,72.9516,80.8964,81.1591,DOWN,0
2018-01-22,77.8633,77.7506,73.0296,79.5046,81.0957,DOWN,0
2018-01-23,77.0227,77.9066,73.0984,78.4474,81.0201,UP,1
2018-01-24,77.7593,77.4127,73.1612,77.7316,80.978,UP,1
2018-01-25,79.7005,78.2099,73.2337,78.0435,80.9563,UP,1
2018-01-26,79.7525,79.9084,73.3059,78.4196,80.9069,DOWN,0
2018-01-29,79.1805,79.3625,73.386,78.6831,80.8785,UP,1
2018-01-30,79.3278,78.4612,73.4682,79.1441,80.8685,DOWN,0
2018-01-31,79.1458,79.7611,73.5455,79.4214,80.834,DOWN,0
2018-02-01,77.3173,78.8339,73.6121,78.9448,80.7695,DOWN,0
2018-02-02,74.2843,76.6934,73.6651,77.8512,80.649,DOWN,0
2018-02-05,72.0051,73.7123,73.7071,76.4161,80.4527,UP,1
2018-02-06,73.6517,70.4713,73.7605,75.2808,80.3109,DOWN,0
2018-02-07,72.7677,73.5477,73.8052,74.0052,80.1265,DOWN,0
2018-02-08,70.0813,72.8544,73.8361,72.558,79.9022,UP,1
2018-02-09,71.6498,70.8959,73.8758,72.0311,79.6973,UP,1
2018-02-12,73.851,72.6377,73.9265,72.4003,79.5589,DOWN,0
2018-02-13,70.9392,74.5529,73.9639,71.8578,79.3415,UP,1
2018-02-14,73.8856,71.1039,74.0148,72.0814,79.1913,DOWN,0
2018-02-15,73.8683,75.3242,74.0645,72.8388,79.0833,DOWN,0
2018-02-16,72.2304,73.695,74.1167,72.9549,78.9706,UP,1
2018-02-20,72.4038,72.1351,74.1723,72.6655,78.8937,DOWN,0
2018-02-21,71.1645,72.4038,74.2105,72.7105,78.7874,UP,1
2018-02-22,72.3951,71.7798,74.2568,72.4124,78.6961,UP,1
2018-02-23,74.2843,72.8457,74.3137,72.4956,78.6281,DOWN,0
2018-02-26,72.4904,74.2496,74.3551,72.5476,78.5155,DOWN,0
2018-02-27,71.5718,72.5944,74.3943,72.3812,78.3748,DOWN,0
2018-02-28,68.0101,72.0745,74.4192,71.7504,78.1775,UP,1
2018-03-01,68.1488,68.0101,74.4356,70.9011,77.9425,UP,1
2018-03-02,69.0241,67.9495,74.4528,69.849,77.6947,UP,1
2018-03-05,69.96,68.5561,74.4832,69.343,77.4565,UP,1
2018-03-06,71.4245,70.4886,74.5269,69.3135,77.2399,UP,1
2018-03-07,71.7452,70.6532,74.5637,70.0605,77.0258,DOWN,0
2018-03-08,71.2772,71.8665,74.5968,70.6862,76.7969,UP,1
2018-03-09,72.4038,71.9445,74.636,71.3621,76.5891,UP,1
2018-03-12,72.6897,72.4818,74.6759,71.9081,76.3998,DOWN,0
2018-03-13,72.6031,73.123,74.7126,72.1438,76.2053,DOWN,0
2018-03-14,71.6585,72.8631,74.7448,72.1265,75.9979,DOWN,0
2018-03-15,70.2546,71.7625,74.7711,71.9219,75.7438,UP,1
2018-03-16,71.3119,70.1246,74.8011,71.7036,75.4895,DOWN,0
2018-03-19,70.4713,70.9132,74.8236,71.2599,75.21,DOWN,0
2018-03-20,69.3187,70.7399,74.8388,70.603,74.8964,UP,1
2018-03-21,69.6307,69.2147,74.8585,70.1974,74.5876,DOWN,0
2018-03-22,67.0396,69.0501,74.8644,69.5544,74.2276,DOWN,0
2018-03-23,65.4364,67.1782,74.8615,68.3793,73.8461,UP,1
2018-03-26,65.8437,66.4416,74.8603,67.4538,73.4666,DOWN,0
2018-03-27,65.237,66.225,74.8545,66.6375,73.0749,DOWN,0
2018-03-28,63.3565,65.0204,74.8445,65.3826,72.6958,UP,1
2018-03-29,66.3549,65.1851,74.8436,65.2457,72.3961,DOWN,0
2018-04-02,64.9857,66.6583,74.84,65.1556,72.133,UP,1
2018-04-03,66.069,65.6963,74.8418,65.2006,71.897,DOWN,0
2018-04-04,66.017,64.8211,74.842,65.3566,71.6601,UP,1
2018-04-05,68.9287,66.5456,74.859,66.4711,71.4982,DOWN,0
2018-04-06,67.7068,68.2528,74.869,66.7414,71.2971,DOWN,0
2018-04-09,67.5855,68.0275,74.8794,67.2614,71.0548,UP,1
2018-04-10,68.6774,68.5561,74.901,67.7831,70.8333,DOWN,0
2018-04-11,67.9668,68.0968,74.9168,68.1731,70.609,UP,1
2018-04-12,69.3274,69.2667,74.9395,68.2528,70.409,UP,1
2018-04-13,69.6133,69.7693,74.9668,68.6341,70.2184,UP,1
2018-04-16,69.8646,69.986,74.9911,69.0899,70.0693,UP,1
2018-04-17,70.9132,70.3586,75.0278,69.5371,70.0019,UP,1
2018-04-18,71.7018,71.4592,75.0698,70.2841,69.9958,DOWN,0
2018-04-19,71.1645,71.7018,75.1068,70.6515,69.9461,UP,1
2018-04-20,71.3292,71.1819,75.1448,70.9947,69.9173,UP,1
2018-04-23,71.4072,71.2945,75.1829,71.3032,69.9439,DOWN,0
2018-04-24,69.9166,71.8405,75.2093,71.1039,69.9092,DOWN,0
2018-04-25,69.8127,69.8646,75.2296,70.726,69.8284,UP,1
2018-04-26,70.4106,70.168,75.26,70.5753,69.8179,DOWN,0
2018-04-27,70.3933,70.3673,75.2847,70.3881,69.748,DOWN,0
2018-04-30,69.0934,70.3066,75.2973,69.9253,69.6525,UP,1
2018-05-01,69.1627,68.6688,75.3117,69.7745,69.5912,UP,1
2018-05-02,69.6307,69.102,75.3272,69.7381,69.5357,UP,1
2018-05-03,72.5597,72.7851,75.3607,70.168,69.5636,UP,1
2018-05-04,75.7661,73.825,75.4094,71.2425,69.631,UP,1
2018-05-07,76.1041,75.9568,75.4615,72.6447,69.6674,DOWN,0
2018-05-08,75.7315,75.7661,75.5106,73.9584,69.7322,DOWN,0
2018-05-09,74.8562,75.9308,75.5521,75.0035,69.7979,UP,1
2018-05-10,75.7661,74.9429,75.593,75.6448,69.953,UP,1
2018-05-11,77.04,75.9395,75.6446,75.8996,70.1309,UP,1
2018-05-14,77.8113,79.0852,75.7016,76.241,70.3066,UP,1
2018-05-15,77.9933,77.3,75.7595,76.6934,70.4673,UP,1
2018-05-16,79.5271,77.638,75.8262,77.6276,70.6293,UP,1
2018-05-17,80.0731,79.7265,75.8914,78.489,70.7959,DOWN,0
2018-05-18,79.3018,79.5185,75.9246,78.9413,70.9564,DOWN,0
2018-05-21,79.1458,79.8478,75.9592,79.2082,71.0912,DOWN,0
2018-05-22,78.9379,79.1892,75.9884,79.3972,71.2162,DOWN,0
2018-05-23,78.4266,78.4179,76.0139,79.177,71.3327,DOWN,0
2018-05-24,76.5461,77.586,76.0311,78.4716,71.4304,UP,1
2018-05-25,77.7073,77.1787,76.053,78.1527,71.5795,DOWN,0
2018-05-29,75.6795,77.1007,76.0716,77.4595,71.6668,UP,1
2018-05-30,76.5807,76.0088,76.096,76.988,71.789,DOWN,0
2018-05-31,75.4715,76.7021,76.1122,76.397,71.9121,UP,1
2018-06-01,76.4941,75.8268,76.1283,76.3866,72.0493,DOWN,0
2018-06-04,75.8441,76.7714,76.1403,76.014,72.2254,UP,1
2018-06-05,76.4941,75.9308,76.1641,76.1769,72.4466,UP,1
2018-06-06,78.7559,76.8234,76.1999,76.6119,72.7048,DOWN,0
2018-06-07,76.9447,78.7732,76.223,76.9066,72.939,DOWN,0
2018-06-08,76.8147,76.9274,76.2411,76.9707,73.2081,UP,1
2018-06-11,77.0314,76.884,76.2604,77.2081,73.4217,UP,1
2018-06-12,77.8806,77.1354,76.2854,77.4855,73.6796,UP,1
2018-06-13,77.924,77.9846,76.3098,77.3191,73.9167,UP,1
2018-06-14,78.2533,77.9933,76.3347,77.5808,74.1614,DOWN,0
2018-06-15,77.8806,77.9933,76.3583,77.794,74.3404,DOWN,0
2018-06-18,76.7974,77.0314,76.3762,77.7472,74.5222,DOWN,0
2018-06-19,74.7002,75.7055,76.3761,77.1111,74.6645,UP,1
2018-06-20,75.1942,75.0815,76.3734,76.5651,74.7949,DOWN,0
2018-06-21,75.0382,75.1335,76.3776,75.9221,74.9363,UP,1
2018-06-22,77.0747,75.5668,76.389,75.7609,75.0912,DOWN,0
2018-06-25,76.6067,76.7801,76.3922,75.7228,75.2311,DOWN,0
2018-06-26,76.5634,76.4421,76.3975,76.0954,75.3651,UP,1
2018-06-27,76.7974,77.3087,76.3959,76.4161,75.4828,DOWN,0
2018-06-28,76.5287,76.6934,76.3899,76.7142,75.5793,UP,1
2018-06-29,77.3087,76.7454,76.388,76.761,75.7022,DOWN,0
2018-07-02,76.2514,76.7281,76.3802,76.6899,75.8006,UP,1
2018-07-03,77.2653,77.066,76.3784,76.8303,75.9178,DOWN,0
2018-07-05,77.0487,77.4647,76.3678,76.8806,76.0604,UP,1
2018-07-06,77.8026,76.832,76.3576,77.1354,76.2202,UP,1
2018-07-09,78.1579,78.2099,76.35,77.3052,76.3752,UP,1
2018-07-10,78.8685,78.1579,76.3524,77.8286,76.5447,DOWN,0
2018-07-11,76.7627,77.8893,76.3465,77.7281,76.6981,UP,1
2018-07-12,77.118,77.326,76.3594,77.742,76.8572,DOWN,0
2018-07-13,76.5547,76.9534,76.3708,77.4924,76.9957,DOWN,0
2018-07-16,75.1509,76.4681,76.3688,76.891,77.0475,UP,1
2018-07-17,76.0434,74.5702,76.3679,76.326,77.053,DOWN,0
2018-07-18,75.3935,76.0434,76.3578,76.0521,77.0388,DOWN,0
2018-07-19,75.0555,75.0035,76.3481,75.6396,77.0253,UP,1
2018-07-20,75.0902,74.5442,76.3323,75.3467,77.03,DOWN,0
2018-07-23,74.4229,74.9602,76.3103,75.2011,77.0031,UP,1
2018-07-24,74.8649,75.0989,76.2872,74.9654,76.9596,UP,1
2018-07-25,75.8961,74.4143,76.2717,75.0659,76.9213,UP,1
2018-07-26,76.6761,75.8788,76.2618,75.39,76.895,UP,1
2018-07-27,76.8494,76.988,76.2531,75.7419,76.8414,UP,1
2018-07-30,77.2567,77.0314,76.2389,76.3086,76.7851,UP,1
2018-07-31,77.8893,77.612,76.2257,76.9135,76.7568,DOWN,0
2018-08-01,76.4941,77.8893,76.2021,77.0331,76.7038,DOWN,0
2018-08-02,74.9949,73.6603,76.1654,76.6969,76.6249,UP,1
2018-08-03,76.0781,75.3242,76.1366,76.5426,76.578,UP,1
2018-08-06,76.3381,75.6708,76.1108,76.3589,76.5738,DOWN,0
2018-08-07,75.3935,76.7974,76.0799,75.8597,76.5275,UP,1
2018-08-08,77.2307,75.8268,76.0564,76.0071,76.5586,UP,1
2018-08-09,78.2013,77.2567,76.0392,76.6483,76.591,DOWN,0
2018-08-10,76.0521,77.3347,76.0114,76.6431,76.6026,DOWN,0
2018-08-13,74.3796,75.7748,75.9795,76.2514,76.5603,DOWN,0
2018-08-14,74.2063,74.5702,75.9469,76.014,76.5275,DOWN,0
2018-08-15,72.6117,73.435,75.9091,75.0902,76.4499,UP,1
2018-08-16,73.2444,73.2617,75.8752,74.0988,76.3396,DOWN,0
2018-08-17,73.175,72.993,75.8387,73.5234,76.2643,UP,1
2018-08-20,73.7556,73.279,75.8093,73.3986,76.2031,UP,1
2018-08-21,74.1716,73.747,75.7895,73.3917,76.1459,DOWN,0
2018-08-22,74.033,74.3103,75.7649,73.6759,76.0689,DOWN,0
2018-08-23,73.2964,73.8076,75.7373,73.6863,75.9764,UP,1
2018-08-24,74.1283,73.7643,75.7027,73.877,75.8939,UP,1
2018-08-27,74.8389,74.4576,75.6729,74.0936,75.833,UP,1
2018-08-28,74.8476,75.0122,75.6478,74.2288,75.794,UP,1
2018-08-29,75.0382,74.8735,75.6191,74.4299,75.8008,DOWN,0
2018-08-30,73.7123,74.6482,75.5766,74.513,75.7712,UP,1
