ticker,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-21,14.9393,14.4964,13.0349,14.4905,14.5758,DOWN,0
2000-06-22,14.9393,14.8802,13.0561,14.6086,14.5894,UP,1
2000-06-23,15.2936,14.8212,13.0822,14.7858,14.6225,DOWN,0
2000-06-26,14.8507,15.3526,13.1068,14.9039,14.6473,UP,1
2000-06-27,15.0869,14.8802,13.1327,15.022,14.6857,UP,1
2000-06-28,15.825,15.1164,13.1618,15.1991,14.7382,DOWN,0
2000-06-29,15.4707,15.7069,13.1877,15.3054,14.7813,DOWN,0
2000-06-30,15.4707,15.5002,13.2148,15.3408,14.8233,UP,1
2000-07-03,15.825,15.6479,13.2439,15.5357,14.8699,DOWN,0
2000-07-05,15.3526,15.8841,13.2701,15.5888,14.916,UP,1
2000-07-06,15.6774,15.4117,13.2995,15.5593,14.9614,UP,1
2000-07-07,16.2088,15.6183,13.3309,15.7069,14.9915,UP,1
2000-07-10,16.5041,16.0317,13.3615,15.9136,15.0323,DOWN,0
2000-07-11,16.1203,16.4155,13.3866,15.9726,15.0494,UP,1
2000-07-12,16.7993,16.2384,13.4133,16.262,15.0801,UP,1
2000-07-13,17.4784,16.7403,13.4426,16.6222,15.1309,UP,1
2000-07-14,17.6555,17.5669,13.4741,16.9115,15.1882,DOWN,0
2000-07-17,17.3898,17.5374,13.505,17.0887,15.2106,DOWN,0
2000-07-18,16.8879,17.3898,13.5332,17.2422,15.21,DOWN,0
2000-07-19,16.5041,16.9469,13.5586,17.1831,15.2047,DOWN,0
2000-07-20,16.4745,16.5041,13.5853,16.9824,15.2112,DOWN,0
2000-07-21,16.1793,16.4745,13.6125,16.6871,15.2336,DOWN,0
2000-07-24,16.0612,16.0612,13.6383,16.4214,15.2478,DOWN,0
2000-07-25,15.8545,16.0612,13.6629,16.2147,15.2537,DOWN,0
2000-07-26,15.7069,15.9726,13.6875,16.0553,15.2655,UP,1
2000-07-27,15.7955,15.766,13.7132,15.9195,15.2756,UP,1
2000-07-28,16.2679,15.766,13.7418,15.9372,15.2998,DOWN,0
2000-07-31,16.1793,16.0907,13.7714,15.9608,15.3246,DOWN,0
2000-08-01,15.825,16.2384,13.8001,15.9549,15.3576,DOWN,0
2000-08-02,14.9983,15.5888,13.8249,15.8132,15.3801,DOWN,0
2000-08-03,14.644,14.8802,13.8481,15.5829,15.4002,UP,1
2000-08-04,14.9098,14.9983,13.8733,15.3113,15.4279,UP,1
2000-08-07,15.0279,15.0574,13.8998,15.081,15.4504,DOWN,0
2000-08-08,14.0831,14.7621,13.9205,14.7326,15.4595,DOWN,0
2000-08-09,14.024,13.7878,13.9433,14.5378,15.4583,DOWN,0
2000-08-10,14.024,14.1421,13.9658,14.4138,15.4501,UP,1
