ticker,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2018-01-11,30.4933,30.2222,30.3791,30.5689,30.7535,UP,1
2018-01-12,30.8622,30.4933,30.3776,30.568,30.7612,DOWN,0
2018-01-16,30.8533,31.0533,30.3747,30.5964,30.769,UP,1
2018-01-17,31.16,30.8311,30.3735,30.7138,30.7772,DOWN,0
2018-01-18,31.12,31.1733,30.3743,30.8978,30.7841,UP,1
2018-01-19,31.4356,31.1378,30.3755,31.0862,30.7957,UP,1
2018-01-22,31.84,31.5556,30.3802,31.2818,30.8189,UP,1
2018-01-23,32.0178,31.88,30.3866,31.5147,30.8485,DOWN,0
2018-01-24,31.9067,32.0889,30.3936,31.664,30.8763,UP,1
2018-01-25,32.1422,31.9422,30.4008,31.8684,30.9081,DOWN,0
2018-01-26,32.04,32.1511,30.4072,31.9893,30.9433,DOWN,0
2018-01-29,31.8578,32.0311,30.4142,31.9929,30.978,DOWN,0
2018-01-30,31.8133,31.7733,30.4222,31.952,31.0089,UP,1
2018-01-31,32.4356,31.9511,30.4311,32.0578,31.0613,UP,1
2018-02-01,32.6356,32.2889,30.4415,32.1564,31.1181,DOWN,0
2018-02-02,32.5822,32.5111,30.4524,32.2649,31.1748,DOWN,0
2018-02-05,31.6,32.3911,30.4587,32.2133,31.2112,DOWN,0
2018-02-06,31.4711,31.1733,30.465,32.1449,31.2502,DOWN,0
2018-02-07,31.1689,31.4133,30.4678,31.8916,31.2852,DOWN,0
2018-02-08,30.1156,31.1778,30.4668,31.3876,31.2975,UP,1
2018-02-09,30.2311,30.3022,30.4657,30.9173,31.3048,DOWN,0
2018-02-12,30.2311,30.3156,30.4645,30.6436,31.3005,UP,1
2018-02-13,30.32,30.1244,30.465,30.4133,31.2925,UP,1
2018-02-14,30.8578,30.2933,30.4685,30.3511,31.2917,UP,1
2018-02-15,30.9956,31.0,30.4736,30.5271,31.2916,UP,1
2018-02-16,31.0356,30.9067,30.4788,30.688,31.2948,DOWN,0
2018-02-20,30.5467,30.9333,30.4812,30.7511,31.286,UP,1
2018-02-21,30.7289,30.5556,30.4849,30.8329,31.2796,DOWN,0
2018-02-22,30.5644,30.8311,30.4892,30.7742,31.2651,UP,1
2018-02-23,30.6844,30.6356,30.4964,30.712,31.2522,UP,1
2018-02-26,31.1467,30.7911,30.5048,30.7342,31.2438,DOWN,0
2018-02-27,30.8889,31.1244,30.512,30.8027,31.2349,DOWN,0
2018-02-28,30.3911,31.0,30.517,30.7351,31.2183,DOWN,0
2018-03-01,30.1778,30.4444,30.5205,30.6578,31.1886,UP,1
2018-03-02,30.32,30.0267,30.5244,30.5849,31.1679,UP,1
2018-03-05,31.1911,30.32,30.5328,30.5938,31.1686,UP,1
2018-03-06,31.3422,31.24,30.5409,30.6844,31.1666,UP,1
2018-03-07,31.3911,31.2311,30.5487,30.8844,31.1658,DOWN,0
2018-03-08,31.3333,31.48,30.555,31.1156,31.1622,UP,1
2018-03-09,31.9956,31.5289,30.5638,31.4507,31.1719,UP,1
2018-03-12,32.2756,31.9911,30.5742,31.6676,31.1858,DOWN,0
2018-03-13,32.0356,32.2756,30.5823,31.8062,31.1885,DOWN,0
2018-03-14,31.7022,32.1733,30.589,31.8684,31.1857,DOWN,0
2018-03-15,31.64,31.7644,30.5951,31.9298,31.1959,UP,1
2018-03-16,31.7067,31.7022,30.6003,31.872,31.2126,UP,1
2018-03-19,31.8133,31.6933,30.6056,31.7796,31.229,UP,1
2018-03-20,32.0267,31.8222,30.6122,31.7778,31.2522,DOWN,0
2018-03-21,31.7511,31.9378,30.6185,31.7876,31.273,DOWN,0
2018-03-22,31.6444,31.5378,30.6262,31.7884,31.2944,DOWN,0
2018-03-23,31.2089,31.6578,30.632,31.6889,31.3146,UP,1
2018-03-26,31.88,31.5511,30.6397,31.7022,31.3423,DOWN,0
2018-03-27,31.6533,31.92,30.6445,31.6276,31.3581,UP,1
2018-03-28,32.2711,31.6978,30.652,31.7316,31.3865,UP,1
2018-03-29,32.3111,32.4133,30.6609,31.8649,31.4095,DOWN,0
2018-04-02,31.7911,32.3111,30.6656,31.9813,31.4229,UP,1
2018-04-03,32.3067,31.88,30.6724,32.0667,31.4404,UP,1
2018-04-04,32.5556,31.9111,30.6792,32.2471,31.4547,UP,1
2018-04-05,32.5911,32.6533,30.6869,32.3111,31.4661,DOWN,0
2018-04-06,32.0889,32.4,30.6932,32.2667,31.4698,UP,1
2018-04-09,32.12,32.0622,30.7004,32.3324,31.4693,UP,1
2018-04-10,32.2889,32.3289,30.7096,32.3289,31.4743,UP,1
2018-04-11,32.3422,32.1244,30.7191,32.2862,31.484,UP,1
2018-04-12,32.5467,32.4756,30.7288,32.2773,31.4987,DOWN,0
2018-04-13,32.4756,32.6667,30.7391,32.3547,31.4995,UP,1
2018-04-16,33.04,32.6667,30.7502,32.5387,31.5076,DOWN,0
2018-04-17,33.0222,33.1333,30.7614,32.6853,31.5164,DOWN,0
2018-04-18,32.9333,33.08,30.7724,32.8036,31.543,UP,1
2018-04-19,32.96,32.9556,30.7816,32.8862,31.5728,UP,1
2018-04-20,33.2178,33.0622,30.7936,33.0347,31.6138,DOWN,0
2018-04-23,33.1956,33.24,30.8058,33.0658,31.6754,DOWN,0
2018-04-24,33.0311,33.2044,30.8167,33.0676,31.7314,UP,1
2018-04-25,33.8356,35.44,30.8325,33.248,31.8035,DOWN,0
