ticker,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-24,64.9215,63.0602,62.6799,61.6162,56.9989,UP,1
2000-04-25,65.4292,64.9215,62.6686,63.0715,57.1298,DOWN,0
2000-04-26,64.9215,64.9779,62.6565,64.098,57.2358,DOWN,0
2000-04-27,64.5267,64.3011,62.6508,64.5493,57.3418,DOWN,0
2000-04-28,62.7218,62.8346,62.635,64.5041,57.414,DOWN,0
2000-05-01,60.9732,62.7218,62.6189,63.7145,57.4919,UP,1
2000-05-02,62.4961,60.522,62.6127,63.1279,57.6227,DOWN,0
2000-05-03,61.6501,62.2705,62.611,62.4736,57.6735,DOWN,0
2000-05-04,60.6348,61.8757,62.6043,61.6952,57.7468,UP,1
2000-05-05,62.4961,60.3528,62.6037,61.6501,57.8777,UP,1
2000-05-08,63.0602,63.1166,62.6077,62.0675,58.0525,DOWN,0
2000-05-09,62.2141,63.173,62.6105,62.0111,58.1856,DOWN,0
2000-05-10,61.3681,61.9885,62.6071,61.9547,58.3018,UP,1
2000-05-11,61.5937,61.5937,62.606,62.1464,58.4507,DOWN,0
2000-05-12,61.4809,61.6501,62.6122,61.9434,58.6109,UP,1
2000-05-15,62.8346,61.5937,62.6212,61.8983,58.8298,UP,1
2000-05-16,64.0755,62.8346,62.6376,62.2705,59.0915,DOWN,0
2000-05-17,63.0038,63.6242,62.6502,62.5977,59.378,UP,1
2000-05-18,63.1166,62.9474,62.6748,62.9023,59.6149,UP,1
2000-05-19,65.3728,62.4397,62.7129,63.6806,59.8191,DOWN,0
2000-05-22,65.26,64.9779,62.758,64.1657,60.0492,UP,1
2000-05-23,66.6137,66.3316,62.811,64.6734,60.3527,UP,1
2000-05-24,67.3469,66.7829,62.8668,65.542,60.6798,UP,1
2000-05-25,67.4033,66.9521,62.9289,66.3993,60.9483,DOWN,0
2000-05-26,67.2905,67.3469,62.9856,66.7829,61.1209,UP,1
2000-05-30,67.6854,66.8957,63.0363,67.268,61.342,DOWN,0
2000-05-31,67.3469,66.9521,63.0806,67.4146,61.5767,DOWN,0
2000-06-01,65.3728,66.8393,63.1142,67.0198,61.7301,DOWN,0
2000-06-02,62.2141,65.26,63.1328,65.9819,61.8113,UP,1
2000-06-05,62.4397,62.2705,63.1494,65.0118,61.9253,UP,1
2000-06-06,62.8064,62.609,63.1583,64.036,62.0668,UP,1
2000-06-07,63.6242,63.1166,63.1603,63.2914,62.236,DOWN,0
2000-06-08,62.5525,63.6242,63.1617,62.7274,62.3759,UP,1
2000-06-09,63.0602,62.5525,63.1589,62.8966,62.482,UP,1
2000-06-12,63.1166,63.2858,63.164,63.032,62.5881,UP,1
2000-06-13,66.2752,63.737,63.1879,63.7258,62.7923,DOWN,0
2000-06-14,65.824,66.5009,63.2096,64.1657,62.9039,DOWN,0
2000-06-15,65.7112,65.8804,63.235,64.7974,62.9964,DOWN,0
2000-06-16,64.0755,65.4856,63.2446,65.0005,63.0461,UP,1
2000-06-19,65.0343,64.5267,63.2618,65.384,63.1634,DOWN,0
2000-06-20,63.9627,65.0343,63.2635,64.9215,63.2604,UP,1
2000-06-21,65.3728,63.8498,63.2799,64.8313,63.3698,DOWN,0
2000-06-22,64.3011,64.6395,63.2892,64.5493,63.4409,UP,1
2000-06-23,65.542,65.3164,63.3047,64.8426,63.5808,UP,1
2000-06-26,67.0085,66.106,63.3247,65.2374,63.7331,DOWN,0
2000-06-27,67.0085,67.3469,63.3456,65.8466,63.926,DOWN,0
2000-06-28,66.7829,66.7265,63.3701,66.1286,64.0986,UP,1
2000-06-29,66.8816,67.5161,63.3974,66.6447,64.2404,UP,1
2000-06-30,69.1519,66.8957,63.4298,67.3667,64.3781,DOWN,0
2000-07-03,69.0109,68.6442,63.4649,67.7671,64.4993,UP,1
2000-07-05,69.6595,69.3775,63.4968,68.2973,64.5941,DOWN,0
2000-07-06,68.0238,69.0391,63.5267,68.5455,64.646,DOWN,0
