ticker,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-01-19,35.66,36.67,36.382,31.729,,DOWN,0
2011-01-20,35.42,35.26,36.118,31.8604,,DOWN,0
2011-01-21,35.05,35.88,35.848,31.9926,,UP,1
2011-01-24,35.65,35.6,35.656,32.1388,,UP,1
2011-01-25,35.7,35.7,35.496,32.287,,UP,1
2011-01-26,36.0,35.78,35.564,32.459,,UP,1
2011-01-27,36.2,36.06,35.72,32.6298,,DOWN,0
2011-01-28,34.86,36.3,35.682,32.793,,UP,1
2011-01-31,35.94,34.77,35.74,32.9672,,UP,1
2011-02-01,36.84,36.19,35.968,33.1502,,DOWN,0
2011-02-02,36.55,36.51,36.078,33.3062,,DOWN,0
2011-02-03,36.12,36.83,36.062,33.435,,UP,1
2011-02-04,36.17,36.44,36.324,33.5794,,DOWN,0
2011-02-07,35.52,36.49,36.24,33.6998,,DOWN,0
2011-02-08,35.48,35.77,35.968,33.8218,,UP,1
2011-02-09,35.84,35.24,35.826,33.9436,24.2538,UP,1
2011-02-10,36.75,35.33,35.952,34.0944,24.3276,UP,1
2011-02-11,37.07,36.17,36.132,34.2382,24.3979,UP,1
2011-02-14,37.4,37.42,36.508,34.3764,24.4734,UP,1
2011-02-15,37.48,37.39,36.908,34.5156,24.5468,UP,1
2011-02-16,37.54,37.47,37.248,34.6448,24.627,UP,1
2011-02-17,38.59,37.59,37.616,34.7846,24.717,DOWN,0
2011-02-18,37.95,36.9,37.792,34.9264,24.8095,DOWN,0
2011-02-22,35.84,36.53,37.48,35.031,24.8957,UP,1
2011-02-23,36.64,35.55,37.312,35.1418,24.9839,UP,1
2011-02-24,36.7,36.66,37.144,35.2386,25.0729,UP,1
2011-02-25,38.17,37.52,37.06,35.3622,25.1647,DOWN,0
2011-02-28,38.08,38.88,37.086,35.4888,25.2569,DOWN,0
2011-03-01,37.06,38.37,37.33,35.606,25.3484,UP,1
2011-03-02,38.07,37.2,37.616,35.73,25.4445,UP,1
2011-03-03,39.56,38.65,38.188,35.8792,25.5484,UP,1
2011-03-04,39.64,40.2,38.482,36.021,25.6581,UP,1
