ticker,BAIDF US Equity,BAIDF US Equity,BAIDF US Equity,BAIDF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,
2022-05-10,14.37,13.47,14.85,17.2672,DOWN,0
2022-05-11,13.4,13.625,14.322,17.1552,UP,1
2022-05-12,13.71,13.71,13.952,17.0274,UP,1
2022-05-13,14.53,14.5,13.918,16.928,UP,1
2022-05-16,15.16,14.7,14.234,16.8624,UP,1
2022-05-17,15.45,15.45,14.45,16.8106,DOWN,0
2022-05-18,15.3,15.43,14.83,16.7366,UP,1
2022-05-19,15.49,15.22,15.186,16.6711,UP,1
2022-05-23,15.55,15.55,15.39,16.6141,DOWN,0
2022-05-24,14.32,14.32,15.222,16.5065,UP,1
2022-05-25,14.6,14.6,15.052,16.4101,UP,1
2022-05-26,16.895,15.9,15.371,16.327,UP,1
2022-05-27,17.18,17.18,15.709,16.263,UP,1
2022-05-31,18.6,18.8075,16.319,16.2476,DOWN,0
2022-06-01,17.3625,18.1456,16.9275,16.2349,UP,1
2022-06-02,17.6675,17.6675,17.541,16.2114,UP,1
2022-06-03,18.1725,17.73,17.7965,16.2561,UP,1
2022-06-06,18.7875,18.91,18.118,16.3466,UP,1
2022-06-07,19.11,18.47,18.22,16.4402,UP,1
2022-06-08,19.54,19.3,18.6555,16.4762,DOWN,0
2022-06-09,18.31,19.085,18.784,16.4837,UP,1
2022-06-10,18.65,18.63,18.8795,16.479,DOWN,0
2022-06-13,16.42,16.42,18.406,16.4318,UP,1
2022-06-14,16.9675,16.9675,17.9775,16.3861,UP,1
2022-06-15,18.69,18.69,17.8075,16.4035,DOWN,0
2022-06-17,18.1325,18.1325,17.772,16.3961,UP,1
2022-06-21,18.4525,18.4525,17.7325,16.3969,DOWN,0
2022-06-22,18.0463,18.63,18.0578,16.3949,UP,1
2022-06-23,18.5837,18.5837,18.381,16.3983,UP,1
2022-06-27,19.2263,19.2263,18.4883,16.4197,UP,1
2022-07-05,19.2675,19.5,18.7153,16.428,DOWN,0
2022-07-06,19.24,18.52,18.8728,16.4398,UP,1
2022-07-08,19.405,19.405,19.1445,16.4895,DOWN,0
2022-07-12,18.46,17.59,19.1198,16.5018,DOWN,0
2022-07-13,17.2101,17.4975,18.7165,16.509,UP,1
2022-07-14,18.83,18.83,18.629,16.5635,DOWN,0
2022-07-15,17.2475,17.2475,18.2305,16.5884,UP,1
2022-07-19,17.35,17.35,17.8195,16.6189,UP,1
2022-07-20,18.1775,18.47,17.763,16.6841,DOWN,0
2022-07-21,17.4425,18.0075,17.8095,16.7301,UP,1
2022-07-22,18.4,18.47,17.7235,16.7984,DOWN,0
2022-07-25,17.8775,17.595,17.8495,16.8811,UP,1
2022-07-26,18.0925,18.0925,17.998,16.9729,DOWN,0
2022-07-27,17.125,17.125,17.7875,17.0162,DOWN,0
2022-08-01,16.21,16.21,17.541,17.0474,UP,1
2022-08-02,16.5775,16.5775,17.1765,17.0693,UP,1
2022-08-03,17.03,16.44,17.007,17.0891,DOWN,0
2022-08-08,16.65,16.65,16.7185,17.1109,UP,1
2022-08-17,16.67,16.67,16.6275,17.1503,DOWN,0
2022-08-18,16.24,16.2275,16.6335,17.2035,DOWN,0
2022-08-19,16.0275,16.0275,16.5235,17.2367,UP,1
2022-08-24,16.4475,16.4475,16.407,17.2976,UP,1
2022-08-25,18.8525,18.6,16.8475,17.4005,UP,1
2022-08-26,19.5075,19.0,17.415,17.5,DOWN,0
2022-08-29,19.23,19.18,18.013,17.5814,DOWN,0
2022-08-30,17.3,17.3,18.2675,17.6184,UP,1
2022-08-31,17.36,17.6475,18.45,17.6596,UP,1
2022-09-01,18.47,18.47,18.3735,17.7192,DOWN,0
2022-09-06,17.4,17.4,17.952,17.7562,DOWN,0
2022-09-08,16.59,16.32,17.424,17.8016,UP,1
2022-09-12,16.92,16.92,17.348,17.848,DOWN,0
2022-09-13,16.53,16.53,17.182,17.8407,DOWN,0
2022-09-14,16.1025,15.84,16.7085,17.8192,DOWN,0
2022-09-15,15.62,15.88,16.3525,17.7596,DOWN,0
2022-09-16,15.06,15.315,16.0465,17.7135,UP,1
2022-09-19,15.195,14.95,15.7015,17.6641,UP,1
2022-09-20,15.515,15.26,15.4985,17.6109,DOWN,0
2022-09-29,14.26,14.26,15.13,17.5204,UP,1
2022-10-07,14.9675,14.9675,14.9995,17.4375,DOWN,0
2022-10-11,13.211,14.43,14.6297,17.3109,UP,1
2022-10-13,13.25,13.25,14.2407,17.2097,DOWN,0
2022-10-14,12.7575,13.86,13.6892,17.0919,DOWN,0
2022-10-19,11.74,12.8175,13.1852,16.9983,DOWN,0
2022-10-20,11.5625,11.8625,12.5042,16.8902,UP,1
2022-10-21,11.62,11.22,12.186,16.7488,DOWN,0
2022-10-24,9.45,9.41,11.426,16.5751,UP,1
2022-10-25,10.325,10.325,10.9395,16.4126,UP,1
2022-10-26,10.5825,10.52,10.708,16.2633,DOWN,0
2022-10-27,10.41,10.41,10.4775,16.0998,DOWN,0
2022-10-31,9.7325,9.87,10.1,15.91,UP,1
2022-11-01,10.155,10.64,10.241,15.7277,DOWN,0
2022-11-03,10.036,10.036,10.1832,15.5436,UP,1
2022-11-04,11.08,10.434,10.2827,15.3771,UP,1
2022-11-07,11.47,10.75,10.4947,15.2373,DOWN,0
2022-11-09,9.9325,9.85,10.5347,15.0918,UP,1
2022-11-11,11.23,11.2325,10.7497,14.9398,UP,1
2022-11-14,11.5,11.5,11.0425,14.8248,UP,1
2022-11-15,12.35,12.35,11.2965,14.7248,DOWN,0
2022-11-16,11.691,11.691,11.3407,14.5951,UP,1
2022-11-17,12.2125,12.012,11.7967,14.4905,UP,1
2022-11-18,12.45,12.45,12.0407,14.3715,DOWN,0
2022-11-21,12.13,11.605,12.1667,14.2566,UP,1
2022-11-22,12.37,11.8753,12.1707,14.1421,DOWN,0
2022-11-23,12.1588,12.1588,12.2643,14.0428,DOWN,0
2022-11-28,12.15,11.94,12.2518,13.9616,UP,1
2022-11-29,12.93,12.93,12.3478,13.8886,UP,1
2022-11-30,13.58,13.3,12.6377,13.8196,X,X
