ticker,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-07,7.5625,7.875,4.8575,7.3125,5.8113,DOWN,0
2000-04-10,7.0625,7.5,4.8616,7.3,5.8525,DOWN,0
2000-04-11,6.6875,7.0,4.8628,7.35,5.8913,DOWN,0
2000-04-12,6.25,6.6875,4.8625,7.0625,5.9225,UP,1
2000-04-13,6.75,6.5,4.8637,6.8625,5.9625,DOWN,0
2000-04-14,6.0,6.5625,4.8613,6.55,5.9813,DOWN,0
2000-04-17,5.625,5.5,4.8575,6.2625,5.9925,UP,1
2000-04-18,6.1875,5.6875,4.8566,6.1625,6.0113,UP,1
2000-04-19,7.0,6.25,4.8597,6.3125,6.0488,DOWN,0
2000-04-20,6.1875,6.375,4.8594,6.2,6.0725,DOWN,0
2000-04-24,6.0625,6.0,4.8588,6.2125,6.0975,UP,1
2000-04-25,7.0,6.3125,4.8637,6.4875,6.1388,DOWN,0
2000-04-26,6.8125,7.125,4.8688,6.6125,6.1813,UP,1
2000-04-27,7.75,6.6875,4.8728,6.7625,6.2463,DOWN,0
2000-04-28,6.875,7.4375,4.8728,6.9,6.2938,UP,1
2000-05-01,7.1875,6.9375,4.8778,7.125,6.3475,DOWN,0
2000-05-02,6.6875,6.9375,4.8809,7.0625,6.395,DOWN,0
2000-05-03,6.6875,6.625,4.8847,7.0375,6.4438,DOWN,0
2000-05-04,6.5625,6.6875,4.8872,6.8,6.4887,DOWN,0
2000-05-05,6.5625,6.5,4.8916,6.7375,6.535,DOWN,0
2000-05-08,6.5,6.4375,4.8988,6.6,6.5863,DOWN,0
2000-05-09,5.875,6.5,4.9037,6.4375,6.625,UP,1
2000-05-10,6.875,5.875,4.9131,6.475,6.6725,DOWN,0
2000-05-11,5.875,5.9375,4.9178,6.3375,6.6963,DOWN,0
2000-05-12,5.75,6.0,4.9219,6.175,6.7163,UP,1
2000-05-15,5.9375,5.625,4.9272,6.0625,6.745,DOWN,0
2000-05-16,5.625,5.875,4.9325,6.0125,6.7613,DOWN,0
2000-05-17,5.1875,5.5,4.9378,5.675,6.7738,UP,1
2000-05-18,5.25,5.3125,4.9441,5.55,6.7875,DOWN,0
2000-05-19,5.1875,5.125,4.9491,5.4375,6.7713,DOWN,0
2000-05-22,5.0,5.1875,4.9541,5.25,6.7675,DOWN,0
2000-05-23,5.0,5.0,4.9597,5.125,6.7225,DOWN,0
2000-05-24,4.6875,5.0,4.9641,5.025,6.6863,DOWN,0
2000-05-25,4.3125,4.8125,4.9672,4.8375,6.6425,UP,1
2000-05-26,4.625,4.4375,4.9725,4.725,6.5825,UP,1
2000-05-30,4.75,4.75,4.9775,4.675,6.5275,DOWN,0
2000-05-31,4.6875,4.6875,4.9791,4.6125,6.4825,DOWN,0
2000-06-01,4.3125,4.625,4.9772,4.5375,6.4262,UP,1
2000-06-02,4.5,4.4375,4.9713,4.575,6.3563,UP,1
2000-06-05,4.5625,4.5625,4.9597,4.5625,6.2725,DOWN,0
2000-06-06,4.5,4.5625,4.9525,4.5125,6.19,DOWN,0
2000-06-07,4.375,4.4375,4.9463,4.45,6.1125,DOWN,0
2000-06-08,4.3125,4.4375,4.9384,4.45,6.045,DOWN,0
2000-06-09,4.3125,4.375,4.9309,4.4125,5.9763,DOWN,0
2000-06-12,4.3125,4.3125,4.9241,4.3625,5.925,DOWN,0
2000-06-13,4.3125,4.4375,4.9184,4.325,5.8625,DOWN,0
2000-06-14,4.25,4.375,4.9116,4.3,5.805,DOWN,0
2000-06-15,4.0625,4.25,4.9013,4.25,5.7575,UP,1
2000-06-16,4.125,4.1875,4.89,4.2125,5.6863,UP,1
2000-06-19,4.75,4.25,4.8831,4.3,5.6263,UP,1
2000-06-20,4.875,4.8125,4.8775,4.4125,5.5725,UP,1
2000-06-21,5.1875,4.8125,4.8744,4.6,5.535,DOWN,0
2000-06-22,5.0625,5.1875,4.8716,4.8,5.5025,DOWN,0
2000-06-23,4.75,5.0,4.8678,4.925,5.4725,UP,1
2000-06-26,4.8125,5.0,4.865,4.9375,5.4338,UP,1
