ticker,REG US Equity,REG US Equity,REG US Equity,REG US Equity,REG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-04,20.0,19.3125,20.2236,19.5625,19.3956,DOWN,0
2000-04-05,19.9375,19.9375,20.217,19.675,19.3969,UP,1
2000-04-06,20.1875,19.875,20.2117,19.8375,19.3994,UP,1
2000-04-07,20.3125,20.25,20.2089,19.95,19.4069,UP,1
2000-04-10,20.375,20.5625,20.2061,20.1625,19.4319,UP,1
2000-04-11,20.625,20.375,20.2045,20.2875,19.4531,UP,1
2000-04-12,20.6875,20.6875,20.2011,20.4375,19.4744,DOWN,0
2000-04-13,20.6875,20.9375,20.1948,20.5375,19.4944,UP,1
2000-04-14,21.0625,20.875,20.1911,20.6875,19.5181,DOWN,0
2000-04-17,20.875,21.0,20.187,20.7875,19.5381,DOWN,0
2000-04-18,20.875,20.875,20.1839,20.8375,19.5594,UP,1
2000-04-19,21.0625,20.8125,20.1827,20.9125,19.5806,DOWN,0
2000-04-20,20.4375,21.0625,20.1752,20.8625,19.5981,DOWN,0
2000-04-24,20.375,20.4375,20.168,20.725,19.6206,UP,1
2000-04-25,20.75,20.375,20.163,20.7,19.6544,UP,1
2000-04-26,21.4375,20.6875,20.1627,20.8125,19.7144,UP,1
2000-04-27,21.875,21.4375,20.1655,20.975,19.7769,UP,1
2000-04-28,22.0,21.9375,20.1667,21.2875,19.8344,UP,1
2000-05-01,23.25,22.0,20.1739,21.8625,19.9206,DOWN,0
2000-05-02,22.9375,23.125,20.1792,22.3,20.0019,DOWN,0
2000-05-03,22.0625,22.875,20.1802,22.425,20.0656,DOWN,0
2000-05-04,22.0,22.125,20.1811,22.45,20.1281,UP,1
2000-05-05,22.25,22.0,20.1836,22.5,20.1931,DOWN,0
2000-05-08,21.5625,22.25,20.1836,22.1625,20.2469,UP,1
2000-05-09,21.6875,21.625,20.1852,21.9125,20.2969,DOWN,0
2000-05-10,21.4375,21.4375,20.1867,21.7875,20.3475,UP,1
2000-05-11,21.5,21.5625,20.1889,21.6875,20.4,UP,1
2000-05-12,21.75,21.5,20.193,21.5875,20.4525,DOWN,0
2000-05-15,21.5,21.75,20.1948,21.575,20.4975,UP,1
2000-05-16,21.625,21.625,20.197,21.5625,20.5463,DOWN,0
2000-05-17,21.4375,21.5,20.198,21.5625,20.5925,DOWN,0
2000-05-18,21.125,21.4375,20.1998,21.4875,20.6288,DOWN,0
2000-05-19,21.125,21.125,20.2005,21.3625,20.6563,UP,1
2000-05-22,21.375,21.125,20.203,21.3375,20.69,DOWN,0
2000-05-23,21.125,21.3125,20.2042,21.2375,20.7263,DOWN,0
2000-05-24,20.75,21.25,20.2055,21.1,20.76,DOWN,0
