ticker,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2005-06-07,4.9375,4.8625,5.0765,4.0497,4.0618,UP,1
2005-06-08,4.9675,4.9625,5.062,4.0776,4.071,UP,1
2005-06-09,5.0375,4.985,5.0215,4.1059,4.0802,DOWN,0
2005-06-10,4.935,5.0175,4.981,4.1296,4.0887,UP,1
2005-06-13,5.12,4.9125,4.9995,4.157,4.0982,UP,1
2005-06-14,5.15,5.12,5.042,4.1853,4.1075,DOWN,0
2005-06-15,5.0225,5.145,5.053,4.2094,4.1162,DOWN,0
2005-06-16,4.9575,5.05,5.037,4.2322,4.1247,UP,1
2005-06-17,5.12,4.9575,5.074,4.2574,4.1336,UP,1
2005-06-20,5.215,5.1225,5.093,4.2849,4.1423,DOWN,0
2005-06-21,5.0075,5.2425,5.0645,4.3085,4.1502,DOWN,0
2005-06-22,4.9875,5.07,5.0575,4.3301,4.1583,DOWN,0
2005-06-23,4.9725,4.95,5.0605,4.3523,4.1667,UP,1
2005-06-24,5.2,4.985,5.0765,4.381,4.1762,DOWN,0
2005-06-27,5.06,5.2,5.0455,4.41,4.1837,UP,1
2005-06-28,5.165,5.0475,5.077,4.4388,4.1905,UP,1
2005-06-29,5.2075,5.225,5.121,4.4704,4.1967,DOWN,0
2005-06-30,5.12,5.195,5.1505,4.5006,4.2018,DOWN,0
2005-07-01,4.88,5.1075,5.0865,4.5228,4.2059,DOWN,0
2005-07-05,4.875,4.88,5.0495,4.5475,4.2107,UP,1
2005-07-06,4.88,4.8475,4.9925,4.5751,4.2151,DOWN,0
2005-07-07,4.8625,4.7875,4.9235,4.6004,4.2189,UP,1
2005-07-08,4.875,4.84,4.8745,4.6241,4.2232,UP,1
2005-07-11,4.9475,4.8875,4.888,4.6506,4.2283,UP,1
2005-07-12,4.975,4.9475,4.908,4.678,4.2332,UP,1
2005-07-13,5.1875,5.0,4.9695,4.7102,4.2396,UP,1
2005-07-14,5.6675,5.3,5.1305,4.7511,4.2492,UP,1
2005-07-15,5.7,5.5775,5.2955,4.7902,4.258,DOWN,0
2005-07-18,5.555,5.7,5.417,4.8262,4.2662,UP,1
