ticker,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-03-26,21.61,21.45,21.302,19.488,,UP,1
2012-03-27,21.65,21.57,21.4,19.5566,,UP,1
2012-03-28,22.25,21.59,21.626,19.6432,,DOWN,0
2012-03-29,22.2,22.08,21.808,19.731,,DOWN,0
2012-03-30,22.07,22.28,21.956,19.8104,,DOWN,0
2012-04-02,21.71,22.0,21.976,19.8868,,DOWN,0
2012-04-03,21.61,21.69,21.968,19.9634,,DOWN,0
2012-04-04,21.34,21.41,21.786,20.033,,UP,1
2012-04-05,21.38,21.33,21.622,20.1026,,DOWN,0
2012-04-09,21.0,21.05,21.408,20.1644,,DOWN,0
2012-04-10,20.21,20.92,21.108,20.2096,,UP,1
2012-04-11,20.54,20.37,20.894,20.254,,UP,1
2012-04-12,20.99,20.53,20.824,20.3024,,DOWN,0
2012-04-13,20.69,20.9,20.686,20.3384,,UP,1
2012-04-16,20.72,20.77,20.63,20.3678,,DOWN,0
2012-04-17,20.7,20.82,20.728,20.3908,,DOWN,0
2012-04-18,20.67,20.59,20.754,20.4274,,DOWN,0
2012-04-19,20.42,20.69,20.64,20.4628,,UP,1
2012-04-20,20.7,20.47,20.642,20.4946,,DOWN,0
2012-04-23,20.39,20.39,20.576,20.518,,UP,1
2012-04-24,20.45,20.33,20.526,20.5402,,UP,1
2012-04-25,20.72,20.62,20.536,20.5642,,DOWN,0
2012-04-26,20.64,20.73,20.58,20.5826,,UP,1
2012-04-27,22.53,21.1,20.946,20.6434,,UP,1
2012-04-30,22.74,22.43,21.416,20.7078,,UP,1
2012-05-01,23.44,23.08,22.014,20.7902,,UP,1
2012-05-02,23.87,23.71,22.644,20.8784,,DOWN,0
2012-05-03,23.38,23.8,23.192,20.9612,,DOWN,0
2012-05-04,23.37,23.13,23.36,21.0336,,UP,1
2012-05-07,23.4,23.27,23.492,21.1134,,DOWN,0
2012-05-08,23.13,23.29,23.43,21.187,,DOWN,0
2012-05-09,22.95,22.92,23.246,21.2612,,UP,1
2012-05-10,23.18,23.07,23.206,21.338,,UP,1
2012-05-11,24.04,23.02,23.34,21.4314,,DOWN,0
2012-05-14,23.74,23.75,23.408,21.5232,,DOWN,0
2012-05-15,23.62,23.61,23.506,21.6106,,DOWN,0
