ticker,EPAM US Equity,EPAM US Equity,EPAM US Equity,EPAM US Equity,EPAM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-09-07,17.57,17.7,17.612,16.5602,,DOWN,0
2012-09-10,17.56,17.5,17.624,16.5794,,DOWN,0
2012-09-11,17.51,17.6,17.57,16.5898,,UP,1
2012-09-12,17.91,17.5,17.632,16.604,,DOWN,0
2012-09-13,17.9,17.76,17.69,16.6208,,UP,1
2012-09-14,18.95,17.88,17.966,16.66,,DOWN,0
2012-09-17,18.75,18.97,18.204,16.7126,,DOWN,0
2012-09-18,18.67,18.83,18.436,16.7722,,UP,1
2012-09-19,18.89,18.74,18.632,16.841,,UP,1
2012-09-20,18.9,18.72,18.832,16.9142,,UP,1
2012-09-21,18.92,19.12,18.826,17.0046,,DOWN,0
2012-09-24,18.87,18.67,18.85,17.0738,,DOWN,0
2012-09-25,18.85,19.0,18.886,17.1274,,DOWN,0
2012-09-26,18.48,18.65,18.804,17.1814,,UP,1
2012-09-27,18.64,18.48,18.752,17.2366,,UP,1
2012-09-28,18.94,18.54,18.756,17.3028,,DOWN,0
2012-10-01,18.61,18.95,18.704,17.3698,,UP,1
2012-10-02,18.93,18.65,18.72,17.4534,,UP,1
2012-10-03,19.0,18.98,18.824,17.551,,UP,1
2012-10-04,19.05,19.12,18.906,17.6496,,UP,1
2012-10-05,19.31,19.12,18.98,17.7464,,UP,1
2012-10-08,19.4,19.31,19.138,17.828,,UP,1
2012-10-09,19.5,19.42,19.252,17.8946,,DOWN,0
2012-10-10,19.47,19.56,19.346,17.9632,,UP,1
2012-10-11,19.49,19.55,19.434,18.037,,DOWN,0
2012-10-12,19.31,19.46,19.434,18.1092,,DOWN,0
2012-10-15,19.02,19.31,19.358,18.1696,,DOWN,0
2012-10-16,18.81,19.05,19.22,18.2134,,DOWN,0
2012-10-17,18.15,18.79,18.956,18.24,,DOWN,0
2012-10-18,17.93,18.25,18.644,18.2616,,DOWN,0
2012-10-19,17.61,17.86,18.304,18.279,,UP,1
2012-10-22,17.64,17.51,18.028,18.28,,UP,1
2012-10-23,17.76,17.49,17.818,18.2814,,UP,1
2012-10-24,17.82,17.82,17.752,18.2882,,DOWN,0
2012-10-25,17.81,17.9,17.728,18.2882,,UP,1
2012-10-26,17.96,17.84,17.798,18.2972,,UP,1
2012-10-31,17.98,17.99,17.866,18.3068,,UP,1
2012-11-01,18.0,18.02,17.914,18.3344,,DOWN,0
2012-11-02,17.8,18.09,17.91,18.3532,,UP,1
2012-11-05,18.12,17.85,17.972,18.3614,,UP,1
2012-11-06,18.49,18.19,18.078,18.3718,,DOWN,0
2012-11-07,18.0,18.35,18.082,18.3716,,DOWN,0
2012-11-08,17.79,17.95,18.04,18.3676,,UP,1
2012-11-09,19.45,19.01,18.37,18.3972,,UP,1
2012-11-12,19.65,19.4,18.676,18.4308,,UP,1
2012-11-13,19.87,19.65,18.952,18.4706,,DOWN,0
2012-11-14,19.46,19.88,19.244,18.5098,,DOWN,0
2012-11-15,19.43,19.49,19.572,18.5428,,UP,1
2012-11-16,19.46,19.41,19.574,18.58,,UP,1
2012-11-19,20.08,19.5,19.66,18.6294,,DOWN,0
2012-11-20,19.86,20.01,19.658,18.6752,,UP,1
2012-11-21,19.99,19.84,19.764,18.7238,17.5267,UP,1
2012-11-23,20.0,20.0,19.878,18.7736,17.5667,UP,1
2012-11-26,20.01,19.98,19.988,18.8156,17.5967,DOWN,0
2012-11-27,19.92,20.01,19.956,18.856,17.6268,UP,1
2012-11-28,20.11,19.89,20.006,18.8792,17.6575,UP,1
2012-11-29,20.5,20.14,20.108,18.9142,17.6918,UP,1
2012-11-30,20.57,20.6,20.222,18.9522,17.7274,UP,1
2012-12-03,20.72,20.57,20.364,18.9888,17.764,DOWN,0
2012-12-04,20.71,20.49,20.522,19.025,17.7999,DOWN,0
2012-12-05,20.6,20.77,20.62,19.0586,17.835,UP,1
2012-12-06,20.74,20.16,20.668,19.096,17.8701,DOWN,0
2012-12-07,20.7,20.74,20.694,19.133,17.9038,DOWN,0
2012-12-10,20.38,20.62,20.626,19.171,17.936,UP,1
2012-12-11,20.43,20.34,20.57,19.2068,17.9696,UP,1
2012-12-12,20.45,20.53,20.54,19.237,18.0036,DOWN,0
2012-12-13,20.28,20.5,20.448,19.2704,18.0358,UP,1
2012-12-14,20.7,20.16,20.448,19.3058,18.0687,UP,1
2012-12-17,20.8,20.72,20.532,19.3418,18.0977,DOWN,0
2012-12-18,20.7,20.79,20.586,19.3748,18.1255,DOWN,0
2012-12-19,20.09,20.76,20.514,19.3904,18.1505,DOWN,0
2012-12-20,19.95,20.14,20.448,19.4014,18.1752,DOWN,0
2012-12-21,19.82,19.84,20.272,19.4078,18.1982,UP,1
2012-12-24,19.84,19.77,20.08,19.4152,18.2212,DOWN,0
2012-12-26,19.31,19.87,19.802,19.4116,18.2412,DOWN,0
2012-12-27,18.93,19.25,19.57,19.404,18.2601,UP,1
2012-12-28,18.94,18.87,19.368,19.4024,18.2759,DOWN,0
2012-12-31,18.1,19.0,19.024,19.3882,18.2854,UP,1
2013-01-02,18.98,18.52,18.852,19.4048,18.2953,UP,1
2013-01-03,18.99,19.0,18.788,19.426,18.3063,UP,1
2013-01-04,19.19,19.04,18.84,19.4576,18.3152,DOWN,0
2013-01-07,19.02,19.09,18.856,19.4852,18.3232,UP,1
2013-01-08,19.16,18.92,19.068,19.5132,18.3321,UP,1
2013-01-09,19.6,19.32,19.192,19.5488,18.3471,UP,1
2013-01-10,19.79,19.59,19.352,19.5884,18.3606,UP,1
2013-01-11,20.19,19.7,19.552,19.633,18.3766,DOWN,0
2013-01-14,20.12,20.07,19.772,19.6758,18.3717,UP,1
2013-01-15,20.22,19.96,19.984,19.7202,18.3728,DOWN,0
2013-01-16,20.22,20.12,20.108,19.7686,18.3734,DOWN,0
2013-01-17,20.18,20.37,20.186,19.8098,18.3717,UP,1
2013-01-18,20.26,20.3,20.2,19.8452,18.3644,UP,1
2013-01-22,20.37,20.27,20.25,19.8926,18.3553,UP,1
2013-01-23,20.41,20.46,20.288,19.945,18.3516,UP,1
2013-01-24,20.9,20.56,20.424,19.974,18.3513,UP,1
2013-01-25,20.92,20.93,20.572,19.9994,18.3495,UP,1
2013-01-28,20.98,20.97,20.716,20.0216,18.3454,DOWN,0
2013-01-29,20.95,21.01,20.832,20.0514,18.3372,UP,1
2013-01-30,20.97,20.99,20.944,20.0822,18.3258,DOWN,0
2013-01-31,20.72,20.99,20.908,20.1074,18.3162,UP,1
2013-02-01,21.83,20.71,21.09,20.1424,18.3193,DOWN,0
2013-02-04,21.6,21.82,21.214,20.1772,18.326,UP,1
2013-02-05,21.79,21.72,21.382,20.2132,18.3341,DOWN,0
2013-02-06,21.47,21.68,21.482,20.2426,18.3395,UP,1
2013-02-07,21.52,21.55,21.642,20.2728,18.3469,DOWN,0
2013-02-08,21.49,21.6,21.574,20.3042,18.3535,DOWN,0
2013-02-11,19.93,21.5,21.24,20.3006,18.3542,UP,1
2013-02-12,20.3,19.91,20.942,20.2966,18.3565,DOWN,0
2013-02-13,20.3,20.24,20.708,20.2912,18.3578,UP,1
2013-02-14,20.52,20.34,20.508,20.2872,18.3599,UP,1
2013-02-15,21.05,20.47,20.42,20.294,18.362,DOWN,0
2013-02-19,20.94,21.13,20.622,20.3008,18.363,DOWN,0
2013-02-20,20.8,20.99,20.722,20.302,18.3575,UP,1
2013-02-21,20.85,20.76,20.832,20.305,18.3565,UP,1
2013-02-22,21.06,20.9,20.94,20.3186,18.3595,DOWN,0
2013-02-25,20.62,21.06,20.854,20.3224,18.362,UP,1
2013-02-26,20.63,20.75,20.792,20.326,18.3748,UP,1
2013-02-27,21.51,20.58,20.934,20.3506,18.3936,DOWN,0
2013-02-28,20.98,21.93,20.96,20.3562,18.4104,UP,1
2013-03-01,22.45,20.85,21.238,20.3892,18.4358,DOWN,0
2013-03-04,22.1,22.45,21.534,20.4172,18.4662,UP,1
2013-03-05,22.98,22.16,22.004,20.475,18.5046,UP,1
2013-03-06,23.52,23.14,22.406,20.5464,18.5439,DOWN,0
2013-03-07,23.41,23.5,22.892,20.6182,18.5857,UP,1
2013-03-08,23.68,23.43,23.138,20.695,18.6292,DOWN,0
2013-03-11,23.39,23.8,23.396,20.7766,18.6678,DOWN,0
2013-03-12,23.14,23.44,23.428,20.8608,18.7051,UP,1
2013-03-13,23.49,22.9,23.422,20.9518,18.7395,DOWN,0
2013-03-14,23.03,23.2,23.346,21.0504,18.7699,DOWN,0
2013-03-15,22.89,23.02,23.188,21.1286,18.7994,DOWN,0
2013-03-18,22.73,22.65,23.056,21.2034,18.8271,UP,1
2013-03-19,22.82,22.63,22.992,21.276,18.8547,UP,1
2013-03-20,22.83,22.87,22.86,21.3522,18.8813,DOWN,0
2013-03-21,22.67,22.62,22.788,21.4224,18.9121,UP,1
2013-03-22,22.72,22.8,22.754,21.4848,18.9436,DOWN,0
2013-03-25,22.51,22.88,22.71,21.5392,18.9724,UP,1
2013-03-26,22.89,22.54,22.724,21.5932,19.0038,UP,1
2013-03-27,23.34,22.84,22.826,21.6576,19.038,DOWN,0
2013-03-28,23.23,23.34,22.938,21.7178,19.0702,UP,1
2013-04-01,23.25,23.17,23.044,21.7784,19.1021,UP,1
2013-04-02,23.59,23.43,23.26,21.8466,19.1332,DOWN,0
2013-04-03,23.29,23.57,23.34,21.9072,19.1598,UP,1
2013-04-04,23.42,23.25,23.356,21.9682,19.1879,DOWN,0
2013-04-05,23.4,23.08,23.39,22.028,19.2169,DOWN,0
2013-04-08,23.06,23.32,23.352,22.0712,19.2441,DOWN,0
2013-04-09,22.87,23.06,23.208,22.1102,19.2706,UP,1
2013-04-10,23.23,23.25,23.196,22.1552,19.2974,DOWN,0
2013-04-11,22.99,22.98,23.11,22.196,19.323,UP,1
2013-04-12,23.0,22.85,23.03,22.2366,19.348,DOWN,0
2013-04-15,22.09,23.0,22.836,22.264,19.3716,UP,1
2013-04-16,22.7,22.16,22.802,22.2814,19.4005,DOWN,0
2013-04-17,21.37,22.5,22.43,22.2768,19.4223,DOWN,0
2013-04-18,21.21,21.46,22.074,22.2652,19.4454,DOWN,0
2013-04-19,20.97,21.24,21.668,22.2552,19.4653,UP,1
2013-04-22,21.15,20.94,21.48,22.2478,19.485,UP,1
2013-04-23,21.79,21.23,21.298,22.2538,19.5087,UP,1
2013-04-24,22.07,21.65,21.438,22.2966,19.5341,DOWN,0
2013-04-25,21.46,22.06,21.488,22.3198,19.5608,DOWN,0
2013-04-26,21.34,21.34,21.562,22.3406,19.589,UP,1
2013-04-29,21.43,21.34,21.618,22.3588,19.6189,UP,1
2013-04-30,21.5,21.36,21.56,22.3678,19.6502,DOWN,0
2013-05-01,21.36,21.4,21.418,22.3762,19.685,UP,1
2013-05-02,21.59,21.4,21.444,22.392,19.7159,UP,1
2013-05-03,22.39,21.73,21.654,22.4228,19.747,UP,1
2013-05-06,23.02,22.22,21.972,22.462,19.7832,DOWN,0
2013-05-07,23.0,23.05,22.272,22.5096,19.8188,UP,1
2013-05-08,23.07,22.82,22.614,22.5584,19.856,DOWN,0
2013-05-09,22.98,23.25,22.892,22.5878,19.8946,UP,1
2013-05-10,23.1,22.94,23.034,22.6302,19.9364,DOWN,0
2013-05-13,22.69,22.83,22.968,22.635,19.9792,UP,1
2013-05-14,22.82,22.65,22.932,22.6494,20.0227,DOWN,0
2013-05-15,22.75,22.69,22.868,22.6448,20.0641,DOWN,0
2013-05-16,22.66,22.64,22.804,22.6276,20.1008,UP,1
2013-05-17,23.0,22.67,22.784,22.6194,20.135,UP,1
2013-05-20,23.02,22.94,22.85,22.6062,20.1699,UP,1
2013-05-21,23.93,22.98,23.072,22.617,20.2105,DOWN,0
2013-05-22,23.54,23.83,23.23,22.625,20.2497,DOWN,0
2013-05-23,23.04,23.05,23.306,22.616,20.2849,UP,1
2013-05-24,23.29,23.02,23.364,22.6212,20.3183,UP,1
2013-05-28,23.36,23.48,23.432,22.6306,20.351,DOWN,0
2013-05-29,23.2,23.19,23.286,22.64,20.3827,UP,1
2013-05-30,23.3,23.32,23.238,22.6496,20.4155,DOWN,0
2013-05-31,23.16,23.18,23.262,22.6562,20.4434,UP,1
2013-06-03,23.23,23.16,23.25,22.6674,20.4711,UP,1
2013-06-04,24.31,23.5,23.44,22.6992,20.5052,UP,1
2013-06-05,24.36,24.31,23.672,22.7362,20.538,UP,1
2013-06-06,25.11,24.2,24.034,22.7806,20.576,UP,1
2013-06-07,25.55,25.08,24.512,22.8248,20.6162,DOWN,0
2013-06-10,25.55,25.4,24.976,22.8712,20.6609,UP,1
2013-06-11,25.74,25.28,25.262,22.921,20.7053,DOWN,0
2013-06-12,25.61,25.87,25.512,22.9614,20.7448,DOWN,0
2013-06-13,25.52,25.53,25.594,23.006,20.7825,DOWN,0
2013-06-14,24.97,25.42,25.478,23.037,20.8173,UP,1
2013-06-17,26.15,25.01,25.598,23.092,20.8581,UP,1
2013-06-18,26.51,26.14,25.752,23.161,20.9008,UP,1
2013-06-19,26.65,26.35,25.96,23.2366,20.9442,DOWN,0
2013-06-20,26.44,26.43,26.144,23.3008,20.987,UP,1
2013-06-21,26.94,26.5,26.538,23.3798,21.0342,DOWN,0
2013-06-24,26.0,26.87,26.508,23.4398,21.0753,UP,1
2013-06-25,26.81,26.01,26.568,23.5342,21.1214,UP,1
2013-06-26,26.9,26.89,26.618,23.6182,21.1678,UP,1
2013-06-27,27.52,27.01,26.834,23.7412,21.2176,DOWN,0
2013-06-28,27.18,27.64,26.882,23.8606,21.2657,DOWN,0
2013-07-01,25.76,27.26,26.834,23.9564,21.3069,DOWN,0
2013-07-02,25.36,25.67,26.544,24.0406,21.3442,UP,1
