ticker,RL US Equity,RL US Equity,RL US Equity,RL US Equity,RL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-05,17.9375,19.1875,17.7381,19.3125,16.405,DOWN,0
2000-04-06,17.9375,17.9375,17.7347,18.85,16.4613,DOWN,0
2000-04-07,17.0,17.6875,17.725,18.5125,16.4913,DOWN,0
2000-04-10,16.9375,17.0,17.7147,17.8375,16.5225,DOWN,0
2000-04-11,16.875,17.0,17.7053,17.3375,16.5625,DOWN,0
2000-04-12,16.6875,17.0,17.6963,17.0875,16.6038,UP,1
2000-04-13,16.9375,16.6875,17.6859,16.8875,16.6513,DOWN,0
2000-04-14,16.0,16.5,17.6716,16.6875,16.6838,DOWN,0
2000-04-17,15.6875,15.75,17.6559,16.4375,16.715,UP,1
2000-04-18,16.5,15.6875,17.6441,16.3625,16.72,DOWN,0
2000-04-19,15.875,16.3125,17.6322,16.2,16.7087,UP,1
2000-04-20,16.0625,15.8125,17.6225,16.025,16.71,UP,1
2000-04-24,16.25,16.0,17.6138,16.075,16.7338,UP,1
2000-04-25,16.3125,16.375,17.6009,16.2,16.7575,DOWN,0
2000-04-26,15.9375,16.375,17.5866,16.0875,16.7663,DOWN,0
2000-04-27,15.9375,15.9375,17.5713,16.1,16.7738,UP,1
2000-04-28,16.25,15.6875,17.5519,16.1375,16.7875,UP,1
2000-05-01,17.0,16.25,17.5369,16.2875,16.8238,DOWN,0
2000-05-02,16.8125,16.8125,17.5197,16.3875,16.86,DOWN,0
2000-05-03,16.5625,16.5,17.5031,16.5125,16.8925,DOWN,0
2000-05-04,16.5,16.4375,17.4862,16.625,16.925,DOWN,0
2000-05-05,16.375,16.75,17.4706,16.65,16.9587,DOWN,0
2000-05-08,16.0,16.375,17.4506,16.45,16.9813,UP,1
2000-05-09,16.5625,16.1875,17.4347,16.4,16.9988,DOWN,0
2000-05-10,16.25,16.4375,17.4163,16.3375,16.9888,UP,1
2000-05-11,16.4375,16.4375,17.3975,16.325,16.9775,DOWN,0
2000-05-12,16.3125,16.3125,17.3813,16.3125,16.9587,DOWN,0
2000-05-15,16.1875,16.1875,17.3647,16.35,16.9538,UP,1
2000-05-16,16.8125,15.9375,17.3513,16.4,16.9713,DOWN,0
2000-05-17,16.5625,16.625,17.3363,16.4625,16.985,DOWN,0
2000-05-18,16.1875,16.4375,17.3219,16.4125,16.9975,DOWN,0
2000-05-19,16.0,16.0,17.3069,16.35,17.0013,DOWN,0
2000-05-22,15.9375,16.1875,17.2916,16.3,17.0075,DOWN,0
2000-05-23,15.75,15.6875,17.2791,16.0875,17.0113,DOWN,0
2000-05-24,14.5625,15.375,17.2569,15.6875,16.9838,DOWN,0
2000-05-25,13.5,12.75,17.2269,15.15,16.9213,DOWN,0
2000-05-26,13.375,13.5,17.1959,14.625,16.8425,DOWN,0
2000-05-30,13.25,13.25,17.1666,14.0875,16.745,UP,1
2000-05-31,14.0,13.25,17.1403,13.7375,16.67,UP,1
2000-06-01,14.3125,13.9375,17.1175,13.6875,16.6,UP,1
2000-06-02,14.4375,14.4375,17.0931,13.875,16.5338,DOWN,0
2000-06-05,14.3125,14.3125,17.0694,14.0625,16.4675,DOWN,0
2000-06-06,14.0625,14.3125,17.0406,14.225,16.3962,DOWN,0
2000-06-07,14.0,14.0625,17.0078,14.225,16.3263,DOWN,0
2000-06-08,13.6875,14.0,16.9734,14.1,16.2313,UP,1
2000-06-09,13.9375,13.5625,16.9431,14.0,16.1088,UP,1
2000-06-12,14.125,13.875,16.9156,13.9625,15.9863,DOWN,0
2000-06-13,14.0,13.875,16.8859,13.95,15.8925,UP,1
2000-06-14,14.125,13.9375,16.8572,13.975,15.7688,UP,1
2000-06-15,14.25,14.25,16.8316,14.0875,15.6663,DOWN,0
2000-06-16,14.0625,14.375,16.8063,14.1125,15.5888,DOWN,0
2000-06-19,14.0,14.0625,16.7813,14.0875,15.51,DOWN,0
2000-06-20,13.75,14.0,16.7525,14.0375,15.445,UP,1
2000-06-21,13.9375,13.875,16.7253,14.0,15.385,UP,1
2000-06-22,14.0,13.9375,16.7006,13.95,15.3275,UP,1
2000-06-23,14.4375,14.0,16.6781,14.025,15.2825,UP,1
2000-06-26,15.0625,14.625,16.6522,14.2375,15.245,UP,1
2000-06-27,15.3125,14.8125,16.6303,14.55,15.2313,UP,1
2000-06-28,15.5625,15.3125,16.6119,14.875,15.2288,UP,1
2000-06-29,16.0,15.4375,16.5991,15.275,15.2188,DOWN,0
2000-06-30,14.25,16.0,16.5772,15.2375,15.1863,UP,1
2000-07-03,15.5625,14.5625,16.5613,15.3375,15.1763,UP,1
2000-07-05,15.6875,15.375,16.5469,15.4125,15.165,UP,1
2000-07-06,16.25,15.625,16.5381,15.55,15.1638,UP,1
2000-07-07,16.4375,16.375,16.5297,15.6375,15.1738,UP,1
2000-07-10,16.8125,16.3125,16.525,16.15,15.1913,DOWN,0
2000-07-11,16.75,16.5625,16.5206,16.3875,15.2013,UP,1
2000-07-12,17.0,16.625,16.515,16.65,15.2013,UP,1
2000-07-13,17.125,16.9375,16.5106,16.825,15.2075,UP,1
2000-07-14,17.1875,17.375,16.5075,16.975,15.22,DOWN,0
2000-07-17,17.0625,17.125,16.5031,17.025,15.2313,DOWN,0
2000-07-18,16.75,17.0,16.4994,17.025,15.2388,UP,1
2000-07-19,17.25,16.625,16.4906,17.075,15.2638,DOWN,0
2000-07-20,16.9375,17.0,16.4784,17.0375,15.2713,DOWN,0
2000-07-21,16.5625,17.0,16.4659,16.9125,15.2775,UP,1
2000-07-24,16.8125,16.3125,16.4566,16.8625,15.285,UP,1
2000-07-25,17.375,16.8125,16.4497,16.9875,15.3063,DOWN,0
2000-07-26,17.0,17.375,16.4425,16.9375,15.3225,UP,1
2000-07-27,17.1875,16.875,16.4397,16.9875,15.33,DOWN,0
2000-07-28,16.25,17.0,16.4328,16.925,15.3238,DOWN,0
2000-07-31,16.1875,16.0625,16.4244,16.8,15.3238,UP,1
2000-08-01,16.25,16.3125,16.4178,16.575,15.3288,UP,1
2000-08-02,16.75,16.25,16.4094,16.525,15.345,DOWN,0
2000-08-03,16.4375,16.5625,16.4016,16.375,15.3588,UP,1
2000-08-04,17.125,16.3125,16.3953,16.55,15.41,UP,1
2000-08-07,17.1875,17.0,16.3866,16.75,15.4838,UP,1
2000-08-08,18.8125,17.0,16.3838,17.2625,15.5925,DOWN,0
2000-08-09,18.0,19.0,16.3725,17.5125,15.6875,UP,1
2000-08-10,19.375,18.0,16.3763,18.1,15.795,UP,1
2000-08-11,19.9375,19.375,16.3831,18.6625,15.9075,DOWN,0
2000-08-14,19.875,19.875,16.3884,19.2,16.0163,DOWN,0
