ticker,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-07-20,38.24,38.24,39.83,36.5062,41.2696,UP,1
2020-07-21,38.4,38.9,39.488,36.8524,41.265,DOWN,0
2020-07-22,38.24,37.51,38.73,37.2048,41.2607,DOWN,0
2020-07-23,36.58,37.47,37.892,37.4728,41.2445,DOWN,0
2020-07-24,33.75,36.2,37.042,37.7422,41.2184,DOWN,0
2020-07-27,29.74,32.52,35.342,37.8944,41.1717,UP,1
2020-07-28,30.27,29.56,33.716,38.0356,41.1227,UP,1
2020-07-29,33.52,31.929,32.772,38.15,41.0793,DOWN,0
2020-07-30,33.37,32.69,32.13,38.2422,41.0343,DOWN,0
2020-07-31,31.05,33.4,31.59,38.2382,40.9752,UP,1
2020-08-03,32.22,30.67,32.086,38.229,40.9223,UP,1
2020-08-04,33.93,32.22,32.818,38.2368,40.8774,UP,1
2020-08-05,35.54,34.46,33.222,38.2444,40.8399,UP,1
2020-08-06,37.75,35.4,34.098,38.271,40.8117,DOWN,0
2020-08-07,37.07,37.8,35.302,38.3172,40.7791,UP,1
2020-08-10,38.27,38.75,36.512,38.3734,40.7509,DOWN,0
2020-08-11,37.88,39.5,37.302,38.4092,40.7187,DOWN,0
2020-08-12,37.16,38.62,37.626,38.4426,40.6793,UP,1
2020-08-13,39.46,37.85,37.968,38.4542,40.6512,UP,1
2020-08-14,41.32,39.2,38.818,38.4218,40.6335,UP,1
2020-08-17,41.56,41.32,39.476,38.3776,40.6195,UP,1
2020-08-18,42.72,41.83,40.444,38.3358,40.6093,UP,1
2020-08-19,44.045,42.78,41.821,38.3661,40.5992,UP,1
2020-08-20,46.0,43.4,43.129,38.4889,40.595,DOWN,0
2020-08-21,44.7,45.39,43.805,38.7178,40.5877,UP,1
2020-08-24,44.72,45.47,44.437,38.8766,40.5767,DOWN,0
2020-08-25,43.86,44.69,44.665,38.985,40.5439,UP,1
2020-08-26,45.99,44.33,45.054,39.089,40.5234,UP,1
2020-08-27,47.26,46.35,45.306,39.1716,40.5022,UP,1
2020-08-28,49.05,48.58,46.176,39.3372,40.4926,DOWN,0
2020-08-31,45.8,49.06,46.392,39.413,40.4677,UP,1
2020-09-01,46.86,45.85,46.992,39.5252,40.4461,UP,1
2020-09-02,48.67,46.93,47.528,39.6187,40.4292,DOWN,0
2020-09-03,47.62,48.555,47.6,39.7479,40.4003,UP,1
2020-09-04,49.81,48.07,47.752,39.9721,40.3811,UP,1
2020-09-08,49.94,48.55,48.58,40.2479,40.3637,UP,1
2020-09-09,50.28,50.41,49.264,40.4617,40.3493,UP,1
2020-09-10,50.74,50.6199,49.678,40.6753,40.338,DOWN,0
2020-09-11,50.11,51.19,50.176,40.8603,40.3181,UP,1
2020-09-14,55.39,50.53,51.292,41.1441,40.3267,UP,1
2020-09-15,58.98,55.47,53.1,41.5331,40.3524,DOWN,0
2020-09-16,55.94,59.29,54.232,41.8913,40.3645,DOWN,0
2020-09-17,55.4,54.51,55.164,42.2043,40.378,UP,1
2020-09-18,56.2,56.02,56.382,42.5093,40.3955,DOWN,0
2020-09-21,54.43,53.61,56.19,42.7949,40.4041,UP,1
2020-09-22,58.13,55.88,56.02,43.1775,40.4353,DOWN,0
2020-09-23,54.86,57.8,55.804,43.4725,40.4419,DOWN,0
2020-09-24,52.87,54.15,55.298,43.6893,40.4416,UP,1
2020-09-25,57.07,54.85,55.472,44.0153,40.4632,UP,1
2020-09-28,58.21,58.38,56.228,44.4195,40.4901,DOWN,0
2020-09-29,54.49,56.29,55.5,44.7445,40.4883,UP,1
2020-09-30,56.06,55.9,55.74,45.0977,40.4941,UP,1
2020-10-01,57.1,56.44,56.586,45.4749,40.5011,DOWN,0
2020-10-02,56.83,54.62,56.538,45.8799,40.5013,UP,1
2020-10-05,57.07,57.71,56.31,46.3463,40.5005,DOWN,0
2020-10-06,55.0,57.4,56.412,46.8515,40.4859,UP,1
2020-10-07,55.74,55.69,56.348,47.3609,40.4764,DOWN,0
2020-10-08,54.74,56.5,55.876,47.7853,40.4546,DOWN,0
2020-10-09,52.35,55.02,54.98,48.1649,40.4205,UP,1
2020-10-12,53.95,53.06,54.356,48.6229,40.3949,UP,1
2020-10-13,55.45,53.62,54.446,49.0875,40.3764,DOWN,0
2020-10-14,55.33,55.64,54.364,49.5155,40.358,UP,1
2020-10-15,55.6,54.47,54.536,49.9167,40.3378,DOWN,0
2020-10-16,54.97,56.33,55.06,50.2611,40.3151,DOWN,0
2020-10-19,53.42,54.98,54.954,50.5881,40.2921,UP,1
2020-10-20,54.47,53.57,54.758,50.9121,40.2705,DOWN,0
2020-10-21,52.45,54.31,54.182,51.2035,40.2361,UP,1
2020-10-22,54.13,53.03,53.888,51.5429,40.2091,UP,1
2020-10-23,54.69,54.29,53.832,51.8475,40.1861,DOWN,0
2020-10-26,51.76,53.49,53.5,52.0563,40.1526,DOWN,0
