ticker,EQIX US Equity,EQIX US Equity,EQIX US Equity,EQIX US Equity,EQIX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-10-28,168.94,171.29,170.0404,173.0247,197.4566,DOWN,0
2013-10-29,168.39,168.86,170.3184,173.0727,197.2183,DOWN,0
2013-10-30,162.18,167.97,169.024,172.9527,196.9453,DOWN,0
2013-10-31,161.252,162.46,166.4604,172.8478,196.6692,UP,1
2013-11-01,166.166,161.0,165.3856,172.8253,196.4075,DOWN,0
2013-11-04,164.01,166.7,164.3996,172.7053,196.1278,DOWN,0
2013-11-05,161.27,163.03,162.9756,172.5413,195.8226,UP,1
2013-11-06,163.26,162.64,163.1916,172.4019,195.5307,DOWN,0
2013-11-07,159.75,163.67,162.8912,172.1669,195.2195,DOWN,0
2013-11-08,155.94,160.73,160.846,171.7685,194.873,UP,1
2013-11-11,157.22,155.85,159.488,171.4381,194.5456,DOWN,0
2013-11-12,155.18,156.27,158.27,171.0031,194.2393,UP,1
2013-11-13,157.83,154.17,157.184,170.6327,193.9565,UP,1
2013-11-14,162.24,158.0,157.682,170.3443,193.6906,UP,1
2013-11-15,167.61,164.87,160.016,170.2411,193.4392,DOWN,0
2013-11-18,164.138,168.13,161.3996,169.9786,193.1862,DOWN,0
2013-11-19,161.58,164.46,162.6796,169.6656,192.9015,DOWN,0
2013-11-20,160.62,161.59,163.2376,169.2936,192.6148,UP,1
2013-11-21,160.63,161.01,162.9156,168.9502,192.3476,DOWN,0
2013-11-22,160.31,160.39,161.4556,168.6154,192.0506,UP,1
2013-11-25,162.25,160.23,161.078,168.3852,191.7717,UP,1
2013-11-26,162.53,161.98,161.268,168.137,191.5117,DOWN,0
2013-11-27,160.62,163.08,161.268,167.7646,191.2497,UP,1
2013-11-29,160.7,161.34,161.282,167.3128,190.9232,DOWN,0
2013-12-02,159.55,161.1,161.13,166.8232,190.5983,DOWN,0
2013-12-03,159.39,157.21,160.558,166.3418,190.2898,UP,1
2013-12-04,161.79,158.34,160.41,165.9498,190.0207,UP,1
2013-12-05,167.43,165.97,161.772,165.6662,189.7878,DOWN,0
2013-12-06,165.48,169.19,162.728,165.3048,189.5441,UP,1
2013-12-09,168.36,165.38,164.49,164.9892,189.3351,UP,1
2013-12-10,168.58,166.82,166.328,164.6878,189.1125,DOWN,0
