ticker,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-02-22,587.72,585.0,579.322,509.134,506.0783,DOWN,0
2012-02-23,587.4,588.53,582.742,511.2872,506.3693,UP,1
2012-02-24,590.41,590.17,586.56,513.5876,506.6789,UP,1
2012-02-27,591.54,594.95,588.364,516.1646,507.0316,UP,1
2012-02-28,632.76,634.81,597.966,519.916,507.5756,DOWN,0
2012-02-29,627.02,632.4,605.826,523.5486,508.1077,UP,1
2012-03-01,637.32,626.03,615.81,527.1534,508.7774,UP,1
2012-03-02,645.86,637.42,626.9,530.876,509.4847,DOWN,0
2012-03-05,642.69,647.03,637.13,534.128,510.1062,DOWN,0
2012-03-06,629.74,634.53,636.526,537.2762,510.6444,UP,1
2012-03-07,641.6,636.0,639.442,540.5144,511.252,UP,1
2012-03-08,653.82,647.43,642.742,543.9562,512.0128,DOWN,0
2012-03-09,647.45,655.0,643.06,547.221,512.7955,UP,1
2012-03-12,650.95,647.45,644.712,550.732,513.5562,UP,1
2012-03-13,653.79,654.96,649.522,554.2878,514.2996,DOWN,0
2012-03-14,650.75,653.15,651.352,557.9486,515.0461,UP,1
2012-03-15,657.25,649.99,652.038,561.3906,515.7564,UP,1
2012-03-16,675.5,657.25,657.648,565.2824,516.5986,UP,1
2012-03-19,696.93,678.86,666.844,569.4968,517.5194,DOWN,0
2012-03-20,696.465,693.3,675.379,573.8199,518.4627,UP,1
2012-03-21,703.65,695.56,685.959,578.3713,519.4666,UP,1
2012-03-22,711.99,700.28,696.907,582.9255,520.496,UP,1
2012-03-23,714.99,713.95,704.805,587.6713,521.5675,UP,1
2012-03-26,735.4,722.01,712.499,592.8557,522.7287,DOWN,0
2012-03-27,728.85,735.39,718.976,597.7841,523.907,DOWN,0
2012-03-28,718.2,729.45,721.886,602.1839,525.0874,UP,1
2012-03-29,720.04,712.1,723.496,606.2081,526.284,DOWN,0
2012-03-30,717.5,725.0,723.998,610.0367,527.5156,UP,1
2012-04-02,719.97,717.26,720.912,614.0645,528.8069,UP,1
2012-04-03,743.62,721.2,723.866,618.5765,530.2133,UP,1
2012-04-04,745.9,737.55,729.406,623.0199,531.6489,UP,1
2012-04-05,756.8,749.28,736.758,627.5889,532.9948,UP,1
2012-04-09,764.75,746.85,746.208,632.3907,534.4153,DOWN,0
2012-04-10,741.26,768.5,750.466,636.6987,535.6716,DOWN,0
2012-04-11,729.57,750.88,747.656,640.8419,536.9046,UP,1
2012-04-12,742.15,731.44,746.906,645.0951,538.1798,DOWN,0
2012-04-13,735.18,739.79,742.582,649.0807,539.3787,DOWN,0
2012-04-16,702.0,737.0,730.032,652.4441,540.3693,UP,1
2012-04-17,715.37,704.2,724.854,655.8119,541.3865,UP,1
2012-04-18,732.22,714.81,725.384,659.7217,542.4236,DOWN,0
2012-04-19,717.18,727.71,720.39,663.4815,543.3327,DOWN,0
2012-04-20,710.17,719.86,715.388,666.9175,544.2029,DOWN,0
2012-04-23,699.0,701.2,714.788,670.0949,544.9612,DOWN,0
2012-04-24,685.01,696.67,708.716,672.8943,545.6255,UP,1
2012-04-25,724.55,701.57,707.182,675.9623,546.5655,UP,1
2012-04-26,733.27,723.4,710.4,679.0889,547.589,UP,1
2012-04-27,762.13,750.98,720.792,682.9255,548.7383,DOWN,0
2012-04-30,760.82,761.01,733.156,686.7155,549.9438,DOWN,0
2012-05-01,755.17,760.82,747.188,690.1685,551.1071,UP,1
2012-05-02,761.06,755.56,754.49,693.6947,552.3291,DOWN,0
2012-05-03,749.73,763.05,757.782,696.9349,553.3903,DOWN,0
2012-05-04,736.065,745.31,752.569,699.9082,554.4208,UP,1
2012-05-07,737.65,736.38,747.935,702.853,555.479,DOWN,0
2012-05-08,716.2,736.01,740.141,705.3462,556.4082,UP,1
2012-05-09,718.95,708.74,731.719,707.07,557.3542,DOWN,0
2012-05-10,681.11,703.12,717.995,708.1518,558.0914,DOWN,0
2012-05-11,675.39,671.49,705.86,708.9132,558.8823,DOWN,0
2012-05-14,663.18,669.5,690.966,709.2596,559.5867,DOWN,0
2012-05-15,662.33,664.59,680.192,709.6524,560.2101,DOWN,0
2012-05-16,662.24,664.9,668.85,710.3024,560.827,DOWN,0
2012-05-17,645.41,663.77,661.71,710.3786,561.4625,DOWN,0
2012-05-18,632.004,648.85,653.0328,709.9423,562.0127,UP,1
2012-05-21,657.68,635.03,651.9328,710.1469,562.8844,UP,1
